gi|493613085|ref|WP_006565388.1|	MULTISPECIES: chromosomal replication initiator protein DnaA [Anaerostipes] 
gi|493613402|ref|WP_006565691.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613403|ref|WP_006565692.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613404|ref|WP_006565693.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613405|ref|WP_006565694.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613406|ref|WP_006565695.1|	CDP-glycerol:glycerophosphate glycerophosphotransferase [Anaerostipes caccae] 
gi|493613407|ref|WP_006565696.1|	UTP--glucose-1-phosphate uridylyltransferase [Anaerostipes caccae] 
gi|493613408|ref|WP_006565697.1|	glycerol-3-phosphate cytidylyltransferase [Anaerostipes caccae] 
gi|493613410|ref|WP_006565698.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613411|ref|WP_006565699.1|	teichoic acid ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493613412|ref|WP_006565700.1|	ABC transporter [Anaerostipes caccae] 
gi|493613413|ref|WP_006565701.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613414|ref|WP_006565702.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613415|ref|WP_006565703.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613416|ref|WP_006565704.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613417|ref|WP_006565705.1|	glycosyltransferase [Anaerostipes caccae] 
gi|493613418|ref|WP_006565706.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613419|ref|WP_006565707.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613420|ref|WP_006565708.1|	glycerol-3-phosphate cytidiltransferase [Anaerostipes caccae] 
gi|493613421|ref|WP_006565709.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613422|ref|WP_006565710.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613423|ref|WP_006565711.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613424|ref|WP_006565712.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613425|ref|WP_006565713.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613426|ref|WP_006565714.1|	dTDP-6-deoxy-3,4-keto-hexulose isomerase [Anaerostipes caccae] 
gi|493613427|ref|WP_006565715.1|	erythromycin biosynthesis sensory transduction protein eryC1 [Anaerostipes caccae] 
gi|493613428|ref|WP_006565716.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613429|ref|WP_006565717.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613430|ref|WP_006565718.1|	lipopolysaccharide biosynthesis protein [Anaerostipes caccae] 
gi|493613431|ref|WP_006565719.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613432|ref|WP_006565720.1|	glycosyl transferase [Anaerostipes caccae] 
gi|493613433|ref|WP_006565721.1|	polyprenyl glycosylphosphotransferase [Anaerostipes caccae] 
gi|493613434|ref|WP_006565722.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613435|ref|WP_006565723.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613436|ref|WP_006565724.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613437|ref|WP_006565725.1|	membrane protein [Anaerostipes caccae] 
gi|493613438|ref|WP_006565726.1|	MULTISPECIES: polysaccharide biosynthesis protein GtrA [Anaerostipes] 
gi|493613439|ref|WP_006565727.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613440|ref|WP_006565728.1|	MULTISPECIES: glycosyl transferase [Anaerostipes] 
gi|493613441|ref|WP_006565729.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613442|ref|WP_006565730.1|	membrane protein [Anaerostipes caccae] 
gi|493613443|ref|WP_006565731.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613444|ref|WP_006565732.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613445|ref|WP_006565733.1|	MULTISPECIES: Ser/Thr phosphatase [Anaerostipes] 
gi|493613446|ref|WP_006565734.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613447|ref|WP_006565735.1|	lysyl-tRNA synthetase [Anaerostipes caccae] 
gi|493613448|ref|WP_006565736.1|	MULTISPECIES: transcription elongation factor GreA [Anaerostipes] 
gi|493613449|ref|WP_006565737.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613450|ref|WP_006565738.1|	pantothenate kinase [Anaerostipes caccae] 
gi|493613451|ref|WP_006565739.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613452|ref|WP_006565740.1|	biotin--acetyl-CoA-carboxylase ligase [Anaerostipes caccae] 
gi|493613453|ref|WP_006565741.1|	MULTISPECIES: ornithine carbamoyltransferase [Anaerostipes] 
gi|493613454|ref|WP_006565742.1|	lipase [Anaerostipes caccae] 
gi|493613455|ref|WP_006565743.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Anaerostipes] 
gi|493613456|ref|WP_006565744.1|	amino acid ABC transporter permease [Anaerostipes caccae] 
gi|493613457|ref|WP_006565745.1|	MULTISPECIES: glutamine ABC transporter substrate-binding protein [Anaerostipes] 
gi|493613458|ref|WP_006565746.1|	peptidase [Anaerostipes caccae] 
gi|493613459|ref|WP_006565747.1|	membrane protein [Anaerostipes caccae] 
gi|493613460|ref|WP_006565748.1|	RNA methyltransferase [Anaerostipes caccae] 
gi|493613461|ref|WP_006565749.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613463|ref|WP_006565750.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613464|ref|WP_006565751.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613465|ref|WP_006565752.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613466|ref|WP_006565753.1|	aspartate aminotransferase [Anaerostipes caccae] 
gi|493613467|ref|WP_006565754.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613468|ref|WP_006565755.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613469|ref|WP_006565756.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613470|ref|WP_006565757.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613471|ref|WP_006565758.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613472|ref|WP_006565759.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613473|ref|WP_006565760.1|	CAAX amino terminal protease [Anaerostipes caccae] 
gi|493613474|ref|WP_006565761.1|	transcriptional regulator [Anaerostipes caccae] 
gi|493613475|ref|WP_006565762.1|	electron transfer flavoprotein subunit alpha [Anaerostipes caccae] 
gi|493613476|ref|WP_006565763.1|	MULTISPECIES: electron transfer flavoprotein subunit beta [Clostridiales] 
gi|493613477|ref|WP_006565764.1|	acyl-CoA dehydrogenase [Anaerostipes caccae] 
gi|493613478|ref|WP_006565765.1|	3-hydroxybutyryl-CoA dehydrogenase [Anaerostipes caccae] 
gi|493613479|ref|WP_006565766.1|	MULTISPECIES: enoyl-CoA hydratase [Anaerostipes] 
gi|493613480|ref|WP_006565767.1|	acetyl-CoA acetyltransferase [Anaerostipes caccae] 
gi|493613481|ref|WP_006565768.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613482|ref|WP_006565769.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613483|ref|WP_006565770.1|	heat shock protein Hsp20 [Anaerostipes caccae] 
gi|493613484|ref|WP_006565771.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613485|ref|WP_006565772.1|	MULTISPECIES: acetolactate synthase [Clostridiales] 
gi|493613486|ref|WP_006565773.1|	acetolactate synthase [Anaerostipes caccae] 
gi|493613487|ref|WP_006565774.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613488|ref|WP_006565775.1|	chromosome segregation and condensation protein ScpA [Anaerostipes caccae] 
gi|493613489|ref|WP_006565776.1|	MULTISPECIES: phosphoesterase [Anaerostipes] 
gi|493613490|ref|WP_006565777.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613491|ref|WP_006565778.1|	MULTISPECIES: PTS sorbitol transporter subunit IIA [Anaerostipes] 
gi|493613492|ref|WP_006565779.1|	MULTISPECIES: PTS sorbitol transporter subunit IIB [Clostridiales] 
gi|493613493|ref|WP_006565780.1|	PTS sorbitol transporter subunit IIC [Anaerostipes caccae] 
gi|493613494|ref|WP_006565781.1|	glucitol operon activator [Anaerostipes caccae] 
gi|493613495|ref|WP_006565782.1|	transcriptional antiterminator [Anaerostipes caccae] 
gi|493613496|ref|WP_006565783.1|	sorbitol-6-phosphate 2-dehydrogenase [Anaerostipes caccae] 
gi|493613497|ref|WP_006565784.1|	MULTISPECIES: D-Ala-D-Ala carboxypeptidase [Anaerostipes] 
gi|493613498|ref|WP_006565785.1|	MULTISPECIES: hydrolase [Clostridiales] 
gi|493613500|ref|WP_006565786.1|	peptidase [Anaerostipes caccae] 
gi|493613501|ref|WP_006565787.1|	MULTISPECIES: cell division protein FtsW [Anaerostipes] 
gi|493613502|ref|WP_006565788.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613503|ref|WP_006565789.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613504|ref|WP_006565790.1|	MULTISPECIES: Holliday junction DNA helicase RuvB [Anaerostipes] 
gi|493613505|ref|WP_006565791.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613506|ref|WP_006565792.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613507|ref|WP_006565793.1|	murein hydrolase transporter LrgA [Anaerostipes caccae] 
gi|493613508|ref|WP_006565794.1|	MULTISPECIES: membrane protein [Anaerostipes] 
gi|493613509|ref|WP_006565795.1|	hydrolase [Anaerostipes caccae] 
gi|493613510|ref|WP_006565796.1|	beta-lactamase [Anaerostipes caccae] 
gi|493613511|ref|WP_006565797.1|	AbrB family transcriptional regulator [Anaerostipes caccae] 
gi|493613512|ref|WP_006565798.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613513|ref|WP_006565799.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613514|ref|WP_006565800.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613515|ref|WP_006565801.1|	O-acetylhomoserine aminocarboxypropyltransferase [Anaerostipes caccae] 
gi|493613516|ref|WP_006565802.1|	MULTISPECIES: ABC transporter ATP-binding protein [Anaerostipes] 
gi|493613517|ref|WP_006565803.1|	ABC transporter permease [Anaerostipes caccae] 
gi|493613518|ref|WP_006565804.1|	sugar ABC transporter substrate-binding protein [Anaerostipes caccae] 
gi|493613519|ref|WP_006565805.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613520|ref|WP_006565806.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613521|ref|WP_006565807.1|	polyribonucleotide nucleotidyltransferase [Anaerostipes caccae] 
gi|493613522|ref|WP_006565808.1|	MULTISPECIES: 30S ribosomal protein S15 [Anaerostipes] 
gi|493613523|ref|WP_006565809.1|	MULTISPECIES: pyrroline-5-carboxylate reductase [Anaerostipes] 
gi|493613524|ref|WP_006565810.1|	RNA pseudouridine synthase [Anaerostipes caccae] 
gi|493613525|ref|WP_006565811.1|	peptidase A8 [Anaerostipes caccae] 
gi|493613526|ref|WP_006565812.1|	3-dehydroquinate synthase [Anaerostipes caccae] 
gi|493613527|ref|WP_006565813.1|	cell division protein DivIVA [Anaerostipes caccae] 
gi|493613528|ref|WP_006565814.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613529|ref|WP_006565815.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493613530|ref|WP_006565816.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613531|ref|WP_006565817.1|	flagellar protein FliS [Anaerostipes caccae] 
gi|493613532|ref|WP_006565818.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613533|ref|WP_006565819.1|	D-alanyl-D-alanine carboxypeptidase [Anaerostipes caccae] 
gi|493613534|ref|WP_006565820.1|	methylglyoxal synthase [Anaerostipes caccae] 
gi|493613535|ref|WP_006565821.1|	rod shape-determining protein RodA [Anaerostipes caccae] 
gi|493613536|ref|WP_006565822.1|	cell division topological specificity factor MinE [Anaerostipes caccae] 
gi|493613537|ref|WP_006565823.1|	septum site-determining protein MinD [Anaerostipes caccae] 
gi|493613538|ref|WP_006565824.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613539|ref|WP_006565825.1|	peptidase [Anaerostipes caccae] 
gi|493613540|ref|WP_006565826.1|	MULTISPECIES: rod shape-determining protein MreD [Anaerostipes] 
gi|493613541|ref|WP_006565827.1|	MULTISPECIES: rod shape-determining protein MreC [Anaerostipes] 
gi|493613542|ref|WP_006565828.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613543|ref|WP_006565829.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613544|ref|WP_006565830.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613545|ref|WP_006565831.1|	MULTISPECIES: tRNA delta(2)-isopentenylpyrophosphate transferase [Anaerostipes] 
gi|493613546|ref|WP_006565832.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613547|ref|WP_006565833.1|	DNA mismatch repair protein MutL [Anaerostipes caccae] 
gi|493613548|ref|WP_006565834.1|	DNA mismatch repair protein MutS [Anaerostipes caccae] 
gi|493613549|ref|WP_006565835.1|	radical SAM protein [Anaerostipes caccae] 
gi|493613550|ref|WP_006565836.1|	UDP-galactopuranose mutase [Anaerostipes caccae] 
gi|493613551|ref|WP_006565837.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613552|ref|WP_006565838.1|	Na/Pi cotransporter [Anaerostipes caccae] 
gi|493613554|ref|WP_006565839.1|	alpha-amylase [Anaerostipes caccae] 
gi|493613555|ref|WP_006565840.1|	MULTISPECIES: alpha-glucan phosphorylase [Anaerostipes] 
gi|493613556|ref|WP_006565841.1|	glycogen synthase [Anaerostipes caccae] 
gi|493613557|ref|WP_006565842.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613558|ref|WP_006565843.1|	MULTISPECIES: glucose-1-phosphate adenylyltransferase [Anaerostipes] 
gi|493613559|ref|WP_006565844.1|	1,4-alpha-glucan branching protein [Anaerostipes caccae] 
gi|493613560|ref|WP_006565845.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613561|ref|WP_006565846.1|	MULTISPECIES: threonine dehydratase [Anaerostipes] 
gi|493613562|ref|WP_006565847.1|	cell division protein FtsY [Anaerostipes caccae] 
gi|493613563|ref|WP_006565848.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613564|ref|WP_006565849.1|	MULTISPECIES: ribonuclease III [Anaerostipes] 
gi|493613565|ref|WP_006565850.1|	MULTISPECIES: phosphate acyltransferase [Anaerostipes] 
gi|493613566|ref|WP_006565851.1|	MULTISPECIES: 50S ribosomal protein L32 [Clostridiales] 
gi|493613567|ref|WP_006565852.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613568|ref|WP_006565853.1|	acetate kinase [Anaerostipes caccae] 
gi|493613569|ref|WP_006565854.1|	MULTISPECIES: phosphotransacetylase [Anaerostipes] 
gi|493613570|ref|WP_006565855.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613571|ref|WP_006565856.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613572|ref|WP_006565857.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613573|ref|WP_006565858.1|	MULTISPECIES: phosphopantetheine adenylyltransferase [Anaerostipes] 
gi|493613574|ref|WP_006565859.1|	methyltransferase [Anaerostipes caccae] 
gi|493613575|ref|WP_006565860.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613576|ref|WP_006565861.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613577|ref|WP_006565862.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613578|ref|WP_006565863.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613579|ref|WP_006565864.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613580|ref|WP_006565865.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613581|ref|WP_006565866.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613582|ref|WP_006565867.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613583|ref|WP_006565868.1|	PTS beta-glucoside transporter subunit IIBC [Anaerostipes caccae] 
gi|493613584|ref|WP_006565869.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613585|ref|WP_006565870.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613586|ref|WP_006565871.1|	MULTISPECIES: spore protein [Clostridiales] 
gi|493613587|ref|WP_006565872.1|	MULTISPECIES: acylphosphatase [Anaerostipes] 
gi|493613588|ref|WP_006565873.1|	ATP-dependent DNA helicase RecG [Anaerostipes caccae] 
gi|493613589|ref|WP_006565874.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613590|ref|WP_006565875.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613591|ref|WP_006565876.1|	MULTISPECIES: 50S ribosomal protein L28 [Clostridiales] 
gi|493613592|ref|WP_006565877.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613593|ref|WP_006565878.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613594|ref|WP_006565879.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613595|ref|WP_006565880.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613596|ref|WP_006565881.1|	pyruvate kinase [Anaerostipes caccae] 
gi|493613597|ref|WP_006565882.1|	MULTISPECIES: membrane protein [Anaerostipes] 
gi|493613598|ref|WP_006565883.1|	magnesium transporter [Anaerostipes caccae] 
gi|493613599|ref|WP_006565884.1|	MULTISPECIES: peptidoglycan-binding protein LysM [Anaerostipes] 
gi|493613600|ref|WP_006565885.1|	MULTISPECIES: 2-hydroxyglutaryl-CoA dehydratase [Anaerostipes] 
gi|493613601|ref|WP_006565886.1|	LysR family transcriptional regulator [Anaerostipes caccae] 
gi|493613602|ref|WP_006565887.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613603|ref|WP_006565888.1|	MULTISPECIES: GntR family transcriptional regulator [Anaerostipes] 
gi|493613604|ref|WP_006565889.1|	ABC transporter [Anaerostipes caccae] 
gi|493613605|ref|WP_006565890.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613606|ref|WP_006565891.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613607|ref|WP_006565892.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Anaerostipes] 
gi|493613608|ref|WP_006565893.1|	imidazole glycerol phosphate synthase [Anaerostipes caccae] 
gi|493613609|ref|WP_006565894.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613610|ref|WP_006565895.1|	MULTISPECIES: histidine kinase [Anaerostipes] 
gi|493613611|ref|WP_006565896.1|	MULTISPECIES: transcriptional regulator [Anaerostipes] 
gi|493613612|ref|WP_006565897.1|	membrane protein [Anaerostipes caccae] 
gi|493613613|ref|WP_006565898.1|	MULTISPECIES: haloacid dehalogenase [Anaerostipes] 
gi|493613614|ref|WP_006565899.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613615|ref|WP_006565900.1|	MULTISPECIES: thiouridylase [Anaerostipes] 
gi|493613616|ref|WP_006565901.1|	MULTISPECIES: FeS cluster assembly scaffold IscU [Anaerostipes] 
gi|493613617|ref|WP_006565902.1|	cysteine desulfurase [Anaerostipes caccae] 
gi|493613618|ref|WP_006565903.1|	MULTISPECIES: Rrf2 family transcriptional regulator [Anaerostipes] 
gi|493613619|ref|WP_006565904.1|	MULTISPECIES: hypothetical protein [Anaerostipes] 
gi|493613620|ref|WP_006565905.1|	MULTISPECIES: ABC transporter permease [Anaerostipes] 
gi|493613621|ref|WP_006565906.1|	MULTISPECIES: branched-chain amino acid ABC transporter permease [Anaerostipes] 
gi|493613622|ref|WP_006565907.1|	ABC transporter ATP-binding protein [Anaerostipes caccae] 
gi|493613623|ref|WP_006565908.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613624|ref|WP_006565909.1|	membrane protein [Anaerostipes caccae] 
gi|493613625|ref|WP_006565910.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613626|ref|WP_006565911.1|	tryptophanyl-tRNA synthetase [Anaerostipes caccae] 
gi|493613627|ref|WP_006565912.1|	amino acid-binding protein [Anaerostipes caccae] 
gi|493613628|ref|WP_006565913.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613629|ref|WP_006565914.1|	toxin RelE [Anaerostipes caccae] 
gi|493613630|ref|WP_006565915.1|	phosphoesterase [Anaerostipes caccae] 
gi|493613631|ref|WP_006565916.1|	MULTISPECIES: RNA polymerase sigma 70 [Anaerostipes] 
gi|493613632|ref|WP_006565917.1|	RNA methyltransferase [Anaerostipes caccae] 
gi|493613633|ref|WP_006565918.1|	MULTISPECIES: ribonuclease III [Anaerostipes] 
gi|493613634|ref|WP_006565919.1|	cysteinyl-tRNA synthetase [Anaerostipes caccae] 
gi|493613635|ref|WP_006565920.1|	serine O-acetyltransferase [Anaerostipes caccae] 
gi|493613636|ref|WP_006565921.1|	hypothetical protein partial [Anaerostipes caccae] 
gi|493613637|ref|WP_006565922.1|	hypothetical protein [Anaerostipes caccae] 
gi|493613638|ref|WP_006565923.1|	acetyl xylan esterase [Anaerostipes caccae] 
gi|493613639|ref|WP_006565924.1|	GNAT family acetyltransferase [Anaerostipes caccae] 
gi|493613640|ref|WP_006565925.1|	hypothetical protein [Anaerostipes caccae] 
