WP_002322728.1	MULTISPECIES: excisionase [Firmicutes] 
WP_007285628.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285629.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285631.1	nucleotidyltransferase [Intestinibacter bartlettii] 
WP_007285633.1	(Fe-S)-binding protein [Intestinibacter bartlettii] 
WP_007285634.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285635.1	arsenic resistance protein [Intestinibacter bartlettii] 
WP_007285636.1	MULTISPECIES: class I fructose-bisphosphate aldolase [Clostridiales] 
WP_007285638.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285640.1	LysR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007285641.1	3,4-dihydroxybenzoate decarboxylase [Intestinibacter bartlettii] 
WP_007285642.1	phenolic acid decarboxylase subunit B [Intestinibacter bartlettii] 
WP_007285644.1	ATPase AAA [Intestinibacter bartlettii] 
WP_007285645.1	DNA repair helicase [Intestinibacter bartlettii] 
WP_007285646.1	MULTISPECIES: phosphohydrolase [Clostridiales] 
WP_007285647.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285648.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285649.1	ATPase AAA [Intestinibacter bartlettii] 
WP_007285650.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285652.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285653.1	magnesium-transporting ATPase [Intestinibacter bartlettii] 
WP_007285654.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007285655.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285656.1	membrane protein [Intestinibacter bartlettii] 
WP_007285657.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285658.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285659.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285660.1	ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285661.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285662.1	DNA-binding response regulator [Intestinibacter bartlettii] 
WP_007285663.1	two-component sensor histidine kinase [Intestinibacter bartlettii] 
WP_007285664.1	sugar phosphate phosphatase [Intestinibacter bartlettii] 
WP_007285665.1	bifunctional acetaldehyde-CoA/alcohol dehydrogenase [Intestinibacter bartlettii] 
WP_007285667.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285670.1	spore photoproduct lyase [Intestinibacter bartlettii] 
WP_007285671.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285672.1	MULTISPECIES: pyroglutamyl-peptidase I [Clostridiales] 
WP_007285673.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007285674.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007285675.1	anaerobic ribonucleoside-triphosphate reductase activating protein [Intestinibacter bartlettii] 
WP_007285676.1	anaerobic ribonucleoside triphosphate reductase [Intestinibacter bartlettii] 
WP_007285677.1	aspartate aminotransferase [Intestinibacter bartlettii] 
WP_007285678.1	NrdH-redoxin [Intestinibacter bartlettii] 
WP_007285679.1	glycosyl transferase [Intestinibacter bartlettii] 
WP_007285680.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285681.1	MULTISPECIES: recombination protein RecR [Clostridiales] 
WP_007285682.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285684.1	tRNA-specific adenosine deaminase [Intestinibacter bartlettii] 
WP_007285685.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285686.1	quinolinate synthetase [Intestinibacter bartlettii] 
WP_007285687.1	L-aspartate oxidase [Intestinibacter bartlettii] 
WP_007285688.1	nicotinate-nucleotide diphosphorylase (carboxylating) [Intestinibacter bartlettii] 
WP_007285691.1	hemolysin [Intestinibacter bartlettii] 
WP_007285692.1	peptide ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285693.1	peptide ABC transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285694.1	peptide-binding protein [Intestinibacter bartlettii] 
WP_007285695.1	nickel ABC transporter permease [Intestinibacter bartlettii] 
WP_007285697.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285698.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285699.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285700.1	transcriptional regulator [Intestinibacter bartlettii] 
WP_007285701.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285702.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285703.1	hydratase [Intestinibacter bartlettii] 
WP_007285706.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285707.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285708.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285709.1	anaerobic ribonucleoside-triphosphate reductase activating protein [Intestinibacter bartlettii] 
WP_007285711.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285712.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285713.1	ATPase [Intestinibacter bartlettii] 
WP_007285714.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285715.1	MULTISPECIES: PadR family transcriptional regulator [Clostridiales] 
WP_007285716.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285717.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285720.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285721.1	haloacid dehalogenase [Intestinibacter bartlettii] 
WP_007285722.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285724.1	cysteine synthase A [Intestinibacter bartlettii] 
WP_007285725.1	O-acetylhomoserine aminocarboxypropyltransferase [Intestinibacter bartlettii] 
WP_007285727.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285728.1	membrane protein [Intestinibacter bartlettii] 
WP_007285729.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285731.1	LysR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007285733.1	undecaprenyl-diphosphatase [Intestinibacter bartlettii] 
WP_007285734.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285736.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285737.1	transporter [Intestinibacter bartlettii] 
WP_007285738.1	acriflavin resistance protein [Intestinibacter bartlettii] 
WP_007285739.1	molecular chaperone HtpG [Intestinibacter bartlettii] 
WP_007285740.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285741.1	heat-shock protein Hsp20 [Intestinibacter bartlettii] 
WP_007285742.1	heat-shock protein Hsp20 [Intestinibacter bartlettii] 
WP_007285743.1	N-acyl-L-amino acid amidohydrolase [Intestinibacter bartlettii] 
WP_007285744.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285745.1	phosphoribosylformylglycinamidine synthase [Intestinibacter bartlettii] 
WP_007285746.1	phosphoribosylamine--glycine ligase [Intestinibacter bartlettii] 
WP_007285747.1	MULTISPECIES: phosphoribosylglycinamide formyltransferase [Clostridiales] 
WP_007285748.1	phosphoribosylformylglycinamidine cyclo-ligase [Intestinibacter bartlettii] 
WP_007285750.1	phosphoribosylaminoimidazolesuccinocarboxamide synthase [Intestinibacter bartlettii] 
WP_007285751.1	5-(carboxyamino)imidazole ribonucleotide mutase [Intestinibacter bartlettii] 
WP_007285754.1	glycogen-branching enzyme [Intestinibacter bartlettii] 
WP_007285755.1	cupin [Intestinibacter bartlettii] 
WP_007285756.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285757.1	MULTISPECIES: transcriptional regulator [Clostridiales] 
WP_007285758.1	hypothetical protein partial [Intestinibacter bartlettii] 
WP_007285759.1	carbohydrate kinase [Intestinibacter bartlettii] 
WP_007285760.1	flavodoxin [Intestinibacter bartlettii] 
WP_007285761.1	glucokinase [Intestinibacter bartlettii] 
WP_007285762.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285763.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285764.1	GNAT family N-acetyltransferase [Intestinibacter bartlettii] 
WP_007285766.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285767.1	mannose-6-phosphate isomerase [Intestinibacter bartlettii] 
WP_007285768.1	PTS mannose transporter subunit IIA [Intestinibacter bartlettii] 
WP_007285769.1	sugar kinase [Intestinibacter bartlettii] 
WP_007285770.1	6-phospho-beta-glucosidase [Intestinibacter bartlettii] 
WP_007285771.1	oligo-beta-mannoside permease IIC protein [Intestinibacter bartlettii] 
WP_007285772.1	PTS sugar transporter subunit IIB [Intestinibacter bartlettii] 
WP_007285774.1	GntR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007285775.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285776.1	flavodoxin [Intestinibacter bartlettii] 
WP_007285777.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285778.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285779.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285780.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285782.1	MULTISPECIES: GMP synthetase [Clostridiales] 
WP_007285783.1	MULTISPECIES: IMP dehydrogenase [Clostridiales] 
WP_007285784.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285785.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285786.1	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [Intestinibacter bartlettii] 
WP_007285788.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285789.1	MULTISPECIES: molecular chaperone GroEL [Clostridiales] 
WP_007285790.1	MULTISPECIES: molecular chaperone GroES [Clostridiales] 
WP_007285791.1	8-oxoguanine DNA glycosylase [Intestinibacter bartlettii] 
WP_007285792.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285793.1	pyrimidine-nucleoside phosphorylase [Intestinibacter bartlettii] 
WP_007285794.1	2-deoxyribose-5-phosphate aldolase [Intestinibacter bartlettii] 
WP_007285795.1	phosphopentomutase [Intestinibacter bartlettii] 
WP_007285796.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285797.1	GntR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007285800.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285801.1	MULTISPECIES: orotate phosphoribosyltransferase [Clostridiales] 
WP_007285802.1	dihydroorotate dehydrogenase [Intestinibacter bartlettii] 
WP_007285804.1	aspartate carbamoyltransferase [Intestinibacter bartlettii] 
WP_007285805.1	MATE family efflux transporter [Intestinibacter bartlettii] 
WP_007285806.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285808.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285809.1	DUF2798 domain-containing protein [Intestinibacter bartlettii] 
WP_007285810.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285811.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285813.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285814.1	MULTISPECIES: glutamate dehydrogenase [Clostridiales] 
WP_007285815.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285816.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285819.1	transporter [Intestinibacter bartlettii] 
WP_007285824.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285825.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285827.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285828.1	MULTISPECIES: methylglyoxal synthase [Clostridiales] 
WP_007285829.1	MULTISPECIES: (2Fe-2S)-binding protein [Clostridiales] 
WP_007285830.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285831.1	ferritin [Intestinibacter bartlettii] 
WP_007285832.1	GNAT family acetyltransferase [Intestinibacter bartlettii] 
WP_007285837.1	MULTISPECIES: ferredoxin [Clostridiales] 
WP_007285838.1	redox-sensing transcriptional repressor Rex [Intestinibacter bartlettii] 
WP_007285840.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285841.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285842.1	tRNA N6-adenosine(37)-threonylcarbamoyltransferase complex transferase subunit TsaD [Intestinibacter bartlettii] 
WP_007285844.1	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB [Intestinibacter bartlettii] 
WP_007285846.1	membrane protein [Intestinibacter bartlettii] 
WP_007285849.1	peptide chain release factor 2 [Intestinibacter bartlettii] 
WP_007285850.1	preprotein translocase subunit SecA [Intestinibacter bartlettii] 
WP_007285851.1	DNA recombination protein RmuC [Intestinibacter bartlettii] 
WP_007285853.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285855.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285856.1	TetR family transcriptional regulator [Intestinibacter bartlettii] 
WP_007285857.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285858.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285859.1	transferase [Intestinibacter bartlettii] 
WP_007285860.1	MULTISPECIES: D-ribose ABC transporter substrate-binding protein [Clostridiales] 
WP_007285861.1	MULTISPECIES: ribose ABC transporter permease [Clostridiales] 
WP_007285862.1	D-ribose transporter ATP-binding protein [Intestinibacter bartlettii] 
WP_007285863.1	MULTISPECIES: D-ribose pyranase [Clostridiales] 
WP_007285866.1	MULTISPECIES: phosphoribosyltransferase [Clostridiales] 
WP_007285867.1	ATPase AAA [Intestinibacter bartlettii] 
WP_007285868.1	molecular chaperone HscC [Intestinibacter bartlettii] 
WP_007285870.1	MULTISPECIES: methionine adenosyltransferase [Clostridiales] 
WP_007285871.1	MULTISPECIES: spore protease YyaC [Clostridiales] 
WP_007285872.1	rod shape-determining protein [Intestinibacter bartlettii] 
WP_007285873.1	stage III sporulation protein D [Intestinibacter bartlettii] 
WP_007285874.1	MULTISPECIES: peptidase M23 [Clostridiales] 
WP_007285875.1	MULTISPECIES: stage II sporulation protein D [Clostridiales] 
WP_007285877.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285878.1	mannitol-1-phosphate 5-dehydrogenase [Intestinibacter bartlettii] 
WP_007285879.1	PTS mannose transporter subunit IIA [Intestinibacter bartlettii] 
WP_007285880.1	transcription antiterminator BglG [Intestinibacter bartlettii] 
WP_007285881.1	PTS mannitol transporter subunit IIB [Intestinibacter bartlettii] 
WP_007285882.1	MULTISPECIES: glutamine--fructose-6-phosphate aminotransferase [Clostridiales] 
WP_007285883.1	MULTISPECIES: phosphoglucosamine mutase [Clostridiales] 
WP_007285884.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285885.1	membrane protein [Intestinibacter bartlettii] 
WP_007285887.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285888.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285889.1	aminopeptidase [Intestinibacter bartlettii] 
WP_007285890.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285891.1	MULTISPECIES: aminotransferase [Clostridiales] 
WP_007285893.1	polysaccharide biosynthesis protein [Intestinibacter bartlettii] 
WP_007285894.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285895.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285896.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285897.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285898.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285899.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285900.1	formimidoyltetrahydrofolate cyclodeaminase [Intestinibacter bartlettii] 
WP_007285902.1	MULTISPECIES: glutamate formiminotransferase [Clostridiales] 
WP_007285903.1	urocanate hydratase [Intestinibacter bartlettii] 
WP_007285904.1	histidine ammonia-lyase [Intestinibacter bartlettii] 
WP_007285905.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285906.1	MULTISPECIES: LacI family transcriptional regulator [Clostridiales] 
WP_007285908.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285910.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285911.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285912.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285914.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285915.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285916.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285919.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285920.1	iron ABC transporter [Intestinibacter bartlettii] 
WP_007285921.1	corrinoid ABC transporter permease [Intestinibacter bartlettii] 
WP_007285923.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285925.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285926.1	NAD(+) kinase [Intestinibacter bartlettii] 
WP_007285930.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285931.1	exonuclease sbcCD subunit D [Intestinibacter bartlettii] 
WP_007285932.1	ATP-dependent helicase [Intestinibacter bartlettii] 
WP_007285933.1	helicase-exonuclease AddAB subunit AddB [Intestinibacter bartlettii] 
WP_007285934.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285936.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285938.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285939.1	membrane protein [Intestinibacter bartlettii] 
WP_007285940.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007285941.1	MULTISPECIES: membrane protein [Clostridiales] 
WP_007285942.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285943.1	MULTISPECIES: hypothetical protein [Clostridiales] 
WP_007285946.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285949.1	DNA polymerase IV [Intestinibacter bartlettii] 
WP_007285950.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285951.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285952.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285953.1	[FeFe] hydrogenase H-cluster maturation GTPase HydF [Intestinibacter bartlettii] 
WP_007285954.1	aspartate ammonia-lyase [Intestinibacter bartlettii] 
WP_007285955.1	hypothetical protein [Intestinibacter bartlettii] 
WP_007285956.1	MULTISPECIES: hypothetical protein [Clostridiales] 
