gi|491802668|ref|WP_005608258.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803596|ref|WP_005608932.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803599|ref|WP_005608935.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803600|ref|WP_005608936.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803602|ref|WP_005608938.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803604|ref|WP_005608940.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803606|ref|WP_005608942.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803608|ref|WP_005608944.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803610|ref|WP_005608946.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803611|ref|WP_005608947.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803613|ref|WP_005608949.1|	spore coat protein [Ruminococcus lactaris] 
gi|491803614|ref|WP_005608950.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803456|ref|WP_005608793.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803458|ref|WP_005608795.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803460|ref|WP_005608797.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803463|ref|WP_005608800.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803616|ref|WP_005608952.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803446|ref|WP_005608787.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491803450|ref|WP_005608790.1|	transposase [Ruminococcus lactaris] 
gi|491803452|ref|WP_005608791.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803465|ref|WP_005608802.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803467|ref|WP_005608804.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803470|ref|WP_005608807.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803473|ref|WP_005608810.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803475|ref|WP_005608812.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803477|ref|WP_005608814.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803481|ref|WP_005608818.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803484|ref|WP_005608821.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803487|ref|WP_005608824.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803488|ref|WP_005608825.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803490|ref|WP_005608827.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803492|ref|WP_005608829.1|	dolichyl-phosphate mannose synthase [Ruminococcus lactaris] 
gi|491803493|ref|WP_005608830.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803495|ref|WP_005608832.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803497|ref|WP_005608834.1|	UDP-N-acetylglucosamine 2-epimerase [Ruminococcus lactaris] 
gi|491803500|ref|WP_005608837.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803501|ref|WP_005608838.1|	glycosyltransferase [Ruminococcus lactaris] 
gi|491803503|ref|WP_005608840.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803157|ref|WP_005608692.1|	transposase IS116/IS110/IS902 family [Ruminococcus lactaris] 
gi|491803506|ref|WP_005608843.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803509|ref|WP_005608846.1|	hydrolase [Ruminococcus lactaris] 
gi|491803511|ref|WP_005608848.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803514|ref|WP_005608851.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803517|ref|WP_005608854.1|	UDP-galactose phosphate transferase [Ruminococcus lactaris] 
gi|491803519|ref|WP_005608856.1|	aminotransferase DegT [Ruminococcus lactaris] 
gi|491803521|ref|WP_005608858.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803524|ref|WP_005608861.1|	nucleoside-diphosphate sugar epimerase [Ruminococcus lactaris] 
gi|491803527|ref|WP_005608864.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803530|ref|WP_005608867.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803532|ref|WP_005608869.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803534|ref|WP_005608871.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803536|ref|WP_005608873.1|	biotin biosynthesis protein BioY [Ruminococcus lactaris] 
gi|491803539|ref|WP_005608876.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491802738|ref|WP_005608328.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803623|ref|WP_005608959.1|	hydrolase [Ruminococcus lactaris] 
gi|491803624|ref|WP_005608960.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803627|ref|WP_005608963.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803629|ref|WP_005608965.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803631|ref|WP_005608967.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803634|ref|WP_005608970.1|	DNA-binding protein [Ruminococcus lactaris] 
gi|491803635|ref|WP_005608971.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803637|ref|WP_005608973.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803638|ref|WP_005608974.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803640|ref|WP_005608976.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803641|ref|WP_005608977.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803644|ref|WP_005608980.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803645|ref|WP_005608981.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803647|ref|WP_005608983.1|	elongation factor Tu [Ruminococcus lactaris] 
gi|491803649|ref|WP_005608985.1|	elongation factor P [Ruminococcus lactaris] 
gi|491803651|ref|WP_005608987.1|	30S ribosomal protein S7 [Ruminococcus lactaris] 
gi|491803653|ref|WP_005608989.1|	30S ribosomal protein S12 [Ruminococcus lactaris] 
gi|491803655|ref|WP_005608991.1|	prolyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491803656|ref|WP_005608992.1|	tellurium resistance protein [Ruminococcus lactaris] 
gi|491803658|ref|WP_005608994.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803660|ref|WP_005608996.1|	pseudouridine synthase [Ruminococcus lactaris] 
gi|491803662|ref|WP_005608998.1|	septation protein spoVG [Ruminococcus lactaris] 
gi|491803664|ref|WP_005609000.1|	glucose-1-phosphate adenylyltransferase [Ruminococcus lactaris] 
gi|491803665|ref|WP_005609001.1|	glucose-1-phosphate adenylyltransferase [Ruminococcus lactaris] 
gi|491803667|ref|WP_005609003.1|	UDP-N-acetylmuramate--alanine ligase [Ruminococcus lactaris] 
gi|491803669|ref|WP_005609005.1|	DNA replication protein DnaD [Ruminococcus lactaris] 
gi|491803671|ref|WP_005609007.1|	DNA replication protein DnaC [Ruminococcus lactaris] 
gi|491803674|ref|WP_005609010.1|	phosphoribosylpyrophosphate synthetase [Ruminococcus lactaris] 
gi|491803675|ref|WP_005609011.1|	histidine kinase [Ruminococcus lactaris] 
gi|491803677|ref|WP_005609013.1|	XRE family transcriptional regulator [Ruminococcus lactaris] 
gi|491803679|ref|WP_005609015.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803681|ref|WP_005609017.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803685|ref|WP_005609021.1|	sugar ABC transporter substrate-binding protein [Ruminococcus lactaris] 
gi|491803686|ref|WP_005609022.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803687|ref|WP_005609023.1|	histidine kinase [Ruminococcus lactaris] 
gi|491803688|ref|WP_005609024.1|	chemotaxis protein CheY [Ruminococcus lactaris] 
gi|491803689|ref|WP_005609025.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803690|ref|WP_005609026.1|	galactoside ABC transporter permease [Ruminococcus lactaris] 
gi|491803691|ref|WP_005609027.1|	D-ribose transporter ATP binding protein [Ruminococcus lactaris] 
gi|491803692|ref|WP_005609028.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803693|ref|WP_005609029.1|	DNA-directed RNA polymerase subunit beta' [Ruminococcus lactaris] 
gi|491803695|ref|WP_005609031.1|	DNA-directed RNA polymerase subunit beta [Ruminococcus lactaris] 
gi|491803697|ref|WP_005609033.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803698|ref|WP_005609034.1|	50S ribosomal protein L7/L12 [Ruminococcus lactaris] 
gi|491803699|ref|WP_005609035.1|	50S ribosomal protein L10 [Ruminococcus lactaris] 
gi|491803700|ref|WP_005609036.1|	50S ribosomal protein L1 [Ruminococcus lactaris] 
gi|491803701|ref|WP_005609037.1|	50S ribosomal protein L11 [Ruminococcus lactaris] 
gi|491803702|ref|WP_005609038.1|	antitermination factor NusG [Ruminococcus lactaris] 
gi|491803703|ref|WP_005609039.1|	preprotein translocase subunit SecE [Ruminococcus lactaris] 
gi|491803704|ref|WP_005609040.1|	50S ribosomal protein L33 [Ruminococcus lactaris] 
gi|491803705|ref|WP_005609041.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803706|ref|WP_005609042.1|	tRNA (guanine-N(7)-)-methyltransferase [Ruminococcus lactaris] 
gi|491803707|ref|WP_005609043.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803708|ref|WP_005609044.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803709|ref|WP_005609045.1|	ATPase [Ruminococcus lactaris] 
gi|491803711|ref|WP_005609047.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803713|ref|WP_005609049.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803714|ref|WP_005609050.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803715|ref|WP_005609051.1|	ATP synthase subunit A [Ruminococcus lactaris] 
gi|491803717|ref|WP_005609053.1|	V-type ATP synthase subunit B [Ruminococcus lactaris] 
gi|491803719|ref|WP_005609055.1|	ATPase [Ruminococcus lactaris] 
gi|491803720|ref|WP_005609056.1|	galactose mutarotase [Ruminococcus lactaris] 
gi|491803722|ref|WP_005609058.1|	peptidyl-prolyl cis-trans isomerase [Ruminococcus lactaris] 
gi|491803724|ref|WP_005609060.1|	phospholipase D [Ruminococcus lactaris] 
gi|491803726|ref|WP_005609062.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803728|ref|WP_005609064.1|	amino acid carrier protein [Ruminococcus lactaris] 
gi|491803729|ref|WP_005609065.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803730|ref|WP_005609066.1|	glutamate racemase [Ruminococcus lactaris] 
gi|491803732|ref|WP_005609068.1|	6-phosphofructokinase [Ruminococcus lactaris] 
gi|491803734|ref|WP_005609070.1|	DNA polymerase III subunit alpha [Ruminococcus lactaris] 
gi|491803736|ref|WP_005609072.1|	RNA-binding protein [Ruminococcus lactaris] 
gi|491803737|ref|WP_005609073.1|	nicotinate phosphoribosyltransferase [Ruminococcus lactaris] 
gi|491803739|ref|WP_005609075.1|	HAD family hydrolase [Ruminococcus lactaris] 
gi|491803741|ref|WP_005609077.1|	membrane protein [Ruminococcus lactaris] 
gi|491803744|ref|WP_005609080.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803746|ref|WP_005609082.1|	shikimate 5-dehydrogenase [Ruminococcus lactaris] 
gi|491803747|ref|WP_005609083.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803748|ref|WP_005609084.1|	phosphoserine phosphatase [Ruminococcus lactaris] 
gi|491803749|ref|WP_005609085.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803750|ref|WP_005609086.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803751|ref|WP_005609087.1|	phosphoglucomutase [Ruminococcus lactaris] 
gi|491803752|ref|WP_005609088.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803753|ref|WP_005609089.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803754|ref|WP_005609090.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803755|ref|WP_005609091.1|	coenzyme PQQ synthesis protein [Ruminococcus lactaris] 
gi|491803756|ref|WP_005609092.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803757|ref|WP_005609093.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803758|ref|WP_005609094.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803759|ref|WP_005609095.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803760|ref|WP_005609096.1|	Rrf2 family transcriptional regulator [Ruminococcus lactaris] 
gi|491803761|ref|WP_005609097.1|	transcriptional regulator [Ruminococcus lactaris] 
gi|491803763|ref|WP_005609099.1|	histidine kinase [Ruminococcus lactaris] 
gi|491803765|ref|WP_005609101.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803767|ref|WP_005609103.1|	S-adenosylmethionine synthetase [Ruminococcus lactaris] 
gi|491803769|ref|WP_005609105.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803771|ref|WP_005609107.1|	glycerate kinase [Ruminococcus lactaris] 
gi|491803773|ref|WP_005609109.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803775|ref|WP_005609111.1|	thiamine biosynthesis protein ThiH [Ruminococcus lactaris] 
gi|491803777|ref|WP_005609113.1|	thiazole synthase [Ruminococcus lactaris] 
gi|491803779|ref|WP_005609115.1|	thiamine biosynthesis protein ThiF [Ruminococcus lactaris] 
gi|491803781|ref|WP_005609117.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803783|ref|WP_005609119.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803785|ref|WP_005609121.1|	iron ABC transporter ATP-binding protein [Ruminococcus lactaris] 
gi|491803787|ref|WP_005609123.1|	iron ABC transporter permease [Ruminococcus lactaris] 
gi|491803789|ref|WP_005609125.1|	iron ABC transporter substrate-binding protein [Ruminococcus lactaris] 
gi|491803791|ref|WP_005609127.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803792|ref|WP_005609128.1|	16S rRNA methyltransferase [Ruminococcus lactaris] 
gi|491803794|ref|WP_005609130.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803796|ref|WP_005609132.1|	multidrug transporter MatE [Ruminococcus lactaris] 
gi|491803798|ref|WP_005609134.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803800|ref|WP_005609136.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803802|ref|WP_005609138.1|	chloride channel protein [Ruminococcus lactaris] 
gi|491803804|ref|WP_005609140.1|	sodium transporter [Ruminococcus lactaris] 
gi|491803807|ref|WP_005609143.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803808|ref|WP_005609144.1|	peptidylprolyl isomerase [Ruminococcus lactaris] 
gi|491803810|ref|WP_005609146.1|	fusaric acid resistance protein [Ruminococcus lactaris] 
gi|491803811|ref|WP_005609147.1|	integrase [Ruminococcus lactaris] 
gi|491803812|ref|WP_005609148.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803813|ref|WP_005609149.1|	S1 RNA binding domain protein [Ruminococcus lactaris] 
gi|491803815|ref|WP_005609151.1|	inorganic pyrophosphatase [Ruminococcus lactaris] 
gi|491803817|ref|WP_005609153.1|	flavin reductase [Ruminococcus lactaris] 
gi|491803819|ref|WP_005609155.1|	amino acid lyase [Ruminococcus lactaris] 
gi|491803821|ref|WP_005609157.1|	enolase [Ruminococcus lactaris] 
gi|491803823|ref|WP_005609159.1|	AraC family transcriptional regulator [Ruminococcus lactaris] 
gi|491803825|ref|WP_005609161.1|	nucleotidyltransferase [Ruminococcus lactaris] 
gi|491803827|ref|WP_005609163.1|	mucin desulfatase [Ruminococcus lactaris] 
gi|491803830|ref|WP_005609166.1|	UDP-galactose-4-epimerase [Ruminococcus lactaris] 
gi|491803832|ref|WP_005609168.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803834|ref|WP_005609170.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803836|ref|WP_005609172.1|	hypothetical protein partial [Ruminococcus lactaris] 
gi|491803839|ref|WP_005609175.1|	amidophosphoribosyltransferase [Ruminococcus lactaris] 
gi|491803840|ref|WP_005609176.1|	adenylosuccinate lyase [Ruminococcus lactaris] 
gi|491803842|ref|WP_005609178.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803844|ref|WP_005609180.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803846|ref|WP_005609182.1|	glutamyl-tRNA synthetase [Ruminococcus lactaris] 
gi|491803848|ref|WP_005609184.1|	ATPase AAA [Ruminococcus lactaris] 
gi|491803850|ref|WP_005609186.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803852|ref|WP_005609188.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803854|ref|WP_005609190.1|	LacI family transcriptional regulator [Ruminococcus lactaris] 
gi|491803857|ref|WP_005609193.1|	glycogen debranching enzyme GlgX [Ruminococcus lactaris] 
gi|491803858|ref|WP_005609194.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803859|ref|WP_005609195.1|	histidine phosphatase [Ruminococcus lactaris] 
gi|491803861|ref|WP_005609197.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803862|ref|WP_005609198.1|	protein RecA [Ruminococcus lactaris] 
gi|491803863|ref|WP_005609199.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803865|ref|WP_005609201.1|	ribonuclease [Ruminococcus lactaris] 
gi|491803866|ref|WP_005609202.1|	NUDIX hydrolase [Ruminococcus lactaris] 
gi|491803867|ref|WP_005609203.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803868|ref|WP_005609204.1|	stage V sporulation protein D [Ruminococcus lactaris] 
gi|491803869|ref|WP_005609205.1|	Rrf2 family transcriptional regulator [Ruminococcus lactaris] 
gi|491803871|ref|WP_005609207.1|	cysteine desulfurase [Ruminococcus lactaris] 
gi|491803872|ref|WP_005609208.1|	FeS cluster assembly scaffold IscU [Ruminococcus lactaris] 
gi|491803873|ref|WP_005609209.1|	thiouridylase [Ruminococcus lactaris] 
gi|491803874|ref|WP_005609210.1|	histidinol phosphate phosphatase [Ruminococcus lactaris] 
gi|491803875|ref|WP_005609211.1|	glyceraldehyde-3-phosphate dehydrogenase [Ruminococcus lactaris] 
gi|491803876|ref|WP_005609212.1|	phosphoglycerate kinase [Ruminococcus lactaris] 
gi|491803877|ref|WP_005609213.1|	triosephosphate isomerase [Ruminococcus lactaris] 
gi|491803878|ref|WP_005609214.1|	S-adenosylhomocysteine nucleosidase [Ruminococcus lactaris] 
gi|491803880|ref|WP_005609216.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803882|ref|WP_005609218.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803883|ref|WP_005609219.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803886|ref|WP_005609222.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803888|ref|WP_005609224.1|	ribokinase [Ruminococcus lactaris] 
gi|491803890|ref|WP_005609226.1|	ribose operon repressor [Ruminococcus lactaris] 
gi|491803893|ref|WP_005609229.1|	phosphoglyceromutase [Ruminococcus lactaris] 
gi|491803895|ref|WP_005609231.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803897|ref|WP_005609233.1|	transcription elongation factor GreA [Ruminococcus lactaris] 
gi|491803898|ref|WP_005609234.1|	5'-nucleotidase [Ruminococcus lactaris] 
gi|491803900|ref|WP_005609236.1|	TrmB family transcriptional regulator [Ruminococcus lactaris] 
gi|491803902|ref|WP_005609238.1|	diaminopimelate decarboxylase [Ruminococcus lactaris] 
gi|491803904|ref|WP_005609240.1|	hydrolase [Ruminococcus lactaris] 
gi|491803906|ref|WP_005609242.1|	DNA polymerase I [Ruminococcus lactaris] 
gi|491803907|ref|WP_005609243.1|	dephospho-CoA kinase [Ruminococcus lactaris] 
gi|491803908|ref|WP_005609244.1|	ribonuclease Z [Ruminococcus lactaris] 
gi|491803909|ref|WP_005609245.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803910|ref|WP_005609246.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803911|ref|WP_005609247.1|	dihydroxyacetone kinase [Ruminococcus lactaris] 
gi|491803912|ref|WP_005609248.1|	hypothetical protein [Ruminococcus lactaris] 
gi|491803913|ref|WP_005609249.1|	S-adenosylmethionine tRNA ribosyltransferase [Ruminococcus lactaris] 
gi|491803914|ref|WP_005609250.1|	phenylalanyl-tRNA synthetase subunit beta [Ruminococcus lactaris] 
