gi|493773704|ref|WP_006722204.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775010|ref|WP_006723492.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775011|ref|WP_006723493.1|	DNA polymerase III subunit beta [Collinsella intestinalis] 
gi|493775012|ref|WP_006723494.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775013|ref|WP_006723495.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775014|ref|WP_006723496.1|	DNA-cytosine methyltransferase [Collinsella intestinalis] 
gi|493775015|ref|WP_006723497.1|	DNA gyrase subunit A [Collinsella intestinalis] 
gi|493775016|ref|WP_006723498.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775017|ref|WP_006723499.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775018|ref|WP_006723500.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775019|ref|WP_006723501.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775020|ref|WP_006723502.1|	UDP-phosphate galactose phosphotransferase [Collinsella intestinalis] 
gi|493775021|ref|WP_006723503.1|	glycosyl transferase [Collinsella intestinalis] 
gi|493775022|ref|WP_006723504.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775023|ref|WP_006723505.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775024|ref|WP_006723506.1|	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase [Collinsella intestinalis] 
gi|493775025|ref|WP_006723507.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775026|ref|WP_006723508.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775027|ref|WP_006723509.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775028|ref|WP_006723510.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775029|ref|WP_006723511.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775030|ref|WP_006723512.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775032|ref|WP_006723514.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775033|ref|WP_006723515.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775034|ref|WP_006723516.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775035|ref|WP_006723517.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775036|ref|WP_006723518.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775037|ref|WP_006723519.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775038|ref|WP_006723520.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775039|ref|WP_006723521.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775040|ref|WP_006723522.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775042|ref|WP_006723524.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775043|ref|WP_006723525.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775044|ref|WP_006723526.1|	GTP-binding protein TypA [Collinsella intestinalis] 
gi|493775045|ref|WP_006723527.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775046|ref|WP_006723528.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775047|ref|WP_006723529.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775048|ref|WP_006723530.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775049|ref|WP_006723531.1|	oxidoreductase [Collinsella intestinalis] 
gi|493775050|ref|WP_006723532.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775051|ref|WP_006723533.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775053|ref|WP_006723534.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775054|ref|WP_006723535.1|	transcriptional regulator [Collinsella intestinalis] 
gi|493775055|ref|WP_006723536.1|	histidine kinase [Collinsella intestinalis] 
gi|493775056|ref|WP_006723537.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Collinsella intestinalis] 
gi|493775057|ref|WP_006723538.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775058|ref|WP_006723539.1|	peptidase M29 [Collinsella intestinalis] 
gi|493775059|ref|WP_006723540.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775060|ref|WP_006723541.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775061|ref|WP_006723542.1|	carbamoyl-phosphate synthase small subunit [Collinsella intestinalis] 
gi|493775062|ref|WP_006723543.1|	carbamoyl phosphate synthase large subunit [Collinsella intestinalis] 
gi|493775063|ref|WP_006723544.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775064|ref|WP_006723545.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Collinsella intestinalis] 
gi|493775065|ref|WP_006723546.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775066|ref|WP_006723547.1|	molybdopterin biosynthesis protein [Collinsella intestinalis] 
gi|493775067|ref|WP_006723548.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775068|ref|WP_006723549.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775069|ref|WP_006723550.1|	beta-lactamase [Collinsella intestinalis] 
gi|493775070|ref|WP_006723551.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775071|ref|WP_006723552.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775072|ref|WP_006723553.1|	N-acetylmuramic acid-6-phosphate etherase [Collinsella intestinalis] 
gi|493775073|ref|WP_006723554.1|	PTS trehalose transporter subunit IIBC [Collinsella intestinalis] 
gi|493775074|ref|WP_006723555.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775075|ref|WP_006723556.1|	dihydropyrimidine dehydrogenase subunit A [Collinsella intestinalis] 
gi|493775076|ref|WP_006723557.1|	oxidoreductase [Collinsella intestinalis] 
gi|493775077|ref|WP_006723558.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775078|ref|WP_006723559.1|	peptidyl-tRNA hydrolase [Collinsella intestinalis] 
gi|493775079|ref|WP_006723560.1|	N-acetylglucosamine-1-phosphate uridyltransferase [Collinsella intestinalis] 
gi|493775080|ref|WP_006723561.1|	ribose-phosphate pyrophosphokinase [Collinsella intestinalis] 
gi|493775081|ref|WP_006723562.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775082|ref|WP_006723563.1|	ABC transporter [Collinsella intestinalis] 
gi|493775083|ref|WP_006723564.1|	membrane protein [Collinsella intestinalis] 
gi|493775084|ref|WP_006723565.1|	exodeoxyribonuclease III [Collinsella intestinalis] 
gi|493775085|ref|WP_006723566.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775086|ref|WP_006723567.1|	dihydropteroate synthase [Collinsella intestinalis] 
gi|493775087|ref|WP_006723568.1|	Baf family transcriptional regulator [Collinsella intestinalis] 
gi|493775088|ref|WP_006723569.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775089|ref|WP_006723570.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775090|ref|WP_006723571.1|	ABC transporter [Collinsella intestinalis] 
gi|493775091|ref|WP_006723572.1|	cytochrome C biogenesis protein CcmB [Collinsella intestinalis] 
gi|493775092|ref|WP_006723573.1|	cytochrome C assembly protein [Collinsella intestinalis] 
gi|493775093|ref|WP_006723574.1|	heme exporter protein CcmD [Collinsella intestinalis] 
gi|493775094|ref|WP_006723575.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775095|ref|WP_006723576.1|	ABC transporter [Collinsella intestinalis] 
gi|493775096|ref|WP_006723577.1|	ABC transporter [Collinsella intestinalis] 
gi|493775097|ref|WP_006723578.1|	MarR family transcripitonal regulator [Collinsella intestinalis] 
gi|493775098|ref|WP_006723579.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775099|ref|WP_006723580.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775100|ref|WP_006723581.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775101|ref|WP_006723582.1|	peptide chain release factor 1 [Collinsella intestinalis] 
gi|493775102|ref|WP_006723583.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775103|ref|WP_006723584.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775104|ref|WP_006723585.1|	XRE family transcriptional regulator [Collinsella intestinalis] 
gi|493775105|ref|WP_006723586.1|	aspartate aminotransferase [Collinsella intestinalis] 
gi|493775106|ref|WP_006723587.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775107|ref|WP_006723588.1|	glycerol kinase [Collinsella intestinalis] 
gi|493775108|ref|WP_006723589.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775109|ref|WP_006723590.1|	RpiR family transcriptional regulator [Collinsella intestinalis] 
gi|493775110|ref|WP_006723591.1|	uracil phosphoribosyltransferase [Collinsella intestinalis] 
gi|493775111|ref|WP_006723592.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775112|ref|WP_006723593.1|	ATP synthase F0 subunit A [Collinsella intestinalis] 
gi|493775113|ref|WP_006723594.1|	ATPase [Collinsella intestinalis] 
gi|493775114|ref|WP_006723595.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775115|ref|WP_006723596.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775116|ref|WP_006723597.1|	F0F1 ATP synthase subunit alpha [Collinsella intestinalis] 
gi|493775117|ref|WP_006723598.1|	F0F1 ATP synthase subunit gamma [Collinsella intestinalis] 
gi|493775118|ref|WP_006723599.1|	F0F1 ATP synthase subunit beta [Collinsella intestinalis] 
gi|493775119|ref|WP_006723600.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775120|ref|WP_006723601.1|	UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Collinsella intestinalis] 
gi|493775121|ref|WP_006723602.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775122|ref|WP_006723603.1|	peptidase [Collinsella intestinalis] 
gi|493775123|ref|WP_006723604.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775124|ref|WP_006723605.1|	DtxR family transcriptional regulator [Collinsella intestinalis] 
gi|493775125|ref|WP_006723606.1|	phosphoglucomutase [Collinsella intestinalis] 
gi|493775127|ref|WP_006723607.1|	dephospho-CoA kinase [Collinsella intestinalis] 
gi|493775128|ref|WP_006723608.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775129|ref|WP_006723609.1|	excinuclease ABC subunit B [Collinsella intestinalis] 
gi|493775130|ref|WP_006723610.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775131|ref|WP_006723611.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775132|ref|WP_006723612.1|	FAD-dependent oxidoreductase [Collinsella intestinalis] 
gi|493775133|ref|WP_006723613.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775134|ref|WP_006723614.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775135|ref|WP_006723615.1|	ATP-binding protein [Collinsella intestinalis] 
gi|493775136|ref|WP_006723616.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775137|ref|WP_006723617.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775138|ref|WP_006723618.1|	excinuclease ABC subunit A [Collinsella intestinalis] 
gi|493775139|ref|WP_006723619.1|	prolyl-tRNA synthetase [Collinsella intestinalis] 
gi|493775140|ref|WP_006723620.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775141|ref|WP_006723621.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775142|ref|WP_006723622.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775143|ref|WP_006723623.1|	peptidoglycan bridge formation protein FemAB [Collinsella intestinalis] 
gi|493775144|ref|WP_006723624.1|	excinuclease ABC subunit C [Collinsella intestinalis] 
gi|493775145|ref|WP_006723625.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775146|ref|WP_006723626.1|	ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493775147|ref|WP_006723627.1|	ABC transporter permease [Collinsella intestinalis] 
gi|493775148|ref|WP_006723628.1|	ABC transporter [Collinsella intestinalis] 
gi|493775149|ref|WP_006723629.1|	ABC transporter [Collinsella intestinalis] 
gi|493775150|ref|WP_006723630.1|	glucose dehydrogenase [Collinsella intestinalis] 
gi|493775151|ref|WP_006723631.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775152|ref|WP_006723632.1|	N-acetylmannosamine-6-phosphate 2-epimerase [Collinsella intestinalis] 
gi|493775153|ref|WP_006723633.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775154|ref|WP_006723634.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775155|ref|WP_006723635.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775156|ref|WP_006723636.1|	mannose-6-phosphate isomerase [Collinsella intestinalis] 
gi|493775157|ref|WP_006723637.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775158|ref|WP_006723638.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775159|ref|WP_006723639.1|	sporulation protein [Collinsella intestinalis] 
gi|493775160|ref|WP_006723640.1|	glyceraldehyde-3-phosphate dehydrogenase [Collinsella intestinalis] 
gi|493775161|ref|WP_006723641.1|	phosphoglycerate kinase [Collinsella intestinalis] 
gi|493775162|ref|WP_006723642.1|	triosephosphate isomerase [Collinsella intestinalis] 
gi|493775163|ref|WP_006723643.1|	phosphoglyceromutase [Collinsella intestinalis] 
gi|493775164|ref|WP_006723644.1|	preprotein translocase subunit SecG [Collinsella intestinalis] 
gi|493775165|ref|WP_006723645.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775166|ref|WP_006723646.1|	ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493775167|ref|WP_006723647.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775168|ref|WP_006723648.1|	ABC transporter permease [Collinsella intestinalis] 
gi|493775169|ref|WP_006723649.1|	peptide ABC transporter permease [Collinsella intestinalis] 
gi|493775170|ref|WP_006723650.1|	peptide ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775171|ref|WP_006723651.1|	peptide ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775172|ref|WP_006723652.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775173|ref|WP_006723653.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775174|ref|WP_006723654.1|	sulfate transporter [Collinsella intestinalis] 
gi|493775175|ref|WP_006723655.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775176|ref|WP_006723656.1|	ribonucleoside triphosphate reductase [Collinsella intestinalis] 
gi|493775177|ref|WP_006723657.1|	ribonucleoside-triphosphate reductase activating protein [Collinsella intestinalis] 
gi|493775178|ref|WP_006723658.1|	GTP cyclohydrolase I [Collinsella intestinalis] 
gi|493775179|ref|WP_006723659.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775180|ref|WP_006723660.1|	oxaloacetate decarboxylase [Collinsella intestinalis] 
gi|493775181|ref|WP_006723661.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775182|ref|WP_006723662.1|	glutaconyl-CoA decarboxylase subunit beta [Collinsella intestinalis] 
gi|493775183|ref|WP_006723663.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775184|ref|WP_006723664.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775186|ref|WP_006723665.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775187|ref|WP_006723666.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775188|ref|WP_006723667.1|	dihydroneopterin aldolase [Collinsella intestinalis] 
gi|493775189|ref|WP_006723668.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775190|ref|WP_006723669.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775191|ref|WP_006723670.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775192|ref|WP_006723671.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775194|ref|WP_006723672.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775195|ref|WP_006723673.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775196|ref|WP_006723674.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775197|ref|WP_006723675.1|	DNA-directed DNA polymerase [Collinsella intestinalis] 
gi|493775198|ref|WP_006723676.1|	thymidylate kinase [Collinsella intestinalis] 
gi|493775199|ref|WP_006723677.1|	DNA topoisomerase [Collinsella intestinalis] 
gi|493775200|ref|WP_006723678.1|	preprotein translocase subunit TatC [Collinsella intestinalis] 
gi|493775201|ref|WP_006723679.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775202|ref|WP_006723680.1|	anti-sigma factor antagonist [Collinsella intestinalis] 
gi|493775203|ref|WP_006723681.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775204|ref|WP_006723682.1|	aminotransferase [Collinsella intestinalis] 
gi|493775205|ref|WP_006723683.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775206|ref|WP_006723684.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775207|ref|WP_006723685.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775208|ref|WP_006723686.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775209|ref|WP_006723687.1|	heat shock protein 90 [Collinsella intestinalis] 
gi|493775210|ref|WP_006723688.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775211|ref|WP_006723689.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775212|ref|WP_006723690.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775213|ref|WP_006723691.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775214|ref|WP_006723692.1|	transketolase [Collinsella intestinalis] 
gi|493775215|ref|WP_006723693.1|	transketolase [Collinsella intestinalis] 
gi|493775216|ref|WP_006723694.1|	transaldolase [Collinsella intestinalis] 
gi|493775217|ref|WP_006723695.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775218|ref|WP_006723696.1|	ArsR family transcriptional regulator [Collinsella intestinalis] 
gi|493775219|ref|WP_006723697.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775220|ref|WP_006723698.1|	phosphate ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775221|ref|WP_006723699.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775222|ref|WP_006723700.1|	PhoB family transcriptional regulator [Collinsella intestinalis] 
gi|493775223|ref|WP_006723701.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775224|ref|WP_006723702.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775225|ref|WP_006723703.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775226|ref|WP_006723704.1|	dimethyladenosine transferase [Collinsella intestinalis] 
gi|493775227|ref|WP_006723705.1|	methionyl-tRNA synthetase [Collinsella intestinalis] 
gi|493775228|ref|WP_006723706.1|	uroporphyrin-III methyltransferase [Collinsella intestinalis] 
gi|493775230|ref|WP_006723707.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775231|ref|WP_006723708.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775232|ref|WP_006723709.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775233|ref|WP_006723710.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775234|ref|WP_006723711.1|	pilus biosynthesis protein TadE [Collinsella intestinalis] 
gi|493775235|ref|WP_006723712.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775236|ref|WP_006723713.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775237|ref|WP_006723714.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775238|ref|WP_006723715.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775239|ref|WP_006723716.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775240|ref|WP_006723717.1|	type II secretion system protein E [Collinsella intestinalis] 
gi|493775241|ref|WP_006723718.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775242|ref|WP_006723719.1|	pilus assembly protein CpaB [Collinsella intestinalis] 
gi|493775243|ref|WP_006723720.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775244|ref|WP_006723721.1|	ATPase [Collinsella intestinalis] 
gi|493775245|ref|WP_006723722.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775246|ref|WP_006723723.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775247|ref|WP_006723724.1|	pyruvate kinase [Collinsella intestinalis] 
gi|493775248|ref|WP_006723725.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775249|ref|WP_006723726.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775250|ref|WP_006723727.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775251|ref|WP_006723728.1|	tRNA synthetase subunit beta [Collinsella intestinalis] 
gi|493775252|ref|WP_006723729.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775253|ref|WP_006723730.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775254|ref|WP_006723731.1|	arginine ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775255|ref|WP_006723732.1|	amino acid ABC transporter permease [Collinsella intestinalis] 
gi|493775256|ref|WP_006723733.1|	amino acid ABC transporter permease [Collinsella intestinalis] 
gi|493775257|ref|WP_006723734.1|	ABC transporter substrate-binding protein [Collinsella intestinalis] 
gi|493775258|ref|WP_006723735.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775259|ref|WP_006723736.1|	multidrug MFS transporter [Collinsella intestinalis] 
gi|493775260|ref|WP_006723737.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775261|ref|WP_006723738.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775262|ref|WP_006723739.1|	macrolide ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775263|ref|WP_006723740.1|	ATPase AAA [Collinsella intestinalis] 
gi|493775264|ref|WP_006723741.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775265|ref|WP_006723742.1|	aspartate-semialdehyde dehydrogenase [Collinsella intestinalis] 
gi|493775266|ref|WP_006723743.1|	aspartate kinase [Collinsella intestinalis] 
gi|493775267|ref|WP_006723744.1|	threonine synthase [Collinsella intestinalis] 
gi|493775268|ref|WP_006723745.1|	homoserine kinase [Collinsella intestinalis] 
gi|493775269|ref|WP_006723746.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775270|ref|WP_006723747.1|	hypothetical protein partial [Collinsella intestinalis] 
gi|493775271|ref|WP_006723748.1|	pyruvate formate lyase-activating protein [Collinsella intestinalis] 
gi|493775272|ref|WP_006723749.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775273|ref|WP_006723750.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775274|ref|WP_006723751.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775275|ref|WP_006723752.1|	formate acetyltransferase [Collinsella intestinalis] 
gi|493775276|ref|WP_006723753.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775277|ref|WP_006723754.1|	purine nucleoside phosphorylase [Collinsella intestinalis] 
gi|493775278|ref|WP_006723755.1|	membrane protein [Collinsella intestinalis] 
gi|493775279|ref|WP_006723756.1|	heme ABC transporter ATP-binding protein [Collinsella intestinalis] 
gi|493775280|ref|WP_006723757.1|	ABC transporter permease [Collinsella intestinalis] 
gi|493775281|ref|WP_006723758.1|	branched-chain amino acid ABC transporter permease [Collinsella intestinalis] 
gi|493775282|ref|WP_006723759.1|	cytidine deaminase [Collinsella intestinalis] 
gi|493775283|ref|WP_006723760.1|	pyrimidine-nucleoside phosphorylase [Collinsella intestinalis] 
gi|493775284|ref|WP_006723761.1|	deoxyribose-phosphate aldolase [Collinsella intestinalis] 
gi|493775285|ref|WP_006723762.1|	phosphopentomutase [Collinsella intestinalis] 
gi|493775286|ref|WP_006723763.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775287|ref|WP_006723764.1|	ArsC family transcriptional regulator [Collinsella intestinalis] 
gi|493775288|ref|WP_006723765.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775289|ref|WP_006723766.1|	UDP-diphosphatase [Collinsella intestinalis] 
gi|493775290|ref|WP_006723767.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775292|ref|WP_006723768.1|	universal stress protein UspA [Collinsella intestinalis] 
gi|493775293|ref|WP_006723769.1|	LacI family transcriptional regulator [Collinsella intestinalis] 
gi|493775294|ref|WP_006723770.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775295|ref|WP_006723771.1|	XRE family transcriptional regulator [Collinsella intestinalis] 
gi|493775296|ref|WP_006723772.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775297|ref|WP_006723773.1|	purine biosynthesis protein purH [Collinsella intestinalis] 
gi|493775298|ref|WP_006723774.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775299|ref|WP_006723775.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775300|ref|WP_006723776.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775301|ref|WP_006723777.1|	glutamyl-Q tRNA(Asp) ligase [Collinsella intestinalis] 
gi|493775302|ref|WP_006723778.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775303|ref|WP_006723779.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775304|ref|WP_006723780.1|	ATPase AAA [Collinsella intestinalis] 
gi|493775305|ref|WP_006723781.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775306|ref|WP_006723782.1|	MerR family transcriptional regulator [Collinsella intestinalis] 
gi|493775307|ref|WP_006723783.1|	molecular chaperone DnaJ [Collinsella intestinalis] 
gi|493775308|ref|WP_006723784.1|	molecular chaperone GrpE [Collinsella intestinalis] 
gi|493775309|ref|WP_006723785.1|	molecular chaperone DnaK [Collinsella intestinalis] 
gi|493775310|ref|WP_006723786.1|	4Fe-4S ferredoxin [Collinsella intestinalis] 
gi|493775311|ref|WP_006723787.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775312|ref|WP_006723788.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775313|ref|WP_006723789.1|	DeoR family transcriptional regulator [Collinsella intestinalis] 
gi|493775314|ref|WP_006723790.1|	nicotinate-nucleotide pyrophosphorylase [Collinsella intestinalis] 
gi|493775315|ref|WP_006723791.1|	L-aspartate oxidase [Collinsella intestinalis] 
gi|493775316|ref|WP_006723792.1|	quinolinate synthetase [Collinsella intestinalis] 
gi|493775317|ref|WP_006723793.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775318|ref|WP_006723794.1|	thioredoxin [Collinsella intestinalis] 
gi|493775319|ref|WP_006723795.1|	peptidoglycan-binding protein [Collinsella intestinalis] 
gi|493775320|ref|WP_006723796.1|	phosphoglycolate phosphatase [Collinsella intestinalis] 
gi|493775321|ref|WP_006723797.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775322|ref|WP_006723798.1|	orotate phosphoribosyltransferase [Collinsella intestinalis] 
gi|493775323|ref|WP_006723799.1|	branched-chain amino acid aminotransferase [Collinsella intestinalis] 
gi|493775324|ref|WP_006723800.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775325|ref|WP_006723801.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775326|ref|WP_006723802.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775327|ref|WP_006723803.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Collinsella intestinalis] 
gi|493775328|ref|WP_006723804.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775329|ref|WP_006723805.1|	TetR family transcriptional regulator [Collinsella intestinalis] 
gi|493775330|ref|WP_006723806.1|	membrane protein [Collinsella intestinalis] 
gi|493775331|ref|WP_006723807.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775332|ref|WP_006723808.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775333|ref|WP_006723809.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775334|ref|WP_006723810.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775335|ref|WP_006723811.1|	hypothetical protein [Collinsella intestinalis] 
gi|493775336|ref|WP_006723812.1|	acyltransferase [Collinsella intestinalis] 
gi|493775337|ref|WP_006723813.1|	hypothetical protein [Collinsella intestinalis] 
