gi|490134337|ref|WP_004034698.1|	citramalate synthase [Methanobrevibacter smithii] 
gi|490135764|ref|WP_004036124.1|	glutamyl-tRNA amidotransferase subunit A [Methanobrevibacter smithii] 
gi|490135766|ref|WP_004036126.1|	cobyrinic acid a,c-diamide synthase [Methanobrevibacter smithii] 
gi|490132301|ref|WP_004032666.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132300|ref|WP_004032665.1|	3,4-dihydroxy-2-butanone 4-phosphate synthase [Methanobrevibacter smithii] 
gi|490135768|ref|WP_004036128.1|	riboflavin kinase [Methanobrevibacter smithii] 
gi|490135770|ref|WP_004036130.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135772|ref|WP_004036132.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135774|ref|WP_004036134.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135776|ref|WP_004036136.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135778|ref|WP_004036138.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135780|ref|WP_004036140.1|	succinate dehydrogenase [Methanobrevibacter smithii] 
gi|490135782|ref|WP_004036142.1|	N-ethylammeline chlorohydrolase [Methanobrevibacter smithii] 
gi|490132296|ref|WP_004032661.1|	MULTISPECIES: histone [Methanobrevibacter] 
gi|490132295|ref|WP_004032660.1|	ATP phosphoribosyltransferase [Methanobrevibacter smithii] 
gi|490135784|ref|WP_004036144.1|	flavodoxin [Methanobrevibacter smithii] 
gi|490135786|ref|WP_004036146.1|	aspartate carbamoyltransferase [Methanobrevibacter smithii] 
gi|490132292|ref|WP_004032657.1|	MULTISPECIES: cell division control protein Cdc6 [Methanobrevibacter] 
gi|490132291|ref|WP_004032656.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135788|ref|WP_004036148.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135790|ref|WP_004036150.1|	cobalamin biosynthesis protein CbiG [Methanobrevibacter smithii] 
gi|490132288|ref|WP_004032653.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135792|ref|WP_004036152.1|	Met repressor [Methanobrevibacter smithii] 
gi|490135794|ref|WP_004036154.1|	fructose-bisphosphate aldolase [Methanobrevibacter smithii] 
gi|490135796|ref|WP_004036156.1|	DNA polymerase II [Methanobrevibacter smithii] 
gi|490132283|ref|WP_004032649.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135798|ref|WP_004036158.1|	cobalt-precorrin-3B C(17)-methyltransferase [Methanobrevibacter smithii] 
gi|490132281|ref|WP_004032647.1|	MULTISPECIES: potassium channel protein [Methanobrevibacter] 
gi|490135800|ref|WP_004036160.1|	divalent cation transporter [Methanobrevibacter smithii] 
gi|490132279|ref|WP_004032645.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135803|ref|WP_004036163.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135805|ref|WP_004036165.1|	ATPase [Methanobrevibacter smithii] 
gi|490132276|ref|WP_004032642.1|	MULTISPECIES: AcaC [Methanobrevibacter] 
gi|490135808|ref|WP_004036168.1|	MULTISPECIES: sirohydrochlorin cobaltochelatase [Methanobrevibacter] 
gi|490132274|ref|WP_004032640.1|	MULTISPECIES: sirohydrochlorin cobaltochelatase [Methanobrevibacter] 
gi|490135810|ref|WP_004036170.1|	adhesin [Methanobrevibacter smithii] 
gi|490135820|ref|WP_004036180.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135829|ref|WP_004036189.1|	thiamine monophosphate kinase [Methanobrevibacter smithii] 
gi|490135831|ref|WP_004036191.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490135836|ref|WP_004036196.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135843|ref|WP_004036203.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135845|ref|WP_004036205.1|	MULTISPECIES: N5-carboxyaminoimidazole ribonucleotide mutase [Methanobrevibacter] 
gi|490135846|ref|WP_004036206.1|	polysaccharide synthesis protein GtrA [Methanobrevibacter smithii] 
gi|490135847|ref|WP_004036207.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135849|ref|WP_004036209.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135853|ref|WP_004036213.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135854|ref|WP_004036214.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135855|ref|WP_004036215.1|	NADH dehydrogenase [Methanobrevibacter smithii] 
gi|490135856|ref|WP_004036216.1|	dolichyl-phosphate mannoosyltransferase [Methanobrevibacter smithii] 
gi|490135858|ref|WP_004036218.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132253|ref|WP_004032619.1|	6,7-dimethyl-8-ribityllumazine synthase [Methanobrevibacter smithii] 
gi|490135862|ref|WP_004036222.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135864|ref|WP_004036224.1|	3-isopropylmalate dehydrogenase [Methanobrevibacter smithii] 
gi|490135866|ref|WP_004036226.1|	3-isopropylmalate dehydratase small subunit [Methanobrevibacter smithii] 
gi|490135868|ref|WP_004036228.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135869|ref|WP_004036229.1|	3-isopropylmalate dehydratase large subunit [Methanobrevibacter smithii] 
gi|490135870|ref|WP_004036230.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490135871|ref|WP_004036231.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135872|ref|WP_004036232.1|	UDP-N-acetyl-D-mannosamine dehydrogenase [Methanobrevibacter smithii] 
gi|490135873|ref|WP_004036233.1|	spore coat protein [Methanobrevibacter smithii] 
gi|490135874|ref|WP_004036234.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490135875|ref|WP_004036235.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490135877|ref|WP_004036237.1|	glucose-1-phosphate thymidylyltransferase [Methanobrevibacter smithii] 
gi|490135879|ref|WP_004036239.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [Methanobrevibacter smithii] 
gi|490135881|ref|WP_004036241.1|	spore coat protein [Methanobrevibacter smithii] 
gi|490135884|ref|WP_004036244.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135886|ref|WP_004036246.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135889|ref|WP_004036249.1|	glycosyl transferase family 2 [Methanobrevibacter smithii] 
gi|490135891|ref|WP_004036251.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135893|ref|WP_004036253.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135895|ref|WP_004036255.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135897|ref|WP_004036257.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135898|ref|WP_004036258.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490132230|ref|WP_004032596.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132229|ref|WP_004032595.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132228|ref|WP_004032594.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135899|ref|WP_004036259.1|	glycosyl transferase family 2 [Methanobrevibacter smithii] 
gi|490135901|ref|WP_004036261.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135903|ref|WP_004036263.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135905|ref|WP_004036265.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490132223|ref|WP_004032589.1|	MULTISPECIES: ABC transporter [Methanobrevibacter] 
gi|490135907|ref|WP_004036267.1|	phosphate ABC transporter ATPase [Methanobrevibacter smithii] 
gi|490132221|ref|WP_004032587.1|	MULTISPECIES: CDP-glycerol:glycerophosphate glycerophosphotransferase [Methanobrevibacter] 
gi|490135909|ref|WP_004036269.1|	glycosyl transferase [Methanobrevibacter smithii] 
gi|490135911|ref|WP_004036271.1|	glycosyl transferase family 2 [Methanobrevibacter smithii] 
gi|490135913|ref|WP_004036273.1|	glycosyl transferase family 2 [Methanobrevibacter smithii] 
gi|490135915|ref|WP_004036275.1|	UDP-phosphate glucose phosphotransferase [Methanobrevibacter smithii] 
gi|490135917|ref|WP_004036277.1|	replication protein A [Methanobrevibacter smithii] 
gi|490135919|ref|WP_004036279.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132212|ref|WP_004032578.1|	MULTISPECIES: permease [Methanobrevibacter] 
gi|490132210|ref|WP_004032576.1|	MULTISPECIES: disulfide reductase [Methanobrevibacter] 
gi|490135922|ref|WP_004036282.1|	serine hydroxymethyltransferase [Methanobrevibacter smithii] 
gi|490132208|ref|WP_004032574.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132207|ref|WP_004032573.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132206|ref|WP_004032572.1|	MULTISPECIES: S-adenosylmethionine synthetase [Methanobrevibacter] 
gi|490135925|ref|WP_004036285.1|	isoleucyl-tRNA synthetase [Methanobrevibacter smithii] 
gi|490135927|ref|WP_004036287.1|	phosphoribosylformylglycinamidine synthase [Methanobrevibacter smithii] 
gi|490132203|ref|WP_004032569.1|	MULTISPECIES: molybdenum cofactor biosynthesis protein MoeA [Methanobrevibacter] 
gi|490135929|ref|WP_004036289.1|	MULTISPECIES: peptidase [Methanobrevibacter] 
gi|490135931|ref|WP_004036291.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135932|ref|WP_004036292.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135934|ref|WP_004036294.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132199|ref|WP_004032565.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132198|ref|WP_004032564.1|	MULTISPECIES: lactamase [Methanobrevibacter] 
gi|490132197|ref|WP_004032563.1|	MULTISPECIES: ArsR family transcriptional regulator [Methanobrevibacter] 
gi|490135936|ref|WP_004036296.1|	potassium transporter TrkA [Methanobrevibacter smithii] 
gi|490135943|ref|WP_004036303.1|	ATP-dependent helicase [Methanobrevibacter smithii] 
gi|490135945|ref|WP_004036305.1|	topoisomerase IV [Methanobrevibacter smithii] 
gi|490132193|ref|WP_004032559.1|	MULTISPECIES: DNA-directed RNA polymerase subunit M [Methanobrevibacter] 
gi|490135947|ref|WP_004036307.1|	DNA damage repair protein MutT [Methanobrevibacter smithii] 
gi|490135949|ref|WP_004036309.1|	DNA-directed RNA polymerase subunit L [Methanobrevibacter smithii] 
gi|490132190|ref|WP_004032556.1|	MULTISPECIES: RNA-binding protein [Methanobrevibacter] 
gi|490132189|ref|WP_004032555.1|	diphthamide synthase subunit [Methanobrevibacter smithii] 
gi|490132188|ref|WP_004032554.1|	MULTISPECIES: adenine phosphoribosyltransferase [Methanobrevibacter] 
gi|490132187|ref|WP_004032553.1|	MULTISPECIES: signal recognition particle [Methanobrevibacter] 
gi|490135950|ref|WP_004036310.1|	pseudouridylate synthase [Methanobrevibacter smithii] 
gi|490135951|ref|WP_004036311.1|	molybdenum cofactor biosynthesis protein MoaC [Methanobrevibacter smithii] 
gi|490132184|ref|WP_004032550.1|	MULTISPECIES: preprotein translocase subunit SecG [Methanobrevibacter] 
gi|490132183|ref|WP_004032549.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Methanobrevibacter] 
gi|490135952|ref|WP_004036312.1|	3-methyladenine DNA glycosylase [Methanobrevibacter smithii] 
gi|490132181|ref|WP_004032547.1|	S-D-lactoylglutathione methylglyoxal lyase [Methanobrevibacter smithii] 
gi|490132179|ref|WP_004032545.1|	MULTISPECIES: peptidylprolyl isomerase [Methanobrevibacter] 
gi|490135953|ref|WP_004036313.1|	acetylornithine aminotransferase [Methanobrevibacter smithii] 
gi|490135959|ref|WP_004036319.1|	MULTISPECIES: DNA mismatch repair protein MutT [Methanobrevibacter] 
gi|490135966|ref|WP_004036326.1|	membrane protein [Methanobrevibacter smithii] 
gi|490135968|ref|WP_004036328.1|	diaminopimelate decarboxylase [Methanobrevibacter smithii] 
gi|490135970|ref|WP_004036330.1|	diaminopimelate epimerase [Methanobrevibacter smithii] 
gi|490132169|ref|WP_004032535.1|	methyltransferase [Methanobrevibacter smithii] 
gi|490135972|ref|WP_004036332.1|	16S rRNA methyltransferase [Methanobrevibacter smithii] 
gi|490132167|ref|WP_004032533.1|	DNA-binding protein [Methanobrevibacter smithii] 
gi|490132166|ref|WP_004032532.1|	MULTISPECIES: RNA polymerase Rpb4 family protein [Methanobrevibacter] 
gi|490132165|ref|WP_004032531.1|	50S ribosomal protein L21 [Methanobrevibacter smithii] 
gi|490132162|ref|WP_004032528.1|	ABC transporter permease [Methanobrevibacter smithii] 
gi|490132161|ref|WP_004032527.1|	NADP-dependent alcohol dehydrogenase [Methanobrevibacter smithii] 
gi|490135975|ref|WP_004036335.1|	membrane protein [Methanobrevibacter smithii] 
gi|490135978|ref|WP_004036338.1|	ribonucleoside triphosphate reductase [Methanobrevibacter smithii] 
gi|490135980|ref|WP_004036340.1|	DNA polymerase II [Methanobrevibacter smithii] 
gi|490132156|ref|WP_004032522.1|	MULTISPECIES: acyltransferase [Methanobrevibacter] 
gi|490135982|ref|WP_004036342.1|	cytidine deaminase [Methanobrevibacter smithii] 
gi|490132153|ref|WP_004032519.1|	MULTISPECIES: lysyl-tRNA synthetase [Methanobrevibacter] 
gi|490135984|ref|WP_004036344.1|	phosphomethylpyrimidine synthase [Methanobrevibacter smithii] 
gi|490132151|ref|WP_004032517.1|	sugar kinase [Methanobrevibacter smithii] 
gi|490132149|ref|WP_004032515.1|	LysR family transcriptional regulator [Methanobrevibacter smithii] 
gi|490135987|ref|WP_004036347.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490135989|ref|WP_004036349.1|	formate dehydrogenase accessory protein FdhD [Methanobrevibacter smithii] 
gi|490135991|ref|WP_004036351.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135993|ref|WP_004036353.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132142|ref|WP_004032508.1|	formylmethanofuran dehydrogenase subunit E [Methanobrevibacter smithii] 
gi|490135995|ref|WP_004036355.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490135998|ref|WP_004036358.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132139|ref|WP_004032505.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136000|ref|WP_004036360.1|	MULTISPECIES: formate transporter [Methanobrevibacter] 
gi|490132136|ref|WP_004032502.1|	formate dehydrogenase subunit alpha [Methanobrevibacter smithii] 
gi|490132135|ref|WP_004032501.1|	MULTISPECIES: formate dehydrogenase subunit beta [Methanobrevibacter] 
gi|490132134|ref|WP_004032500.1|	MULTISPECIES: molybdenum cofactor biosynthesis protein MoeA [Methanobrevibacter] 
gi|490136003|ref|WP_004036363.1|	molybdopterin-guanine dinucleotide biosynthesis protein MobB [Methanobrevibacter smithii] 
gi|490136005|ref|WP_004036365.1|	MULTISPECIES: tRNA CCA-pyrophosphorylase [Methanobrevibacter] 
gi|490132131|ref|WP_004032497.1|	MULTISPECIES: ferredoxin [Methanobrevibacter] 
gi|490132130|ref|WP_004032496.1|	MULTISPECIES: ferredoxin [Methanobrevibacter] 
gi|490132129|ref|WP_004032495.1|	MULTISPECIES: formylmethanofuran dehydrogenase [Methanobrevibacter] 
gi|490132128|ref|WP_004032494.1|	MULTISPECIES: tungsten-containing formylmethanofuran dehydrogenase 2 subunit B [Methanobrevibacter] 
gi|490136008|ref|WP_004036368.1|	MULTISPECIES: protein fwdA [Methanobrevibacter] 
gi|490132125|ref|WP_004032492.1|	formylmethanofuran dehydrogenase subunit C [Methanobrevibacter smithii] 
gi|490136010|ref|WP_004036370.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132123|ref|WP_004032490.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132122|ref|WP_004032489.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490132121|ref|WP_004032488.1|	glutamine synthetase [Methanobrevibacter smithii] 
gi|490136011|ref|WP_004036371.1|	molybdopterin biosynthesis protein MoeB [Methanobrevibacter smithii] 
gi|490136012|ref|WP_004036372.1|	aldo/keto reductase [Methanobrevibacter smithii] 
gi|490132118|ref|WP_004032485.1|	MULTISPECIES: S-adenosyl-L-homocysteine hydrolase [Methanobrevibacter] 
gi|490132117|ref|WP_004032484.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490136013|ref|WP_004036373.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136014|ref|WP_004036374.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136015|ref|WP_004036375.1|	UbiC transcription regulator-associated [Methanobrevibacter smithii] 
gi|490132114|ref|WP_004032481.1|	3-isopropylmalate dehydratase large subunit [Methanobrevibacter smithii] 
gi|490132113|ref|WP_004032480.1|	homocitrate synthase [Methanobrevibacter smithii] 
gi|490136021|ref|WP_004036381.1|	MULTISPECIES: adenylate cyclase [Methanobrevibacter] 
gi|490132111|ref|WP_004032478.1|	MULTISPECIES: transcription factor [Methanobrevibacter] 
gi|490136023|ref|WP_004036383.1|	MULTISPECIES: haloacid dehalogenase [Methanobrevibacter] 
gi|490132109|ref|WP_004032476.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132108|ref|WP_004032475.1|	MULTISPECIES: DNA topoisomerase I [Methanobrevibacter] 
gi|490136025|ref|WP_004036385.1|	peptide transporter [Methanobrevibacter smithii] 
gi|490132106|ref|WP_004032473.1|	developmentally-regulated GTP-binding protein 1 [Methanobrevibacter smithii] 
gi|490136027|ref|WP_004036387.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490136029|ref|WP_004036389.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136031|ref|WP_004036391.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132101|ref|WP_004032468.1|	ribonuclease P [Methanobrevibacter smithii] 
gi|490132100|ref|WP_004032467.1|	CRS1 / YhbY domain protein [Methanobrevibacter smithii] 
gi|490132099|ref|WP_004032466.1|	MULTISPECIES: 30S ribosomal protein S19 [Methanobrevibacter] 
gi|490132098|ref|WP_004032465.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132097|ref|WP_004032464.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132096|ref|WP_004032463.1|	MULTISPECIES: 50S ribosomal protein L39 [Methanobrevibacter] 
gi|490132095|ref|WP_004032462.1|	MULTISPECIES: 50S ribosomal protein L31 [Methanobrevibacter] 
gi|490132094|ref|WP_004032461.1|	MULTISPECIES: translation initiation factor 6 [Methanobrevibacter] 
gi|490132093|ref|WP_004032460.1|	MULTISPECIES: 50S ribosomal protein L18Ae [Methanobrevibacter] 
gi|490132092|ref|WP_004032459.1|	MULTISPECIES: prefoldin subunit alpha [Methanobrevibacter] 
gi|490136033|ref|WP_004036393.1|	cell division protein FtsY [Methanobrevibacter smithii] 
gi|490136034|ref|WP_004036394.1|	metallophosphatase [Methanobrevibacter smithii] 
gi|490136035|ref|WP_004036395.1|	sodium:calcium symporter [Methanobrevibacter smithii] 
gi|490136036|ref|WP_004036396.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136037|ref|WP_004036397.1|	Fe-S osidoreductase [Methanobrevibacter smithii] 
gi|490136039|ref|WP_004036399.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136041|ref|WP_004036401.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136043|ref|WP_004036403.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136045|ref|WP_004036405.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136053|ref|WP_004036413.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136062|ref|WP_004036422.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136063|ref|WP_004036423.1|	transposase [Methanobrevibacter smithii] 
gi|490136072|ref|WP_004036432.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136074|ref|WP_004036434.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132081|ref|WP_004032448.1|	DNA mismatch repair protein MutT [Methanobrevibacter smithii] 
gi|490136076|ref|WP_004036436.1|	helicase [Methanobrevibacter smithii] 
gi|490136078|ref|WP_004036438.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136080|ref|WP_004036440.1|	4-oxalocrotonate tautomerase [Methanobrevibacter smithii] 
gi|490136082|ref|WP_004036442.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Methanobrevibacter smithii] 
gi|490136088|ref|WP_004036448.1|	acetolactate synthase [Methanobrevibacter smithii] 
gi|490136095|ref|WP_004036455.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136097|ref|WP_004036457.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132073|ref|WP_004032440.1|	sporulation protein YtfJ [Methanobrevibacter smithii] 
gi|490136100|ref|WP_004036460.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132071|ref|WP_004032438.1|	MULTISPECIES: aminotransferase [Methanobrevibacter] 
gi|490132070|ref|WP_004032437.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490136102|ref|WP_004036462.1|	membrane protein [Methanobrevibacter smithii] 
gi|490132066|ref|WP_004032434.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490136104|ref|WP_004036464.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136106|ref|WP_004036466.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490132062|ref|WP_004032431.1|	transcriptional regulator [Methanobrevibacter smithii] 
gi|490132061|ref|WP_004032430.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490136107|ref|WP_004036467.1|	archease [Methanobrevibacter smithii] 
gi|490132059|ref|WP_004032428.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490136109|ref|WP_004036469.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136111|ref|WP_004036471.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136113|ref|WP_004036473.1|	5'-methylthioadenosine phosphorylase [Methanobrevibacter smithii] 
gi|490136114|ref|WP_004036474.1|	FMN reductase [Methanobrevibacter smithii] 
gi|490136116|ref|WP_004036476.1|	dinitrogenase iron-molybdenum cofactor biosynthesis protein [Methanobrevibacter smithii] 
gi|490132051|ref|WP_004032420.1|	MULTISPECIES: 30S ribosomal protein S3 [Methanobrevibacter] 
gi|490136118|ref|WP_004036478.1|	membrane protein [Methanobrevibacter smithii] 
gi|490136120|ref|WP_004036480.1|	MULTISPECIES: membrane protein [Methanobrevibacter] 
gi|490136122|ref|WP_004036482.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490136124|ref|WP_004036484.1|	phosphoglycerate mutase [Methanobrevibacter smithii] 
gi|490132046|ref|WP_004032415.1|	phosphoglucosamine mutase [Methanobrevibacter smithii] 
gi|490132045|ref|WP_004032414.1|	MULTISPECIES: glucose-1-phosphate thymidylyltransferase [Methanobrevibacter] 
gi|490132044|ref|WP_004032413.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490136127|ref|WP_004036487.1|	histidinol-phosphate aminotransferase [Methanobrevibacter smithii] 
gi|490136129|ref|WP_004036489.1|	radical SAM protein [Methanobrevibacter smithii] 
gi|490136137|ref|WP_004036497.1|	MULTISPECIES: peptide transporter [Methanobrevibacter] 
gi|490136139|ref|WP_004036499.1|	TetR family transcriptional regulator [Methanobrevibacter smithii] 
gi|490136141|ref|WP_004036501.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132037|ref|WP_004032407.1|	phosphoglucomutase/phosphomannomutase family protein [Methanobrevibacter smithii] 
gi|490136143|ref|WP_004036503.1|	RNA-binding protein [Methanobrevibacter smithii] 
gi|490136145|ref|WP_004036505.1|	membrane protein [Methanobrevibacter smithii] 
gi|490136147|ref|WP_004036507.1|	DNA ligase [Methanobrevibacter smithii] 
gi|490136149|ref|WP_004036509.1|	phosphomethylpyrimidine synthase [Methanobrevibacter smithii] 
gi|490136150|ref|WP_004036510.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136151|ref|WP_004036511.1|	ATPase AAA [Methanobrevibacter smithii] 
gi|490136152|ref|WP_004036512.1|	prephenate dehydrogenase [Methanobrevibacter smithii] 
gi|490136153|ref|WP_004036513.1|	mRNA surveillance protein Pelota [Methanobrevibacter smithii] 
gi|490132021|ref|WP_004032391.1|	conserved hypothetical membrane-spanning protein [Methanobrevibacter smithii] 
gi|490136156|ref|WP_004036516.1|	MULTISPECIES: UDP-glucuronosyltransferase [Methanobrevibacter] 
gi|490136158|ref|WP_004036518.1|	pyridine nucleotide-disulfide oxidoreductase [Methanobrevibacter smithii] 
gi|490132018|ref|WP_004032388.1|	MULTISPECIES: hydrogenase [Methanobrevibacter] 
gi|490136161|ref|WP_004036521.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132016|ref|WP_004032386.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490136162|ref|WP_004036522.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132014|ref|WP_004032384.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490132013|ref|WP_004032383.1|	MULTISPECIES: transcription factor [Methanobrevibacter] 
gi|490136164|ref|WP_004036524.1|	gamma-glutamyl ligase [Methanobrevibacter smithii] 
gi|490132011|ref|WP_004032381.1|	hypothetical protein [Methanobrevibacter smithii] 
gi|490132010|ref|WP_004032380.1|	MULTISPECIES: methyltransferase [Methanobrevibacter] 
gi|490136166|ref|WP_004036526.1|	cell division protein FtsZ [Methanobrevibacter smithii] 
gi|490132008|ref|WP_004032378.1|	MULTISPECIES: preprotein translocase subunit SecE [Methanobrevibacter] 
gi|490132007|ref|WP_004032377.1|	MULTISPECIES: transcription antitermination protein NusG [Methanobrevibacter] 
gi|490132006|ref|WP_004032376.1|	MULTISPECIES: 50S ribosomal protein L11 [Methanobrevibacter] 
gi|490132005|ref|WP_004032375.1|	50S ribosomal protein L1 [Methanobrevibacter smithii] 
gi|490136169|ref|WP_004036529.1|	50S ribosomal protein L10 [Methanobrevibacter smithii] 
gi|490132003|ref|WP_004032373.1|	MULTISPECIES: 50S ribosomal protein L7/L12 [Methanobrevibacter] 
gi|490132002|ref|WP_004032372.1|	alanyl-tRNA synthetase [Methanobrevibacter smithii] 
gi|490132000|ref|WP_004032371.1|	MULTISPECIES: potassium transporter CPA [Methanobrevibacter] 
gi|490136172|ref|WP_004036532.1|	tRNA sulfurtransferase [Methanobrevibacter smithii] 
gi|490136174|ref|WP_004036534.1|	hypothetical protein partial [Methanobrevibacter smithii] 
gi|490136176|ref|WP_004036536.1|	fructose-1 6-bisphosphatase [Methanobrevibacter smithii] 
gi|490131996|ref|WP_004032367.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
gi|490136178|ref|WP_004036538.1|	phosphatidylglycerophosphate synthase [Methanobrevibacter smithii] 
gi|490136180|ref|WP_004036540.1|	MULTISPECIES: translation factor Sua5 [Methanobrevibacter] 
gi|490136182|ref|WP_004036542.1|	MULTISPECIES: DNA repair protein RadB [Methanobrevibacter] 
gi|490136188|ref|WP_004036548.1|	MULTISPECIES: aspartate aminotransferase [Methanobrevibacter] 
gi|490136189|ref|WP_004036549.1|	ferredoxin [Methanobrevibacter smithii] 
gi|490131990|ref|WP_004032361.1|	MULTISPECIES: metal-binding protein [Methanobrevibacter] 
gi|490136191|ref|WP_004036551.1|	ATPase [Methanobrevibacter smithii] 
gi|490131988|ref|WP_004032359.1|	MULTISPECIES: hypothetical protein [Methanobrevibacter] 
