gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680384|ref|WP_005920655.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680386|ref|WP_005920656.1|	glucokinase [Faecalibacterium prausnitzii] 
gi|492680390|ref|WP_005920659.1|	N-acetylmannosamine-6-phosphate 2-epimerase [Faecalibacterium prausnitzii] 
gi|492680392|ref|WP_005920660.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680394|ref|WP_005920661.1|	N-acetylneuraminate lyase [Faecalibacterium prausnitzii] 
gi|492680397|ref|WP_005920663.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492680399|ref|WP_005920664.1|	acetylneuraminate ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492680401|ref|WP_005920665.1|	ABC transporter substrate-binding protein [Faecalibacterium prausnitzii] 
gi|492680404|ref|WP_005920667.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680406|ref|WP_005920668.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680408|ref|WP_005920669.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680410|ref|WP_005920670.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492680412|ref|WP_005920671.1|	coproporphyrinogen III oxidase [Faecalibacterium prausnitzii] 
gi|492680414|ref|WP_005920672.1|	resolvase [Faecalibacterium prausnitzii] 
gi|492680416|ref|WP_005920673.1|	toxin RelE [Faecalibacterium prausnitzii] 
gi|492680418|ref|WP_005920674.1|	prevent-host-death protein [Faecalibacterium prausnitzii] 
gi|492680420|ref|WP_005920675.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680422|ref|WP_005920676.1|	toxin RelE [Faecalibacterium prausnitzii] 
gi|492680426|ref|WP_005920677.1|	plasmid stabilization protein [Faecalibacterium prausnitzii] 
gi|492680428|ref|WP_005920678.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680430|ref|WP_005920679.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680432|ref|WP_005920680.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680444|ref|WP_005920684.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680448|ref|WP_005920686.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680451|ref|WP_005920688.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680454|ref|WP_005920690.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680457|ref|WP_005920692.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680460|ref|WP_005920694.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680462|ref|WP_005920695.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680465|ref|WP_005920697.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680468|ref|WP_005920699.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680471|ref|WP_005920701.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680473|ref|WP_005920702.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680476|ref|WP_005920704.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680479|ref|WP_005920706.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680482|ref|WP_005920708.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680485|ref|WP_005920710.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680488|ref|WP_005920712.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680492|ref|WP_005920714.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492680498|ref|WP_005920717.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680501|ref|WP_005920719.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680504|ref|WP_005920721.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680508|ref|WP_005920723.1|	multidrug MFS transporter [Faecalibacterium prausnitzii] 
gi|492680511|ref|WP_005920725.1|	dihydroxy-acid dehydratase [Faecalibacterium prausnitzii] 
gi|492680515|ref|WP_005920728.1|	ketol-acid reductoisomerase [Faecalibacterium prausnitzii] 
gi|492680519|ref|WP_005920730.1|	acetolactate synthase [Faecalibacterium prausnitzii] 
gi|492680522|ref|WP_005920732.1|	acetolactate synthase [Faecalibacterium prausnitzii] 
gi|492680526|ref|WP_005920735.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680529|ref|WP_005920737.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680532|ref|WP_005920739.1|	endoribonuclease L-PSP [Faecalibacterium prausnitzii] 
gi|492680535|ref|WP_005920741.1|	threonine dehydratase [Faecalibacterium prausnitzii] 
gi|492680539|ref|WP_005920743.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680542|ref|WP_005920745.1|	LemA [Faecalibacterium prausnitzii] 
gi|492680545|ref|WP_005920747.1|	tellurium resistance protein [Faecalibacterium prausnitzii] 
gi|492680549|ref|WP_005920749.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680552|ref|WP_005920751.1|	DNA glycosylase [Faecalibacterium prausnitzii] 
gi|492680555|ref|WP_005920753.1|	hydrolase [Faecalibacterium prausnitzii] 
gi|492680559|ref|WP_005920755.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680563|ref|WP_005920758.1|	thiamine biosynthesis protein ThiF [Faecalibacterium prausnitzii] 
gi|492680565|ref|WP_005920759.1|	thiouridylase [Faecalibacterium prausnitzii] 
gi|492680568|ref|WP_005920761.1|	tRNA nucleotidyltransferase [Faecalibacterium prausnitzii] 
gi|492680571|ref|WP_005920762.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680575|ref|WP_005920765.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680577|ref|WP_005920766.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680580|ref|WP_005920768.1|	aspartate carbamoyltransferase [Faecalibacterium prausnitzii] 
gi|492680583|ref|WP_005920770.1|	adenylosuccinate synthase [Faecalibacterium prausnitzii] 
gi|492680586|ref|WP_005920772.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680589|ref|WP_005920773.1|	LysR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680593|ref|WP_005920775.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492680597|ref|WP_005920777.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680600|ref|WP_005920779.1|	dinitrogenase iron-molybdenum cofactor biosynthesis protein [Faecalibacterium prausnitzii] 
gi|492680603|ref|WP_005920781.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680607|ref|WP_005920783.1|	aldose 1-epimerase [Faecalibacterium prausnitzii] 
gi|492680610|ref|WP_005920785.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680613|ref|WP_005920786.1|	altronate hydrolase [Faecalibacterium prausnitzii] 
gi|492680616|ref|WP_005920788.1|	mannitol dehydrogenase [Faecalibacterium prausnitzii] 
gi|492680620|ref|WP_005920790.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680623|ref|WP_005920792.1|	glucuronate isomerase [Faecalibacterium prausnitzii] 
gi|492680627|ref|WP_005920794.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492680630|ref|WP_005920796.1|	glutaminyl-tRNA synthetase [Faecalibacterium prausnitzii] 
gi|492680632|ref|WP_005920797.1|	FMN-binding protein [Faecalibacterium prausnitzii] 
gi|492680635|ref|WP_005920799.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680638|ref|WP_005920801.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680641|ref|WP_005920803.1|	histidine phosphotransferase [Faecalibacterium prausnitzii] 
gi|492680643|ref|WP_005920804.1|	methionine synthase [Faecalibacterium prausnitzii] 
gi|492680646|ref|WP_005920806.1|	homocysteine methyltransferase [Faecalibacterium prausnitzii] 
gi|492680649|ref|WP_005920808.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680652|ref|WP_005920810.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680655|ref|WP_005920812.1|	CRISPR-associated protein Cse3 [Faecalibacterium prausnitzii] 
gi|492680658|ref|WP_005920814.1|	CRISPR-associated protein Cas5 [Faecalibacterium prausnitzii] 
gi|492680661|ref|WP_005920816.1|	CRISPR-associated protein CasC [Faecalibacterium prausnitzii] 
gi|492680664|ref|WP_005920818.1|	CRISPR-associated protein Cse2 [Faecalibacterium prausnitzii] 
gi|492680667|ref|WP_005920820.1|	CRISPR-associated protein Cse1 [Faecalibacterium prausnitzii] 
gi|492680670|ref|WP_005920822.1|	CRISPR-associated protein Cas3 [Faecalibacterium prausnitzii] 
gi|492680672|ref|WP_005920824.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680675|ref|WP_005920826.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492680679|ref|WP_005920828.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680682|ref|WP_005920830.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680683|ref|WP_005920831.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680686|ref|WP_005920833.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680689|ref|WP_005920835.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680693|ref|WP_005920837.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680696|ref|WP_005920839.1|	translation initiation factor 2 [Faecalibacterium prausnitzii] 
gi|492680699|ref|WP_005920841.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680702|ref|WP_005920843.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680705|ref|WP_005920845.1|	cell division protein MukB [Faecalibacterium prausnitzii] 
gi|492680708|ref|WP_005920847.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680712|ref|WP_005920849.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680715|ref|WP_005920851.1|	membrane protein [Faecalibacterium prausnitzii] 
gi|492680719|ref|WP_005920853.1|	6-phospho-beta-glucosidase [Faecalibacterium prausnitzii] 
gi|492680721|ref|WP_005920854.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680724|ref|WP_005920856.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680728|ref|WP_005920859.1|	SacPA operon antiterminator [Faecalibacterium prausnitzii] 
gi|492680730|ref|WP_005920860.1|	transposase [Faecalibacterium prausnitzii] 
gi|492680733|ref|WP_005920862.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680735|ref|WP_005920863.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680738|ref|WP_005920865.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680741|ref|WP_005920867.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680744|ref|WP_005920869.1|	transposase [Faecalibacterium prausnitzii] 
gi|492680746|ref|WP_005920870.1|	beta-glucosidase [Faecalibacterium prausnitzii] 
gi|492680749|ref|WP_005920872.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680752|ref|WP_005920874.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680755|ref|WP_005920876.1|	PTS lactose transporter subunit IIB [Faecalibacterium prausnitzii] 
gi|492680757|ref|WP_005920877.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680760|ref|WP_005920879.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680763|ref|WP_005920881.1|	MarR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680766|ref|WP_005920883.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680769|ref|WP_005920885.1|	sodium transporter [Faecalibacterium prausnitzii] 
gi|492680771|ref|WP_005920886.1|	transposase [Faecalibacterium prausnitzii] 
gi|492680774|ref|WP_005920888.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680777|ref|WP_005920890.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680779|ref|WP_005920891.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680782|ref|WP_005920892.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680784|ref|WP_005920893.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680786|ref|WP_005920894.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680788|ref|WP_005920895.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680790|ref|WP_005920896.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680792|ref|WP_005920897.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680794|ref|WP_005920898.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680796|ref|WP_005920899.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680798|ref|WP_005920900.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680800|ref|WP_005920901.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680802|ref|WP_005920902.1|	abortive infection protein [Faecalibacterium prausnitzii] 
gi|492680804|ref|WP_005920903.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680806|ref|WP_005920904.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680811|ref|WP_005920908.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680813|ref|WP_005920910.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680815|ref|WP_005920912.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680816|ref|WP_005920913.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492680818|ref|WP_005920915.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680820|ref|WP_005920917.1|	resolvase [Faecalibacterium prausnitzii] 
gi|492680822|ref|WP_005920919.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680823|ref|WP_005920920.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680824|ref|WP_005920921.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680825|ref|WP_005920922.1|	endonuclease [Faecalibacterium prausnitzii] 
gi|492680827|ref|WP_005920924.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680829|ref|WP_005920926.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680831|ref|WP_005920928.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680833|ref|WP_005920930.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680836|ref|WP_005920933.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680839|ref|WP_005920936.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680842|ref|WP_005920939.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680844|ref|WP_005920941.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680846|ref|WP_005920943.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680849|ref|WP_005920946.1|	pyruvate phosphate dikinase [Faecalibacterium prausnitzii] 
gi|492680852|ref|WP_005920949.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680857|ref|WP_005920954.1|	UDP-N-acetylglucosamine diphosphorylase [Faecalibacterium prausnitzii] 
gi|492680861|ref|WP_005920958.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680865|ref|WP_005920962.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680867|ref|WP_005920964.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680871|ref|WP_005920968.1|	foldase PrsA 1 [Faecalibacterium prausnitzii] 
gi|492680874|ref|WP_005920971.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680876|ref|WP_005920973.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680881|ref|WP_005920978.1|	glycosyl hydrolase family 2 [Faecalibacterium prausnitzii] 
gi|492680884|ref|WP_005920981.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680888|ref|WP_005920985.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492680891|ref|WP_005920988.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492680894|ref|WP_005920991.1|	MarR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492680898|ref|WP_005920995.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680901|ref|WP_005920998.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Faecalibacterium prausnitzii] 
gi|492680904|ref|WP_005921001.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680906|ref|WP_005921003.1|	6-phospho-beta-glucosidase [Faecalibacterium prausnitzii] 
gi|492680909|ref|WP_005921006.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680912|ref|WP_005921009.1|	3-hydroxyacyl-ACP dehydratase [Faecalibacterium prausnitzii] 
gi|492680915|ref|WP_005921012.1|	3-oxoacyl-ACP synthase [Faecalibacterium prausnitzii] 
gi|492680918|ref|WP_005921014.1|	3-ketoacyl-ACP reductase [Faecalibacterium prausnitzii] 
gi|492680919|ref|WP_005921015.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680921|ref|WP_005921017.1|	2-nitropropane dioxygenase [Faecalibacterium prausnitzii] 
gi|492680922|ref|WP_005921018.1|	2-nitropropane dioxygenase [Faecalibacterium prausnitzii] 
gi|492680924|ref|WP_005921020.1|	3-oxoacyl-ACP synthase [Faecalibacterium prausnitzii] 
gi|492680926|ref|WP_005921022.1|	acetyl-CoA carboxylase [Faecalibacterium prausnitzii] 
gi|492680927|ref|WP_005921023.1|	acetyl-CoA carboxylase subunit beta [Faecalibacterium prausnitzii] 
gi|492680929|ref|WP_005921025.1|	acyl carrier protein [Faecalibacterium prausnitzii] 
gi|492680931|ref|WP_005921027.1|	UDP-N-acetylmuramyl peptide synthase [Faecalibacterium prausnitzii] 
gi|492680933|ref|WP_005921029.1|	cell division protein FtsQ [Faecalibacterium prausnitzii] 
gi|492680935|ref|WP_005921031.1|	UDP-diphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase [Faecalibacterium prausnitzii] 
gi|492680936|ref|WP_005921032.1|	stage V sporulation protein E [Faecalibacterium prausnitzii] 
gi|492680938|ref|WP_005921034.1|	glycosyl transferase family 4 [Faecalibacterium prausnitzii] 
gi|492680940|ref|WP_005921036.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680942|ref|WP_005921038.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680944|ref|WP_005921040.1|	peptidase [Faecalibacterium prausnitzii] 
gi|492680946|ref|WP_005921042.1|	cell division protein FtsL [Faecalibacterium prausnitzii] 
gi|492680948|ref|WP_005921044.1|	16S rRNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492680950|ref|WP_005921046.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680951|ref|WP_005921047.1|	ATPase [Faecalibacterium prausnitzii] 
gi|492680953|ref|WP_005921049.1|	RNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492680955|ref|WP_005921051.1|	FMN reductase [Faecalibacterium prausnitzii] 
gi|492680957|ref|WP_005921053.1|	glycosyl hydrolase family 2 [Faecalibacterium prausnitzii] 
gi|492680959|ref|WP_005921055.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680961|ref|WP_005921057.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492680963|ref|WP_005921059.1|	molecular chaperone DnaJ [Faecalibacterium prausnitzii] 
gi|492680965|ref|WP_005921061.1|	cytochrome C [Faecalibacterium prausnitzii] 
