gi|490423333|ref|WP_004295544.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423662|ref|WP_004295865.1|	MULTISPECIES: RNA-binding protein [Bacteroides] 
gi|490423663|ref|WP_004295866.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423664|ref|WP_004295867.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423665|ref|WP_004295868.1|	MULTISPECIES: succinyl-CoA synthetase subsunit alpha [Bacteroides] 
gi|490423666|ref|WP_004295869.1|	MULTISPECIES: malate--CoA ligase subunit beta [Bacteroides] 
gi|490423667|ref|WP_004295870.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423668|ref|WP_004295871.1|	MULTISPECIES: ACP S-malonyltransferase [Bacteroides] 
gi|490423669|ref|WP_004295872.1|	MULTISPECIES: phosphomethylpyrimidine kinase [Bacteroides] 
gi|490423670|ref|WP_004295873.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423671|ref|WP_004295874.1|	MULTISPECIES: DNA mistmatch repair protein MutT [Bacteroides] 
gi|490423672|ref|WP_004295875.1|	MULTISPECIES: carbohydrate kinase [Bacteroides] 
gi|490423673|ref|WP_004295876.1|	MULTISPECIES: xylose isomerase [Bacteroides] 
gi|490423674|ref|WP_004295877.1|	major facilitator transporter [Bacteroides ovatus] 
gi|490423675|ref|WP_004295878.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423676|ref|WP_004295879.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423677|ref|WP_004295880.1|	MULTISPECIES: carbon-nitrogen hydrolase [Bacteroides] 
gi|490423678|ref|WP_004295881.1|	membrane protein [Bacteroides ovatus] 
gi|490423679|ref|WP_004295882.1|	isoleucyl-tRNA synthase [Bacteroides ovatus] 
gi|490423680|ref|WP_004295883.1|	MULTISPECIES: molecular chaperone DnaK [Bacteroides] 
gi|490423681|ref|WP_004295884.1|	MULTISPECIES: peptidase A8 [Bacteroides] 
gi|490423682|ref|WP_004295885.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423683|ref|WP_004295886.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423684|ref|WP_004295887.1|	MULTISPECIES: RNA methyltransferase [Bacteroides] 
gi|490423685|ref|WP_004295888.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423686|ref|WP_004295889.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423687|ref|WP_004295890.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423688|ref|WP_004295891.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423689|ref|WP_004295892.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423690|ref|WP_004295893.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423691|ref|WP_004295894.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423692|ref|WP_004295895.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423693|ref|WP_004295896.1|	MULTISPECIES: permease [Bacteroides] 
gi|490423694|ref|WP_004295897.1|	MULTISPECIES: metallo-beta-lactamase [Bacteroides] 
gi|490423695|ref|WP_004295898.1|	MULTISPECIES: glucuronate isomerase [Bacteroides] 
gi|490423696|ref|WP_004295899.1|	LacI family transcriptional regulator [Bacteroides ovatus] 
gi|490423697|ref|WP_004295900.1|	MULTISPECIES: altronate oxidoreductase [Bacteroides] 
gi|490423698|ref|WP_004295901.1|	MULTISPECIES: signal peptide protein [Bacteroides] 
gi|490423699|ref|WP_004295902.1|	cell division protein [Bacteroides ovatus] 
gi|490423700|ref|WP_004295903.1|	MULTISPECIES: dTDP-4-dehydrorhamnose 3,5-epimerase [Bacteroides] 
gi|490423701|ref|WP_004295904.1|	MULTISPECIES: UDP-glucose 6-dehydrogenase [Bacteroides] 
gi|490423702|ref|WP_004295905.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423703|ref|WP_004295906.1|	MULTISPECIES: RNA helicase [Bacteroides] 
gi|490423704|ref|WP_004295907.1|	MULTISPECIES: phosphoserine phosphatase [Bacteroides] 
gi|490423705|ref|WP_004295908.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423706|ref|WP_004295909.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423707|ref|WP_004295910.1|	MULTISPECIES: queuine tRNA-ribosyltransferase [Bacteroides] 
gi|490423708|ref|WP_004295911.1|	MULTISPECIES: Lon protease [Bacteroides] 
gi|490423709|ref|WP_004295912.1|	tRNA (adenine-N6)-methyltransferase [Bacteroides ovatus] 
gi|490423710|ref|WP_004295913.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423711|ref|WP_004295914.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423712|ref|WP_004295915.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423713|ref|WP_004295916.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423714|ref|WP_004295917.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423715|ref|WP_004295918.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490423716|ref|WP_004295919.1|	ATPase AAA [Bacteroides ovatus] 
gi|490423717|ref|WP_004295920.1|	membrane protein [Bacteroides ovatus] 
gi|490423718|ref|WP_004295921.1|	ABC transporter permease [Bacteroides ovatus] 
gi|490423719|ref|WP_004295922.1|	multidrug ABC transporter substrate-binding protein [Bacteroides ovatus] 
gi|490423720|ref|WP_004295923.1|	multidrug ABC transporter substrate-binding protein [Bacteroides ovatus] 
gi|490423721|ref|WP_004295924.1|	phosphonate ABC transporter ATP-binding protein [Bacteroides ovatus] 
gi|490423722|ref|WP_004295925.1|	cell division protein FtsX [Bacteroides ovatus] 
gi|490423723|ref|WP_004295926.1|	2-amino-3-ketobutyrate CoA ligase [Bacteroides ovatus] 
gi|490423724|ref|WP_004295927.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423725|ref|WP_004295928.1|	aspartyl-tRNA synthetase [Bacteroides ovatus] 
gi|490423726|ref|WP_004295929.1|	MULTISPECIES: polysaccharide biosynthesis protein GtrA [Bacteroides] 
gi|490423727|ref|WP_004295930.1|	apolipoprotein acyltransferase [Bacteroides ovatus] 
gi|490423728|ref|WP_004295931.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423729|ref|WP_004295932.1|	ferredoxin [Bacteroides ovatus] 
gi|490423730|ref|WP_004295933.1|	ATPase AAA [Bacteroides ovatus] 
gi|490423731|ref|WP_004295934.1|	ABC transporter ATP-binding protein [Bacteroides ovatus] 
gi|490423732|ref|WP_004295935.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423733|ref|WP_004295936.1|	ABC transporter permease [Bacteroides ovatus] 
gi|490423734|ref|WP_004295937.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423735|ref|WP_004295938.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423736|ref|WP_004295939.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423737|ref|WP_004295940.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423738|ref|WP_004295941.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423739|ref|WP_004295942.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423740|ref|WP_004295943.1|	MULTISPECIES: transporter [Bacteroides] 
gi|490423741|ref|WP_004295944.1|	hemolysin D [Bacteroides ovatus] 
gi|490423742|ref|WP_004295945.1|	transporter [Bacteroides ovatus] 
gi|490423743|ref|WP_004295946.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423744|ref|WP_004295947.1|	AMP nucleosidase [Bacteroides ovatus] 
gi|490423745|ref|WP_004295948.1|	DNA polymerase III subunit delta [Bacteroides ovatus] 
gi|490423746|ref|WP_004295949.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423747|ref|WP_004295950.1|	MULTISPECIES: Cro/Cl family transcriptional regulator [Bacteroides] 
gi|490423748|ref|WP_004295951.1|	MULTISPECIES: diguanylate cyclase [Bacteroides] 
gi|490423749|ref|WP_004295952.1|	MULTISPECIES: diguanylate cyclase [Bacteroides] 
gi|490423750|ref|WP_004295953.1|	MULTISPECIES: tRNA (guanine-N1)-methyltransferase [Bacteroides] 
gi|490423751|ref|WP_004295954.1|	DNA ligase [Bacteroides ovatus] 
gi|490423752|ref|WP_004295955.1|	dihydrodipicolinate synthase [Bacteroides ovatus] 
gi|490423753|ref|WP_004295956.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423754|ref|WP_004295957.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423755|ref|WP_004295958.1|	transposase [Bacteroides ovatus] 
gi|490423756|ref|WP_004295959.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490423757|ref|WP_004295960.1|	transposase [Bacteroides ovatus] 
gi|490423758|ref|WP_004295961.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423759|ref|WP_004295962.1|	MULTISPECIES: patatin [Bacteroides] 
gi|490423760|ref|WP_004295963.1|	heat shock protein Hsp90 [Bacteroides ovatus] 
gi|490423761|ref|WP_004295964.1|	ATP-dependent Clp protease ClpC [Bacteroides ovatus] 
gi|490423762|ref|WP_004295965.1|	MULTISPECIES: DNA gyrase subunit A [Bacteroides] 
gi|490423763|ref|WP_004295966.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423764|ref|WP_004295967.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423765|ref|WP_004295968.1|	universal stress protein [Bacteroides ovatus] 
gi|490423766|ref|WP_004295969.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423767|ref|WP_004295970.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423768|ref|WP_004295971.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423769|ref|WP_004295972.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423770|ref|WP_004295973.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423771|ref|WP_004295974.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423772|ref|WP_004295975.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423773|ref|WP_004295976.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423774|ref|WP_004295977.1|	MULTISPECIES: ATPase AAA [Bacteroides] 
gi|490423775|ref|WP_004295978.1|	integration host factor [Bacteroides ovatus] 
gi|490423776|ref|WP_004295979.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490423777|ref|WP_004295980.1|	ribosomal protein S12 methylthiotransferase [Bacteroides ovatus] 
gi|490423778|ref|WP_004295981.1|	MULTISPECIES: cell division protein FtsY [Bacteroides] 
gi|490423779|ref|WP_004295982.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|488623443|ref|WP_002560155.1|	MULTISPECIES: 50S ribosomal protein L33 [Bacteroidales] 
gi|490423781|ref|WP_004295983.1|	MULTISPECIES: 50S ribosomal protein L28 [Bacteroides] 
gi|490423782|ref|WP_004295984.1|	competence damage-inducible protein A [Bacteroides ovatus] 
gi|490423783|ref|WP_004295985.1|	O-sialoglycoprotein endopeptidase [Bacteroides ovatus] 
gi|490423784|ref|WP_004295986.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423785|ref|WP_004295987.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423786|ref|WP_004295988.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423787|ref|WP_004295989.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423788|ref|WP_004295990.1|	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Bacteroides] 
gi|490423790|ref|WP_004295992.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|490423792|ref|WP_004295993.1|	MULTISPECIES: sensor histidine kinase [Bacteroides] 
gi|490423793|ref|WP_004295994.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490423794|ref|WP_004295995.1|	prolyl-tRNA synthetase [Bacteroides ovatus] 
gi|490423795|ref|WP_004295996.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423796|ref|WP_004295997.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423797|ref|WP_004295998.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423798|ref|WP_004295999.1|	membrane protein [Bacteroides ovatus] 
gi|490423799|ref|WP_004296000.1|	MULTISPECIES: hemolysin secretion protein D [Bacteroides] 
gi|490423800|ref|WP_004296001.1|	membrane protein [Bacteroides ovatus] 
gi|490423801|ref|WP_004296002.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|490423802|ref|WP_004296003.1|	histidine kinase [Bacteroides ovatus] 
gi|490423803|ref|WP_004296004.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423804|ref|WP_004296005.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423805|ref|WP_004296006.1|	ligand-gated channel [Bacteroides ovatus] 
gi|490423806|ref|WP_004296007.1|	TonB-dependent outer membrane receptor [Bacteroides ovatus] 
gi|490423807|ref|WP_004296008.1|	aldo/keto reductase [Bacteroides ovatus] 
gi|490423808|ref|WP_004296009.1|	ferredoxin [Bacteroides ovatus] 
gi|490423809|ref|WP_004296010.1|	beta-lactamase [Bacteroides ovatus] 
gi|490423810|ref|WP_004296011.1|	prevent-host-death protein [Bacteroides ovatus] 
gi|490423811|ref|WP_004296012.1|	MULTISPECIES: anti-sigma factor [Bacteroides] 
gi|490423812|ref|WP_004296013.1|	MULTISPECIES: RNA polymerase [Bacteroides] 
gi|490423813|ref|WP_004296014.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|490423814|ref|WP_004296015.1|	MULTISPECIES: arginase [Bacteroides] 
gi|490423815|ref|WP_004296016.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423816|ref|WP_004296017.1|	membrane protein [Bacteroides ovatus] 
gi|490423817|ref|WP_004296018.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423818|ref|WP_004296019.1|	MULTISPECIES: haloacid dehalogenase [Bacteroides] 
gi|490423819|ref|WP_004296020.1|	17-beta-hydroxysteroid dehydrogenase [Bacteroides ovatus] 
gi|490423820|ref|WP_004296021.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423821|ref|WP_004296022.1|	membrane protein [Bacteroides ovatus] 
gi|490423822|ref|WP_004296023.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|490423823|ref|WP_004296024.1|	transporter [Bacteroides ovatus] 
gi|490423824|ref|WP_004296025.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423825|ref|WP_004296026.1|	MULTISPECIES: RNA polymerase sigma70 [Bacteroides] 
gi|490423826|ref|WP_004296027.1|	pectin lyase [Bacteroides ovatus] 
gi|490423827|ref|WP_004296028.1|	polysaccharide lyase [Bacteroides ovatus] 
gi|490423828|ref|WP_004296029.1|	chemotaxis protein CheY [Bacteroides ovatus] 
gi|490423829|ref|WP_004296030.1|	glycosyl hydrolase family 2 [Bacteroides ovatus] 
gi|490423830|ref|WP_004296031.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423831|ref|WP_004296032.1|	9-O-acetylesterase [Bacteroides ovatus] 
gi|490423832|ref|WP_004296033.1|	DNA-binding protein [Bacteroides ovatus] 
gi|490423833|ref|WP_004296034.1|	AraC family transcriptional regulator [Bacteroides ovatus] 
gi|490423834|ref|WP_004296035.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423835|ref|WP_004296036.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423836|ref|WP_004296037.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423837|ref|WP_004296038.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423838|ref|WP_004296039.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423839|ref|WP_004296040.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423840|ref|WP_004296041.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423841|ref|WP_004296042.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423842|ref|WP_004296043.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423843|ref|WP_004296044.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423844|ref|WP_004296045.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423845|ref|WP_004296046.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423846|ref|WP_004296047.1|	magnesium-transporting ATPase [Bacteroides ovatus] 
gi|490423847|ref|WP_004296048.1|	sensor histidine kinase [Bacteroides ovatus] 
gi|490423848|ref|WP_004296049.1|	PhoB family transcriptional regulator [Bacteroides ovatus] 
gi|490423849|ref|WP_004296050.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490423850|ref|WP_004296051.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490423851|ref|WP_004296052.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423852|ref|WP_004296053.1|	beta-galactosidase [Bacteroides ovatus] 
gi|490423853|ref|WP_004296054.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423854|ref|WP_004296055.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423855|ref|WP_004296056.1|	histidine kinase [Bacteroides ovatus] 
gi|490423856|ref|WP_004296057.1|	GNAT family acetyltransferase [Bacteroides ovatus] 
gi|490423857|ref|WP_004296058.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|490423858|ref|WP_004296059.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423859|ref|WP_004296060.1|	N-acylglucosamine 2-epimerase [Bacteroides ovatus] 
gi|490423860|ref|WP_004296061.1|	N-acetylneuraminate lyase [Bacteroides ovatus] 
gi|490423861|ref|WP_004296062.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423862|ref|WP_004296063.1|	cell surface protein [Bacteroides ovatus] 
gi|490423863|ref|WP_004296064.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423864|ref|WP_004296065.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423865|ref|WP_004296066.1|	membrane protein [Bacteroides ovatus] 
gi|490423866|ref|WP_004296067.1|	TonB-linked outer membrane protein [Bacteroides ovatus] 
gi|490423867|ref|WP_004296068.1|	MULTISPECIES: amidase [Bacteroides] 
gi|490423868|ref|WP_004296069.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|490423869|ref|WP_004296070.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|490423870|ref|WP_004296071.1|	alpha-rhamnosidase [Bacteroides ovatus] 
gi|490423871|ref|WP_004296072.1|	pectin lyase [Bacteroides ovatus] 
gi|490423872|ref|WP_004296073.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423873|ref|WP_004296074.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423874|ref|WP_004296075.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423875|ref|WP_004296076.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423876|ref|WP_004296077.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423877|ref|WP_004296078.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|490423878|ref|WP_004296079.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423879|ref|WP_004296080.1|	thiol:disulfide interchange protein [Bacteroides ovatus] 
gi|490423880|ref|WP_004296081.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423881|ref|WP_004296082.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423882|ref|WP_004296083.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423883|ref|WP_004296084.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423884|ref|WP_004296085.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423885|ref|WP_004296086.1|	peptidase S41 [Bacteroides ovatus] 
gi|490423886|ref|WP_004296087.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423887|ref|WP_004296088.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423888|ref|WP_004296089.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423889|ref|WP_004296090.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423890|ref|WP_004296091.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423891|ref|WP_004296092.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423892|ref|WP_004296093.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423893|ref|WP_004296094.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423894|ref|WP_004296095.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423895|ref|WP_004296096.1|	TonB-dependent receptor [Bacteroides ovatus] 
gi|490423896|ref|WP_004296097.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423897|ref|WP_004296098.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423898|ref|WP_004296099.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423899|ref|WP_004296100.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423900|ref|WP_004296101.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423901|ref|WP_004296102.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423902|ref|WP_004296103.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423903|ref|WP_004296104.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423904|ref|WP_004296105.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423905|ref|WP_004296106.1|	hypothetical protein partial [Bacteroides ovatus] 
gi|490423909|ref|WP_004296108.1|	glycoside hydrolase [Bacteroides ovatus] 
gi|490423910|ref|WP_004296109.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423911|ref|WP_004296110.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423912|ref|WP_004296111.1|	alpha-L-fucosidase [Bacteroides ovatus] 
gi|490423913|ref|WP_004296112.1|	sugar-binding protein [Bacteroides ovatus] 
gi|490423914|ref|WP_004296113.1|	hypothetical protein [Bacteroides ovatus] 
gi|490423915|ref|WP_004296114.1|	hypothetical protein [Bacteroides ovatus] 
