gi|494108007|ref|WP_007048791.1|	hypothetical protein partial [Anaerofustis stercorihominis] 
gi|494108312|ref|WP_007049096.1|	GTP pyrophosphokinase [Anaerofustis stercorihominis] 
gi|494108313|ref|WP_007049097.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108314|ref|WP_007049098.1|	hydrogenase expression protein [Anaerofustis stercorihominis] 
gi|494108315|ref|WP_007049099.1|	hydroxyethylthiazole kinase [Anaerofustis stercorihominis] 
gi|494108316|ref|WP_007049100.1|	thiamine-phosphate synthase [Anaerofustis stercorihominis] 
gi|494108317|ref|WP_007049101.1|	phosphomethylpyrimidine kinase [Anaerofustis stercorihominis] 
gi|494108318|ref|WP_007049102.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108319|ref|WP_007049103.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108320|ref|WP_007049104.1|	cytochrome C biogenesis protein [Anaerofustis stercorihominis] 
gi|494108321|ref|WP_007049105.1|	multidrug transporter MatE [Anaerofustis stercorihominis] 
gi|494108322|ref|WP_007049106.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108323|ref|WP_007049107.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108324|ref|WP_007049108.1|	LrgA [Anaerofustis stercorihominis] 
gi|494108325|ref|WP_007049109.1|	membrane protein [Anaerofustis stercorihominis] 
gi|494108326|ref|WP_007049110.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108327|ref|WP_007049111.1|	thiol peroxidase [Anaerofustis stercorihominis] 
gi|494108328|ref|WP_007049112.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108329|ref|WP_007049113.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108330|ref|WP_007049114.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108331|ref|WP_007049115.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108332|ref|WP_007049116.1|	50S ribosomal protein L11 methyltransferase [Anaerofustis stercorihominis] 
gi|494108333|ref|WP_007049117.1|	flavin reductase [Anaerofustis stercorihominis] 
gi|494108334|ref|WP_007049118.1|	NADH-dependent butanol dehydrogenase [Anaerofustis stercorihominis] 
gi|494108335|ref|WP_007049119.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108336|ref|WP_007049120.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108337|ref|WP_007049121.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108338|ref|WP_007049122.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108339|ref|WP_007049123.1|	Cro/Cl family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108340|ref|WP_007049124.1|	haloacid dehalogenase [Anaerofustis stercorihominis] 
gi|494108341|ref|WP_007049125.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108342|ref|WP_007049126.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108343|ref|WP_007049127.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108344|ref|WP_007049128.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108345|ref|WP_007049129.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108346|ref|WP_007049130.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108347|ref|WP_007049131.1|	exodeoxyribonuclease III [Anaerofustis stercorihominis] 
gi|494108348|ref|WP_007049132.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108349|ref|WP_007049133.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108350|ref|WP_007049134.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108351|ref|WP_007049135.1|	nuclease [Anaerofustis stercorihominis] 
gi|494108352|ref|WP_007049136.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108353|ref|WP_007049137.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108354|ref|WP_007049138.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108355|ref|WP_007049139.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108356|ref|WP_007049140.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108357|ref|WP_007049141.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108358|ref|WP_007049142.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108359|ref|WP_007049143.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108360|ref|WP_007049144.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108361|ref|WP_007049145.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108362|ref|WP_007049146.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108363|ref|WP_007049147.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108364|ref|WP_007049148.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108365|ref|WP_007049149.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108366|ref|WP_007049150.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108367|ref|WP_007049151.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108368|ref|WP_007049152.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108369|ref|WP_007049153.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108370|ref|WP_007049154.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108371|ref|WP_007049155.1|	oxidoreductase [Anaerofustis stercorihominis] 
gi|494108372|ref|WP_007049156.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108373|ref|WP_007049157.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108374|ref|WP_007049158.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108375|ref|WP_007049159.1|	terminase [Anaerofustis stercorihominis] 
gi|494108376|ref|WP_007049160.1|	terminase [Anaerofustis stercorihominis] 
gi|494108377|ref|WP_007049161.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108378|ref|WP_007049162.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108379|ref|WP_007049163.1|	antirepressor [Anaerofustis stercorihominis] 
gi|494108380|ref|WP_007049164.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108381|ref|WP_007049165.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108382|ref|WP_007049166.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108383|ref|WP_007049167.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108384|ref|WP_007049168.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108385|ref|WP_007049169.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108386|ref|WP_007049170.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108387|ref|WP_007049171.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108388|ref|WP_007049172.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108389|ref|WP_007049173.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108390|ref|WP_007049174.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108391|ref|WP_007049175.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108392|ref|WP_007049176.1|	toxin Bro [Anaerofustis stercorihominis] 
gi|494108393|ref|WP_007049177.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108394|ref|WP_007049178.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108395|ref|WP_007049179.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108396|ref|WP_007049180.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108397|ref|WP_007049181.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108398|ref|WP_007049182.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108399|ref|WP_007049183.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108400|ref|WP_007049184.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108401|ref|WP_007049185.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108402|ref|WP_007049186.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108403|ref|WP_007049187.1|	NADH-dependent butanol dehydrogenase A [Anaerofustis stercorihominis] 
gi|494108404|ref|WP_007049188.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108405|ref|WP_007049189.1|	stage III sporulation protein D [Anaerofustis stercorihominis] 
gi|494108406|ref|WP_007049190.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108407|ref|WP_007049191.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108408|ref|WP_007049192.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108409|ref|WP_007049193.1|	NADPH-dependent FMN reductase [Anaerofustis stercorihominis] 
gi|494108410|ref|WP_007049194.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108411|ref|WP_007049195.1|	ion transporter [Anaerofustis stercorihominis] 
gi|494108412|ref|WP_007049196.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108413|ref|WP_007049197.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108414|ref|WP_007049198.1|	MerR family transcripitonal regulator [Anaerofustis stercorihominis] 
gi|494108415|ref|WP_007049199.1|	carboxymuconolactone decarboxylase [Anaerofustis stercorihominis] 
gi|494108416|ref|WP_007049200.1|	AraC family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108417|ref|WP_007049201.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108418|ref|WP_007049202.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108419|ref|WP_007049203.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108420|ref|WP_007049204.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108421|ref|WP_007049205.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108422|ref|WP_007049206.1|	glyoxalase [Anaerofustis stercorihominis] 
gi|494108423|ref|WP_007049207.1|	short-chain dehydrogenase [Anaerofustis stercorihominis] 
gi|494108424|ref|WP_007049208.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108425|ref|WP_007049209.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108426|ref|WP_007049210.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108427|ref|WP_007049211.1|	fructose-bisphosphate aldolase [Anaerofustis stercorihominis] 
gi|494108428|ref|WP_007049212.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108429|ref|WP_007049213.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108430|ref|WP_007049214.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108431|ref|WP_007049215.1|	tRNA methyltransferase [Anaerofustis stercorihominis] 
gi|494108432|ref|WP_007049216.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108433|ref|WP_007049217.1|	thioredoxin reductase [Anaerofustis stercorihominis] 
gi|494108434|ref|WP_007049218.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108435|ref|WP_007049219.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108436|ref|WP_007049220.1|	branched-chain amino acid aminotransferase [Anaerofustis stercorihominis] 
gi|494108437|ref|WP_007049221.1|	peptidase U32 [Anaerofustis stercorihominis] 
gi|494108438|ref|WP_007049222.1|	propanediol utilization phosphotransacylase [Anaerofustis stercorihominis] 
gi|494108439|ref|WP_007049223.1|	DNA polymerase III subunit alpha [Anaerofustis stercorihominis] 
gi|494108440|ref|WP_007049224.1|	prolipoprotein diacylglyceryl transferase [Anaerofustis stercorihominis] 
gi|494108441|ref|WP_007049225.1|	fructose-bisphosphate aldolase [Anaerofustis stercorihominis] 
gi|494108442|ref|WP_007049226.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108443|ref|WP_007049227.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108444|ref|WP_007049228.1|	hisitidine kinase [Anaerofustis stercorihominis] 
gi|494108445|ref|WP_007049229.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108446|ref|WP_007049230.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108447|ref|WP_007049231.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108448|ref|WP_007049232.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108449|ref|WP_007049233.1|	RNA polymerase sigma 70 [Anaerofustis stercorihominis] 
gi|494108450|ref|WP_007049234.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108451|ref|WP_007049235.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108452|ref|WP_007049236.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108453|ref|WP_007049237.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108454|ref|WP_007049238.1|	3-phosphoglycerate dehydrogenase [Anaerofustis stercorihominis] 
gi|494108455|ref|WP_007049239.1|	FAD-dependent oxidoreductase [Anaerofustis stercorihominis] 
gi|494108456|ref|WP_007049240.1|	alpha/beta hydrolase [Anaerofustis stercorihominis] 
gi|494108457|ref|WP_007049241.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108458|ref|WP_007049242.1|	cytidylate kinase [Anaerofustis stercorihominis] 
gi|494108459|ref|WP_007049243.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108460|ref|WP_007049244.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Anaerofustis stercorihominis] 
gi|494108461|ref|WP_007049245.1|	3-hexulose-6-phosphate synthase [Anaerofustis stercorihominis] 
gi|494108462|ref|WP_007049246.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108463|ref|WP_007049247.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108464|ref|WP_007049248.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108465|ref|WP_007049249.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108466|ref|WP_007049250.1|	branched-chain amino acid transporter AzlD [Anaerofustis stercorihominis] 
gi|494108467|ref|WP_007049251.1|	branched-chain amino acid ABC transporter permease [Anaerofustis stercorihominis] 
gi|494108468|ref|WP_007049252.1|	integrase [Anaerofustis stercorihominis] 
gi|494108469|ref|WP_007049253.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108470|ref|WP_007049254.1|	XRE family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108471|ref|WP_007049255.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108472|ref|WP_007049256.1|	alpha/beta hydrolase [Anaerofustis stercorihominis] 
gi|494108473|ref|WP_007049257.1|	stage V sporulation protein AEB [Anaerofustis stercorihominis] 
gi|494108474|ref|WP_007049258.1|	stage V sporulation protein AD [Anaerofustis stercorihominis] 
gi|494108475|ref|WP_007049259.1|	stage V sporulation protein AC [Anaerofustis stercorihominis] 
gi|494108476|ref|WP_007049260.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108477|ref|WP_007049261.1|	ATPase [Anaerofustis stercorihominis] 
gi|494108478|ref|WP_007049262.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108479|ref|WP_007049263.1|	acid-soluble spore protein [Anaerofustis stercorihominis] 
gi|494108480|ref|WP_007049264.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108481|ref|WP_007049265.1|	thiamine biosynthesis protein ThiI [Anaerofustis stercorihominis] 
gi|494108482|ref|WP_007049266.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108483|ref|WP_007049267.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108484|ref|WP_007049268.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108485|ref|WP_007049269.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108486|ref|WP_007049270.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108487|ref|WP_007049271.1|	acetyltransferase GCN5 [Anaerofustis stercorihominis] 
gi|494108488|ref|WP_007049272.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108489|ref|WP_007049273.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108490|ref|WP_007049274.1|	chemotaxis protein CheY [Anaerofustis stercorihominis] 
gi|494108491|ref|WP_007049275.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108492|ref|WP_007049276.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108493|ref|WP_007049277.1|	arginine repressor ArgR [Anaerofustis stercorihominis] 
gi|494108494|ref|WP_007049278.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108495|ref|WP_007049279.1|	RNA methyltransferase [Anaerofustis stercorihominis] 
gi|494108496|ref|WP_007049280.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108497|ref|WP_007049281.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108498|ref|WP_007049282.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108499|ref|WP_007049283.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108500|ref|WP_007049284.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108501|ref|WP_007049285.1|	conjugal transfer protein TraB [Anaerofustis stercorihominis] 
gi|494108502|ref|WP_007049286.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108503|ref|WP_007049287.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108504|ref|WP_007049288.1|	shikimate kinase [Anaerofustis stercorihominis] 
gi|494108505|ref|WP_007049289.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108506|ref|WP_007049290.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108507|ref|WP_007049291.1|	chorismate synthase [Anaerofustis stercorihominis] 
gi|494108508|ref|WP_007049292.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Anaerofustis stercorihominis] 
gi|494108509|ref|WP_007049293.1|	3-dehydroquinate synthase [Anaerofustis stercorihominis] 
gi|494108510|ref|WP_007049294.1|	3-deoxy-7-phosphoheptulonate synthase [Anaerofustis stercorihominis] 
gi|494108511|ref|WP_007049295.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108512|ref|WP_007049296.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108513|ref|WP_007049297.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108514|ref|WP_007049298.1|	XRE family transcriptional regulator [Anaerofustis stercorihominis] 
gi|494108515|ref|WP_007049299.1|	hypothetical protein [Anaerofustis stercorihominis] 
gi|494108516|ref|WP_007049300.1|	hypothetical protein [Anaerofustis stercorihominis] 
