gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493471284|ref|WP_006426346.1|	L-threonine 3-dehydrogenase [Dorea longicatena] 
gi|493471285|ref|WP_006426347.1|	hypothetical protein [Dorea longicatena] 
gi|493471286|ref|WP_006426348.1|	serine/threonine transporter SstT [Dorea longicatena] 
gi|493471287|ref|WP_006426349.1|	glycine/sarcosine/betaine reductase complex protein C subunit alpha [Dorea longicatena] 
gi|493471288|ref|WP_006426350.1|	glycine/sarcosine/betaine reductase complex protein C subunit beta [Dorea longicatena] 
gi|493471289|ref|WP_006426351.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|490744011|ref|WP_004606319.1|	MULTISPECIES: glycine/sarcosine/betaine reductase complex protein A [Clostridiales] 
gi|493471291|ref|WP_006426352.1|	thioredoxin [Dorea longicatena] 
gi|493471292|ref|WP_006426353.1|	thioredoxin reductase [Dorea longicatena] 
gi|493471293|ref|WP_006426354.1|	glycine reductase complex protein B subunit gamma [Dorea longicatena] 
gi|493471294|ref|WP_006426355.1|	beta-aspartate methyltransferase [Dorea longicatena] 
gi|493471295|ref|WP_006426356.1|	beta-aspartyl peptidase [Dorea longicatena] 
gi|493471296|ref|WP_006426357.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471297|ref|WP_006426358.1|	hypothetical protein [Dorea longicatena] 
gi|493471298|ref|WP_006426359.1|	alanine glycine permease [Dorea longicatena] 
gi|493471299|ref|WP_006426360.1|	glycyl-tRNA synthetase [Dorea longicatena] 
gi|493471300|ref|WP_006426361.1|	DNA repair protein RecO [Dorea longicatena] 
gi|493471301|ref|WP_006426362.1|	hypothetical protein [Dorea longicatena] 
gi|493471302|ref|WP_006426363.1|	GTPase Era [Dorea longicatena] 
gi|493471303|ref|WP_006426364.1|	peptidase M16 [Dorea longicatena] 
gi|493471304|ref|WP_006426365.1|	hypothetical protein [Dorea longicatena] 
gi|493471305|ref|WP_006426366.1|	sodium:proton antiporter [Dorea longicatena] 
gi|493471306|ref|WP_006426367.1|	hypothetical protein [Dorea longicatena] 
gi|493471307|ref|WP_006426368.1|	hypothetical protein [Dorea longicatena] 
gi|493471308|ref|WP_006426369.1|	ABC transporter [Dorea longicatena] 
gi|493471309|ref|WP_006426370.1|	hypothetical protein [Dorea longicatena] 
gi|493471310|ref|WP_006426371.1|	hypothetical protein [Dorea longicatena] 
gi|493471311|ref|WP_006426372.1|	diacylglycerol kinase [Dorea longicatena] 
gi|493471312|ref|WP_006426373.1|	MULTISPECIES: transporter [Dorea] 
gi|493471313|ref|WP_006426374.1|	hypothetical protein [Dorea longicatena] 
gi|493471314|ref|WP_006426375.1|	hypothetical protein [Dorea longicatena] 
gi|493471315|ref|WP_006426376.1|	hypothetical protein [Dorea longicatena] 
gi|493471316|ref|WP_006426377.1|	hypothetical protein [Dorea longicatena] 
gi|493471317|ref|WP_006426378.1|	dihydroorotase [Dorea longicatena] 
gi|493471318|ref|WP_006426379.1|	transposase [Dorea longicatena] 
gi|493471319|ref|WP_006426380.1|	transposase [Dorea longicatena] 
gi|493471320|ref|WP_006426381.1|	hypothetical protein [Dorea longicatena] 
gi|493471321|ref|WP_006426382.1|	cobalamin biosynthesis protein CobW [Dorea longicatena] 
gi|493471322|ref|WP_006426383.1|	potassium transporter [Dorea longicatena] 
gi|493471324|ref|WP_006426385.1|	tRNA pseudouridine synthase A [Dorea longicatena] 
gi|493471326|ref|WP_006426387.1|	transporter [Dorea longicatena] 
gi|493471329|ref|WP_006426390.1|	MULTISPECIES: ABC transporter [Dorea] 
gi|493471331|ref|WP_006426391.1|	MULTISPECIES: cobalt ABC transporter ATP-binding protein [Dorea] 
gi|493471332|ref|WP_006426392.1|	MULTISPECIES: peptidylprolyl isomerase [Dorea] 
gi|493471333|ref|WP_006426393.1|	hypothetical protein [Dorea longicatena] 
gi|493471334|ref|WP_006426394.1|	hypothetical protein [Dorea longicatena] 
gi|493471335|ref|WP_006426395.1|	pyrroline-5-carboxylate reductase [Dorea longicatena] 
gi|493471336|ref|WP_006426396.1|	MULTISPECIES: GntR family transcriptional regulator [Dorea] 
gi|493471337|ref|WP_006426397.1|	MULTISPECIES: TetR family transcriptional regulator [Dorea] 
gi|493471338|ref|WP_006426398.1|	MULTISPECIES: acylphosphatase [Dorea] 
gi|493471339|ref|WP_006426399.1|	MULTISPECIES: phosphohydrolase [Dorea] 
gi|493471340|ref|WP_006426400.1|	MULTISPECIES: 3-oxoacyl-ACP reductase [Dorea] 
gi|493471341|ref|WP_006426401.1|	MULTISPECIES: exodeoxyribonuclease III [Dorea] 
gi|493471342|ref|WP_006426402.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471343|ref|WP_006426403.1|	NrdR family transcriptional regulator [Dorea longicatena] 
gi|493471344|ref|WP_006426404.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471345|ref|WP_006426405.1|	hypothetical protein [Dorea longicatena] 
gi|493471346|ref|WP_006426406.1|	ferredoxin [Dorea longicatena] 
gi|493471347|ref|WP_006426407.1|	MULTISPECIES: carbamate kinase [Dorea] 
gi|493471348|ref|WP_006426408.1|	hydrolase [Dorea longicatena] 
gi|493471349|ref|WP_006426409.1|	hypothetical protein [Dorea longicatena] 
gi|493471350|ref|WP_006426410.1|	dihydrodipicolinate reductase [Dorea longicatena] 
gi|493471351|ref|WP_006426411.1|	MULTISPECIES: thiol-disulfide isomerase [Dorea] 
gi|493471352|ref|WP_006426412.1|	mutarotase [Dorea longicatena] 
gi|493471353|ref|WP_006426413.1|	DNA mismatch repair protein MutT [Dorea longicatena] 
gi|493471354|ref|WP_006426414.1|	pseudouridine synthase [Dorea longicatena] 
gi|493471355|ref|WP_006426415.1|	amino acid carrier protein [Dorea longicatena] 
gi|493471356|ref|WP_006426416.1|	hypothetical protein [Dorea longicatena] 
gi|493471357|ref|WP_006426417.1|	hypothetical protein [Dorea longicatena] 
gi|493471358|ref|WP_006426418.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493471359|ref|WP_006426419.1|	LysR family transcriptional regulator [Dorea longicatena] 
gi|493471360|ref|WP_006426420.1|	hypothetical protein [Dorea longicatena] 
gi|493471361|ref|WP_006426421.1|	hypothetical protein [Dorea longicatena] 
gi|493471362|ref|WP_006426422.1|	oxidoreductase [Dorea longicatena] 
gi|493471363|ref|WP_006426423.1|	peptidase S8 [Dorea longicatena] 
gi|493471364|ref|WP_006426424.1|	hypothetical protein [Dorea longicatena] 
gi|493471365|ref|WP_006426425.1|	hypothetical protein [Dorea longicatena] 
gi|493471366|ref|WP_006426426.1|	hypothetical protein [Dorea longicatena] 
gi|493471367|ref|WP_006426427.1|	hypothetical protein [Dorea longicatena] 
gi|493471368|ref|WP_006426428.1|	hypothetical protein [Dorea longicatena] 
gi|493471369|ref|WP_006426429.1|	hydrolase [Dorea longicatena] 
gi|493471370|ref|WP_006426430.1|	hypothetical protein [Dorea longicatena] 
gi|493471371|ref|WP_006426431.1|	transporter [Dorea longicatena] 
gi|493471372|ref|WP_006426432.1|	MULTISPECIES: MarR family transcriptional regulator [Dorea] 
gi|493471373|ref|WP_006426433.1|	hypothetical protein [Dorea longicatena] 
gi|493471374|ref|WP_006426434.1|	thiamine biosynthesis protein ThiH [Dorea longicatena] 
gi|493471375|ref|WP_006426435.1|	MULTISPECIES: thiazole synthase [Dorea] 
gi|493471376|ref|WP_006426436.1|	thiamine biosynthesis protein ThiF [Dorea longicatena] 
gi|493471377|ref|WP_006426437.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471378|ref|WP_006426438.1|	hypothetical protein [Dorea longicatena] 
gi|493471379|ref|WP_006426439.1|	hypothetical protein [Dorea longicatena] 
gi|493471380|ref|WP_006426440.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Dorea longicatena] 
gi|493471381|ref|WP_006426441.1|	hypothetical protein [Dorea longicatena] 
gi|493471382|ref|WP_006426442.1|	membrane protein [Dorea longicatena] 
gi|493471383|ref|WP_006426443.1|	MULTISPECIES: cytochrome C2 [Dorea] 
gi|493471384|ref|WP_006426444.1|	thiamine ABC transporter permease [Dorea longicatena] 
gi|493471385|ref|WP_006426445.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471386|ref|WP_006426446.1|	hypothetical protein [Dorea longicatena] 
gi|493471387|ref|WP_006426447.1|	hypothetical protein [Dorea longicatena] 
gi|493471388|ref|WP_006426448.1|	flavodoxin [Dorea longicatena] 
gi|493471389|ref|WP_006426449.1|	TetR family transcriptional regulator [Dorea longicatena] 
gi|493471390|ref|WP_006426450.1|	hypothetical protein [Dorea longicatena] 
gi|493471392|ref|WP_006426452.1|	hypothetical protein [Dorea longicatena] 
gi|493471394|ref|WP_006426454.1|	RNA polymerase subunit sigma [Dorea longicatena] 
gi|493471395|ref|WP_006426455.1|	hypothetical protein [Dorea longicatena] 
gi|493471397|ref|WP_006426457.1|	hypothetical protein [Dorea longicatena] 
gi|493471399|ref|WP_006426458.1|	hypothetical protein [Dorea longicatena] 
gi|493471400|ref|WP_006426459.1|	hypothetical protein partial [Dorea longicatena] 
gi|493471401|ref|WP_006426460.1|	MULTISPECIES: exodeoxyribonuclease VII [Dorea] 
gi|493471402|ref|WP_006426461.1|	MULTISPECIES: exodeoxyribonuclease VII [Dorea] 
gi|493471403|ref|WP_006426462.1|	MULTISPECIES: farnesyl-diphosphate synthase [Dorea] 
gi|493471404|ref|WP_006426463.1|	1-deoxy-D-xylulose-5-phosphate synthase [Dorea longicatena] 
gi|493471405|ref|WP_006426464.1|	MULTISPECIES: RNA methyltransferase [Dorea] 
gi|493471406|ref|WP_006426465.1|	MULTISPECIES: inorganic polyphosphate/ATP-NAD kinase [Dorea] 
gi|493471407|ref|WP_006426466.1|	MULTISPECIES: arginine repressor ArgR [Dorea] 
gi|493471408|ref|WP_006426467.1|	DNA repair protein RecN [Dorea longicatena] 
gi|493471409|ref|WP_006426468.1|	stage IV sporulation protein B [Dorea longicatena] 
gi|493471410|ref|WP_006426469.1|	sporulation protein [Dorea longicatena] 
gi|493471411|ref|WP_006426470.1|	MULTISPECIES: glycogen synthase [Dorea] 
gi|493471412|ref|WP_006426471.1|	MULTISPECIES: 5,10-methylenetetrahydrofolate reductase [Dorea] 
gi|493471413|ref|WP_006426472.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471414|ref|WP_006426473.1|	homocysteine methyltransferase [Dorea longicatena] 
gi|493471415|ref|WP_006426474.1|	asparagine synthase [Dorea longicatena] 
gi|493471416|ref|WP_006426475.1|	iron hydrogenase [Dorea longicatena] 
gi|493471417|ref|WP_006426476.1|	alanyl-tRNA synthase [Dorea longicatena] 
gi|491794421|ref|WP_005603101.1|	MULTISPECIES: 30S ribosomal protein S21 [Clostridiales] 
gi|493471418|ref|WP_006426477.1|	acetylornithine aminotransferase [Dorea longicatena] 
gi|493471419|ref|WP_006426478.1|	hypothetical protein [Dorea longicatena] 
gi|493471420|ref|WP_006426479.1|	hypothetical protein [Dorea longicatena] 
gi|493471421|ref|WP_006426480.1|	septum formation inhibitor Maf [Dorea longicatena] 
gi|493471422|ref|WP_006426481.1|	MULTISPECIES: aminoacyl-tRNA synthetase [Dorea] 
gi|493471423|ref|WP_006426482.1|	isopentenyl-diphosphate delta-isomerase [Dorea longicatena] 
gi|493471424|ref|WP_006426483.1|	MULTISPECIES: methyltransferase [Dorea] 
gi|493471425|ref|WP_006426484.1|	phosphopantetheine adenylyltransferase [Dorea longicatena] 
gi|493471426|ref|WP_006426485.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471427|ref|WP_006426486.1|	hypothetical protein [Dorea longicatena] 
gi|493471428|ref|WP_006426487.1|	hypothetical protein [Dorea longicatena] 
gi|493471429|ref|WP_006426488.1|	hypothetical protein [Dorea longicatena] 
gi|493471430|ref|WP_006426489.1|	peptidase M20 [Dorea longicatena] 
gi|493471431|ref|WP_006426490.1|	SAM-dependent methyltransferase [Dorea longicatena] 
gi|493471432|ref|WP_006426491.1|	RNA pseudouridine synthase [Dorea longicatena] 
gi|493471433|ref|WP_006426492.1|	hypothetical protein [Dorea longicatena] 
gi|493471434|ref|WP_006426493.1|	short-chain dehydrogenase [Dorea longicatena] 
gi|493471435|ref|WP_006426494.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471436|ref|WP_006426495.1|	MULTISPECIES: pseudouridine synthase [Dorea] 
gi|493471437|ref|WP_006426496.1|	endonuclease [Dorea longicatena] 
gi|493471438|ref|WP_006426497.1|	histidyl-tRNA synthetase [Dorea longicatena] 
gi|493471439|ref|WP_006426498.1|	ATP phosphoribosyltransferase [Dorea longicatena] 
gi|493471440|ref|WP_006426499.1|	histidinol dehydrogenase [Dorea longicatena] 
gi|493471441|ref|WP_006426500.1|	hypothetical protein [Dorea longicatena] 
gi|493471442|ref|WP_006426501.1|	MULTISPECIES: imidazoleglycerol-phosphate dehydratase [Dorea] 
gi|493471443|ref|WP_006426502.1|	imidazole glycerol phosphate synthase [Dorea longicatena] 
gi|493471444|ref|WP_006426503.1|	hypothetical protein [Dorea longicatena] 
gi|493471445|ref|WP_006426504.1|	hypothetical protein [Dorea longicatena] 
gi|493471446|ref|WP_006426505.1|	hypothetical protein [Dorea longicatena] 
gi|493471447|ref|WP_006426506.1|	sodium:dicarboxylate symporter [Dorea longicatena] 
gi|493471448|ref|WP_006426507.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493471449|ref|WP_006426508.1|	XRE family transcriptional regulator [Dorea longicatena] 
gi|493471450|ref|WP_006426509.1|	MULTISPECIES: aminoglycoside 6-adenylyltransferase [Clostridiales] 
gi|493471451|ref|WP_006426510.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471452|ref|WP_006426511.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|493471453|ref|WP_006426512.1|	MULTISPECIES: phosphoglycerate transporter [Lachnospiraceae] 
gi|493471454|ref|WP_006426513.1|	hypothetical protein [Dorea longicatena] 
gi|493471455|ref|WP_006426514.1|	hypothetical protein [Dorea longicatena] 
gi|493471456|ref|WP_006426515.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|493471457|ref|WP_006426516.1|	MULTISPECIES: recombinase [Lachnospiraceae] 
gi|488263605|ref|WP_002334813.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|493471458|ref|WP_006426517.1|	resolvase [Dorea longicatena] 
gi|493471459|ref|WP_006426518.1|	hypothetical protein [Dorea longicatena] 
gi|493471460|ref|WP_006426519.1|	hypothetical protein [Dorea longicatena] 
gi|493471461|ref|WP_006426520.1|	hypothetical protein [Dorea longicatena] 
gi|493471462|ref|WP_006426521.1|	hypothetical protein [Dorea longicatena] 
gi|493471463|ref|WP_006426522.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471464|ref|WP_006426523.1|	hypothetical protein [Dorea longicatena] 
gi|493471465|ref|WP_006426524.1|	hypothetical protein [Dorea longicatena] 
gi|493471466|ref|WP_006426525.1|	bacitracin ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493471467|ref|WP_006426526.1|	hypothetical protein [Dorea longicatena] 
gi|493471469|ref|WP_006426528.1|	hypothetical protein [Dorea longicatena] 
gi|493471471|ref|WP_006426529.1|	hypothetical protein [Dorea longicatena] 
gi|493471472|ref|WP_006426530.1|	hypothetical protein [Dorea longicatena] 
gi|493471473|ref|WP_006426531.1|	hypothetical protein [Dorea longicatena] 
gi|493471474|ref|WP_006426532.1|	hypothetical protein [Dorea longicatena] 
gi|493471475|ref|WP_006426533.1|	hypothetical protein [Dorea longicatena] 
gi|493471476|ref|WP_006426534.1|	MULTISPECIES: bacitracin ABC transporter ATP-binding protein [Dorea] 
gi|493471477|ref|WP_006426535.1|	ArsR family transcriptional regulator [Dorea longicatena] 
gi|493471478|ref|WP_006426536.1|	hypothetical protein [Dorea longicatena] 
gi|493471479|ref|WP_006426537.1|	MULTISPECIES: alkyl hydroperoxide reductase [Dorea] 
gi|493471480|ref|WP_006426538.1|	hypothetical protein [Dorea longicatena] 
gi|493471481|ref|WP_006426539.1|	chemotaxis protein CheY [Dorea longicatena] 
gi|493471482|ref|WP_006426540.1|	histidine kinase [Dorea longicatena] 
gi|493471483|ref|WP_006426541.1|	Fe-S oxidoreductase [Dorea longicatena] 
gi|493471484|ref|WP_006426542.1|	Fe-S oxidoreductase [Dorea longicatena] 
gi|493471485|ref|WP_006426543.1|	MULTISPECIES: prolyl-tRNA synthetase [Dorea] 
gi|493471486|ref|WP_006426544.1|	aspartate kinase [Dorea longicatena] 
gi|493471487|ref|WP_006426545.1|	membrane protein [Dorea longicatena] 
gi|493471488|ref|WP_006426546.1|	metal-dependent hydrolase [Dorea longicatena] 
gi|493471489|ref|WP_006426547.1|	MULTISPECIES: 50S ribosomal protein L21 [Dorea] 
gi|493471490|ref|WP_006426548.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471491|ref|WP_006426549.1|	MULTISPECIES: 50S ribosomal protein L27 [Dorea] 
gi|493471492|ref|WP_006426550.1|	GTPase [Dorea longicatena] 
gi|493471493|ref|WP_006426551.1|	MULTISPECIES: RNA-binding protein [Dorea] 
gi|493471494|ref|WP_006426552.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471495|ref|WP_006426553.1|	phosphodiesterase [Dorea longicatena] 
gi|493471496|ref|WP_006426554.1|	ribosome-associated protein IOJAP [Dorea longicatena] 
gi|493471497|ref|WP_006426555.1|	MULTISPECIES: ArsR family transcriptional regulator [Dorea] 
gi|493471498|ref|WP_006426556.1|	hypothetical protein [Dorea longicatena] 
gi|493471499|ref|WP_006426557.1|	MULTISPECIES: integrase [Dorea] 
gi|493471500|ref|WP_006426558.1|	cytidylate kinase [Dorea longicatena] 
gi|493471501|ref|WP_006426559.1|	RNA pseudouridine synthase [Dorea longicatena] 
gi|493471502|ref|WP_006426560.1|	MULTISPECIES: peptidase A8 [Dorea] 
gi|493471503|ref|WP_006426561.1|	MULTISPECIES: RNA-binding protein [Dorea] 
gi|493471504|ref|WP_006426562.1|	cell division protein SepF [Dorea longicatena] 
gi|493471505|ref|WP_006426563.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471506|ref|WP_006426564.1|	hypothetical protein [Dorea longicatena] 
gi|493471507|ref|WP_006426565.1|	hypothetical protein [Dorea longicatena] 
gi|493471508|ref|WP_006426566.1|	hypothetical protein [Dorea longicatena] 
gi|493471509|ref|WP_006426567.1|	MULTISPECIES: methylglyoxal synthase [Dorea] 
gi|493471510|ref|WP_006426568.1|	rod shape-determining protein RodA [Dorea longicatena] 
gi|493471511|ref|WP_006426569.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471512|ref|WP_006426570.1|	septum site-determining protein MinD [Dorea longicatena] 
gi|493471513|ref|WP_006426571.1|	hypothetical protein [Dorea longicatena] 
gi|493471514|ref|WP_006426572.1|	penicillin-binding protein [Dorea longicatena] 
gi|493471515|ref|WP_006426573.1|	MULTISPECIES: rod shape-determining protein MreD [Dorea] 
gi|493471516|ref|WP_006426574.1|	rod shape-determining protein MreC [Dorea longicatena] 
gi|493471517|ref|WP_006426575.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471518|ref|WP_006426576.1|	hypothetical protein [Dorea longicatena] 
gi|493471519|ref|WP_006426577.1|	hypothetical protein [Dorea longicatena] 
gi|493471520|ref|WP_006426578.1|	hypothetical protein [Dorea longicatena] 
gi|493471521|ref|WP_006426579.1|	pyridine nucleotide-disulfide oxidoreductase [Dorea longicatena] 
gi|493471522|ref|WP_006426580.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471523|ref|WP_006426581.1|	hypothetical protein [Dorea longicatena] 
gi|493471524|ref|WP_006426582.1|	tRNA delta(2)-isopentenylpyrophosphate transferase [Dorea longicatena] 
gi|493471525|ref|WP_006426583.1|	DNA mismatch repair protein MutL [Dorea longicatena] 
gi|493471526|ref|WP_006426584.1|	DNA mismatch repair protein MutS [Dorea longicatena] 
gi|493471527|ref|WP_006426585.1|	hypothetical protein [Dorea longicatena] 
gi|493471528|ref|WP_006426586.1|	MULTISPECIES: radical SAM protein [Dorea] 
gi|493471529|ref|WP_006426587.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493471530|ref|WP_006426588.1|	5-formyltetrahydrofolate cyclo-ligase [Dorea longicatena] 
gi|493471531|ref|WP_006426589.1|	MULTISPECIES: 1-pyrroline-5-carboxylate dehydrogenase [Dorea] 
