gi|493396717|ref|WP_006352832.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397021|ref|WP_006353136.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397022|ref|WP_006353137.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397023|ref|WP_006353138.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397024|ref|WP_006353139.1|	glyoxalase [[Clostridium] methylpentosum] 
gi|493397025|ref|WP_006353140.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397026|ref|WP_006353141.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397027|ref|WP_006353142.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397028|ref|WP_006353143.1|	ABC transporter [[Clostridium] methylpentosum] 
gi|493397029|ref|WP_006353144.1|	GntR family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397030|ref|WP_006353145.1|	pyruvate phosphate dikinase [[Clostridium] methylpentosum] 
gi|493397031|ref|WP_006353146.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397032|ref|WP_006353147.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397033|ref|WP_006353148.1|	N-acetylglucosamine-1-phosphate uridyltransferase [[Clostridium] methylpentosum] 
gi|493397034|ref|WP_006353149.1|	ribose-phosphate pyrophosphokinase [[Clostridium] methylpentosum] 
gi|493397035|ref|WP_006353150.1|	peptidyl-tRNA hydrolase [[Clostridium] methylpentosum] 
gi|493397036|ref|WP_006353151.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397037|ref|WP_006353152.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397038|ref|WP_006353153.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397039|ref|WP_006353154.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397040|ref|WP_006353155.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397041|ref|WP_006353156.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397042|ref|WP_006353157.1|	MFS transporter [[Clostridium] methylpentosum] 
gi|493397043|ref|WP_006353158.1|	3-phosphoglycerate dehydrogenase [[Clostridium] methylpentosum] 
gi|493397044|ref|WP_006353159.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397045|ref|WP_006353160.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397046|ref|WP_006353161.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397047|ref|WP_006353162.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397048|ref|WP_006353163.1|	dipicolinate synthase [[Clostridium] methylpentosum] 
gi|493397049|ref|WP_006353164.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397050|ref|WP_006353165.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397051|ref|WP_006353166.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397052|ref|WP_006353167.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397053|ref|WP_006353168.1|	O-acetylhomoserine aminocarboxypropyltransferase [[Clostridium] methylpentosum] 
gi|493397054|ref|WP_006353169.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397055|ref|WP_006353170.1|	Crp/Fnr family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397056|ref|WP_006353171.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397057|ref|WP_006353172.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397058|ref|WP_006353173.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397059|ref|WP_006353174.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397060|ref|WP_006353175.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397061|ref|WP_006353176.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397062|ref|WP_006353177.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397063|ref|WP_006353178.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397064|ref|WP_006353179.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397065|ref|WP_006353180.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397066|ref|WP_006353181.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397067|ref|WP_006353182.1|	xanthine permease [[Clostridium] methylpentosum] 
gi|493397068|ref|WP_006353183.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397069|ref|WP_006353184.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397070|ref|WP_006353185.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397071|ref|WP_006353186.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397072|ref|WP_006353187.1|	30S ribosomal protein S20 [[Clostridium] methylpentosum] 
gi|493397073|ref|WP_006353188.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397074|ref|WP_006353189.1|	transposase [[Clostridium] methylpentosum] 
gi|493397075|ref|WP_006353190.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397076|ref|WP_006353191.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397077|ref|WP_006353192.1|	methylated-DNA--protein-cysteine methyltransferase [[Clostridium] methylpentosum] 
gi|493397078|ref|WP_006353193.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397079|ref|WP_006353194.1|	membrane protein [[Clostridium] methylpentosum] 
gi|493397080|ref|WP_006353195.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397081|ref|WP_006353196.1|	GMP synthase [[Clostridium] methylpentosum] 
gi|493397082|ref|WP_006353197.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397083|ref|WP_006353198.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397084|ref|WP_006353199.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397085|ref|WP_006353200.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397086|ref|WP_006353201.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397087|ref|WP_006353202.1|	S-ribosylhomocysteinase [[Clostridium] methylpentosum] 
gi|493397088|ref|WP_006353203.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397089|ref|WP_006353204.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397090|ref|WP_006353205.1|	phenylalanyl-tRNA synthetase subunit alpha [[Clostridium] methylpentosum] 
gi|493397091|ref|WP_006353206.1|	phenylalanyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493397092|ref|WP_006353207.1|	methionine aminopeptidase [[Clostridium] methylpentosum] 
gi|493397093|ref|WP_006353208.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397094|ref|WP_006353209.1|	transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397095|ref|WP_006353210.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397096|ref|WP_006353211.1|	hypothetical protein partial [[Clostridium] methylpentosum] 
gi|493397097|ref|WP_006353212.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397098|ref|WP_006353213.1|	methyltransferase [[Clostridium] methylpentosum] 
gi|493397099|ref|WP_006353214.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397100|ref|WP_006353215.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397101|ref|WP_006353216.1|	GTP-binding protein [[Clostridium] methylpentosum] 
gi|493397102|ref|WP_006353217.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397103|ref|WP_006353218.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397104|ref|WP_006353219.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397105|ref|WP_006353220.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397106|ref|WP_006353221.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397107|ref|WP_006353222.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397108|ref|WP_006353223.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397109|ref|WP_006353224.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397110|ref|WP_006353225.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397111|ref|WP_006353226.1|	branched-chain amino acid transporter AzlD [[Clostridium] methylpentosum] 
gi|493397112|ref|WP_006353227.1|	branched-chain amino acid permease [[Clostridium] methylpentosum] 
gi|493397113|ref|WP_006353228.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397114|ref|WP_006353229.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397115|ref|WP_006353230.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397116|ref|WP_006353231.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397117|ref|WP_006353232.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397118|ref|WP_006353233.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397119|ref|WP_006353234.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397120|ref|WP_006353235.1|	molecular chaperone DnaJ [[Clostridium] methylpentosum] 
gi|493397121|ref|WP_006353236.1|	molecular chaperone DnaK [[Clostridium] methylpentosum] 
gi|493397122|ref|WP_006353237.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397123|ref|WP_006353238.1|	HrcA family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397124|ref|WP_006353239.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397125|ref|WP_006353240.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397126|ref|WP_006353241.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397127|ref|WP_006353242.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397128|ref|WP_006353243.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397129|ref|WP_006353244.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397130|ref|WP_006353245.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397131|ref|WP_006353246.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397132|ref|WP_006353247.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397133|ref|WP_006353248.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397134|ref|WP_006353249.1|	ABC transporter [[Clostridium] methylpentosum] 
gi|493397135|ref|WP_006353250.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397136|ref|WP_006353251.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397137|ref|WP_006353252.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397138|ref|WP_006353253.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397139|ref|WP_006353254.1|	beta-lactamase [[Clostridium] methylpentosum] 
gi|493397140|ref|WP_006353255.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397141|ref|WP_006353256.1|	50S ribosomal protein L9 [[Clostridium] methylpentosum] 
gi|493397142|ref|WP_006353257.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397143|ref|WP_006353258.1|	replicative DNA helicase [[Clostridium] methylpentosum] 
gi|493397144|ref|WP_006353259.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397145|ref|WP_006353260.1|	hypoxanthine phosphoribosyltransferase [[Clostridium] methylpentosum] 
gi|493397146|ref|WP_006353261.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397147|ref|WP_006353262.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397148|ref|WP_006353263.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397149|ref|WP_006353264.1|	superoxide dismutase [[Clostridium] methylpentosum] 
gi|493397150|ref|WP_006353265.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397151|ref|WP_006353266.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397152|ref|WP_006353267.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397153|ref|WP_006353268.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397154|ref|WP_006353269.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397155|ref|WP_006353270.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397156|ref|WP_006353271.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397157|ref|WP_006353272.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397158|ref|WP_006353273.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397159|ref|WP_006353274.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397160|ref|WP_006353275.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397161|ref|WP_006353276.1|	methionyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493397162|ref|WP_006353277.1|	hydrolase TatD [[Clostridium] methylpentosum] 
gi|493397163|ref|WP_006353278.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397164|ref|WP_006353279.1|	glycosyl transferase family 1 [[Clostridium] methylpentosum] 
gi|493397165|ref|WP_006353280.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397166|ref|WP_006353281.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397167|ref|WP_006353282.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397168|ref|WP_006353283.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397169|ref|WP_006353284.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397170|ref|WP_006353285.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397171|ref|WP_006353286.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397172|ref|WP_006353287.1|	inorganic pyrophosphatase [[Clostridium] methylpentosum] 
gi|493397173|ref|WP_006353288.1|	inosine 5'-monophosphate dehydrogenase [[Clostridium] methylpentosum] 
gi|493397174|ref|WP_006353289.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397175|ref|WP_006353290.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397176|ref|WP_006353291.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397177|ref|WP_006353292.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397178|ref|WP_006353293.1|	RNA polymerase sigma 70 [[Clostridium] methylpentosum] 
gi|493397179|ref|WP_006353294.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397180|ref|WP_006353295.1|	acetate kinase [[Clostridium] methylpentosum] 
gi|493397181|ref|WP_006353296.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397182|ref|WP_006353297.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397183|ref|WP_006353298.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397184|ref|WP_006353299.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397185|ref|WP_006353300.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397186|ref|WP_006353301.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397187|ref|WP_006353302.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397188|ref|WP_006353303.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397189|ref|WP_006353304.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397190|ref|WP_006353305.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397191|ref|WP_006353306.1|	ornithine carbamoyltransferase [[Clostridium] methylpentosum] 
gi|493397192|ref|WP_006353307.1|	argininosuccinate lyase [[Clostridium] methylpentosum] 
gi|493397193|ref|WP_006353308.1|	argininosuccinate synthase [[Clostridium] methylpentosum] 
gi|493397194|ref|WP_006353309.1|	flavin reductase [[Clostridium] methylpentosum] 
gi|493397195|ref|WP_006353310.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397196|ref|WP_006353311.1|	NADPH-dependent butanol dehydrogenase [[Clostridium] methylpentosum] 
gi|493397197|ref|WP_006353312.1|	ferritin [[Clostridium] methylpentosum] 
gi|493397198|ref|WP_006353313.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397199|ref|WP_006353314.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397200|ref|WP_006353315.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397201|ref|WP_006353316.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397202|ref|WP_006353317.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397203|ref|WP_006353318.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397204|ref|WP_006353319.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397205|ref|WP_006353320.1|	tryptophanyl-tRNA synthetase [[Clostridium] methylpentosum] 
gi|493397206|ref|WP_006353321.1|	NADH-dependent butanol dehydrogenase [[Clostridium] methylpentosum] 
gi|493397207|ref|WP_006353322.1|	branched-chain amino acid aminotransferase [[Clostridium] methylpentosum] 
gi|493397208|ref|WP_006353323.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397209|ref|WP_006353324.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397210|ref|WP_006353325.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397211|ref|WP_006353326.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397212|ref|WP_006353327.1|	ABC transporter permease [[Clostridium] methylpentosum] 
gi|493397213|ref|WP_006353328.1|	ABC transporter ATP-binding protein [[Clostridium] methylpentosum] 
gi|493397214|ref|WP_006353329.1|	AbrB family transcriptional regulator [[Clostridium] methylpentosum] 
gi|493397215|ref|WP_006353330.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397216|ref|WP_006353331.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397217|ref|WP_006353332.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397218|ref|WP_006353333.1|	hydrolase [[Clostridium] methylpentosum] 
gi|493397219|ref|WP_006353334.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397220|ref|WP_006353335.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397221|ref|WP_006353336.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397222|ref|WP_006353337.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397223|ref|WP_006353338.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397224|ref|WP_006353339.1|	hypothetical protein [[Clostridium] methylpentosum] 
gi|493397225|ref|WP_006353340.1|	ATPase [[Clostridium] methylpentosum] 
gi|493397226|ref|WP_006353341.1|	phosphopantetheine adenylyltransferase [[Clostridium] methylpentosum] 
gi|493397227|ref|WP_006353342.1|	RNA methyltransferase [[Clostridium] methylpentosum] 
