gi|493770745|ref|WP_006719278.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771473|ref|WP_006719997.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771474|ref|WP_006719998.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771475|ref|WP_006719999.1|	hypothetical protein [Collinsella stercoris] 
gi|493771476|ref|WP_006720000.1|	hypothetical protein [Collinsella stercoris] 
gi|493771477|ref|WP_006720001.1|	hypothetical protein [Collinsella stercoris] 
gi|493771478|ref|WP_006720002.1|	30S ribosomal protein S30 [Collinsella stercoris] 
gi|493771479|ref|WP_006720003.1|	hypothetical protein [Collinsella stercoris] 
gi|493771480|ref|WP_006720004.1|	3-hydroxyisobutyrate dehydrogenase [Collinsella stercoris] 
gi|493771481|ref|WP_006720005.1|	hypothetical protein [Collinsella stercoris] 
gi|493771482|ref|WP_006720006.1|	hypothetical protein [Collinsella stercoris] 
gi|493771483|ref|WP_006720007.1|	isocitrate dehydrogenase [Collinsella stercoris] 
gi|493771484|ref|WP_006720008.1|	hypothetical protein [Collinsella stercoris] 
gi|493771485|ref|WP_006720009.1|	hypothetical protein [Collinsella stercoris] 
gi|493771486|ref|WP_006720010.1|	hypothetical protein [Collinsella stercoris] 
gi|493771487|ref|WP_006720011.1|	hypothetical protein [Collinsella stercoris] 
gi|493771488|ref|WP_006720012.1|	amidohydrolase [Collinsella stercoris] 
gi|493771489|ref|WP_006720013.1|	hypothetical protein [Collinsella stercoris] 
gi|493771490|ref|WP_006720014.1|	molecular chaperone GroES [Collinsella stercoris] 
gi|493771491|ref|WP_006720015.1|	molecular chaperone GroEL [Collinsella stercoris] 
gi|493771492|ref|WP_006720016.1|	hypothetical protein [Collinsella stercoris] 
gi|493771493|ref|WP_006720017.1|	hypothetical protein [Collinsella stercoris] 
gi|493771494|ref|WP_006720018.1|	hypothetical protein [Collinsella stercoris] 
gi|493771495|ref|WP_006720019.1|	hypothetical protein [Collinsella stercoris] 
gi|493771496|ref|WP_006720020.1|	hypothetical protein [Collinsella stercoris] 
gi|493771497|ref|WP_006720021.1|	hypothetical protein [Collinsella stercoris] 
gi|493771498|ref|WP_006720022.1|	PTS alpha-glucoside transporter subunit IIBC [Collinsella stercoris] 
gi|493771499|ref|WP_006720023.1|	hypothetical protein [Collinsella stercoris] 
gi|493771500|ref|WP_006720024.1|	6-phospho-alpha-glucosidase [Collinsella stercoris] 
gi|493771501|ref|WP_006720025.1|	hypothetical protein [Collinsella stercoris] 
gi|493771502|ref|WP_006720026.1|	4Fe-4S ferredoxin [Collinsella stercoris] 
gi|493771503|ref|WP_006720027.1|	GTP-binding protein YchF [Collinsella stercoris] 
gi|493771504|ref|WP_006720028.1|	hypothetical protein [Collinsella stercoris] 
gi|493771505|ref|WP_006720029.1|	hypothetical protein [Collinsella stercoris] 
gi|493771506|ref|WP_006720030.1|	hypothetical protein [Collinsella stercoris] 
gi|493771507|ref|WP_006720031.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771508|ref|WP_006720032.1|	hypothetical protein [Collinsella stercoris] 
gi|493771509|ref|WP_006720033.1|	hypothetical protein [Collinsella stercoris] 
gi|493771510|ref|WP_006720034.1|	hypothetical protein [Collinsella stercoris] 
gi|493771511|ref|WP_006720035.1|	hypothetical protein [Collinsella stercoris] 
gi|493771512|ref|WP_006720036.1|	hypothetical protein [Collinsella stercoris] 
gi|493771513|ref|WP_006720037.1|	hypothetical protein [Collinsella stercoris] 
gi|493771514|ref|WP_006720038.1|	hypothetical protein [Collinsella stercoris] 
gi|493771515|ref|WP_006720039.1|	3-oxoacyl-ACP reductase [Collinsella stercoris] 
gi|493771516|ref|WP_006720040.1|	DNA ligase [Collinsella stercoris] 
gi|493771517|ref|WP_006720041.1|	hypothetical protein [Collinsella stercoris] 
gi|493771518|ref|WP_006720042.1|	hypothetical protein [Collinsella stercoris] 
gi|493771519|ref|WP_006720043.1|	hypothetical protein [Collinsella stercoris] 
gi|493771520|ref|WP_006720044.1|	hypothetical protein [Collinsella stercoris] 
gi|493771521|ref|WP_006720045.1|	CoA activase [Collinsella stercoris] 
gi|493771522|ref|WP_006720046.1|	hypothetical protein [Collinsella stercoris] 
gi|493771523|ref|WP_006720047.1|	hypothetical protein [Collinsella stercoris] 
gi|493771524|ref|WP_006720048.1|	hypothetical protein [Collinsella stercoris] 
gi|493771525|ref|WP_006720049.1|	hypothetical protein [Collinsella stercoris] 
gi|493771526|ref|WP_006720050.1|	hypothetical protein [Collinsella stercoris] 
gi|493771527|ref|WP_006720051.1|	hypothetical protein [Collinsella stercoris] 
gi|493771528|ref|WP_006720052.1|	phosphohydrolase [Collinsella stercoris] 
gi|493771529|ref|WP_006720053.1|	hypothetical protein [Collinsella stercoris] 
gi|493771530|ref|WP_006720054.1|	membrane protein [Collinsella stercoris] 
gi|493771531|ref|WP_006720055.1|	hypothetical protein [Collinsella stercoris] 
gi|493771532|ref|WP_006720056.1|	hypothetical protein [Collinsella stercoris] 
gi|493771533|ref|WP_006720057.1|	hypothetical protein [Collinsella stercoris] 
gi|493771534|ref|WP_006720058.1|	hypothetical protein [Collinsella stercoris] 
gi|493771535|ref|WP_006720059.1|	hypothetical protein [Collinsella stercoris] 
gi|493771536|ref|WP_006720060.1|	hypothetical protein [Collinsella stercoris] 
gi|493771537|ref|WP_006720061.1|	hypothetical protein [Collinsella stercoris] 
gi|493771538|ref|WP_006720062.1|	hypothetical protein [Collinsella stercoris] 
gi|493771539|ref|WP_006720063.1|	hypothetical protein [Collinsella stercoris] 
gi|493771540|ref|WP_006720064.1|	hypothetical protein [Collinsella stercoris] 
gi|493771541|ref|WP_006720065.1|	hypothetical protein [Collinsella stercoris] 
gi|493771542|ref|WP_006720066.1|	GMP synthase [Collinsella stercoris] 
gi|493771543|ref|WP_006720067.1|	hypothetical protein [Collinsella stercoris] 
gi|493771544|ref|WP_006720068.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771545|ref|WP_006720069.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771546|ref|WP_006720070.1|	ATPase AAA [Collinsella stercoris] 
gi|493771547|ref|WP_006720071.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771548|ref|WP_006720072.1|	hypothetical protein [Collinsella stercoris] 
gi|493771549|ref|WP_006720073.1|	hypothetical protein [Collinsella stercoris] 
gi|493771550|ref|WP_006720074.1|	hypothetical protein [Collinsella stercoris] 
gi|493771552|ref|WP_006720075.1|	hypothetical protein [Collinsella stercoris] 
gi|493771553|ref|WP_006720076.1|	hypothetical protein [Collinsella stercoris] 
gi|493771554|ref|WP_006720077.1|	hypothetical protein [Collinsella stercoris] 
gi|493771555|ref|WP_006720078.1|	hypothetical protein [Collinsella stercoris] 
gi|493771556|ref|WP_006720079.1|	hypothetical protein [Collinsella stercoris] 
gi|493771557|ref|WP_006720080.1|	hypothetical protein [Collinsella stercoris] 
gi|493771558|ref|WP_006720081.1|	hypothetical protein [Collinsella stercoris] 
gi|493771559|ref|WP_006720082.1|	hypothetical protein [Collinsella stercoris] 
gi|493771560|ref|WP_006720083.1|	hypothetical protein [Collinsella stercoris] 
gi|493771561|ref|WP_006720084.1|	integrase [Collinsella stercoris] 
gi|493771562|ref|WP_006720085.1|	hypothetical protein [Collinsella stercoris] 
gi|493771563|ref|WP_006720086.1|	hypothetical protein [Collinsella stercoris] 
gi|493771564|ref|WP_006720087.1|	hypothetical protein [Collinsella stercoris] 
gi|493771565|ref|WP_006720088.1|	molecular chaperone Tir [Collinsella stercoris] 
gi|493771566|ref|WP_006720089.1|	hypothetical protein [Collinsella stercoris] 
gi|493771567|ref|WP_006720090.1|	hypothetical protein [Collinsella stercoris] 
gi|493771568|ref|WP_006720091.1|	hypothetical protein [Collinsella stercoris] 
gi|493771569|ref|WP_006720092.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771570|ref|WP_006720093.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771571|ref|WP_006720094.1|	hypothetical protein [Collinsella stercoris] 
gi|493771572|ref|WP_006720095.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771573|ref|WP_006720096.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771574|ref|WP_006720097.1|	hypothetical protein [Collinsella stercoris] 
gi|493771575|ref|WP_006720098.1|	ABC transporter [Collinsella stercoris] 
gi|493771576|ref|WP_006720099.1|	hypothetical protein [Collinsella stercoris] 
gi|493771577|ref|WP_006720100.1|	hypothetical protein [Collinsella stercoris] 
gi|493771578|ref|WP_006720101.1|	hypothetical protein [Collinsella stercoris] 
gi|493771579|ref|WP_006720102.1|	hypothetical protein [Collinsella stercoris] 
gi|493771580|ref|WP_006720103.1|	hypothetical protein [Collinsella stercoris] 
gi|493771581|ref|WP_006720104.1|	alpha/beta hydrolase [Collinsella stercoris] 
gi|493771582|ref|WP_006720105.1|	hypothetical protein [Collinsella stercoris] 
gi|493771583|ref|WP_006720106.1|	hypothetical protein [Collinsella stercoris] 
gi|493771584|ref|WP_006720107.1|	hypothetical protein [Collinsella stercoris] 
gi|493771585|ref|WP_006720108.1|	ATP-binding protein [Collinsella stercoris] 
gi|493771586|ref|WP_006720109.1|	MULTISPECIES: glyoxalase [Coriobacteriaceae] 
gi|493771587|ref|WP_006720110.1|	hypothetical protein [Collinsella stercoris] 
gi|493771588|ref|WP_006720111.1|	hypothetical protein [Collinsella stercoris] 
gi|493771589|ref|WP_006720112.1|	hypothetical protein [Collinsella stercoris] 
gi|493771590|ref|WP_006720113.1|	hypothetical protein [Collinsella stercoris] 
gi|493771591|ref|WP_006720114.1|	hypothetical protein [Collinsella stercoris] 
gi|493771592|ref|WP_006720115.1|	hypothetical protein [Collinsella stercoris] 
gi|493771593|ref|WP_006720116.1|	hypothetical protein [Collinsella stercoris] 
gi|493771594|ref|WP_006720117.1|	hypothetical protein [Collinsella stercoris] 
gi|493771595|ref|WP_006720118.1|	hypothetical protein [Collinsella stercoris] 
gi|493771596|ref|WP_006720119.1|	hypothetical protein [Collinsella stercoris] 
gi|493771597|ref|WP_006720120.1|	hypothetical protein [Collinsella stercoris] 
gi|493771598|ref|WP_006720121.1|	hypothetical protein [Collinsella stercoris] 
gi|493771599|ref|WP_006720122.1|	hypothetical protein [Collinsella stercoris] 
gi|493771600|ref|WP_006720123.1|	hypothetical protein [Collinsella stercoris] 
gi|493771601|ref|WP_006720124.1|	hypothetical protein [Collinsella stercoris] 
gi|493771602|ref|WP_006720125.1|	hypothetical protein [Collinsella stercoris] 
gi|493771603|ref|WP_006720126.1|	ATP:cob(I)alamin adenosyltransferase [Collinsella stercoris] 
gi|493771604|ref|WP_006720127.1|	hypothetical protein [Collinsella stercoris] 
gi|493771605|ref|WP_006720128.1|	hypothetical protein [Collinsella stercoris] 
gi|493771606|ref|WP_006720129.1|	hypothetical protein [Collinsella stercoris] 
gi|493771608|ref|WP_006720130.1|	hypothetical protein [Collinsella stercoris] 
gi|493771609|ref|WP_006720131.1|	hypothetical protein [Collinsella stercoris] 
gi|493771610|ref|WP_006720132.1|	hypothetical protein [Collinsella stercoris] 
gi|493771611|ref|WP_006720133.1|	ATPase AAA [Collinsella stercoris] 
gi|493771612|ref|WP_006720134.1|	topoisomerase IV [Collinsella stercoris] 
gi|493771613|ref|WP_006720135.1|	DNA topoisomerase [Collinsella stercoris] 
gi|493771614|ref|WP_006720136.1|	hypothetical protein [Collinsella stercoris] 
gi|493771615|ref|WP_006720137.1|	hypothetical protein [Collinsella stercoris] 
gi|493771616|ref|WP_006720138.1|	cell division protein Fic [Collinsella stercoris] 
gi|493771617|ref|WP_006720139.1|	hypothetical protein [Collinsella stercoris] 
gi|493771618|ref|WP_006720140.1|	hypothetical protein [Collinsella stercoris] 
gi|493771619|ref|WP_006720141.1|	type I restriction-modification protein subunit M [Collinsella stercoris] 
gi|493771620|ref|WP_006720142.1|	hypothetical protein [Collinsella stercoris] 
gi|493771621|ref|WP_006720143.1|	hypothetical protein [Collinsella stercoris] 
gi|493771622|ref|WP_006720144.1|	hypothetical protein [Collinsella stercoris] 
gi|493771623|ref|WP_006720145.1|	integrase [Collinsella stercoris] 
gi|493771624|ref|WP_006720146.1|	hypothetical protein [Collinsella stercoris] 
gi|493771625|ref|WP_006720147.1|	DEAD/DEAH box helicase [Collinsella stercoris] 
gi|493771626|ref|WP_006720148.1|	hypothetical protein [Collinsella stercoris] 
gi|493771627|ref|WP_006720149.1|	hypothetical protein [Collinsella stercoris] 
gi|493771628|ref|WP_006720150.1|	hypothetical protein [Collinsella stercoris] 
gi|493771629|ref|WP_006720151.1|	hypothetical protein [Collinsella stercoris] 
gi|493771630|ref|WP_006720152.1|	hypothetical protein [Collinsella stercoris] 
gi|493771631|ref|WP_006720153.1|	hypothetical protein [Collinsella stercoris] 
gi|493771632|ref|WP_006720154.1|	hypothetical protein [Collinsella stercoris] 
gi|493771633|ref|WP_006720155.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771634|ref|WP_006720156.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771635|ref|WP_006720157.1|	hypothetical protein [Collinsella stercoris] 
gi|493771636|ref|WP_006720158.1|	methyltransferase [Collinsella stercoris] 
gi|493771637|ref|WP_006720159.1|	hypothetical protein [Collinsella stercoris] 
gi|493771638|ref|WP_006720160.1|	hypothetical protein [Collinsella stercoris] 
gi|493771639|ref|WP_006720161.1|	hypothetical protein [Collinsella stercoris] 
gi|493771640|ref|WP_006720162.1|	hypothetical protein [Collinsella stercoris] 
gi|493771641|ref|WP_006720163.1|	hypothetical protein [Collinsella stercoris] 
gi|493771642|ref|WP_006720164.1|	hypothetical protein [Collinsella stercoris] 
gi|493771643|ref|WP_006720165.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771644|ref|WP_006720166.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771645|ref|WP_006720167.1|	hypothetical protein [Collinsella stercoris] 
gi|493771646|ref|WP_006720168.1|	hypothetical protein [Collinsella stercoris] 
gi|493771647|ref|WP_006720169.1|	hypothetical protein [Collinsella stercoris] 
gi|493771648|ref|WP_006720170.1|	membrane protein [Collinsella stercoris] 
gi|493771649|ref|WP_006720171.1|	hypothetical protein [Collinsella stercoris] 
gi|493771650|ref|WP_006720172.1|	hypothetical protein [Collinsella stercoris] 
gi|493771651|ref|WP_006720173.1|	hypothetical protein [Collinsella stercoris] 
gi|493771652|ref|WP_006720174.1|	50S ribosomal protein L13 [Collinsella stercoris] 
gi|493771653|ref|WP_006720175.1|	30S ribosomal protein S9 [Collinsella stercoris] 
gi|493771654|ref|WP_006720176.1|	phosphoglucosamine mutase [Collinsella stercoris] 
gi|493771655|ref|WP_006720177.1|	PTS glucose transporter subunit IIA [Collinsella stercoris] 
gi|493771656|ref|WP_006720178.1|	hypothetical protein [Collinsella stercoris] 
gi|493771657|ref|WP_006720179.1|	glucosamine-6-phosphate deaminase [Collinsella stercoris] 
gi|493771658|ref|WP_006720180.1|	phosphoribosyl-ATP pyrophosphohydrolase [Collinsella stercoris] 
gi|493771659|ref|WP_006720181.1|	phosphoribosyl-AMP cyclohydrolase [Collinsella stercoris] 
gi|493771660|ref|WP_006720182.1|	imidazole glycerol phosphate synthase [Collinsella stercoris] 
gi|493771661|ref|WP_006720183.1|	phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [Collinsella stercoris] 
gi|493771662|ref|WP_006720184.1|	imidazole glycerol phosphate synthase [Collinsella stercoris] 
gi|493771663|ref|WP_006720185.1|	imidazoleglycerol-phosphate dehydratase [Collinsella stercoris] 
gi|493771664|ref|WP_006720186.1|	histidinol-phosphate aminotransferase [Collinsella stercoris] 
gi|493771665|ref|WP_006720187.1|	histidinol dehydrogenase [Collinsella stercoris] 
gi|493771666|ref|WP_006720188.1|	ATP phosphoribosyltransferase [Collinsella stercoris] 
gi|493771667|ref|WP_006720189.1|	peptide chain release factor 3 [Collinsella stercoris] 
gi|493771668|ref|WP_006720190.1|	hypothetical protein [Collinsella stercoris] 
gi|493771669|ref|WP_006720191.1|	hypothetical protein [Collinsella stercoris] 
gi|493771670|ref|WP_006720192.1|	protein tyrosine phosphatase [Collinsella stercoris] 
gi|493771671|ref|WP_006720193.1|	hypothetical protein [Collinsella stercoris] 
gi|493771673|ref|WP_006720194.1|	hypothetical protein [Collinsella stercoris] 
gi|493771674|ref|WP_006720195.1|	hypothetical protein [Collinsella stercoris] 
gi|493771675|ref|WP_006720196.1|	peptide transporter [Collinsella stercoris] 
gi|493771676|ref|WP_006720197.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771677|ref|WP_006720198.1|	hypothetical protein partial [Collinsella stercoris] 
gi|493771678|ref|WP_006720199.1|	phospho-2-dehydro-3-deoxyheptonate aldolase [Collinsella stercoris] 
gi|493771679|ref|WP_006720200.1|	hypothetical protein [Collinsella stercoris] 
gi|493771680|ref|WP_006720201.1|	hypothetical protein [Collinsella stercoris] 
gi|493771681|ref|WP_006720202.1|	hypothetical protein [Collinsella stercoris] 
gi|493771682|ref|WP_006720203.1|	hypothetical protein [Collinsella stercoris] 
gi|493771683|ref|WP_006720204.1|	serine protease [Collinsella stercoris] 
gi|493771684|ref|WP_006720205.1|	hypothetical protein [Collinsella stercoris] 
gi|493771685|ref|WP_006720206.1|	hypothetical protein [Collinsella stercoris] 
gi|493771686|ref|WP_006720207.1|	membrane protein [Collinsella stercoris] 
gi|493771687|ref|WP_006720208.1|	aspartate aminotransferase [Collinsella stercoris] 
gi|493771688|ref|WP_006720209.1|	hypothetical protein [Collinsella stercoris] 
gi|493771689|ref|WP_006720210.1|	50S rRNA methyltransferase [Collinsella stercoris] 
gi|493771690|ref|WP_006720211.1|	hypothetical protein [Collinsella stercoris] 
gi|493771691|ref|WP_006720212.1|	rubrerythrin [Collinsella stercoris] 
gi|493771692|ref|WP_006720213.1|	hypothetical protein [Collinsella stercoris] 
