gi|490978215|ref|WP_004839979.1|	beta-galactosidase [[Ruminococcus] gnavus] 
gi|490978540|ref|WP_004840303.1|	nucleotide pyrophosphohydrolase [[Ruminococcus] gnavus] 
gi|490978541|ref|WP_004840304.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978543|ref|WP_004840306.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978544|ref|WP_004840307.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978546|ref|WP_004840309.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978547|ref|WP_004840310.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978548|ref|WP_004840311.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978549|ref|WP_004840312.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978551|ref|WP_004840314.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978552|ref|WP_004840315.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978553|ref|WP_004840316.1|	transposase [[Ruminococcus] gnavus] 
gi|490978556|ref|WP_004840319.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978557|ref|WP_004840320.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978558|ref|WP_004840321.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978561|ref|WP_004840324.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978563|ref|WP_004840326.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978565|ref|WP_004840328.1|	topoisomerase [[Ruminococcus] gnavus] 
gi|490978567|ref|WP_004840330.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978569|ref|WP_004840332.1|	MULTISPECIES: transposase [Lachnospiraceae] 
gi|490978571|ref|WP_004840334.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978573|ref|WP_004840336.1|	MULTISPECIES: protein tyrosine phosphatase [Lachnospiraceae] 
gi|490978575|ref|WP_004840338.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978576|ref|WP_004840339.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978579|ref|WP_004840342.1|	helicase UvrD [[Ruminococcus] gnavus] 
gi|490978580|ref|WP_004840343.1|	aspartate aminotransferase [[Ruminococcus] gnavus] 
gi|490978581|ref|WP_004840344.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978582|ref|WP_004840345.1|	multidrug transporter MatE [[Ruminococcus] gnavus] 
gi|490978584|ref|WP_004840347.1|	D-Ala-D-Ala carboxypeptidase [[Ruminococcus] gnavus] 
gi|490978586|ref|WP_004840349.1|	Ser/Thr phosphatase [[Ruminococcus] gnavus] 
gi|490978587|ref|WP_004840350.1|	chromosome segregation and condensation protein ScpA [[Ruminococcus] gnavus] 
gi|490978588|ref|WP_004840351.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978589|ref|WP_004840352.1|	MULTISPECIES: peptidase S11 [Lachnospiraceae] 
gi|490978591|ref|WP_004840354.1|	MULTISPECIES: 2-isopropylmalate synthase [Lachnospiraceae] 
gi|490978593|ref|WP_004840356.1|	MULTISPECIES: carboxyl transferase [Lachnospiraceae] 
gi|490978597|ref|WP_004840360.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978598|ref|WP_004840361.1|	MULTISPECIES: biotin attachment protein [Lachnospiraceae] 
gi|490978600|ref|WP_004840363.1|	MULTISPECIES: glutaconyl-CoA decarboxylase subunit beta [Clostridiales] 
gi|490978602|ref|WP_004840365.1|	oxaloacetate decarboxylase [[Ruminococcus] gnavus] 
gi|490978603|ref|WP_004840366.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978605|ref|WP_004840368.1|	peptidase M24 [[Ruminococcus] gnavus] 
gi|490978607|ref|WP_004840370.1|	N-acetylmannosamine kinase [[Ruminococcus] gnavus] 
gi|490978610|ref|WP_004840373.1|	FAD-dependent oxidoreductase [[Ruminococcus] gnavus] 
gi|490978611|ref|WP_004840374.1|	MULTISPECIES: cytidylate kinase [Clostridiales] 
gi|490978612|ref|WP_004840375.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [[Ruminococcus] gnavus] 
gi|490978614|ref|WP_004840377.1|	MULTISPECIES: 30S ribosomal protein S1 [Lachnospiraceae] 
gi|490978615|ref|WP_004840378.1|	electron transporter RnfC [[Ruminococcus] gnavus] 
gi|490978618|ref|WP_004840381.1|	phosphoribosylformylglycinamidine synthase [[Ruminococcus] gnavus] 
gi|490978619|ref|WP_004840382.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490978620|ref|WP_004840383.1|	MULTISPECIES: LysR family transcriptional regulator [Clostridiales] 
gi|490978622|ref|WP_004840385.1|	helicase [[Ruminococcus] gnavus] 
gi|490978623|ref|WP_004840386.1|	MULTISPECIES: peptidase [Clostridiales] 
gi|490978625|ref|WP_004840388.1|	membrane protein [[Ruminococcus] gnavus] 
gi|490978627|ref|WP_004840390.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978628|ref|WP_004840391.1|	radical SAM protein [[Ruminococcus] gnavus] 
gi|490978631|ref|WP_004840394.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978632|ref|WP_004840395.1|	MULTISPECIES: PTS galactitol transporter subunit IIC [Clostridiales] 
gi|490978638|ref|WP_004840401.1|	cysteine synthase [[Ruminococcus] gnavus] 
gi|490978639|ref|WP_004840402.1|	Rrf2 family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978641|ref|WP_004840404.1|	Rrf2 family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978643|ref|WP_004840406.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978644|ref|WP_004840407.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978646|ref|WP_004840409.1|	MULTISPECIES: cold-shock protein [Clostridiales] 
gi|490978647|ref|WP_004840410.1|	serine hydroxymethyltransferase [[Ruminococcus] gnavus] 
gi|490978649|ref|WP_004840412.1|	DNA polymerase III subunit alpha [[Ruminococcus] gnavus] 
gi|490978650|ref|WP_004840413.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [[Ruminococcus] gnavus] 
gi|490978653|ref|WP_004840416.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978656|ref|WP_004840419.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978654|ref|WP_004840417.1|	XRE family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978657|ref|WP_004840420.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978660|ref|WP_004840423.1|	histidinol-phosphate aminotransferase [[Ruminococcus] gnavus] 
gi|490978661|ref|WP_004840424.1|	MULTISPECIES: aspartate aminotransferase [Lachnospiraceae] 
gi|490978663|ref|WP_004840426.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978664|ref|WP_004840427.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978666|ref|WP_004840429.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978668|ref|WP_004840431.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978671|ref|WP_004840434.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978672|ref|WP_004840435.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978675|ref|WP_004840438.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978677|ref|WP_004840440.1|	peptide chain release factor 1 [[Ruminococcus] gnavus] 
gi|490978679|ref|WP_004840442.1|	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase [[Ruminococcus] gnavus] 
gi|490978680|ref|WP_004840443.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490978682|ref|WP_004840445.1|	MULTISPECIES: 50S ribosomal protein L31 [Clostridiales] 
gi|490978685|ref|WP_004840448.1|	MULTISPECIES: transporter [Clostridiales] 
gi|490978687|ref|WP_004840450.1|	MULTISPECIES: transcription termination factor Rho [Lachnospiraceae] 
gi|490978689|ref|WP_004840452.1|	malate dehydrogenase [[Ruminococcus] gnavus] 
gi|490978692|ref|WP_004840455.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978693|ref|WP_004840456.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978695|ref|WP_004840458.1|	ATPase AAA [[Ruminococcus] gnavus] 
gi|490978697|ref|WP_004840460.1|	thiamine biosynthesis protein ThiF [[Ruminococcus] gnavus] 
gi|490978698|ref|WP_004840461.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978700|ref|WP_004840463.1|	AraC family transcriptional reguator [[Ruminococcus] gnavus] 
gi|490978703|ref|WP_004840466.1|	MULTISPECIES: galactokinase [Lachnospiraceae] 
gi|490978705|ref|WP_004840468.1|	MULTISPECIES: galactose-1-phosphate uridylyltransferase [Lachnospiraceae] 
gi|490978706|ref|WP_004840469.1|	flavin reductase [[Ruminococcus] gnavus] 
gi|490978708|ref|WP_004840471.1|	MULTISPECIES: inorganic pyrophosphatase [Lachnospiraceae] 
gi|490978709|ref|WP_004840472.1|	MULTISPECIES: S1 RNA binding domain protein [Lachnospiraceae] 
gi|490978710|ref|WP_004840473.1|	ATP-binding protein [[Ruminococcus] gnavus] 
gi|490978712|ref|WP_004840475.1|	ABC transporter substrate-binding protein [[Ruminococcus] gnavus] 
gi|490978713|ref|WP_004840476.1|	MULTISPECIES: iron ABC transporter ATP-binding protein [Clostridiales] 
gi|490978715|ref|WP_004840478.1|	MULTISPECIES: CRISPR-associated protein Cas5 [Clostridiales] 
gi|490978717|ref|WP_004840480.1|	iron ABC transporter permease [[Ruminococcus] gnavus] 
gi|490978719|ref|WP_004840482.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978722|ref|WP_004840485.1|	multidrug transporter MatE [[Ruminococcus] gnavus] 
gi|490978723|ref|WP_004840486.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978725|ref|WP_004840488.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978727|ref|WP_004840490.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978728|ref|WP_004840491.1|	MULTISPECIES: molecular chaperone DnaJ [Lachnospiraceae] 
gi|490978730|ref|WP_004840493.1|	MULTISPECIES: molecular chaperone DnaK [Lachnospiraceae] 
gi|490978732|ref|WP_004840495.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978734|ref|WP_004840497.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978735|ref|WP_004840498.1|	HrcA family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978737|ref|WP_004840500.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978739|ref|WP_004840502.1|	MULTISPECIES: histidine kinase [Lachnospiraceae] 
gi|490978740|ref|WP_004840503.1|	regulator [[Ruminococcus] gnavus] 
gi|490978743|ref|WP_004840506.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978744|ref|WP_004840507.1|	coproporphyrinogen III oxidase [[Ruminococcus] gnavus] 
gi|490978746|ref|WP_004840509.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978749|ref|WP_004840512.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978751|ref|WP_004840514.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978752|ref|WP_004840515.1|	polygalacturonase [[Ruminococcus] gnavus] 
gi|490978755|ref|WP_004840518.1|	MULTISPECIES: LacI family transcriptional regulator [Lachnospiraceae] 
gi|490978756|ref|WP_004840519.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978758|ref|WP_004840521.1|	MULTISPECIES: glyoxalase [Lachnospiraceae] 
gi|490978761|ref|WP_004840524.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978762|ref|WP_004840525.1|	MULTISPECIES: glucuronate isomerase [Lachnospiraceae] 
gi|490978765|ref|WP_004840528.1|	altronate hydrolase [[Ruminococcus] gnavus] 
gi|490978766|ref|WP_004840529.1|	MULTISPECIES: mannitol dehydrogenase [Lachnospiraceae] 
gi|490978768|ref|WP_004840531.1|	GTP-binding protein LepA [[Ruminococcus] gnavus] 
gi|490978770|ref|WP_004840533.1|	DNA polymerase III subunit delta [[Ruminococcus] gnavus] 
gi|490978773|ref|WP_004840536.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978774|ref|WP_004840537.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978777|ref|WP_004840540.1|	CAAX protease [[Ruminococcus] gnavus] 
gi|490978778|ref|WP_004840541.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978780|ref|WP_004840543.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978782|ref|WP_004840545.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978786|ref|WP_004840549.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978784|ref|WP_004840547.1|	resolvase [[Ruminococcus] gnavus] 
gi|490978787|ref|WP_004840550.1|	integrase [[Ruminococcus] gnavus] 
gi|490978789|ref|WP_004840552.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978791|ref|WP_004840554.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978792|ref|WP_004840555.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978794|ref|WP_004840557.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978795|ref|WP_004840558.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978797|ref|WP_004840560.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978799|ref|WP_004840562.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978800|ref|WP_004840563.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978803|ref|WP_004840566.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978804|ref|WP_004840567.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978806|ref|WP_004840569.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|489113266|ref|WP_003023119.1|	MULTISPECIES: recombinase [Blautia] 
gi|489113267|ref|WP_003023120.1|	MULTISPECIES: TnpV protein [Blautia] 
gi|489113269|ref|WP_003023122.1|	MULTISPECIES: ferredoxin [Blautia] 
gi|489113270|ref|WP_003023123.1|	MULTISPECIES: molecular chaperone [Blautia] 
gi|489113272|ref|WP_003023125.1|	MULTISPECIES: hypothetical protein [Blautia] 
gi|490752261|ref|WP_004614569.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978818|ref|WP_004840581.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978820|ref|WP_004840583.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490752260|ref|WP_004614568.1|	MULTISPECIES: choloylglycine hydrolase [Lachnospiraceae] 
gi|490978821|ref|WP_004840584.1|	transposase [[Ruminococcus] gnavus] 
gi|490752258|ref|WP_004614566.1|	MULTISPECIES: transposase [Lachnospiraceae] 
gi|490752264|ref|WP_004614572.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978822|ref|WP_004840585.1|	alkyl hydroperoxide reductase [[Ruminococcus] gnavus] 
gi|490752266|ref|WP_004614574.1|	MULTISPECIES: 4Fe-4S ferredoxin [Lachnospiraceae] 
gi|490160175|ref|WP_004058840.1|	MULTISPECIES: thioredoxin [Clostridiales] 
gi|490978823|ref|WP_004840586.1|	chemotaxis protein CheY [[Ruminococcus] gnavus] 
gi|490752268|ref|WP_004614576.1|	MULTISPECIES: histidine kinase [Lachnospiraceae] 
gi|490752269|ref|WP_004614577.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978826|ref|WP_004840589.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978829|ref|WP_004840592.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978830|ref|WP_004840593.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490752272|ref|WP_004614580.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978832|ref|WP_004840595.1|	lytic transglycosylase [[Ruminococcus] gnavus] 
gi|490978833|ref|WP_004840596.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978836|ref|WP_004840599.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978837|ref|WP_004840600.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978838|ref|WP_004840601.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490752280|ref|WP_004614588.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978839|ref|WP_004840602.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978841|ref|WP_004840604.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978844|ref|WP_004840607.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978845|ref|WP_004840608.1|	MULTISPECIES: S-adenosylmethionine synthetase [Lachnospiraceae] 
gi|490978847|ref|WP_004840610.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978848|ref|WP_004840611.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978851|ref|WP_004840614.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978853|ref|WP_004840616.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978856|ref|WP_004840619.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978857|ref|WP_004840620.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978859|ref|WP_004840622.1|	collagen-binding protein [[Ruminococcus] gnavus] 
gi|490978861|ref|WP_004840624.1|	MULTISPECIES: gamma-glutamyl cyclotransferase [Lachnospiraceae] 
gi|490978863|ref|WP_004840626.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978865|ref|WP_004840628.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978866|ref|WP_004840629.1|	DNA-cytosine methyltransferase [[Ruminococcus] gnavus] 
gi|490978870|ref|WP_004840633.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978869|ref|WP_004840632.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978873|ref|WP_004840636.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978874|ref|WP_004840637.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978876|ref|WP_004840639.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978878|ref|WP_004840641.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978879|ref|WP_004840642.1|	MULTISPECIES: XRE family transcriptional regulator [Lachnospiraceae] 
gi|490978881|ref|WP_004840644.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|490978882|ref|WP_004840645.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978884|ref|WP_004840647.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978886|ref|WP_004840649.1|	cell division protein FtsX [[Ruminococcus] gnavus] 
gi|490978888|ref|WP_004840651.1|	MULTISPECIES: cell division protein FtsX [Lachnospiraceae] 
gi|490978889|ref|WP_004840652.1|	histidine kinase [[Ruminococcus] gnavus] 
gi|490978891|ref|WP_004840654.1|	transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978892|ref|WP_004840655.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978894|ref|WP_004840657.1|	MULTISPECIES: dihydroxyacetone kinase [Lachnospiraceae] 
gi|490978895|ref|WP_004840658.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978897|ref|WP_004840660.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978898|ref|WP_004840661.1|	MULTISPECIES: ribonuclease Z [Lachnospiraceae] 
gi|490978900|ref|WP_004840663.1|	MULTISPECIES: dephospho-CoA kinase [Lachnospiraceae] 
gi|490978901|ref|WP_004840664.1|	DNA polymerase I [[Ruminococcus] gnavus] 
gi|490978902|ref|WP_004840665.1|	acetyltransferase [[Ruminococcus] gnavus] 
gi|490978903|ref|WP_004840666.1|	peptidylprolyl isomerase [[Ruminococcus] gnavus] 
gi|490978904|ref|WP_004840667.1|	hemolysin expression modulating protein [[Ruminococcus] gnavus] 
gi|490978906|ref|WP_004840669.1|	ArsR family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978910|ref|WP_004840673.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978908|ref|WP_004840671.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978911|ref|WP_004840674.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978914|ref|WP_004840677.1|	uracil permease [[Ruminococcus] gnavus] 
gi|490978916|ref|WP_004840679.1|	NADH oxidase [[Ruminococcus] gnavus] 
gi|490978917|ref|WP_004840680.1|	AraC family transcriptional regulator [[Ruminococcus] gnavus] 
gi|490978918|ref|WP_004840681.1|	acetyltransferase [[Ruminococcus] gnavus] 
gi|490978920|ref|WP_004840683.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978922|ref|WP_004840685.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978924|ref|WP_004840687.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|490978925|ref|WP_004840688.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978927|ref|WP_004840690.1|	ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490978929|ref|WP_004840692.1|	ABC transporter ATP-binding protein [[Ruminococcus] gnavus] 
gi|490978931|ref|WP_004840694.1|	MULTISPECIES: TetR family transcriptional regulator [Lachnospiraceae] 
gi|490978933|ref|WP_004840696.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978935|ref|WP_004840698.1|	diaminopimelate decarboxylase [[Ruminococcus] gnavus] 
gi|490978937|ref|WP_004840700.1|	MULTISPECIES: TrmB family transcriptional regulator [Clostridiales] 
gi|490978938|ref|WP_004840701.1|	MULTISPECIES: pyruvate kinase [Lachnospiraceae] 
gi|490978940|ref|WP_004840703.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|490978942|ref|WP_004840705.1|	hypothetical protein [[Ruminococcus] gnavus] 
gi|490978944|ref|WP_004840707.1|	2-hydroxyglutaryl-CoA dehydratase [[Ruminococcus] gnavus] 
gi|490978946|ref|WP_004840709.1|	cotJC protein [[Ruminococcus] gnavus] 
gi|490978947|ref|WP_004840710.1|	ATPase AAA [[Ruminococcus] gnavus] 
