gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490374565|ref|WP_004254167.1|	hypothetical protein [Providencia rettgeri] 
gi|490374566|ref|WP_004254168.1|	S-adenosylmethionine tRNA ribosyltransferase [Providencia rettgeri] 
gi|490374567|ref|WP_004254169.1|	hypothetical protein [Providencia rettgeri] 
gi|490374569|ref|WP_004254171.1|	23S rRNA pseudouridylate synthase B [Providencia rettgeri] 
gi|490374572|ref|WP_004254174.1|	phosphotransferase [Providencia rettgeri] 
gi|490374574|ref|WP_004254176.1|	putative hemagglutination activity domain protein [Providencia rettgeri] 
gi|490374576|ref|WP_004254178.1|	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase [Providencia rettgeri] 
gi|490374579|ref|WP_004254181.1|	oxoacyl-ACP reductase [Providencia rettgeri] 
gi|490374581|ref|WP_004254182.1|	peptidase [Providencia rettgeri] 
gi|490374592|ref|WP_004254193.1|	hypothetical protein [Providencia rettgeri] 
gi|490374594|ref|WP_004254195.1|	topoisomerase I [Providencia rettgeri] 
gi|490374596|ref|WP_004254197.1|	superoxide dismutase [Providencia rettgeri] 
gi|490374598|ref|WP_004254199.1|	metalloendopeptidase [Providencia rettgeri] 
gi|490374601|ref|WP_004254202.1|	CysB family transcriptional regulator [Providencia rettgeri] 
gi|490374604|ref|WP_004254205.1|	aconitate hydratase [Providencia rettgeri] 
gi|490374607|ref|WP_004254208.1|	hypothetical protein [Providencia rettgeri] 
gi|490374610|ref|WP_004254211.1|	hypothetical protein [Providencia rettgeri] 
gi|490374614|ref|WP_004254215.1|	delta-aminolevulinic acid dehydratase [Providencia rettgeri] 
gi|490374615|ref|WP_004254216.1|	GTP cyclohydrolase II [Providencia rettgeri] 
gi|490374616|ref|WP_004254217.1|	phosphatidylglycerophosphatase B [Providencia rettgeri] 
gi|490374618|ref|WP_004254219.1|	membrane protein [Providencia rettgeri] 
gi|490374620|ref|WP_004254221.1|	hypothetical protein [Providencia rettgeri] 
gi|490374622|ref|WP_004254223.1|	orotidine 5'-phosphate decarboxylase [Providencia rettgeri] 
gi|490374624|ref|WP_004254225.1|	translation initiation factor Sui1 [Providencia rettgeri] 
gi|490374626|ref|WP_004254227.1|	transcriptional regulator [Providencia rettgeri] 
gi|490374627|ref|WP_004254228.1|	toxin RelE [Providencia rettgeri] 
gi|490374629|ref|WP_004254230.1|	lipoprotein [Providencia rettgeri] 
gi|490374631|ref|WP_004254232.1|	exoribonuclease II [Providencia rettgeri] 
gi|490374635|ref|WP_004254236.1|	endonuclease IV [Providencia rettgeri] 
gi|490374638|ref|WP_004254239.1|	elongation factor G [Providencia rettgeri] 
gi|490374641|ref|WP_004254242.1|	electron transport complex protein RsxA [Providencia rettgeri] 
gi|490374644|ref|WP_004254245.1|	electron transporter RnfG [Providencia rettgeri] 
gi|490374647|ref|WP_004254248.1|	electron transporter RnfC [Providencia rettgeri] 
gi|490374650|ref|WP_004254251.1|	electron transporter RnfB [Providencia rettgeri] 
gi|490374653|ref|WP_004254254.1|	electron transport complex RsxE subunit [Providencia rettgeri] 
gi|490374656|ref|WP_004254257.1|	membrane protein [Providencia rettgeri] 
gi|490374670|ref|WP_004254271.1|	oxidoreductase [Providencia rettgeri] 
gi|490374675|ref|WP_004254276.1|	hypothetical protein [Providencia rettgeri] 
gi|490374678|ref|WP_004254279.1|	adenosine deaminase [Providencia rettgeri] 
gi|490374681|ref|WP_004254282.1|	hypothetical protein [Providencia rettgeri] 
gi|490374684|ref|WP_004254285.1|	mannose-6-phosphate isomerase [Providencia rettgeri] 
gi|490374689|ref|WP_004254290.1|	fumarate hydratase [Providencia rettgeri] 
gi|490374691|ref|WP_004254292.1|	DNA-binding protein [Providencia rettgeri] 
gi|490374695|ref|WP_004254296.1|	chitin-binding protein/carbohydrate-binding protein [Providencia rettgeri] 
gi|490374698|ref|WP_004254299.1|	membrane protein [Providencia rettgeri] 
gi|490374702|ref|WP_004254303.1|	LysR family transcripitonal regulator [Providencia rettgeri] 
gi|490374704|ref|WP_004254305.1|	protein mlc [Providencia rettgeri] 
gi|490374707|ref|WP_004254308.1|	dithiobiotin synthetase [Providencia rettgeri] 
gi|490374710|ref|WP_004254311.1|	membrane protein [Providencia rettgeri] 
gi|490374713|ref|WP_004254314.1|	hypothetical protein [Providencia rettgeri] 
gi|490374716|ref|WP_004254317.1|	malonic semialdehyde reductase [Providencia rettgeri] 
gi|490374720|ref|WP_004254321.1|	hypothetical protein [Providencia rettgeri] 
gi|490374721|ref|WP_004254322.1|	pectin degradation protein KdgF [Providencia rettgeri] 
gi|490374723|ref|WP_004254324.1|	D-glucarate permease [Providencia rettgeri] 
gi|490374724|ref|WP_004254325.1|	GntR family transcriptional regulator [Providencia rettgeri] 
gi|490374725|ref|WP_004254326.1|	hypothetical protein [Providencia rettgeri] 
gi|490374726|ref|WP_004254327.1|	hypothetical protein [Providencia rettgeri] 
gi|490374727|ref|WP_004254328.1|	tRNA 2-selenouridine synthase [Providencia rettgeri] 
gi|490374728|ref|WP_004254329.1|	membrane protein [Providencia rettgeri] 
gi|490374729|ref|WP_004254330.1|	hypothetical protein [Providencia rettgeri] 
gi|490374730|ref|WP_004254331.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490374733|ref|WP_004254334.1|	MFS transporter [Providencia rettgeri] 
gi|490374736|ref|WP_004254337.1|	TetR family transcriptional regulator [Providencia rettgeri] 
gi|490374740|ref|WP_004254341.1|	hypothetical protein [Providencia rettgeri] 
gi|490374743|ref|WP_004254344.1|	amino acid lyase [Providencia rettgeri] 
gi|490374746|ref|WP_004254347.1|	dioxygenase [Providencia rettgeri] 
gi|490374749|ref|WP_004254350.1|	ABC transporter permease [Providencia rettgeri] 
gi|490374752|ref|WP_004254353.1|	transcriptional regulator [Providencia rettgeri] 
gi|490374756|ref|WP_004254357.1|	SWIM zinc finger [Providencia rettgeri] 
gi|490374760|ref|WP_004254361.1|	hypothetical protein [Providencia rettgeri] 
gi|490374763|ref|WP_004254364.1|	4-aminobutyrate aminotransferase [Providencia rettgeri] 
gi|490374766|ref|WP_004254367.1|	ATPase family protein partial [Providencia rettgeri] 
gi|490374770|ref|WP_004254371.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490374774|ref|WP_004254375.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490374776|ref|WP_004254377.1|	endoribonuclease L-PSP family protein [Providencia rettgeri] 
gi|490374779|ref|WP_004254380.1|	serine/threonine dehydratase [Providencia rettgeri] 
gi|490374781|ref|WP_004254382.1|	DNA-binding protein [Providencia rettgeri] 
gi|490374786|ref|WP_004254387.1|	hydrolase [Providencia rettgeri] 
gi|490374789|ref|WP_004254390.1|	carboxyl esterase [Providencia rettgeri] 
gi|490374792|ref|WP_004254393.1|	polyferredoxin [Providencia rettgeri] 
gi|490374794|ref|WP_004254395.1|	putative type I secretion target GGXGXDXXX repeat-containing domain protein [Providencia rettgeri] 
gi|490374797|ref|WP_004254398.1|	alcohol dehydrogenase [Providencia rettgeri] 
gi|490374800|ref|WP_004254401.1|	putative transport protein partial [Providencia rettgeri] 
gi|490374804|ref|WP_004254405.1|	major facilitator family transporter partial [Providencia rettgeri] 
gi|490374808|ref|WP_004254409.1|	MFS transporter [Providencia rettgeri] 
gi|490374811|ref|WP_004254412.1|	nucleoside permease [Providencia rettgeri] 
gi|490374813|ref|WP_004254414.1|	hypothetical protein [Providencia rettgeri] 
gi|490374816|ref|WP_004254417.1|	ADA regulatory protein [Providencia rettgeri] 
gi|490374819|ref|WP_004254420.1|	AraC family transcriptional regulator [Providencia rettgeri] 
gi|490374822|ref|WP_004254423.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490374826|ref|WP_004254427.1|	sodium:proton antiporter [Providencia rettgeri] 
gi|490374828|ref|WP_004254429.1|	D-cysteine desulfhydrase [Providencia rettgeri] 
gi|490374831|ref|WP_004254432.1|	hypothetical protein [Providencia rettgeri] 
gi|490374835|ref|WP_004254436.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490374839|ref|WP_004254440.1|	alpha/beta hydrolase [Providencia rettgeri] 
gi|490374843|ref|WP_004254444.1|	inositol monophosphatase family protein [Providencia rettgeri] 
gi|490374866|ref|WP_004254467.1|	MFS transporter [Providencia rettgeri] 
gi|490374870|ref|WP_004254471.1|	fructosyl-amino acid oxidase [Providencia rettgeri] 
gi|490374872|ref|WP_004254473.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490374875|ref|WP_004254476.1|	adenylate kinase [Providencia rettgeri] 
gi|490374877|ref|WP_004254478.1|	D-alanine--D-alanine ligase [Providencia rettgeri] 
gi|490374878|ref|WP_004254479.1|	hypothetical protein [Providencia rettgeri] 
gi|490374880|ref|WP_004254481.1|	LysR family transcriptional regulator [Providencia rettgeri] 
gi|490374883|ref|WP_004254484.1|	lysine transporter LysE [Providencia rettgeri] 
gi|490374887|ref|WP_004254488.1|	MutT/NUDIX family protein [Providencia rettgeri] 
gi|490374891|ref|WP_004254492.1|	leucine export protein LeuE [Providencia rettgeri] 
gi|490374894|ref|WP_004254495.1|	branched-chain amino acid ABC transporter permease [Providencia rettgeri] 
gi|490374897|ref|WP_004254498.1|	hypothetical protein [Providencia rettgeri] 
gi|490374900|ref|WP_004254501.1|	hypothetical protein [Providencia rettgeri] 
gi|490374901|ref|WP_004254502.1|	TIGR02293 family toxin-antitoxin system antitoxin component [Providencia rettgeri] 
gi|490374904|ref|WP_004254505.1|	hypothetical protein [Providencia rettgeri] 
gi|490374907|ref|WP_004254508.1|	LysR family transcriptional regulator [Providencia rettgeri] 
gi|490374910|ref|WP_004254511.1|	acetyl-CoA carboxylase subunit alpha [Providencia rettgeri] 
gi|490374914|ref|WP_004254515.1|	MerR family transcriptional regulator [Providencia rettgeri] 
gi|490374917|ref|WP_004254518.1|	acetyltransferase [Providencia rettgeri] 
gi|490374920|ref|WP_004254521.1|	AMP nucleosidase [Providencia rettgeri] 
gi|490374923|ref|WP_004254524.1|	transporter [Providencia rettgeri] 
gi|490374926|ref|WP_004254527.1|	ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490374929|ref|WP_004254530.1|	amino acid ABC transporter permease [Providencia rettgeri] 
gi|490374932|ref|WP_004254533.1|	peptide ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490374935|ref|WP_004254536.1|	hypothetical protein [Providencia rettgeri] 
gi|490374938|ref|WP_004254539.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490374947|ref|WP_004254548.1|	GntR family transcriptional regulator [Providencia rettgeri] 
gi|490374949|ref|WP_004254550.1|	hypothetical protein [Providencia rettgeri] 
gi|490374954|ref|WP_004254555.1|	hypothetical protein [Providencia rettgeri] 
gi|490374957|ref|WP_004254558.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Providencia rettgeri] 
gi|490374960|ref|WP_004254561.1|	hypothetical protein [Providencia rettgeri] 
gi|490374963|ref|WP_004254564.1|	outer membrane usher protein psac partial [Providencia rettgeri] 
gi|490374965|ref|WP_004254566.1|	hypothetical protein [Providencia rettgeri] 
gi|490374968|ref|WP_004254569.1|	hypothetical protein [Providencia rettgeri] 
gi|490374972|ref|WP_004254573.1|	phage transcriptional activator Ogr/Delta [Providencia rettgeri] 
gi|490374977|ref|WP_004254578.1|	hypothetical protein [Providencia rettgeri] 
gi|490374980|ref|WP_004254581.1|	regulatory protein [Providencia rettgeri] 
gi|490374983|ref|WP_004254584.1|	bacteriophage late protein control protein D [Providencia rettgeri] 
gi|490374989|ref|WP_004254590.1|	tail protein [Providencia rettgeri] 
gi|490374993|ref|WP_004254594.1|	major tail tube protein [Providencia rettgeri] 
gi|490374997|ref|WP_004254598.1|	phage tail protein [Providencia rettgeri] 
gi|490375002|ref|WP_004254603.1|	phage tail protein [Providencia rettgeri] 
gi|490375008|ref|WP_004254609.1|	tail assembly protein [Providencia rettgeri] 
gi|490375011|ref|WP_004254612.1|	GTP pyrophosphokinase [Providencia rettgeri] 
gi|490375016|ref|WP_004254617.1|	hypothetical protein [Providencia rettgeri] 
gi|490375021|ref|WP_004254622.1|	putative tail fiber assembly protein [Providencia rettgeri] 
gi|490375026|ref|WP_004254627.1|	phage tail protein [Providencia rettgeri] 
gi|490375029|ref|WP_004254630.1|	tail protein [Providencia rettgeri] 
gi|490375032|ref|WP_004254633.1|	baseplate assembly protein [Providencia rettgeri] 
gi|490375035|ref|WP_004254636.1|	baseplate assembly protein [Providencia rettgeri] 
gi|490375038|ref|WP_004254639.1|	baseplate assembly protein [Providencia rettgeri] 
gi|490375039|ref|WP_004254640.1|	phage morphogeneis protein [Providencia rettgeri] 
gi|490375062|ref|WP_004254663.1|	MULTISPECIES: phage tail protein [Providencia] 
gi|490375066|ref|WP_004254667.1|	putative penicillin-binding protein 2 [Providencia rettgeri] 
gi|490375073|ref|WP_004254674.1|	lysozyme [Providencia rettgeri] 
gi|490375076|ref|WP_004254677.1|	lysozyme [Providencia rettgeri] 
gi|490375079|ref|WP_004254680.1|	potassium channel protein [Providencia rettgeri] 
gi|490375084|ref|WP_004254685.1|	tail protein [Providencia rettgeri] 
gi|490375088|ref|WP_004254689.1|	capsid assembly protein [Providencia rettgeri] 
gi|490375092|ref|WP_004254693.1|	terminase endonuclease subunit partial [Providencia rettgeri] 
gi|490375097|ref|WP_004254698.1|	phage small terminase subunit partial [Providencia rettgeri] 
gi|490375102|ref|WP_004254703.1|	capsid protein [Providencia rettgeri] 
gi|490375105|ref|WP_004254706.1|	phage capsid protein [Providencia rettgeri] 
gi|490375111|ref|WP_004254712.1|	terminase [Providencia rettgeri] 
gi|490375114|ref|WP_004254715.1|	phage portal protein PBSX family [Providencia rettgeri] 
gi|490375118|ref|WP_004254719.1|	hypothetical protein [Providencia rettgeri] 
gi|490375122|ref|WP_004254723.1|	modification methylase [Providencia rettgeri] 
gi|490375126|ref|WP_004254727.1|	type II restriction endonuclease Eco47II [Providencia rettgeri] 
gi|490375128|ref|WP_004254729.1|	hypothetical protein [Providencia rettgeri] 
gi|490375133|ref|WP_004254734.1|	hypothetical protein [Providencia rettgeri] 
gi|490375138|ref|WP_004254739.1|	hypothetical protein [Providencia rettgeri] 
gi|490375143|ref|WP_004254744.1|	hypothetical protein [Providencia rettgeri] 
gi|490375146|ref|WP_004254747.1|	hypothetical protein [Providencia rettgeri] 
gi|490375149|ref|WP_004254750.1|	methyl-accepting chemotaxis protein [Providencia rettgeri] 
gi|490375153|ref|WP_004254754.1|	hypothetical protein [Providencia rettgeri] 
gi|490375159|ref|WP_004254760.1|	regulatory protein [Providencia rettgeri] 
gi|490375164|ref|WP_004254765.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490375168|ref|WP_004254769.1|	integrase [Providencia rettgeri] 
gi|490375173|ref|WP_004254774.1|	hypothetical protein [Providencia rettgeri] 
gi|490375180|ref|WP_004254781.1|	alkyl hydroperoxide reductase subunit F [Providencia rettgeri] 
gi|490375183|ref|WP_004254784.1|	alkyl hydroperoxide reductase subunit C [Providencia rettgeri] 
gi|490375186|ref|WP_004254787.1|	membrane protein [Providencia rettgeri] 
gi|490375188|ref|WP_004254789.1|	multidrug ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490375191|ref|WP_004254792.1|	membrane protein [Providencia rettgeri] 
gi|490375195|ref|WP_004254796.1|	GNAT family acetyltransferase [Providencia rettgeri] 
gi|490375199|ref|WP_004254800.1|	ABC transporter [Providencia rettgeri] 
gi|490375203|ref|WP_004254804.1|	DEAD/DEAH box helicase [Providencia rettgeri] 
gi|490375207|ref|WP_004254808.1|	PadR family transcriptional regulator [Providencia rettgeri] 
gi|490375210|ref|WP_004254811.1|	tyrosine transporter TyrP [Providencia rettgeri] 
gi|490375213|ref|WP_004254814.1|	decarboxylase [Providencia rettgeri] 
gi|490375215|ref|WP_004254816.1|	zinc-binding dehydrogenase [Providencia rettgeri] 
gi|490375220|ref|WP_004254821.1|	fumarate/nitrate reduction transcriptional regulator [Providencia rettgeri] 
gi|490375223|ref|WP_004254824.1|	universal stress protein E [Providencia rettgeri] 
gi|490375226|ref|WP_004254827.1|	TetR family transcriptional regulator [Providencia rettgeri] 
gi|490375228|ref|WP_004254829.1|	MFS transporter [Providencia rettgeri] 
gi|490375231|ref|WP_004254832.1|	NADP transhydrogenase subunit beta [Providencia rettgeri] 
gi|490375234|ref|WP_004254835.1|	NADP transhydrogenase subunit beta [Providencia rettgeri] 
gi|490375236|ref|WP_004254837.1|	NAD(P) transhydrogenase subunit alpha [Providencia rettgeri] 
gi|490375240|ref|WP_004254841.1|	hypothetical protein [Providencia rettgeri] 
gi|490375243|ref|WP_004254844.1|	arginine:ornithine antiporter [Providencia rettgeri] 
gi|490375248|ref|WP_004254849.1|	RNA helicase [Providencia rettgeri] 
gi|490375252|ref|WP_004254853.1|	azoreductase [Providencia rettgeri] 
gi|490375255|ref|WP_004254856.1|	hypothetical protein [Providencia rettgeri] 
gi|490375259|ref|WP_004254860.1|	membrane protein [Providencia rettgeri] 
gi|490375263|ref|WP_004254864.1|	hypothetical protein [Providencia rettgeri] 
gi|490375271|ref|WP_004254872.1|	D-lactate dehydrogenase [Providencia rettgeri] 
gi|490375274|ref|WP_004254875.1|	heat shock protein HslJ [Providencia rettgeri] 
gi|490375277|ref|WP_004254878.1|	glutaredoxin [Providencia rettgeri] 
gi|490375280|ref|WP_004254881.1|	XRE family transcriptional regulator [Providencia rettgeri] 
gi|490375283|ref|WP_004254884.1|	fimbria adhesin protein [Providencia rettgeri] 
gi|490375287|ref|WP_004254888.1|	fimbrial protein [Providencia rettgeri] 
gi|490375310|ref|WP_004254911.1|	molecular chaperone [Providencia rettgeri] 
gi|490375313|ref|WP_004254914.1|	ferrous iron transporter B [Providencia rettgeri] 
gi|490375316|ref|WP_004254917.1|	hypothetical protein [Providencia rettgeri] 
gi|490375319|ref|WP_004254920.1|	hemolysin [Providencia rettgeri] 
gi|490375321|ref|WP_004254922.1|	hypothetical protein [Providencia rettgeri] 
gi|490375323|ref|WP_004254924.1|	hypothetical protein [Providencia rettgeri] 
gi|490375325|ref|WP_004254926.1|	hypothetical protein [Providencia rettgeri] 
gi|490375329|ref|WP_004254930.1|	hypothetical protein [Providencia rettgeri] 
gi|490375333|ref|WP_004254934.1|	fumarylacetoacetate hydrolase family protein partial [Providencia rettgeri] 
gi|490375338|ref|WP_004254939.1|	hypothetical protein [Providencia rettgeri] 
gi|490375340|ref|WP_004254941.1|	hypothetical protein [Providencia rettgeri] 
