gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490457068|ref|WP_004327820.1|	hypothetical protein [Alistipes putredinis] 
gi|490457069|ref|WP_004327821.1|	MULTISPECIES: dihydrolipoamide acyltransferase [Alistipes] 
gi|490457070|ref|WP_004327822.1|	hypothetical protein [Alistipes putredinis] 
gi|490457071|ref|WP_004327823.1|	sodium:proton antiporter [Alistipes putredinis] 
gi|490457072|ref|WP_004327824.1|	hypothetical protein [Alistipes putredinis] 
gi|490457073|ref|WP_004327825.1|	hypothetical protein [Alistipes putredinis] 
gi|490457074|ref|WP_004327826.1|	hypothetical protein [Alistipes putredinis] 
gi|490457075|ref|WP_004327827.1|	MULTISPECIES: preprotein translocase subunit YajC [Alistipes] 
gi|490457076|ref|WP_004327828.1|	hypothetical protein [Alistipes putredinis] 
gi|490457077|ref|WP_004327829.1|	hypothetical protein [Alistipes putredinis] 
gi|490457078|ref|WP_004327830.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457081|ref|WP_004327833.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457083|ref|WP_004327834.1|	hypothetical protein [Alistipes putredinis] 
gi|490457084|ref|WP_004327835.1|	flavoprotein [Alistipes putredinis] 
gi|490457085|ref|WP_004327836.1|	hypothetical protein [Alistipes putredinis] 
gi|490457086|ref|WP_004327837.1|	hypothetical protein [Alistipes putredinis] 
gi|490457087|ref|WP_004327838.1|	hypothetical protein [Alistipes putredinis] 
gi|490457088|ref|WP_004327839.1|	hypothetical protein [Alistipes putredinis] 
gi|490457089|ref|WP_004327840.1|	hypothetical protein [Alistipes putredinis] 
gi|490457092|ref|WP_004327841.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457093|ref|WP_004327842.1|	methyltransferase [Alistipes putredinis] 
gi|490457094|ref|WP_004327843.1|	hypothetical protein [Alistipes putredinis] 
gi|490457095|ref|WP_004327844.1|	hypothetical protein [Alistipes putredinis] 
gi|490457096|ref|WP_004327845.1|	amidohydrolase [Alistipes putredinis] 
gi|490457097|ref|WP_004327846.1|	hypothetical protein [Alistipes putredinis] 
gi|490457098|ref|WP_004327847.1|	6-phosphofructokinase [Alistipes putredinis] 
gi|490457099|ref|WP_004327848.1|	MULTISPECIES: cold-shock protein [Alistipes] 
gi|490457100|ref|WP_004327849.1|	hypothetical protein [Alistipes putredinis] 
gi|490457101|ref|WP_004327850.1|	radical SAM protein [Alistipes putredinis] 
gi|490457102|ref|WP_004327851.1|	hypothetical protein [Alistipes putredinis] 
gi|490457103|ref|WP_004327852.1|	hypothetical protein [Alistipes putredinis] 
gi|490457104|ref|WP_004327853.1|	hypothetical protein [Alistipes putredinis] 
gi|490457105|ref|WP_004327854.1|	hypothetical protein [Alistipes putredinis] 
gi|490457106|ref|WP_004327855.1|	hypothetical protein [Alistipes putredinis] 
gi|490457107|ref|WP_004327856.1|	NADH:flavin oxidoreductase [Alistipes putredinis] 
gi|490457108|ref|WP_004327857.1|	3-oxo-5-alpha-steroid 4-dehydrogenase [Alistipes putredinis] 
gi|490457109|ref|WP_004327858.1|	glutamate decarboxylase [Alistipes putredinis] 
gi|490457110|ref|WP_004327859.1|	hypothetical protein [Alistipes putredinis] 
gi|490457111|ref|WP_004327860.1|	hypothetical protein [Alistipes putredinis] 
gi|490457112|ref|WP_004327861.1|	hypothetical protein [Alistipes putredinis] 
gi|490457113|ref|WP_004327862.1|	hypothetical protein [Alistipes putredinis] 
gi|490457114|ref|WP_004327863.1|	hypothetical protein [Alistipes putredinis] 
gi|490457115|ref|WP_004327864.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457116|ref|WP_004327865.1|	hypothetical protein [Alistipes putredinis] 
gi|490457117|ref|WP_004327866.1|	NAD-dependent deacetylase [Alistipes putredinis] 
gi|490457118|ref|WP_004327867.1|	hypothetical protein [Alistipes putredinis] 
gi|490457119|ref|WP_004327868.1|	hypothetical protein [Alistipes putredinis] 
gi|490457120|ref|WP_004327869.1|	MULTISPECIES: protein kinase [Alistipes] 
gi|490457121|ref|WP_004327870.1|	hypothetical protein [Alistipes putredinis] 
gi|490457122|ref|WP_004327871.1|	hypothetical protein [Alistipes putredinis] 
gi|490457123|ref|WP_004327872.1|	hypothetical protein [Alistipes putredinis] 
gi|490457124|ref|WP_004327873.1|	hypothetical protein [Alistipes putredinis] 
gi|490457127|ref|WP_004327876.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457129|ref|WP_004327878.1|	MULTISPECIES: methylmalonyl-CoA carboxyltransferase [Alistipes] 
gi|490457131|ref|WP_004327879.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457132|ref|WP_004327880.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457133|ref|WP_004327881.1|	glutaconyl-CoA decarboxylase subunit beta [Alistipes putredinis] 
gi|490457134|ref|WP_004327882.1|	hypothetical protein [Alistipes putredinis] 
gi|490457135|ref|WP_004327883.1|	hypothetical protein [Alistipes putredinis] 
gi|490457136|ref|WP_004327884.1|	MULTISPECIES: 50S ribosomal protein L13 [Alistipes] 
gi|490457137|ref|WP_004327885.1|	MULTISPECIES: 30S ribosomal protein S9 [Alistipes] 
gi|490457138|ref|WP_004327886.1|	30S ribosomal protein S2 [Alistipes putredinis] 
gi|490457139|ref|WP_004327887.1|	elongation factor Ts [Alistipes putredinis] 
gi|490457140|ref|WP_004327888.1|	hypothetical protein [Alistipes putredinis] 
gi|490457141|ref|WP_004327889.1|	hypothetical protein [Alistipes putredinis] 
gi|490457143|ref|WP_004327890.1|	hypothetical protein [Alistipes putredinis] 
gi|490457144|ref|WP_004327891.1|	hypothetical protein [Alistipes putredinis] 
gi|490457145|ref|WP_004327892.1|	hypothetical protein [Alistipes putredinis] 
gi|490457146|ref|WP_004327893.1|	hypothetical protein [Alistipes putredinis] 
gi|490457147|ref|WP_004327894.1|	hypothetical protein [Alistipes putredinis] 
gi|490457148|ref|WP_004327895.1|	exodeoxyribonuclease V [Alistipes putredinis] 
gi|490457149|ref|WP_004327896.1|	hypothetical protein [Alistipes putredinis] 
gi|490457150|ref|WP_004327897.1|	hypothetical protein [Alistipes putredinis] 
gi|490457151|ref|WP_004327898.1|	metalloendopeptidase [Alistipes putredinis] 
gi|490457152|ref|WP_004327899.1|	metalloendopeptidase [Alistipes putredinis] 
gi|490457153|ref|WP_004327900.1|	alanyl-tRNA synthetase [Alistipes putredinis] 
gi|490457154|ref|WP_004327901.1|	phosphoglyceromutase [Alistipes putredinis] 
gi|490457155|ref|WP_004327902.1|	hypothetical protein [Alistipes putredinis] 
gi|490457156|ref|WP_004327903.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457157|ref|WP_004327904.1|	MULTISPECIES: 2-hydroxyacid dehydrogenase [Alistipes] 
gi|490457158|ref|WP_004327905.1|	hypothetical protein [Alistipes putredinis] 
gi|490457159|ref|WP_004327906.1|	hypothetical protein [Alistipes putredinis] 
gi|490457160|ref|WP_004327907.1|	MoeB [Alistipes putredinis] 
gi|490457161|ref|WP_004327908.1|	hypothetical protein [Alistipes putredinis] 
gi|490457162|ref|WP_004327909.1|	Na(+)-translocating NADH-quinone reductase subunit A [Alistipes putredinis] 
gi|490457163|ref|WP_004327910.1|	MULTISPECIES: Na(+)-translocating NADH-quinone reductase subunit B [Alistipes] 
gi|490457164|ref|WP_004327911.1|	NADH:quinone oxidoreductase [Alistipes putredinis] 
gi|490457165|ref|WP_004327912.1|	Na(+)-translocating NADH-quinone reductase subunit D [Alistipes putredinis] 
gi|490457166|ref|WP_004327913.1|	Na(+)-translocating NADH-quinone reductase subunit E [Alistipes putredinis] 
gi|490457167|ref|WP_004327914.1|	Na(+)-translocating NADH-quinone reductase subunit F [Alistipes putredinis] 
gi|490457168|ref|WP_004327915.1|	hypothetical protein [Alistipes putredinis] 
gi|490457169|ref|WP_004327916.1|	MULTISPECIES: transcriptional regulator [Alistipes] 
gi|490457170|ref|WP_004327917.1|	hypothetical protein [Alistipes putredinis] 
gi|490457171|ref|WP_004327918.1|	MULTISPECIES: haloacid dehalogenase [Alistipes] 
gi|490457172|ref|WP_004327919.1|	hypothetical protein [Alistipes putredinis] 
gi|490457173|ref|WP_004327920.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457174|ref|WP_004327921.1|	MULTISPECIES: large conductance mechanosensitive channel protein MscL [Alistipes] 
gi|490457175|ref|WP_004327922.1|	hypothetical protein [Alistipes putredinis] 
gi|490457176|ref|WP_004327923.1|	carboxylase [Alistipes putredinis] 
gi|490457177|ref|WP_004327924.1|	hypothetical protein [Alistipes putredinis] 
gi|490457178|ref|WP_004327925.1|	hypothetical protein [Alistipes putredinis] 
gi|490457179|ref|WP_004327926.1|	aspartyl-tRNA amidotransferase subunit B [Alistipes putredinis] 
gi|490457180|ref|WP_004327927.1|	transporter [Alistipes putredinis] 
gi|490457181|ref|WP_004327928.1|	hypothetical protein [Alistipes putredinis] 
gi|490457182|ref|WP_004327929.1|	recombinase [Alistipes putredinis] 
gi|490457183|ref|WP_004327930.1|	hypothetical protein [Alistipes putredinis] 
gi|490457186|ref|WP_004327933.1|	MULTISPECIES: saccharopine dehydrogenase [Alistipes] 
gi|490457188|ref|WP_004327935.1|	MULTISPECIES: carboxynorspermidine decarboxylase [Alistipes] 
gi|490457190|ref|WP_004327937.1|	hypothetical protein [Alistipes putredinis] 
gi|490457192|ref|WP_004327938.1|	hypothetical protein [Alistipes putredinis] 
gi|490457193|ref|WP_004327939.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457194|ref|WP_004327940.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490457195|ref|WP_004327941.1|	membrane protein [Alistipes putredinis] 
gi|490457196|ref|WP_004327942.1|	protoporphyrin IX magnesium chelatase [Alistipes putredinis] 
gi|490457197|ref|WP_004327943.1|	hypothetical protein [Alistipes putredinis] 
gi|490457198|ref|WP_004327944.1|	MULTISPECIES: TonB-dependent receptor [Alistipes] 
gi|490457199|ref|WP_004327945.1|	MULTISPECIES: transglycosylase [Alistipes] 
gi|490457200|ref|WP_004327946.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457201|ref|WP_004327947.1|	hypothetical protein [Alistipes putredinis] 
gi|490457202|ref|WP_004327948.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457203|ref|WP_004327949.1|	urocanate hydratase [Alistipes putredinis] 
gi|490457205|ref|WP_004327950.1|	histidine ammonia-lyase [Alistipes putredinis] 
gi|490457206|ref|WP_004327951.1|	imidazolonepropionase [Alistipes putredinis] 
gi|490457207|ref|WP_004327952.1|	hypothetical protein [Alistipes putredinis] 
gi|490457208|ref|WP_004327953.1|	short-chain dehydrogenase [Alistipes putredinis] 
gi|490457209|ref|WP_004327954.1|	transporter [Alistipes putredinis] 
gi|490457210|ref|WP_004327955.1|	hypothetical protein [Alistipes putredinis] 
gi|490457211|ref|WP_004327956.1|	hypothetical protein [Alistipes putredinis] 
gi|490457212|ref|WP_004327957.1|	hypothetical protein [Alistipes putredinis] 
gi|490457213|ref|WP_004327958.1|	hypothetical protein [Alistipes putredinis] 
gi|490457214|ref|WP_004327959.1|	hypothetical protein [Alistipes putredinis] 
gi|490457215|ref|WP_004327960.1|	MULTISPECIES: methyltransferase [Alistipes] 
gi|490457216|ref|WP_004327961.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457217|ref|WP_004327962.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457218|ref|WP_004327963.1|	ATP-dependent endonuclease [Alistipes putredinis] 
gi|490457219|ref|WP_004327964.1|	hypothetical protein [Alistipes putredinis] 
gi|490457220|ref|WP_004327965.1|	DNA glycosylase [Alistipes putredinis] 
gi|490457221|ref|WP_004327966.1|	hypothetical protein [Alistipes putredinis] 
gi|490457222|ref|WP_004327967.1|	hypothetical protein [Alistipes putredinis] 
gi|490457223|ref|WP_004327968.1|	DNA mismatch repair protein MutS [Alistipes putredinis] 
gi|490457224|ref|WP_004327969.1|	hypothetical protein [Alistipes putredinis] 
gi|490457225|ref|WP_004327970.1|	MULTISPECIES: uridine/cytidine kinase [Alistipes] 
gi|490457226|ref|WP_004327971.1|	hypothetical protein [Alistipes putredinis] 
gi|490457227|ref|WP_004327972.1|	DNA-cytosine methyltransferase [Alistipes putredinis] 
gi|490457228|ref|WP_004327973.1|	hypothetical protein [Alistipes putredinis] 
gi|490457229|ref|WP_004327974.1|	phosphonate ABC transporter ATP-binding protein [Alistipes putredinis] 
gi|490457230|ref|WP_004327975.1|	hypothetical protein [Alistipes putredinis] 
gi|490457231|ref|WP_004327976.1|	hypothetical protein [Alistipes putredinis] 
gi|490457232|ref|WP_004327977.1|	diguanylate cyclase [Alistipes putredinis] 
gi|490457233|ref|WP_004327978.1|	hypothetical protein [Alistipes putredinis] 
gi|490457234|ref|WP_004327979.1|	hypothetical protein [Alistipes putredinis] 
gi|490457235|ref|WP_004327980.1|	murein hydrolase transporter LrgA [Alistipes putredinis] 
gi|490457236|ref|WP_004327981.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490457237|ref|WP_004327982.1|	MULTISPECIES: transporter [Alistipes] 
gi|490457238|ref|WP_004327983.1|	hypothetical protein [Alistipes putredinis] 
gi|490457239|ref|WP_004327984.1|	hypothetical protein [Alistipes putredinis] 
gi|490457240|ref|WP_004327985.1|	iron transporter FeoB [Alistipes putredinis] 
gi|490457241|ref|WP_004327986.1|	hypothetical protein [Alistipes putredinis] 
gi|490457242|ref|WP_004327987.1|	histone H1 [Alistipes putredinis] 
gi|490457243|ref|WP_004327988.1|	hypothetical protein [Alistipes putredinis] 
gi|490457244|ref|WP_004327989.1|	membrane protein [Alistipes putredinis] 
gi|490457245|ref|WP_004327990.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457246|ref|WP_004327991.1|	hypothetical protein [Alistipes putredinis] 
gi|490457247|ref|WP_004327992.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457248|ref|WP_004327993.1|	alpha/beta hydrolase [Alistipes putredinis] 
gi|490457249|ref|WP_004327994.1|	phosphotyrosine protein phosphatase [Alistipes putredinis] 
gi|490457250|ref|WP_004327995.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457252|ref|WP_004327997.1|	hypothetical protein [Alistipes putredinis] 
gi|490457254|ref|WP_004327999.1|	MULTISPECIES: 3-oxoacyl-ACP synthase [Alistipes] 
gi|490457256|ref|WP_004328001.1|	hypothetical protein [Alistipes putredinis] 
gi|490457258|ref|WP_004328002.1|	MULTISPECIES: serine hydroxymethyltransferase [Alistipes] 
gi|490457259|ref|WP_004328003.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457260|ref|WP_004328004.1|	esterase [Alistipes putredinis] 
gi|490457261|ref|WP_004328005.1|	glutamine amidotransferase [Alistipes putredinis] 
gi|490457262|ref|WP_004328006.1|	hypothetical protein [Alistipes putredinis] 
gi|490457263|ref|WP_004328007.1|	hypothetical protein [Alistipes putredinis] 
gi|490457264|ref|WP_004328008.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457266|ref|WP_004328009.1|	phosphoglucosamine mutase [Alistipes putredinis] 
gi|490457267|ref|WP_004328010.1|	phosphorylase [Alistipes putredinis] 
gi|490457268|ref|WP_004328011.1|	DNA polymerase III subunit beta [Alistipes putredinis] 
gi|490457269|ref|WP_004328012.1|	DNA polymerase III subunit epsilon [Alistipes putredinis] 
gi|490457270|ref|WP_004328013.1|	transcriptional regulator [Alistipes putredinis] 
gi|490457271|ref|WP_004328014.1|	DNA-binding protein [Alistipes putredinis] 
gi|490457272|ref|WP_004328015.1|	hypothetical protein [Alistipes putredinis] 
gi|490457273|ref|WP_004328016.1|	MULTISPECIES: thioesterase [Alistipes] 
gi|490457274|ref|WP_004328017.1|	heat shock protein Hsp90 [Alistipes putredinis] 
gi|490457275|ref|WP_004328018.1|	MULTISPECIES: thioredoxin [Alistipes] 
gi|490457276|ref|WP_004328019.1|	DNA polymerase III subunit alpha [Alistipes putredinis] 
gi|490457277|ref|WP_004328020.1|	hypothetical protein [Alistipes putredinis] 
gi|490457278|ref|WP_004328021.1|	hypothetical protein [Alistipes putredinis] 
gi|490457279|ref|WP_004328022.1|	shikimate 5-dehydrogenase [Alistipes putredinis] 
gi|490457280|ref|WP_004328023.1|	membrane protein [Alistipes putredinis] 
gi|490457281|ref|WP_004328024.1|	hypothetical protein [Alistipes putredinis] 
gi|490457282|ref|WP_004328025.1|	hypothetical protein [Alistipes putredinis] 
gi|490457283|ref|WP_004328026.1|	hypothetical protein [Alistipes putredinis] 
gi|490457284|ref|WP_004328027.1|	hypothetical protein [Alistipes putredinis] 
gi|490457285|ref|WP_004328028.1|	histidyl-tRNA synthase [Alistipes putredinis] 
gi|490457286|ref|WP_004328029.1|	heme ABC transporter ATP-binding protein [Alistipes putredinis] 
gi|490457287|ref|WP_004328030.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457288|ref|WP_004328031.1|	hypothetical protein [Alistipes putredinis] 
gi|490457289|ref|WP_004328032.1|	hypothetical protein [Alistipes putredinis] 
gi|490457290|ref|WP_004328033.1|	MULTISPECIES: rubrerythrin [Alistipes] 
gi|490457291|ref|WP_004328034.1|	capsule biosynthesis protein [Alistipes putredinis] 
gi|490457292|ref|WP_004328035.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490457293|ref|WP_004328036.1|	membrane protein [Alistipes putredinis] 
gi|490457294|ref|WP_004328037.1|	hypothetical protein [Alistipes putredinis] 
gi|490457295|ref|WP_004328038.1|	copper transporter [Alistipes putredinis] 
gi|490457296|ref|WP_004328039.1|	AraC family transcriptional reguator [Alistipes putredinis] 
gi|490457297|ref|WP_004328040.1|	hypothetical protein [Alistipes putredinis] 
gi|490457298|ref|WP_004328041.1|	hypothetical protein [Alistipes putredinis] 
gi|490457299|ref|WP_004328042.1|	hypothetical protein [Alistipes putredinis] 
gi|490457300|ref|WP_004328043.1|	hypothetical protein [Alistipes putredinis] 
gi|490457301|ref|WP_004328044.1|	MULTISPECIES: porin [Alistipes] 
gi|490457302|ref|WP_004328045.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457303|ref|WP_004328046.1|	hypothetical protein [Alistipes putredinis] 
gi|490457304|ref|WP_004328047.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490457305|ref|WP_004328048.1|	multidrug transporter AcrB [Alistipes putredinis] 
gi|490457306|ref|WP_004328049.1|	hypothetical protein [Alistipes putredinis] 
gi|490457307|ref|WP_004328050.1|	hypothetical protein [Alistipes putredinis] 
gi|490457308|ref|WP_004328051.1|	phosphohydrolase [Alistipes putredinis] 
gi|490457309|ref|WP_004328052.1|	hypothetical protein [Alistipes putredinis] 
gi|490457310|ref|WP_004328053.1|	membrane protein [Alistipes putredinis] 
gi|490457311|ref|WP_004328054.1|	hemolysin secretion protein D [Alistipes putredinis] 
gi|490457312|ref|WP_004328055.1|	multidrug ABC transporter permease [Alistipes putredinis] 
gi|490457313|ref|WP_004328056.1|	multidrug ABC transporter permease [Alistipes putredinis] 
gi|490457314|ref|WP_004328057.1|	hypothetical protein [Alistipes putredinis] 
gi|490457315|ref|WP_004328058.1|	hypothetical protein [Alistipes putredinis] 
gi|490457316|ref|WP_004328059.1|	hypothetical protein [Alistipes putredinis] 
gi|490457317|ref|WP_004328060.1|	MULTISPECIES: acetyltransferase [Alistipes] 
