gi|491500698|ref|WP_005358390.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491501454|ref|WP_005359140.1|	membrane protein [Eubacterium ventriosum] 
gi|491501456|ref|WP_005359142.1|	phosphoenolpyruvate carboxykinase [Eubacterium ventriosum] 
gi|491501457|ref|WP_005359143.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501459|ref|WP_005359145.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501461|ref|WP_005359147.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501466|ref|WP_005359152.1|	membrane protein [Eubacterium ventriosum] 
gi|491501468|ref|WP_005359154.1|	cytidylate kinase [Eubacterium ventriosum] 
gi|491501469|ref|WP_005359155.1|	membrane protein [Eubacterium ventriosum] 
gi|491501470|ref|WP_005359156.1|	LrgA [Eubacterium ventriosum] 
gi|491501471|ref|WP_005359157.1|	MFS transporter [Eubacterium ventriosum] 
gi|491501473|ref|WP_005359159.1|	copper homeostasis protein CutC [Eubacterium ventriosum] 
gi|491501475|ref|WP_005359161.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501476|ref|WP_005359162.1|	cytochrome C2 [Eubacterium ventriosum] 
gi|491501477|ref|WP_005359163.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501482|ref|WP_005359168.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501485|ref|WP_005359171.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501488|ref|WP_005359174.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501496|ref|WP_005359182.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501499|ref|WP_005359185.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501502|ref|WP_005359188.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501504|ref|WP_005359190.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501507|ref|WP_005359193.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501510|ref|WP_005359196.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501512|ref|WP_005359198.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501514|ref|WP_005359200.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501517|ref|WP_005359203.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501520|ref|WP_005359206.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501522|ref|WP_005359208.1|	transcriptional regulator [Eubacterium ventriosum] 
gi|491501525|ref|WP_005359211.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501527|ref|WP_005359213.1|	sodium-dependent tryptophan transporter [Eubacterium ventriosum] 
gi|491501530|ref|WP_005359216.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501532|ref|WP_005359218.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501534|ref|WP_005359220.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501537|ref|WP_005359223.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501538|ref|WP_005359224.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501540|ref|WP_005359225.1|	MULTISPECIES: multidrug ABC transporter [Clostridiales] 
gi|491501543|ref|WP_005359228.1|	bacteriocin ABC transporter permease [Eubacterium ventriosum] 
gi|491501544|ref|WP_005359229.1|	bacteriocin ABC transporter permease [Eubacterium ventriosum] 
gi|491501545|ref|WP_005359230.1|	lantibiotic ABC transporter ATP-binding protein [Eubacterium ventriosum] 
gi|491501547|ref|WP_005359232.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501549|ref|WP_005359234.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501551|ref|WP_005359236.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501553|ref|WP_005359238.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501555|ref|WP_005359240.1|	multidrug transporter MatE [Eubacterium ventriosum] 
gi|491501556|ref|WP_005359241.1|	methionyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491501557|ref|WP_005359242.1|	integrase [Eubacterium ventriosum] 
gi|491501559|ref|WP_005359244.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501561|ref|WP_005359246.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501563|ref|WP_005359248.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501565|ref|WP_005359250.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501566|ref|WP_005359251.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501568|ref|WP_005359253.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501570|ref|WP_005359255.1|	DNA-binding protein [Eubacterium ventriosum] 
gi|491501572|ref|WP_005359257.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501574|ref|WP_005359259.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501576|ref|WP_005359261.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501577|ref|WP_005359262.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501579|ref|WP_005359264.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501581|ref|WP_005359266.1|	GNAT family acetyltraansferase [Eubacterium ventriosum] 
gi|491501583|ref|WP_005359268.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501585|ref|WP_005359270.1|	hypothetical protein [Eubacterium ventriosum] 
gi|489961230|ref|WP_003864537.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|491501588|ref|WP_005359273.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501590|ref|WP_005359275.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501593|ref|WP_005359278.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501596|ref|WP_005359281.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501600|ref|WP_005359285.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501604|ref|WP_005359289.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501606|ref|WP_005359291.1|	conjugal transfer protein TraG [Eubacterium ventriosum] 
gi|491501608|ref|WP_005359293.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501610|ref|WP_005359295.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501612|ref|WP_005359297.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501629|ref|WP_005359314.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501638|ref|WP_005359323.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491501639|ref|WP_005359324.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501640|ref|WP_005359325.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501643|ref|WP_005359328.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501646|ref|WP_005359331.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501649|ref|WP_005359334.1|	hypothetical protein partial [Eubacterium ventriosum] 
gi|491501661|ref|WP_005359345.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501663|ref|WP_005359347.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501665|ref|WP_005359349.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501666|ref|WP_005359350.1|	inosine 5'-monophosphate dehydrogenase [Eubacterium ventriosum] 
gi|491501668|ref|WP_005359352.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501669|ref|WP_005359353.1|	threonyl-tRNA synthase [Eubacterium ventriosum] 
gi|491501671|ref|WP_005359355.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501672|ref|WP_005359356.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501674|ref|WP_005359358.1|	translation initiation factor IF-3 [Eubacterium ventriosum] 
gi|491501678|ref|WP_005359362.1|	50S ribosomal protein L35 [Eubacterium ventriosum] 
gi|491501679|ref|WP_005359363.1|	50S ribosomal protein L20 [Eubacterium ventriosum] 
gi|491501681|ref|WP_005359365.1|	transporter [Eubacterium ventriosum] 
gi|491501682|ref|WP_005359366.1|	ABC transporter [Eubacterium ventriosum] 
gi|491501684|ref|WP_005359368.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501686|ref|WP_005359370.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501688|ref|WP_005359372.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501689|ref|WP_005359373.1|	deoxyguanosinetriphosphate triphosphohydrolase [Eubacterium ventriosum] 
gi|491501691|ref|WP_005359375.1|	DNA primase [Eubacterium ventriosum] 
gi|491501693|ref|WP_005359377.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501695|ref|WP_005359379.1|	ATPase AAA [Eubacterium ventriosum] 
gi|491501697|ref|WP_005359381.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501699|ref|WP_005359383.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501701|ref|WP_005359385.1|	pyridoxal biosynthesis lyase [Eubacterium ventriosum] 
gi|491501702|ref|WP_005359386.1|	glutamine amidotransferase [Eubacterium ventriosum] 
gi|491501704|ref|WP_005359388.1|	purine nucleoside phosphorylase [Eubacterium ventriosum] 
gi|491501706|ref|WP_005359390.1|	aspartate carbamoyltransferase [Eubacterium ventriosum] 
gi|491501707|ref|WP_005359391.1|	aspartate carbamoyltransferase [Eubacterium ventriosum] 
gi|491501709|ref|WP_005359393.1|	hemolysin [Eubacterium ventriosum] 
gi|491501710|ref|WP_005359394.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501720|ref|WP_005359404.1|	radical SAM protein [Eubacterium ventriosum] 
gi|491501722|ref|WP_005359406.1|	preprotein translocase subunit SecD [Eubacterium ventriosum] 
gi|491501723|ref|WP_005359407.1|	single-stranded DNA exonuclease [Eubacterium ventriosum] 
gi|491501724|ref|WP_005359408.1|	adenine phosphoribosyltransferase [Eubacterium ventriosum] 
gi|491501727|ref|WP_005359411.1|	(p)ppGpp synthetase [Eubacterium ventriosum] 
gi|491501729|ref|WP_005359413.1|	beta-lactamase [Eubacterium ventriosum] 
gi|491501731|ref|WP_005359415.1|	coproporphyrinogen III oxidase [Eubacterium ventriosum] 
gi|491501733|ref|WP_005359417.1|	histidyl-tRNA synthetase [Eubacterium ventriosum] 
gi|491501736|ref|WP_005359420.1|	aspartyl-tRNA synthase [Eubacterium ventriosum] 
gi|491501739|ref|WP_005359423.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501742|ref|WP_005359426.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501745|ref|WP_005359429.1|	serine hydroxymethyltransferase [Eubacterium ventriosum] 
gi|491501748|ref|WP_005359432.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501751|ref|WP_005359435.1|	chorismate synthase [Eubacterium ventriosum] 
gi|491501754|ref|WP_005359438.1|	queuine tRNA-ribosyltransferase [Eubacterium ventriosum] 
gi|491501756|ref|WP_005359440.1|	preprotein translocase subunit YidC [Eubacterium ventriosum] 
gi|491501758|ref|WP_005359442.1|	3-isopropylmalate dehydrogenase [Eubacterium ventriosum] 
gi|491501760|ref|WP_005359444.1|	dihydroxy-acid dehydratase [Eubacterium ventriosum] 
gi|491501761|ref|WP_005359445.1|	acetolactate synthase [Eubacterium ventriosum] 
gi|491501764|ref|WP_005359448.1|	MFS transporter [Eubacterium ventriosum] 
gi|491501767|ref|WP_005359451.1|	3-phosphoglycerate dehydrogenase [Eubacterium ventriosum] 
gi|491501769|ref|WP_005359453.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501772|ref|WP_005359456.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501774|ref|WP_005359458.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501775|ref|WP_005359459.1|	argininosuccinate lyase [Eubacterium ventriosum] 
gi|491501776|ref|WP_005359460.1|	diguanylate cyclase [Eubacterium ventriosum] 
gi|491501777|ref|WP_005359461.1|	heat shock protein Hsp90 [Eubacterium ventriosum] 
gi|491501783|ref|WP_005359466.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501785|ref|WP_005359468.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501787|ref|WP_005359470.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501789|ref|WP_005359472.1|	aspartate-semialdehyde dehydrogenase [Eubacterium ventriosum] 
gi|491501791|ref|WP_005359474.1|	membrane protein [Eubacterium ventriosum] 
gi|491501793|ref|WP_005359476.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501794|ref|WP_005359477.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501796|ref|WP_005359479.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501798|ref|WP_005359481.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501803|ref|WP_005359486.1|	nitrogen-fixing protein NifU [Eubacterium ventriosum] 
gi|491501805|ref|WP_005359488.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501807|ref|WP_005359490.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501809|ref|WP_005359492.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501810|ref|WP_005359493.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501812|ref|WP_005359495.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501814|ref|WP_005359497.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501659|ref|WP_005359343.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501822|ref|WP_005359505.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501824|ref|WP_005359507.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501825|ref|WP_005359508.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501826|ref|WP_005359509.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501828|ref|WP_005359511.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501829|ref|WP_005359512.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501831|ref|WP_005359514.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501832|ref|WP_005359515.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501839|ref|WP_005359522.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501842|ref|WP_005359525.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501846|ref|WP_005359529.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491500705|ref|WP_005358397.1|	hydrolase [Eubacterium ventriosum] 
gi|491501849|ref|WP_005359532.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501851|ref|WP_005359534.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501856|ref|WP_005359539.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501883|ref|WP_005359566.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501882|ref|WP_005359565.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501885|ref|WP_005359568.1|	GTP-binding protein EngB [Eubacterium ventriosum] 
gi|491501887|ref|WP_005359570.1|	Lon protease [Eubacterium ventriosum] 
gi|491501889|ref|WP_005359572.1|	ATP-dependent protease [Eubacterium ventriosum] 
gi|491501892|ref|WP_005359575.1|	ATP-dependent Clp protease proteolytic subunit [Eubacterium ventriosum] 
gi|491501895|ref|WP_005359577.1|	trigger factor [Eubacterium ventriosum] 
gi|491501897|ref|WP_005359579.1|	integrase [Eubacterium ventriosum] 
gi|491501899|ref|WP_005359581.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501901|ref|WP_005359583.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501903|ref|WP_005359585.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501905|ref|WP_005359587.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501906|ref|WP_005359588.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501914|ref|WP_005359596.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501917|ref|WP_005359599.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501921|ref|WP_005359603.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501919|ref|WP_005359601.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501923|ref|WP_005359605.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501930|ref|WP_005359612.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501933|ref|WP_005359615.1|	branched-chain amino acid ABC transporter permease [Eubacterium ventriosum] 
gi|491501936|ref|WP_005359618.1|	RNA-directed DNA polymerase [Eubacterium ventriosum] 
gi|491501938|ref|WP_005359620.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501940|ref|WP_005359622.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501943|ref|WP_005359625.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501947|ref|WP_005359629.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501949|ref|WP_005359631.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501951|ref|WP_005359633.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501955|ref|WP_005359637.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501953|ref|WP_005359635.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501957|ref|WP_005359639.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501958|ref|WP_005359640.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501966|ref|WP_005359647.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501967|ref|WP_005359648.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501970|ref|WP_005359651.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501971|ref|WP_005359652.1|	tail protein [Eubacterium ventriosum] 
gi|491501972|ref|WP_005359653.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501973|ref|WP_005359654.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501974|ref|WP_005359655.1|	phage tail protein [Eubacterium ventriosum] 
gi|491501975|ref|WP_005359656.1|	phage tail protein [Eubacterium ventriosum] 
gi|491501978|ref|WP_005359659.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501976|ref|WP_005359657.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501979|ref|WP_005359660.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501980|ref|WP_005359661.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501987|ref|WP_005359668.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501989|ref|WP_005359670.1|	phage capsid protein [Eubacterium ventriosum] 
gi|491501991|ref|WP_005359672.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501993|ref|WP_005359674.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501994|ref|WP_005359675.1|	portal protein [Eubacterium ventriosum] 
gi|491501996|ref|WP_005359677.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491501998|ref|WP_005359679.1|	terminase [Eubacterium ventriosum] 
gi|491502002|ref|WP_005359683.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502000|ref|WP_005359681.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502003|ref|WP_005359684.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502007|ref|WP_005359688.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502005|ref|WP_005359686.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502009|ref|WP_005359690.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502010|ref|WP_005359691.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502011|ref|WP_005359692.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502012|ref|WP_005359693.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502013|ref|WP_005359694.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502014|ref|WP_005359695.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502015|ref|WP_005359696.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502016|ref|WP_005359697.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502020|ref|WP_005359701.1|	hypothetical protein [Eubacterium ventriosum] 
gi|491502022|ref|WP_005359703.1|	hypothetical protein [Eubacterium ventriosum] 
