gi|489924441|ref|WP_003827784.1|	peptide YY [Bifidobacterium breve] 
gi|489924764|ref|WP_003828105.1|	ABC transporter [Bifidobacterium breve] 
gi|489924765|ref|WP_003828106.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924766|ref|WP_003828107.1|	putative cytoplasmic protein [Bifidobacterium breve] 
gi|489924767|ref|WP_003828108.1|	pyridoxal phosphate enzyme YggS family [Bifidobacterium breve] 
gi|489924768|ref|WP_003828109.1|	ribose-phosphate pyrophosphokinase [Bifidobacterium breve] 
gi|489924769|ref|WP_003828110.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924770|ref|WP_003828111.1|	MULTISPECIES: 30S ribosomal protein S6 [Bifidobacterium] 
gi|489924771|ref|WP_003828112.1|	single-stranded DNA-binding protein [Bifidobacterium breve] 
gi|489924772|ref|WP_003828113.1|	30S ribosomal protein S18 [Bifidobacterium breve] 
gi|489924773|ref|WP_003828114.1|	50S ribosomal protein L9 [Bifidobacterium breve] 
gi|489924774|ref|WP_003828115.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924775|ref|WP_003828116.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924776|ref|WP_003828117.1|	transposase [Bifidobacterium breve] 
gi|489924777|ref|WP_003828118.1|	MULTISPECIES: transposase [Bifidobacterium] 
gi|489924778|ref|WP_003828119.1|	MULTISPECIES: export protein [Bifidobacterium] 
gi|489924779|ref|WP_003828120.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bifidobacterium] 
gi|489924780|ref|WP_003828121.1|	response regulator receiver [Bifidobacterium breve] 
gi|489924781|ref|WP_003828122.1|	histidine kinase [Bifidobacterium breve] 
gi|489924782|ref|WP_003828123.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924783|ref|WP_003828124.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924784|ref|WP_003828125.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924785|ref|WP_003828126.1|	IS1557 transposase [Bifidobacterium breve] 
gi|489924786|ref|WP_003828127.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924787|ref|WP_003828128.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924788|ref|WP_003828129.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924789|ref|WP_003828130.1|	MFS transporter [Bifidobacterium breve] 
gi|489924790|ref|WP_003828131.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924791|ref|WP_003828132.1|	toxin-antitoxin system protein [Bifidobacterium breve] 
gi|489924792|ref|WP_003828133.1|	integrase [Bifidobacterium breve] 
gi|489924793|ref|WP_003828134.1|	integrase/recombinase protein [Bifidobacterium breve] 
gi|489924794|ref|WP_003828135.1|	glycerol uptake permease [Bifidobacterium breve] 
gi|489924795|ref|WP_003828136.1|	ATPase [Bifidobacterium breve] 
gi|489924796|ref|WP_003828137.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489924797|ref|WP_003828138.1|	30S ribosomal protein S9 [Bifidobacterium breve] 
gi|489924798|ref|WP_003828139.1|	orotate phosphoribosyltransferase [Bifidobacterium breve] 
gi|489924799|ref|WP_003828140.1|	RNA methyltransferase [Bifidobacterium breve] 
gi|489924800|ref|WP_003828141.1|	putative ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489924801|ref|WP_003828142.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924802|ref|WP_003828143.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924803|ref|WP_003828144.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924804|ref|WP_003828145.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924805|ref|WP_003828146.1|	glutamyl-tRNA amidotransferase subunit C [Bifidobacterium breve] 
gi|489924806|ref|WP_003828147.1|	glutamyl-tRNA amidotransferase subunit A [Bifidobacterium breve] 
gi|489924807|ref|WP_003828148.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [Bifidobacterium breve] 
gi|489924808|ref|WP_003828149.1|	GNAT family acetyltransferase [Bifidobacterium breve] 
gi|489924809|ref|WP_003828150.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489924810|ref|WP_003828151.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924811|ref|WP_003828152.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924812|ref|WP_003828153.1|	transcription termination factor Rho [Bifidobacterium breve] 
gi|489924813|ref|WP_003828154.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924814|ref|WP_003828155.1|	aminotransferase class IV [Bifidobacterium breve] 
gi|489924815|ref|WP_003828156.1|	transposase [Bifidobacterium breve] 
gi|489924816|ref|WP_003828157.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924817|ref|WP_003828158.1|	AraC family transcriptional regulator [Bifidobacterium breve] 
gi|489924818|ref|WP_003828159.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924819|ref|WP_003828160.1|	lactose ABC transporter permease [Bifidobacterium breve] 
gi|489924820|ref|WP_003828161.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924821|ref|WP_003828162.1|	alpha-galactosidase [Bifidobacterium breve] 
gi|489924822|ref|WP_003828163.1|	transposase [Bifidobacterium breve] 
gi|489924823|ref|WP_003828164.1|	chorismate mutase [Bifidobacterium breve] 
gi|489924824|ref|WP_003828165.1|	membrane protein [Bifidobacterium breve] 
gi|489924825|ref|WP_003828166.1|	valyl-tRNA synthetase [Bifidobacterium breve] 
gi|489924826|ref|WP_003828167.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924827|ref|WP_003828168.1|	endonuclease III [Bifidobacterium breve] 
gi|489924828|ref|WP_003828169.1|	transcriptional regulator [Bifidobacterium breve] 
gi|489924829|ref|WP_003828170.1|	membrane protein [Bifidobacterium breve] 
gi|489924830|ref|WP_003828171.1|	membrane protein [Bifidobacterium breve] 
gi|489924831|ref|WP_003828172.1|	MULTISPECIES: inorganic pyrophosphatase [Bifidobacterium] 
gi|489924832|ref|WP_003828173.1|	alpha-1,4-glucan:maltose-1-phosphate maltosyltransferase [Bifidobacterium breve] 
gi|489924833|ref|WP_003828174.1|	cell surface protein [Bifidobacterium breve] 
gi|489924834|ref|WP_003828175.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924835|ref|WP_003828176.1|	homoserine O-succinyltransferase [Bifidobacterium breve] 
gi|489924836|ref|WP_003828177.1|	F0F1 ATP synthase subunit A [Bifidobacterium breve] 
gi|489924837|ref|WP_003828178.1|	ATP synthase subunit C [Bifidobacterium breve] 
gi|489924838|ref|WP_003828179.1|	F0F1 ATP synthase subunit B [Bifidobacterium breve] 
gi|489924839|ref|WP_003828180.1|	F0F1 ATP synthase subunit delta [Bifidobacterium breve] 
gi|489924840|ref|WP_003828181.1|	F0F1 ATP synthase subunit alpha [Bifidobacterium breve] 
gi|489924841|ref|WP_003828182.1|	F0F1 ATP synthase subunit gamma [Bifidobacterium breve] 
gi|489924842|ref|WP_003828183.1|	ATP synthase subunit beta [Bifidobacterium breve] 
gi|489924843|ref|WP_003828184.1|	F0F1 ATP synthase subunit epsilon [Bifidobacterium breve] 
gi|489924844|ref|WP_003828185.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924845|ref|WP_003828186.1|	peptidylprolyl isomerase [Bifidobacterium breve] 
gi|489924846|ref|WP_003828187.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924847|ref|WP_003828188.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924848|ref|WP_003828189.1|	thioredoxin [Bifidobacterium breve] 
gi|489924849|ref|WP_003828190.1|	adenylate cyclase [Bifidobacterium breve] 
gi|489924850|ref|WP_003828191.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924851|ref|WP_003828192.1|	endoribonuclease L-PSP [Bifidobacterium breve] 
gi|489924852|ref|WP_003828193.1|	1-acyl-sn-glycerol-3-phosphate acyltransferase [Bifidobacterium breve] 
gi|489924853|ref|WP_003828194.1|	glycerol-3-phosphate dehydrogenase [Bifidobacterium breve] 
gi|489924854|ref|WP_003828195.1|	D-alanine--D-alanine ligase [Bifidobacterium breve] 
gi|489924855|ref|WP_003828196.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924856|ref|WP_003828197.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924857|ref|WP_003828198.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924858|ref|WP_003828199.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489924859|ref|WP_003828200.1|	CAAX amino protease [Bifidobacterium breve] 
gi|489924860|ref|WP_003828201.1|	transporter [Bifidobacterium breve] 
gi|489924861|ref|WP_003828202.1|	aspartate ammonia-lyase [Bifidobacterium breve] 
gi|489924862|ref|WP_003828203.1|	transposase [Bifidobacterium breve] 
gi|489924863|ref|WP_003828204.1|	phosphoribosylglycinamide formyltransferase [Bifidobacterium breve] 
gi|489924864|ref|WP_003828205.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924865|ref|WP_003828206.1|	permease [Bifidobacterium breve] 
gi|489924866|ref|WP_003828207.1|	putative arylsulfatase-activating protein AslB [Bifidobacterium breve] 
gi|489924867|ref|WP_003828208.1|	LacI family transcriptional regulator [Bifidobacterium breve] 
gi|489924868|ref|WP_003828209.1|	phosphodiesterase [Bifidobacterium breve] 
gi|489924869|ref|WP_003828210.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924870|ref|WP_003828211.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924871|ref|WP_003828212.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924872|ref|WP_003828213.1|	ABC transporter permease [Bifidobacterium breve] 
gi|489924873|ref|WP_003828214.1|	ATPase [Bifidobacterium breve] 
gi|489924874|ref|WP_003828215.1|	transposase [Bifidobacterium breve] 
gi|489924875|ref|WP_003828216.1|	AcrR family transcriptional regulator [Bifidobacterium breve] 
gi|489924876|ref|WP_003828217.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924877|ref|WP_003828218.1|	methylated-DNA--protein-cysteine methyltransferase [Bifidobacterium breve] 
gi|489924878|ref|WP_003828219.1|	4'-phosphopantetheinyl transferase [Bifidobacterium breve] 
gi|489924879|ref|WP_003828220.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924880|ref|WP_003828221.1|	transporter [Bifidobacterium breve] 
gi|489924881|ref|WP_003828222.1|	ATP synthase C chain [Bifidobacterium breve] 
gi|489924882|ref|WP_003828223.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924883|ref|WP_003828224.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924884|ref|WP_003828225.1|	collagen-binding protein [Bifidobacterium breve] 
gi|489924885|ref|WP_003828226.1|	protein Vpu [Bifidobacterium breve] 
gi|489924886|ref|WP_003828227.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924887|ref|WP_003828228.1|	teichoic acid transporter [Bifidobacterium breve] 
gi|489924888|ref|WP_003828229.1|	30S ribosomal protein S15 [Bifidobacterium breve] 
gi|489924889|ref|WP_003828230.1|	polynucleotide phosphorylase [Bifidobacterium breve] 
gi|489924890|ref|WP_003828231.1|	ABC transporter [Bifidobacterium breve] 
gi|489924891|ref|WP_003828232.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924892|ref|WP_003828233.1|	membrane protein [Bifidobacterium breve] 
gi|489924893|ref|WP_003828234.1|	membrane protein [Bifidobacterium breve] 
gi|489924894|ref|WP_003828235.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924895|ref|WP_003828236.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924896|ref|WP_003828237.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924897|ref|WP_003828238.1|	aldo/keto reductase [Bifidobacterium breve] 
gi|489924898|ref|WP_003828239.1|	inosine-uridine nucleoside N-ribohydrolase [Bifidobacterium breve] 
gi|489924899|ref|WP_003828240.1|	ribosome maturation protein RimM [Bifidobacterium breve] 
gi|489924900|ref|WP_003828241.1|	RNA-binding protein [Bifidobacterium breve] 
gi|489924901|ref|WP_003828242.1|	30S ribosomal protein S16 [Bifidobacterium breve] 
gi|489924902|ref|WP_003828243.1|	endonuclease [Bifidobacterium breve] 
gi|489924903|ref|WP_003828244.1|	signal recognition particle [Bifidobacterium breve] 
gi|489924904|ref|WP_003828245.1|	lysine transporter LysE [Bifidobacterium breve] 
gi|489924905|ref|WP_003828246.1|	cobalt transporter [Bifidobacterium breve] 
gi|489924906|ref|WP_003828247.1|	cysteinyl-tRNA synthetase [Bifidobacterium breve] 
gi|489924907|ref|WP_003828248.1|	GMP synthase [Bifidobacterium breve] 
gi|489924908|ref|WP_003828249.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924909|ref|WP_003828250.1|	MULTISPECIES: modification methylase [Bifidobacterium] 
gi|489924910|ref|WP_003828251.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489924911|ref|WP_003828252.1|	pilus biogenesis protein [Bifidobacterium breve] 
gi|489924912|ref|WP_003828253.1|	DNA-binding protein [Bifidobacterium breve] 
gi|489924913|ref|WP_003828254.1|	ABC transporter related protein [Bifidobacterium breve] 
gi|489924914|ref|WP_003828255.1|	acetolactate synthase [Bifidobacterium breve] 
gi|489924915|ref|WP_003828256.1|	acetolactate synthase [Bifidobacterium breve] 
gi|489924916|ref|WP_003828257.1|	ribonuclease III [Bifidobacterium breve] 
gi|489924917|ref|WP_003828258.1|	50S ribosomal protein L32 [Bifidobacterium breve] 
gi|489924918|ref|WP_003828259.1|	DNA-binding protein [Bifidobacterium breve] 
gi|489924919|ref|WP_003828260.1|	cell division protein [Bifidobacterium breve] 
gi|489924920|ref|WP_003828261.1|	phosphopantetheine adenylyltransferase [Bifidobacterium breve] 
gi|489924921|ref|WP_003828262.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924922|ref|WP_003828263.1|	L-glyceraldehyde 3-phosphate reductase [Bifidobacterium breve] 
gi|489924923|ref|WP_003828264.1|	MerR family transcriptional regulator [Bifidobacterium breve] 
gi|489924924|ref|WP_003828265.1|	membrane protein [Bifidobacterium breve] 
gi|489924925|ref|WP_003828266.1|	nicotinate phosphoribosyltransferase [Bifidobacterium breve] 
gi|489924926|ref|WP_003828267.1|	ribonuclease PH [Bifidobacterium breve] 
gi|489924927|ref|WP_003828268.1|	nucleoside-triphosphate diphosphatase [Bifidobacterium breve] 
gi|489924928|ref|WP_003828269.1|	permease [Bifidobacterium breve] 
gi|489924929|ref|WP_003828270.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924930|ref|WP_003828271.1|	glucose-6-phosphate isomerase [Bifidobacterium breve] 
gi|489924931|ref|WP_003828272.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489924932|ref|WP_003828273.1|	sulfonate ABC transporter permease [Bifidobacterium breve] 
gi|489924934|ref|WP_003828275.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924936|ref|WP_003828277.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924937|ref|WP_003828278.1|	50S ribosomal protein L19 [Bifidobacterium breve] 
gi|489924939|ref|WP_003828280.1|	signal peptidase [Bifidobacterium breve] 
gi|489924940|ref|WP_003828281.1|	ribonuclease HII [Bifidobacterium breve] 
gi|489924944|ref|WP_003828285.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489924945|ref|WP_003828286.1|	L-ribulose-5-phosphate 4-epimerase [Bifidobacterium breve] 
gi|489924947|ref|WP_003828288.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924950|ref|WP_003828291.1|	AMP-binding protein [Bifidobacterium breve] 
gi|489924952|ref|WP_003828293.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924954|ref|WP_003828295.1|	putative heme-utilization protein HutZ [Bifidobacterium breve] 
gi|489924955|ref|WP_003828296.1|	arabinose-proton symporter [Bifidobacterium breve] 
gi|489924956|ref|WP_003828297.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924957|ref|WP_003828298.1|	60S ribosomal protein L23 [Bifidobacterium breve] 
gi|489924958|ref|WP_003828299.1|	ABC transporter ATP-binding protein [Bifidobacterium breve] 
gi|489924959|ref|WP_003828300.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Bifidobacterium breve] 
gi|489924960|ref|WP_003828301.1|	putative sugar MFS transporter [Bifidobacterium breve] 
gi|489924961|ref|WP_003828302.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924962|ref|WP_003828303.1|	ABC transporter substrate-binding protein [Bifidobacterium breve] 
gi|489924963|ref|WP_003828304.1|	sugar transport system permease protein partial [Bifidobacterium breve] 
gi|489924964|ref|WP_003828305.1|	putative ABC-type sugar transport system permease component [Bifidobacterium breve] 
gi|489924965|ref|WP_003828306.1|	beta-galactosidase [Bifidobacterium breve] 
gi|489924966|ref|WP_003828307.1|	LacI family transcription regulator [Bifidobacterium breve] 
gi|489924967|ref|WP_003828308.1|	oxidoreductase aldo/keto reductase family [Bifidobacterium breve] 
gi|489924968|ref|WP_003828309.1|	deoxyribonuclease [Bifidobacterium breve] 
gi|489924969|ref|WP_003828310.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924970|ref|WP_003828311.1|	manganese transporter [Bifidobacterium breve] 
gi|489924971|ref|WP_003828312.1|	MFS transporter [Bifidobacterium breve] 
gi|489924972|ref|WP_003828313.1|	chemotaxis protein [Bifidobacterium breve] 
gi|489924973|ref|WP_003828314.1|	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase [Bifidobacterium breve] 
gi|489924974|ref|WP_003828315.1|	low molecular weight protein-tyrosine-phosphatase [Bifidobacterium breve] 
gi|489924975|ref|WP_003828316.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924976|ref|WP_003828317.1|	integrase [Bifidobacterium breve] 
gi|489924977|ref|WP_003828318.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489924978|ref|WP_003828319.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489924979|ref|WP_003828320.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924980|ref|WP_003828321.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489924981|ref|WP_003828322.1|	hypothetical protein [Bifidobacterium breve] 
gi|489924982|ref|WP_003828323.1|	MULTISPECIES: polysaccharide biosynthesis protein [Bifidobacterium] 
gi|489924983|ref|WP_003828324.1|	glycosyl transferase [Bifidobacterium breve] 
gi|489924987|ref|WP_003828328.1|	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase [Bifidobacterium breve] 
gi|489924991|ref|WP_003828332.1|	putative transposase partial [Bifidobacterium breve] 
gi|489924993|ref|WP_003828334.1|	putative transposase [Bifidobacterium breve] 
gi|489924995|ref|WP_003828336.1|	putative deoxyuridine 5'-triphosphate nucleotidohydrolase [Bifidobacterium breve] 
gi|489924997|ref|WP_003828338.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489924999|ref|WP_003828340.1|	peptidase M23 [Bifidobacterium breve] 
gi|489925001|ref|WP_003828342.1|	MULTISPECIES: integrase [Bifidobacterium] 
gi|489925003|ref|WP_003828344.1|	transposase [Bifidobacterium breve] 
gi|489925006|ref|WP_003828347.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489925007|ref|WP_003828348.1|	MULTISPECIES: hypothetical protein [Bifidobacterium] 
gi|489925011|ref|WP_003828352.1|	restriction endonuclease subunit M [Bifidobacterium breve] 
gi|489925014|ref|WP_003828355.1|	transposase [Bifidobacterium breve] 
