gi|489622579|ref|WP_003527019.1|	hypothetical protein partial [[Clostridium] leptum] 
gi|490600524|ref|WP_004465544.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600526|ref|WP_004465546.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600529|ref|WP_004465549.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600528|ref|WP_004465548.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600533|ref|WP_004465553.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600531|ref|WP_004465551.1|	MULTISPECIES: stage III sporulation protein D [Clostridiales] 
gi|490600537|ref|WP_004465557.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600535|ref|WP_004465555.1|	hypothetical protein [[Clostridium] leptum] 
gi|489628898|ref|WP_003533338.1|	hypothetical protein [[Clostridium] leptum] 
gi|488686156|ref|WP_002610375.1|	MULTISPECIES: integrase [Bacteria] 
gi|488686151|ref|WP_002610370.1|	MULTISPECIES: excisionase [Firmicutes] 
gi|488686147|ref|WP_002610366.1|	MULTISPECIES: transcriptional regulator [Firmicutes] 
gi|488686145|ref|WP_002610364.1|	MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Firmicutes] 
gi|490600545|ref|WP_004465565.1|	hypothetical protein [[Clostridium] leptum] 
gi|488686143|ref|WP_002610362.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489623194|ref|WP_003527634.1|	prolyl-tRNA synthetase [[Clostridium] leptum] 
gi|489623196|ref|WP_003527636.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623198|ref|WP_003527638.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623200|ref|WP_003527640.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623202|ref|WP_003527642.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623203|ref|WP_003527643.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623205|ref|WP_003527645.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623207|ref|WP_003527647.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623209|ref|WP_003527649.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623211|ref|WP_003527651.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623213|ref|WP_003527653.1|	glycerol-3-phosphate dehydrogenase [[Clostridium] leptum] 
gi|489623214|ref|WP_003527654.1|	methyltransferase [[Clostridium] leptum] 
gi|489623216|ref|WP_003527656.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623218|ref|WP_003527658.1|	MFS transporter [[Clostridium] leptum] 
gi|489623221|ref|WP_003527661.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623224|ref|WP_003527664.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623225|ref|WP_003527665.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623226|ref|WP_003527666.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623227|ref|WP_003527667.1|	phosphoglycerate mutase [[Clostridium] leptum] 
gi|489623228|ref|WP_003527668.1|	diguanylate cyclase [[Clostridium] leptum] 
gi|489623229|ref|WP_003527669.1|	oxidoreductase [[Clostridium] leptum] 
gi|489623231|ref|WP_003527671.1|	MULTISPECIES: orotidine 5'-phosphate decarboxylase [Clostridiales] 
gi|489623233|ref|WP_003527673.1|	dihydroorotase [[Clostridium] leptum] 
gi|489623235|ref|WP_003527675.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623236|ref|WP_003527676.1|	pyrimidine-nucleoside phosphorylase [[Clostridium] leptum] 
gi|489623238|ref|WP_003527678.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623240|ref|WP_003527680.1|	MULTISPECIES: cytidine deaminase [Clostridiales] 
gi|489623242|ref|WP_003527682.1|	purine nucleoside phosphorylase [[Clostridium] leptum] 
gi|489623244|ref|WP_003527684.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623246|ref|WP_003527686.1|	phosphopentomutase [[Clostridium] leptum] 
gi|489623248|ref|WP_003527688.1|	ribose operon repressor [[Clostridium] leptum] 
gi|489623249|ref|WP_003527689.1|	adenine glycosylase [[Clostridium] leptum] 
gi|489623260|ref|WP_003527700.1|	cobalamin-binding protein [[Clostridium] leptum] 
gi|489623251|ref|WP_003527691.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623261|ref|WP_003527701.1|	thiamine ABC transporter permease [[Clostridium] leptum] 
gi|489623262|ref|WP_003527702.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623263|ref|WP_003527703.1|	MULTISPECIES: PAP2 family phosphoesterase [Clostridiales] 
gi|489623264|ref|WP_003527704.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623265|ref|WP_003527705.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623266|ref|WP_003527706.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623275|ref|WP_003527715.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623277|ref|WP_003527717.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623278|ref|WP_003527718.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623280|ref|WP_003527720.1|	MULTISPECIES: monogalactosyldiacylglycerol synthase [Clostridiales] 
gi|489623282|ref|WP_003527722.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623284|ref|WP_003527724.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623287|ref|WP_003527727.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623289|ref|WP_003527729.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623291|ref|WP_003527731.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623293|ref|WP_003527733.1|	sugar ABC transporter ATP-binding protein [[Clostridium] leptum] 
gi|489623295|ref|WP_003527735.1|	multidrug ABC transporter ATP-binding protein [[Clostridium] leptum] 
gi|489623297|ref|WP_003527737.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623300|ref|WP_003527740.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623301|ref|WP_003527741.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623302|ref|WP_003527742.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623304|ref|WP_003527744.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623303|ref|WP_003527743.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623305|ref|WP_003527745.1|	ribonucleoside triphosphate reductase [[Clostridium] leptum] 
gi|489623306|ref|WP_003527746.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623307|ref|WP_003527747.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623309|ref|WP_003527749.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623311|ref|WP_003527751.1|	spore maturation protein [[Clostridium] leptum] 
gi|489623313|ref|WP_003527753.1|	spore maturation protein A [[Clostridium] leptum] 
gi|489623315|ref|WP_003527755.1|	MULTISPECIES: AbrB family transcriptional regulator [Clostridiales] 
gi|489623316|ref|WP_003527756.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623317|ref|WP_003527757.1|	stage V sporulation protein AF [[Clostridium] leptum] 
gi|489623318|ref|WP_003527758.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623320|ref|WP_003527760.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623321|ref|WP_003527761.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623323|ref|WP_003527763.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623325|ref|WP_003527765.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623327|ref|WP_003527767.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623329|ref|WP_003527769.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623331|ref|WP_003527771.1|	MULTISPECIES: Trk system potassium transporter TrkH [Clostridiales] 
gi|489623333|ref|WP_003527773.1|	MULTISPECIES: potassium transporter TrkA [Clostridiales] 
gi|489623335|ref|WP_003527775.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623337|ref|WP_003527777.1|	MULTISPECIES: phosphoesterase [Clostridiales] 
gi|489623339|ref|WP_003527779.1|	MULTISPECIES: twitching motility protein PilT [Clostridiales] 
gi|489623341|ref|WP_003527781.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623342|ref|WP_003527782.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600602|ref|WP_004465622.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600604|ref|WP_004465624.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600606|ref|WP_004465626.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600608|ref|WP_004465628.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600610|ref|WP_004465630.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600612|ref|WP_004465632.1|	acyltransferase [[Clostridium] leptum] 
gi|490600614|ref|WP_004465634.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600617|ref|WP_004465637.1|	MULTISPECIES: thiol-disulfide isomerase [Clostridiales] 
gi|490600619|ref|WP_004465639.1|	cytochrome C biogenesis protein [[Clostridium] leptum] 
gi|490600621|ref|WP_004465641.1|	Rrf2 family transcriptional regulator [[Clostridium] leptum] 
gi|490600623|ref|WP_004465643.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600625|ref|WP_004465645.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600627|ref|WP_004465647.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|490600629|ref|WP_004465649.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600631|ref|WP_004465651.1|	MULTISPECIES: oxaloacetate decarboxylase [Clostridiales] 
gi|490600633|ref|WP_004465653.1|	acetyl-CoA carboxylase [[Clostridium] leptum] 
gi|490600635|ref|WP_004465655.1|	carboxyl transferase [[Clostridium] leptum] 
gi|490600638|ref|WP_004465658.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600643|ref|WP_004465663.1|	MULTISPECIES: RNA pseudouridine synthase [Clostridiales] 
gi|490600641|ref|WP_004465661.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600645|ref|WP_004465665.1|	D-Ala-D-Ala carboxypeptidase [[Clostridium] leptum] 
gi|490600647|ref|WP_004465667.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600649|ref|WP_004465669.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600651|ref|WP_004465671.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600654|ref|WP_004465674.1|	MULTISPECIES: serine protease [Clostridiales] 
gi|490600656|ref|WP_004465676.1|	peptidase M50 [[Clostridium] leptum] 
gi|490600658|ref|WP_004465678.1|	MULTISPECIES: 50S ribosomal protein L28 [Clostridiales] 
gi|490600659|ref|WP_004465679.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600661|ref|WP_004465681.1|	acyl-phosphate glycerol 3-phosphate acyltransferase [[Clostridium] leptum] 
gi|490600663|ref|WP_004465683.1|	GTP-binding protein Der [[Clostridium] leptum] 
gi|490600666|ref|WP_004465686.1|	Fe-S oxidoreductase [[Clostridium] leptum] 
gi|490600668|ref|WP_004465688.1|	MULTISPECIES: 50S ribosomal protein L32 [Clostridiales] 
gi|490600670|ref|WP_004465690.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600672|ref|WP_004465692.1|	hypothetical protein [[Clostridium] leptum] 
gi|490600675|ref|WP_004465695.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623352|ref|WP_003527792.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623354|ref|WP_003527794.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623359|ref|WP_003527799.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623357|ref|WP_003527797.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623360|ref|WP_003527800.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623362|ref|WP_003527802.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489623364|ref|WP_003527804.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|489623366|ref|WP_003527806.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623368|ref|WP_003527808.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623370|ref|WP_003527810.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623371|ref|WP_003527811.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623372|ref|WP_003527812.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623373|ref|WP_003527813.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623374|ref|WP_003527814.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623375|ref|WP_003527815.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623376|ref|WP_003527816.1|	sugar ABC transporter permease [[Clostridium] leptum] 
gi|489623377|ref|WP_003527817.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623378|ref|WP_003527818.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623379|ref|WP_003527819.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623380|ref|WP_003527820.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623381|ref|WP_003527821.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623382|ref|WP_003527822.1|	multidrug transporter MatE [[Clostridium] leptum] 
gi|489623383|ref|WP_003527823.1|	MULTISPECIES: AsnC family transcriptional regulator [Clostridiales] 
gi|489623384|ref|WP_003527824.1|	multidrug transporter MatE [[Clostridium] leptum] 
gi|489623386|ref|WP_003527826.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623388|ref|WP_003527828.1|	glycosyl hydrolase family 3 [[Clostridium] leptum] 
gi|489623390|ref|WP_003527830.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623392|ref|WP_003527832.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623393|ref|WP_003527833.1|	MULTISPECIES: methyltransferase [Clostridiales] 
gi|489623394|ref|WP_003527834.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623395|ref|WP_003527835.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623396|ref|WP_003527836.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623397|ref|WP_003527837.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623399|ref|WP_003527839.1|	fucose isomerase [[Clostridium] leptum] 
gi|489623400|ref|WP_003527840.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623402|ref|WP_003527842.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623404|ref|WP_003527844.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623406|ref|WP_003527846.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623407|ref|WP_003527847.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623409|ref|WP_003527849.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|489623411|ref|WP_003527851.1|	acetyl-CoA synthetase [[Clostridium] leptum] 
gi|489623412|ref|WP_003527852.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623413|ref|WP_003527853.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|489623414|ref|WP_003527854.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623415|ref|WP_003527855.1|	adenine deaminase [[Clostridium] leptum] 
gi|489623419|ref|WP_003527859.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623417|ref|WP_003527857.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623421|ref|WP_003527861.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623423|ref|WP_003527863.1|	MULTISPECIES: citrate synthase [Clostridiales] 
gi|489623425|ref|WP_003527865.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623427|ref|WP_003527867.1|	glyceraldehyde-3-phosphate dehydrogenase [[Clostridium] leptum] 
gi|489623429|ref|WP_003527869.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623431|ref|WP_003527871.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623433|ref|WP_003527873.1|	MULTISPECIES: D-lyxose isomerase [Clostridiales] 
gi|489623435|ref|WP_003527875.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623437|ref|WP_003527877.1|	glycogen branching protein [[Clostridium] leptum] 
gi|489623439|ref|WP_003527879.1|	glucose-1-phosphate adenylyltransferase [[Clostridium] leptum] 
gi|489623440|ref|WP_003527880.1|	MULTISPECIES: glucose-1-phosphate adenylyltransferase [Clostridiales] 
gi|489623442|ref|WP_003527882.1|	glycogen synthase [[Clostridium] leptum] 
gi|489623444|ref|WP_003527884.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623446|ref|WP_003527886.1|	MULTISPECIES: 30S ribosomal protein S18 [Clostridiales] 
gi|489623448|ref|WP_003527888.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623449|ref|WP_003527889.1|	MULTISPECIES: 30S ribosomal protein S6 [Clostridiales] 
gi|489623451|ref|WP_003527891.1|	UTP--glucose-1-phosphate uridylyltransferase [[Clostridium] leptum] 
gi|489623453|ref|WP_003527893.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623454|ref|WP_003527894.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623456|ref|WP_003527896.1|	peptide chain release factor 2 [[Clostridium] leptum] 
gi|489623458|ref|WP_003527898.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623460|ref|WP_003527900.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623462|ref|WP_003527902.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623473|ref|WP_003527913.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623474|ref|WP_003527914.1|	ATP-binding protein [[Clostridium] leptum] 
gi|489623476|ref|WP_003527916.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623478|ref|WP_003527918.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623481|ref|WP_003527921.1|	histidinol phosphatase [[Clostridium] leptum] 
gi|489623484|ref|WP_003527924.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623486|ref|WP_003527926.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623488|ref|WP_003527928.1|	MULTISPECIES: S-ribosylhomocysteinase [Clostridiales] 
gi|489623490|ref|WP_003527930.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623493|ref|WP_003527933.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623492|ref|WP_003527932.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623494|ref|WP_003527934.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623496|ref|WP_003527936.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623495|ref|WP_003527935.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623497|ref|WP_003527937.1|	ATP-dependent Clp protease ATP-binding protein [[Clostridium] leptum] 
gi|489623498|ref|WP_003527938.1|	MULTISPECIES: rubrerythrin [Clostridiales] 
gi|489623499|ref|WP_003527939.1|	MULTISPECIES: adenylate kinase [Clostridiales] 
gi|489623500|ref|WP_003527940.1|	DNA-binding protein [[Clostridium] leptum] 
gi|489623504|ref|WP_003527944.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623502|ref|WP_003527942.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623506|ref|WP_003527946.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623508|ref|WP_003527948.1|	heat shock protein Hsp90 [[Clostridium] leptum] 
gi|489623510|ref|WP_003527950.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|489623512|ref|WP_003527952.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623515|ref|WP_003527955.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623519|ref|WP_003527959.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623517|ref|WP_003527957.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623521|ref|WP_003527961.1|	DNA polymerase III subunit alpha [[Clostridium] leptum] 
gi|489623522|ref|WP_003527962.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623524|ref|WP_003527964.1|	6-phosphofructokinase [[Clostridium] leptum] 
gi|489623526|ref|WP_003527966.1|	hypothetical protein [[Clostridium] leptum] 
gi|489623528|ref|WP_003527968.1|	hypothetical protein [[Clostridium] leptum] 
