gi|494396218|ref|WP_007209403.1|	MULTISPECIES: LuxR family transcriptional regulator [Bacteroides] 
gi|494396953|ref|WP_007209693.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Bacteroides cellulosilyticus] 
gi|494396955|ref|WP_007209694.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396958|ref|WP_007209695.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396960|ref|WP_007209696.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396967|ref|WP_007209697.1|	MULTISPECIES: RNA polymerase sigma factor rpoD [Bacteroides] 
gi|494396969|ref|WP_007209698.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396971|ref|WP_007209699.1|	type I deoxyribonuclease HsdR [Bacteroides cellulosilyticus] 
gi|494396973|ref|WP_007209700.1|	cysteine protease [Bacteroides cellulosilyticus] 
gi|494396975|ref|WP_007209701.1|	muconate cycloisomerase [Bacteroides cellulosilyticus] 
gi|494396977|ref|WP_007209702.1|	cytochrome C [Bacteroides cellulosilyticus] 
gi|494396979|ref|WP_007209703.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396981|ref|WP_007209704.1|	MULTISPECIES: ribonuclease BN [Bacteroides] 
gi|494396983|ref|WP_007209705.1|	MULTISPECIES: NAD(P)H nitroreductase [Bacteroides] 
gi|494396985|ref|WP_007209706.1|	MULTISPECIES: riboflavin synthase subunit alpha [Bacteroides] 
gi|494396987|ref|WP_007209707.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494396989|ref|WP_007209708.1|	MULTISPECIES: PhoU family transcriptional regulator [Bacteroides] 
gi|494396991|ref|WP_007209709.1|	MULTISPECIES: phosphate ABC transporter ATP-binding protein [Bacteroides] 
gi|494396993|ref|WP_007209710.1|	phosphate ABC transporter permease [Bacteroides cellulosilyticus] 
gi|494396996|ref|WP_007209711.1|	MULTISPECIES: phosphate ABC transporter permease [Bacteroides] 
gi|494396998|ref|WP_007209712.1|	phosphate ABC transporter substrate-binding protein [Bacteroides cellulosilyticus] 
gi|494397000|ref|WP_007209713.1|	MULTISPECIES: glutaminyl-tRNA synthetase [Bacteroides] 
gi|494397002|ref|WP_007209714.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397004|ref|WP_007209715.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397006|ref|WP_007209716.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397008|ref|WP_007209717.1|	MULTISPECIES: lipid hydroperoxide peroxidase [Bacteroides] 
gi|494397010|ref|WP_007209718.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|494397012|ref|WP_007209719.1|	MULTISPECIES: invertase [Bacteroides] 
gi|494397015|ref|WP_007209720.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397018|ref|WP_007209721.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397020|ref|WP_007209722.1|	MULTISPECIES: alanine racemase [Bacteroides] 
gi|494397022|ref|WP_007209723.1|	diguanylate cyclase [Bacteroides cellulosilyticus] 
gi|494397024|ref|WP_007209724.1|	MULTISPECIES: capsular polysaccharide biosynthesis protein [Bacteroides] 
gi|494397026|ref|WP_007209725.1|	MULTISPECIES: phosphate starvation protein PhoH [Bacteroides] 
gi|494397028|ref|WP_007209726.1|	dihydrofolate synthase [Bacteroides cellulosilyticus] 
gi|494397031|ref|WP_007209727.1|	MULTISPECIES: endoribonuclease L-PSP [Bacteroides] 
gi|494397033|ref|WP_007209728.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397035|ref|WP_007209729.1|	MULTISPECIES: RNA methyltransferase [Bacteroides] 
gi|494397037|ref|WP_007209730.1|	DNA repair protein RecN [Bacteroides cellulosilyticus] 
gi|494397040|ref|WP_007209731.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397042|ref|WP_007209732.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397045|ref|WP_007209733.1|	phosphopantothenoylcysteine decarboxylase [Bacteroides cellulosilyticus] 
gi|494397047|ref|WP_007209734.1|	DNA polymerase III subunit epsilon [Bacteroides cellulosilyticus] 
gi|494397050|ref|WP_007209735.1|	MULTISPECIES: DNA polymerase III subunit beta [Bacteroides] 
gi|494397052|ref|WP_007209736.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397054|ref|WP_007209737.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397056|ref|WP_007209738.1|	hydrolase [Bacteroides cellulosilyticus] 
gi|494397058|ref|WP_007209739.1|	UDP-N-acetylenolpyruvoylglucosamine reductase [Bacteroides cellulosilyticus] 
gi|494397060|ref|WP_007209740.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397062|ref|WP_007209741.1|	MULTISPECIES: UDP-glucose 4-epimerase [Bacteroides] 
gi|494397064|ref|WP_007209742.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397066|ref|WP_007209743.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397068|ref|WP_007209744.1|	histidine kinase [Bacteroides cellulosilyticus] 
gi|494397070|ref|WP_007209745.1|	MULTISPECIES: ferritin [Bacteroides] 
gi|494397074|ref|WP_007209746.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397076|ref|WP_007209747.1|	diaminopimelate decarboxylase [Bacteroides cellulosilyticus] 
gi|494397078|ref|WP_007209748.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397080|ref|WP_007209749.1|	MULTISPECIES: aspartate kinase [Bacteroides] 
gi|494397082|ref|WP_007209750.1|	MULTISPECIES: phosphonate ABC transporter ATP-binding protein [Bacteroides] 
gi|494397084|ref|WP_007209751.1|	phosphoribosyl-AMP cyclohydrolase [Bacteroides cellulosilyticus] 
gi|494397086|ref|WP_007209752.1|	MULTISPECIES: imidazole glycerol phosphate synthase [Bacteroides] 
gi|494397088|ref|WP_007209753.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Bacteroides cellulosilyticus] 
gi|494397090|ref|WP_007209754.1|	imidazole glycerol phosphate synthase [Bacteroides cellulosilyticus] 
gi|494397093|ref|WP_007209755.1|	MULTISPECIES: formyltetrahydrofolate deformylase [Bacteroides] 
gi|494397095|ref|WP_007209756.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397097|ref|WP_007209757.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397099|ref|WP_007209758.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397101|ref|WP_007209759.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397103|ref|WP_007209760.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397105|ref|WP_007209761.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397107|ref|WP_007209762.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397111|ref|WP_007209763.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397113|ref|WP_007209764.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397115|ref|WP_007209765.1|	peptidase M15 [Bacteroides cellulosilyticus] 
gi|494397117|ref|WP_007209766.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397119|ref|WP_007209767.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397121|ref|WP_007209768.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397123|ref|WP_007209769.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397125|ref|WP_007209770.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397127|ref|WP_007209771.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397129|ref|WP_007209772.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397131|ref|WP_007209773.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397133|ref|WP_007209774.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397135|ref|WP_007209775.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397137|ref|WP_007209776.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397139|ref|WP_007209777.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397141|ref|WP_007209778.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397143|ref|WP_007209779.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397145|ref|WP_007209780.1|	dithiobiotin synthetase [Bacteroides cellulosilyticus] 
gi|494397147|ref|WP_007209781.1|	MULTISPECIES: glycosyltransferase family 2 [Bacteroides] 
gi|494397149|ref|WP_007209782.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397151|ref|WP_007209783.1|	peptidase [Bacteroides cellulosilyticus] 
gi|494397153|ref|WP_007209784.1|	phage portal protein [Bacteroides cellulosilyticus] 
gi|494397155|ref|WP_007209785.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397157|ref|WP_007209786.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397160|ref|WP_007209787.1|	terminase [Bacteroides cellulosilyticus] 
gi|494397162|ref|WP_007209788.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397164|ref|WP_007209789.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397166|ref|WP_007209790.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397167|ref|WP_007209791.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397170|ref|WP_007209792.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397172|ref|WP_007209793.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397174|ref|WP_007209794.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397176|ref|WP_007209795.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397178|ref|WP_007209796.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397181|ref|WP_007209797.1|	integrase [Bacteroides cellulosilyticus] 
gi|494397183|ref|WP_007209798.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397185|ref|WP_007209799.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397187|ref|WP_007209800.1|	DNA methylase N-4 [Bacteroides cellulosilyticus] 
gi|494397189|ref|WP_007209801.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397191|ref|WP_007209802.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397193|ref|WP_007209803.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397195|ref|WP_007209804.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397197|ref|WP_007209805.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397199|ref|WP_007209806.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397201|ref|WP_007209807.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397203|ref|WP_007209808.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397205|ref|WP_007209809.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397207|ref|WP_007209810.1|	recombinase [Bacteroides cellulosilyticus] 
gi|494397209|ref|WP_007209811.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397212|ref|WP_007209812.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397214|ref|WP_007209813.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397216|ref|WP_007209814.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397218|ref|WP_007209815.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397220|ref|WP_007209816.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397222|ref|WP_007209817.1|	TonB-dependent receptor [Bacteroides cellulosilyticus] 
gi|494397224|ref|WP_007209818.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397226|ref|WP_007209819.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397228|ref|WP_007209820.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397230|ref|WP_007209821.1|	methyltransferase type 11 [Bacteroides cellulosilyticus] 
gi|494397232|ref|WP_007209822.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397234|ref|WP_007209823.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397237|ref|WP_007209824.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494397239|ref|WP_007209825.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397241|ref|WP_007209826.1|	magnesium chelatase [Bacteroides cellulosilyticus] 
gi|494397243|ref|WP_007209827.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397245|ref|WP_007209828.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397247|ref|WP_007209829.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494397250|ref|WP_007209830.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397252|ref|WP_007209831.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397254|ref|WP_007209832.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397256|ref|WP_007209833.1|	pyridoxamine 5'-phosphate oxidase [Bacteroides cellulosilyticus] 
gi|494397258|ref|WP_007209834.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397260|ref|WP_007209835.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397263|ref|WP_007209836.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397265|ref|WP_007209837.1|	aldo/keto reductase [Bacteroides cellulosilyticus] 
gi|494397268|ref|WP_007209838.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494397270|ref|WP_007209839.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397272|ref|WP_007209840.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397274|ref|WP_007209841.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397276|ref|WP_007209842.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397278|ref|WP_007209843.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397280|ref|WP_007209844.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397282|ref|WP_007209845.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397284|ref|WP_007209846.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397286|ref|WP_007209847.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397288|ref|WP_007209848.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397290|ref|WP_007209849.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397292|ref|WP_007209850.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397294|ref|WP_007209851.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397296|ref|WP_007209852.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397298|ref|WP_007209853.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397300|ref|WP_007209854.1|	helicase [Bacteroides cellulosilyticus] 
gi|494397301|ref|WP_007209855.1|	DNA-binding protein [Bacteroides cellulosilyticus] 
gi|494397302|ref|WP_007209856.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397303|ref|WP_007209857.1|	MULTISPECIES: dehydrogenase [Bacteroides] 
gi|494397304|ref|WP_007209858.1|	NADPH-flavin oxidoreductase [Bacteroides cellulosilyticus] 
gi|494397305|ref|WP_007209859.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397306|ref|WP_007209860.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397307|ref|WP_007209861.1|	homocysteine S-methyltransferase [Bacteroides cellulosilyticus] 
gi|494397308|ref|WP_007209862.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397309|ref|WP_007209863.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397310|ref|WP_007209864.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397311|ref|WP_007209865.1|	ATPase [Bacteroides cellulosilyticus] 
gi|494397312|ref|WP_007209866.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397313|ref|WP_007209867.1|	von Willebrand factor A [Bacteroides cellulosilyticus] 
gi|494397314|ref|WP_007209868.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494397315|ref|WP_007209869.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494397316|ref|WP_007209870.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397317|ref|WP_007209871.1|	tyrosine recombinase [Bacteroides cellulosilyticus] 
gi|494397318|ref|WP_007209872.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397319|ref|WP_007209873.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397320|ref|WP_007209874.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397321|ref|WP_007209875.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397322|ref|WP_007209876.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397323|ref|WP_007209877.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397324|ref|WP_007209878.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397325|ref|WP_007209879.1|	NADPH-dependent FMN reductase [Bacteroides cellulosilyticus] 
gi|494397326|ref|WP_007209880.1|	alcohol dehydrogenase [Bacteroides cellulosilyticus] 
gi|494397327|ref|WP_007209881.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397328|ref|WP_007209882.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397329|ref|WP_007209883.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|494397330|ref|WP_007209884.1|	MULTISPECIES: aspartate aminotransferase [Bacteroides] 
gi|494397331|ref|WP_007209885.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397332|ref|WP_007209886.1|	MULTISPECIES: fucose isomerase [Bacteroides] 
gi|494397333|ref|WP_007209887.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397334|ref|WP_007209888.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397335|ref|WP_007209889.1|	aldo/keto reductase [Bacteroides cellulosilyticus] 
gi|494397336|ref|WP_007209890.1|	major facilitator transporter [Bacteroides cellulosilyticus] 
gi|494397337|ref|WP_007209891.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494397338|ref|WP_007209892.1|	GNAT family acetyltransferase [Bacteroides cellulosilyticus] 
gi|494397339|ref|WP_007209893.1|	MULTISPECIES: RNA-binding protein [Bacteroides] 
gi|494397340|ref|WP_007209894.1|	MULTISPECIES: 2-nitropropane dioxygenase [Bacteroides] 
gi|494397341|ref|WP_007209895.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397342|ref|WP_007209896.1|	hypothetical protein [Bacteroides cellulosilyticus] 
gi|494397343|ref|WP_007209897.1|	transcriptional regulator [Bacteroides cellulosilyticus] 
gi|494397344|ref|WP_007209898.1|	membrane protein [Bacteroides cellulosilyticus] 
gi|494397345|ref|WP_007209899.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397346|ref|WP_007209900.1|	hypothetical protein partial [Bacteroides cellulosilyticus] 
gi|494397347|ref|WP_007209901.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|494397348|ref|WP_007209902.1|	NADH-dependent butanol dehydrogenase [Bacteroides cellulosilyticus] 
gi|494397349|ref|WP_007209903.1|	hydrogenase [Bacteroides cellulosilyticus] 
gi|494397350|ref|WP_007209904.1|	hypothetical protein [Bacteroides cellulosilyticus] 
