gi|495106006|ref|WP_007830829.1|	hypothetical protein [Bacteroides dorei] 
gi|495106572|ref|WP_007831395.1|	hypothetical protein [Bacteroides dorei] 
gi|495106578|ref|WP_007831401.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495106579|ref|WP_007831402.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495106580|ref|WP_007831403.1|	hypoxanthine phosphoribosyltransferase [Bacteroides dorei] 
gi|495106581|ref|WP_007831404.1|	MULTISPECIES: adenylate kinase [Bacteroides] 
gi|495106582|ref|WP_007831405.1|	GTPase CgtA [Bacteroides dorei] 
gi|495106583|ref|WP_007831406.1|	MULTISPECIES: polyphenol oxidase [Bacteroides] 
gi|495106584|ref|WP_007831407.1|	hypothetical protein [Bacteroides dorei] 
gi|495106585|ref|WP_007831408.1|	metalloendopeptidase [Bacteroides dorei] 
gi|495106588|ref|WP_007831411.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106590|ref|WP_007831413.1|	hypothetical protein [Bacteroides dorei] 
gi|495106592|ref|WP_007831415.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106594|ref|WP_007831417.1|	hypothetical protein [Bacteroides dorei] 
gi|495106598|ref|WP_007831421.1|	5-aminoimidazole-4-carboxamide ribonucleotide transformylase [Bacteroides dorei] 
gi|495106596|ref|WP_007831419.1|	hypothetical protein [Bacteroides dorei] 
gi|495106600|ref|WP_007831423.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106601|ref|WP_007831424.1|	hypothetical protein [Bacteroides dorei] 
gi|495106603|ref|WP_007831426.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495106609|ref|WP_007831432.1|	antibiotic resistance protein MarC [Bacteroides dorei] 
gi|495106612|ref|WP_007831435.1|	sorbitol dehydrogenase [Bacteroides dorei] 
gi|495106615|ref|WP_007831438.1|	MULTISPECIES: major facilitator transporter [Bacteroides] 
gi|495106622|ref|WP_007831445.1|	MULTISPECIES: amidohydrolase [Bacteroides] 
gi|495106624|ref|WP_007831447.1|	MULTISPECIES: aldo/keto reductase [Bacteroides] 
gi|495106629|ref|WP_007831452.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|495106631|ref|WP_007831454.1|	alpha-L-fucosidase [Bacteroides dorei] 
gi|495106633|ref|WP_007831456.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|495106635|ref|WP_007831458.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495106638|ref|WP_007831461.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106640|ref|WP_007831463.1|	MULTISPECIES: peptidase S41 [Bacteroides] 
gi|495106642|ref|WP_007831465.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106643|ref|WP_007831466.1|	MULTISPECIES: DNA topoisomerase IV subunit A [Bacteroides] 
gi|495106644|ref|WP_007831467.1|	MULTISPECIES: glycyl-tRNA synthetease [Bacteroides] 
gi|495106646|ref|WP_007831469.1|	peptidyl-prolyl cis-trans isomerase [Bacteroides dorei] 
gi|492464214|ref|WP_005853694.1|	MULTISPECIES: aspartate-semialdehyde dehydrogenase [Bacteroidales] 
gi|495106650|ref|WP_007831473.1|	MULTISPECIES: sodium:proton antiporter [Bacteroides] 
gi|495106652|ref|WP_007831475.1|	MULTISPECIES: MoeB [Bacteroides] 
gi|495106654|ref|WP_007831477.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|495106656|ref|WP_007831479.1|	hypothetical protein [Bacteroides dorei] 
gi|495106658|ref|WP_007831481.1|	alcohol dehydrogenase [Bacteroides dorei] 
gi|495106660|ref|WP_007831483.1|	MULTISPECIES: GntR family transcriptional regulator [Bacteroides] 
gi|495106662|ref|WP_007831485.1|	hypothetical protein [Bacteroides dorei] 
gi|495106664|ref|WP_007831487.1|	hypothetical protein [Bacteroides dorei] 
gi|495106667|ref|WP_007831490.1|	transporter [Bacteroides dorei] 
gi|492436444|ref|WP_005843627.1|	MULTISPECIES: RND transporter MFP subunit [Bacteroides] 
gi|495106670|ref|WP_007831493.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|495106671|ref|WP_007831494.1|	MULTISPECIES: ABC transporter permease [Bacteroides] 
gi|492436633|ref|WP_005843634.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|492464237|ref|WP_005853709.1|	MULTISPECIES: glucokinase [Bacteroides] 
gi|495106676|ref|WP_007831499.1|	hypothetical protein partial [Bacteroides dorei] 
gi|492436640|ref|WP_005843640.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106679|ref|WP_007831502.1|	asparaginase [Bacteroides dorei] 
gi|495106681|ref|WP_007831504.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106682|ref|WP_007831505.1|	hypothetical protein [Bacteroides dorei] 
gi|495106687|ref|WP_007831510.1|	glycosyl hydrolase family 2 [Bacteroides dorei] 
gi|495106693|ref|WP_007831516.1|	MULTISPECIES: exo-poly-alpha-D-galacturonosidase [Bacteroides] 
gi|495106695|ref|WP_007831518.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106696|ref|WP_007831519.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106697|ref|WP_007831520.1|	MULTISPECIES: exo-poly-alpha-D-galacturonosidase [Bacteroides] 
gi|495106698|ref|WP_007831521.1|	MULTISPECIES: rhamnogalacturonan acetylesterase [Bacteroides] 
gi|495106699|ref|WP_007831522.1|	MULTISPECIES: beta-glucuronidase [Bacteroides] 
gi|495106701|ref|WP_007831524.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495106703|ref|WP_007831526.1|	MULTISPECIES: beta-galactosidase [Bacteroides] 
gi|495106705|ref|WP_007831528.1|	glycosyl hydrolase family 88 [Bacteroides dorei] 
gi|495106707|ref|WP_007831530.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495106709|ref|WP_007831532.1|	silent information regulator protein Sir2 [Bacteroides dorei] 
gi|495106716|ref|WP_007831539.1|	MULTISPECIES: acetyl xylan esterase [Bacteroides] 
gi|495106718|ref|WP_007831541.1|	alpha-L-rhamnosidase [Bacteroides dorei] 
gi|495106722|ref|WP_007831545.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106724|ref|WP_007831547.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106727|ref|WP_007831550.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495106734|ref|WP_007831557.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495106735|ref|WP_007831558.1|	MULTISPECIES: tyrosine recombinase [Bacteroides] 
gi|495106736|ref|WP_007831559.1|	collagen-binding protein [Bacteroides dorei] 
gi|495106737|ref|WP_007831560.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106738|ref|WP_007831561.1|	TonB-dependent receptor [Bacteroides dorei] 
gi|495106739|ref|WP_007831562.1|	MULTISPECIES: starch-binding protein [Bacteroides] 
gi|495106740|ref|WP_007831563.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106741|ref|WP_007831564.1|	hypothetical protein [Bacteroides dorei] 
gi|495106744|ref|WP_007831567.1|	hypothetical protein partial [Bacteroides dorei] 
gi|495106745|ref|WP_007831568.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106746|ref|WP_007831569.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106747|ref|WP_007831570.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106748|ref|WP_007831571.1|	MULTISPECIES: arylsulfatase [Bacteroides] 
gi|495106749|ref|WP_007831572.1|	hypothetical protein [Bacteroides dorei] 
gi|495106750|ref|WP_007831573.1|	MULTISPECIES: beta-galactosidase [Bacteroides] 
gi|495106751|ref|WP_007831574.1|	rhamnogalacturonate lyase [Bacteroides dorei] 
gi|495106752|ref|WP_007831575.1|	MULTISPECIES: rhamnogalacturonan acetylesterase [Bacteroides] 
gi|495106753|ref|WP_007831576.1|	hypothetical protein [Bacteroides dorei] 
gi|495106754|ref|WP_007831577.1|	hypothetical protein [Bacteroides dorei] 
gi|495106755|ref|WP_007831578.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|495106756|ref|WP_007831579.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106757|ref|WP_007831580.1|	TonB-linked outer membrane protein [Bacteroides dorei] 
gi|495106758|ref|WP_007831581.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106759|ref|WP_007831582.1|	pectate lyase [Bacteroides dorei] 
gi|495106760|ref|WP_007831583.1|	hypothetical protein [Bacteroides dorei] 
gi|495106767|ref|WP_007831590.1|	hypothetical protein [Bacteroides dorei] 
gi|495106769|ref|WP_007831592.1|	hypothetical protein [Bacteroides dorei] 
gi|495106771|ref|WP_007831594.1|	polygalacturonase [Bacteroides dorei] 
gi|495106773|ref|WP_007831596.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106775|ref|WP_007831598.1|	MULTISPECIES: glycosyl hydrolase family 88 [Bacteroides] 
gi|495106777|ref|WP_007831600.1|	MULTISPECIES: L-rhamnose mutarotase [Bacteroides] 
gi|495106779|ref|WP_007831602.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495106781|ref|WP_007831604.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492430550|ref|WP_005841919.1|	MULTISPECIES: 50S ribosomal protein L19 [Bacteroides] 
gi|495106788|ref|WP_007831611.1|	5'-nucleotidase [Bacteroides dorei] 
gi|495106790|ref|WP_007831613.1|	5'-nucleotidase [Bacteroides dorei] 
gi|495106792|ref|WP_007831615.1|	beta-N-acetylglucosaminidase [Bacteroides dorei] 
gi|492430534|ref|WP_005841910.1|	MULTISPECIES: 4Fe-4S ferredoxin [Bacteroides] 
gi|495106794|ref|WP_007831617.1|	aspartate aminotransferase [Bacteroides dorei] 
gi|495106796|ref|WP_007831619.1|	MULTISPECIES: 3,4-dihydroxy-2-butanone 4-phosphate synthase [Bacteroides] 
gi|495106798|ref|WP_007831621.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106799|ref|WP_007831622.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106801|ref|WP_007831624.1|	hypothetical protein [Bacteroides dorei] 
gi|495106802|ref|WP_007831625.1|	hypothetical protein [Bacteroides dorei] 
gi|495106803|ref|WP_007831626.1|	hypothetical protein [Bacteroides dorei] 
gi|495106804|ref|WP_007831627.1|	MULTISPECIES: glucuronyl hydrolase [Bacteroides] 
gi|495106805|ref|WP_007831628.1|	MULTISPECIES: RNA polymerase sigma 70 [Bacteroides] 
gi|495106806|ref|WP_007831629.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495106807|ref|WP_007831630.1|	hypothetical protein [Bacteroides dorei] 
gi|495106809|ref|WP_007831632.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106811|ref|WP_007831634.1|	transcriptional regulator [Bacteroides dorei] 
gi|495106812|ref|WP_007831635.1|	MULTISPECIES: RNA polymerase sigma 70 [Bacteroides] 
gi|495106815|ref|WP_007831638.1|	collagen-binding protein [Bacteroides dorei] 
gi|495106817|ref|WP_007831640.1|	starch-binding protein [Bacteroides dorei] 
gi|495106819|ref|WP_007831642.1|	hypothetical protein [Bacteroides dorei] 
gi|495106820|ref|WP_007831643.1|	hypothetical protein [Bacteroides dorei] 
gi|495106822|ref|WP_007831645.1|	hypothetical protein [Bacteroides dorei] 
gi|495106823|ref|WP_007831646.1|	hypothetical protein [Bacteroides dorei] 
gi|495106824|ref|WP_007831647.1|	polygalacturonase [Bacteroides dorei] 
gi|495106825|ref|WP_007831648.1|	heparinase [Bacteroides dorei] 
gi|495106826|ref|WP_007831649.1|	hypothetical protein [Bacteroides dorei] 
gi|495106827|ref|WP_007831650.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495106828|ref|WP_007831651.1|	hypothetical protein [Bacteroides dorei] 
gi|495106831|ref|WP_007831653.1|	hypothetical protein [Bacteroides dorei] 
gi|495106833|ref|WP_007831655.1|	hypothetical protein [Bacteroides dorei] 
gi|495106835|ref|WP_007831657.1|	hypothetical protein [Bacteroides dorei] 
gi|495106837|ref|WP_007831659.1|	hypothetical protein [Bacteroides dorei] 
gi|495106839|ref|WP_007831661.1|	membrane protein [Bacteroides dorei] 
gi|495106841|ref|WP_007831663.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106842|ref|WP_007831664.1|	hypothetical protein [Bacteroides dorei] 
gi|495106844|ref|WP_007831666.1|	acetyl-CoA carboxylase [Bacteroides dorei] 
gi|495106846|ref|WP_007831668.1|	beta-lactamase [Bacteroides dorei] 
gi|495106847|ref|WP_007831669.1|	hypothetical protein [Bacteroides dorei] 
gi|495106849|ref|WP_007831671.1|	glycoside hydrolase [Bacteroides dorei] 
gi|495106851|ref|WP_007831673.1|	MULTISPECIES: glycoside hydrolase [Bacteroides] 
gi|495106852|ref|WP_007831674.1|	glucuronyl hydrolase [Bacteroides dorei] 
gi|495106853|ref|WP_007831675.1|	MULTISPECIES: transcriptional regulator [Bacteroides] 
gi|495106854|ref|WP_007831676.1|	TonB-dependent receptor [Bacteroides dorei] 
gi|495106855|ref|WP_007831677.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106857|ref|WP_007831679.1|	MULTISPECIES: thiol:disulfide interchange protein [Bacteroides] 
gi|495106858|ref|WP_007831680.1|	thiol:disulfide interchange protein DsbE [Bacteroides dorei] 
gi|495106860|ref|WP_007831682.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106862|ref|WP_007831684.1|	alpha-L-fucosidase [Bacteroides dorei] 
gi|495106864|ref|WP_007831686.1|	MULTISPECIES: tRNA delta(2)-isopentenylpyrophosphate transferase [Bacteroides] 
gi|495106866|ref|WP_007831688.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106872|ref|WP_007831694.1|	MULTISPECIES: UDP-N-acetylglucosamine acyltransferase [Bacteroides] 
gi|495106874|ref|WP_007831696.1|	MULTISPECIES: hydroxymyristoyl-ACP dehydratase [Bacteroides] 
gi|495106875|ref|WP_007831697.1|	UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase [Bacteroides dorei] 
gi|495106876|ref|WP_007831698.1|	MULTISPECIES: phosphohydrolase [Bacteroides] 
gi|492434969|ref|WP_005843024.1|	MULTISPECIES: orotidine 5'-phosphate decarboxylase [Bacteroides] 
gi|495106877|ref|WP_007831699.1|	MULTISPECIES: peptide chain release factor 1 [Bacteroides] 
gi|495106878|ref|WP_007831700.1|	hypothetical protein [Bacteroides dorei] 
gi|495106879|ref|WP_007831701.1|	phosphoribosylformylglycinamidine cyclo-ligase [Bacteroides dorei] 
gi|495106880|ref|WP_007831702.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106882|ref|WP_007831704.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106885|ref|WP_007831707.1|	hypothetical protein [Bacteroides dorei] 
gi|492458366|ref|WP_005851069.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106889|ref|WP_007831711.1|	hypothetical protein [Bacteroides dorei] 
gi|495106891|ref|WP_007831713.1|	beta-N-acetylhexosaminidase [Bacteroides dorei] 
gi|495106893|ref|WP_007831715.1|	endonuclease [Bacteroides dorei] 
gi|495106895|ref|WP_007831717.1|	MULTISPECIES: excinuclease ABC subunit A [Bacteroides] 
gi|495106897|ref|WP_007831719.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106900|ref|WP_007831722.1|	xylosidase [Bacteroides dorei] 
gi|495106902|ref|WP_007831724.1|	transcriptional regulator [Bacteroides dorei] 
gi|495106904|ref|WP_007831726.1|	MULTISPECIES: chromate transporter [Bacteroides] 
gi|495106906|ref|WP_007831728.1|	MULTISPECIES: chromate transporter [Bacteroides] 
gi|495106907|ref|WP_007831729.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495106909|ref|WP_007831731.1|	MULTISPECIES: phosphoribosylformylglycinamidine synthase [Bacteroides] 
gi|492434921|ref|WP_005842995.1|	MULTISPECIES: translocator protein LysE family [Bacteroides] 
gi|495106912|ref|WP_007831734.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106913|ref|WP_007831735.1|	MULTISPECIES: dTDP-4-dehydrorhamnose reductase [Bacteroides] 
gi|495106919|ref|WP_007831741.1|	MULTISPECIES: peptide chain release factor 3 [Bacteroides] 
gi|495106920|ref|WP_007831742.1|	MULTISPECIES: molecular chaperone DnaJ [Bacteroides] 
gi|495106921|ref|WP_007831743.1|	dihydrofolate reductase [Bacteroides dorei] 
gi|495106922|ref|WP_007831744.1|	aspartate dehydrogenase [Bacteroides dorei] 
gi|495106923|ref|WP_007831745.1|	hypothetical protein [Bacteroides dorei] 
gi|495106929|ref|WP_007831751.1|	MULTISPECIES: AraC family transcriptional regulator [Bacteroides] 
gi|495106930|ref|WP_007831752.1|	hypothetical protein [Bacteroides dorei] 
gi|495106931|ref|WP_007831753.1|	hypothetical protein [Bacteroides dorei] 
gi|495106932|ref|WP_007831754.1|	transcriptional regulator [Bacteroides dorei] 
gi|495106933|ref|WP_007831755.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106934|ref|WP_007831756.1|	hypothetical protein [Bacteroides dorei] 
gi|495106936|ref|WP_007831758.1|	hypothetical protein [Bacteroides dorei] 
gi|495106943|ref|WP_007831765.1|	hypothetical protein [Bacteroides dorei] 
gi|492434880|ref|WP_005842970.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106946|ref|WP_007831768.1|	hypothetical protein [Bacteroides dorei] 
gi|495106947|ref|WP_007831769.1|	hypothetical protein [Bacteroides dorei] 
gi|492434878|ref|WP_005842969.1|	MULTISPECIES: signal peptidase [Bacteroides] 
gi|495106948|ref|WP_007831770.1|	hypothetical protein [Bacteroides dorei] 
gi|495106949|ref|WP_007831771.1|	membrane protein [Bacteroides dorei] 
gi|492434871|ref|WP_005842966.1|	MULTISPECIES: cation transporter [Bacteroides] 
gi|492434869|ref|WP_005842965.1|	MULTISPECIES: cation transporter [Bacteroides] 
gi|495106950|ref|WP_007831772.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|495106951|ref|WP_007831773.1|	DeoR family transcriptional regulator [Bacteroides dorei] 
gi|495106953|ref|WP_007831775.1|	N-acetylglucosamine-6-phosphate deacetylase [Bacteroides dorei] 
gi|495106954|ref|WP_007831776.1|	hypothetical protein [Bacteroides dorei] 
gi|495106955|ref|WP_007831777.1|	translation factor Sua5 [Bacteroides dorei] 
gi|495106957|ref|WP_007831779.1|	MULTISPECIES: chloride channel protein [Bacteroides] 
gi|495106959|ref|WP_007831781.1|	MULTISPECIES: methionyl-tRNA formyltransferase [Bacteroides] 
gi|495106962|ref|WP_007831784.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106965|ref|WP_007831787.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|495106966|ref|WP_007831788.1|	RNA polymerase subunit sigma-70 [Bacteroides dorei] 
gi|495106968|ref|WP_007831790.1|	MULTISPECIES: ribulose-phosphate 3-epimerase [Bacteroides] 
gi|495106970|ref|WP_007831792.1|	competence protein [Bacteroides dorei] 
gi|495106971|ref|WP_007831793.1|	exopolyphosphatase [Bacteroides dorei] 
gi|495106972|ref|WP_007831794.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106973|ref|WP_007831795.1|	phosphoglucosamine mutase [Bacteroides dorei] 
gi|495106974|ref|WP_007831796.1|	MULTISPECIES: beta-glucanase [Bacteroides] 
gi|495106975|ref|WP_007831797.1|	sugar transporter [Bacteroides dorei] 
gi|495106976|ref|WP_007831798.1|	MULTISPECIES: endo-1,4-beta-xylanase [Bacteroides] 
gi|495106977|ref|WP_007831799.1|	MULTISPECIES: alpha-N-arabinofuranosidase [Bacteroidales] 
gi|495106979|ref|WP_007831801.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106980|ref|WP_007831802.1|	beta-xylosidase [Bacteroides dorei] 
gi|495106981|ref|WP_007831803.1|	MULTISPECIES: collagen-binding protein [Bacteroides] 
gi|495106982|ref|WP_007831804.1|	starch-binding protein [Bacteroides dorei] 
gi|495106983|ref|WP_007831805.1|	hypothetical protein [Bacteroides dorei] 
gi|495106984|ref|WP_007831806.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106985|ref|WP_007831807.1|	chemotaxis protein CheY [Bacteroides dorei] 
gi|495106986|ref|WP_007831808.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106987|ref|WP_007831809.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|495106988|ref|WP_007831810.1|	MULTISPECIES: glycoside hydrolase [Bacteroides] 
gi|495106989|ref|WP_007831811.1|	hypothetical protein [Bacteroides dorei] 
gi|495106990|ref|WP_007831812.1|	alpha-glucuronidase [Bacteroides dorei] 
gi|495106995|ref|WP_007831817.1|	9-O-acetylesterase [Bacteroides dorei] 
gi|495106997|ref|WP_007831819.1|	hypothetical protein [Bacteroides dorei] 
gi|495106999|ref|WP_007831821.1|	TonB-dependent receptor [Bacteroides dorei] 
gi|495107001|ref|WP_007831823.1|	anti-sigma factor [Bacteroides dorei] 
gi|492439970|ref|WP_005844653.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|492439972|ref|WP_005844655.1|	MULTISPECIES: RNA polymerase sigma70 factor [Bacteroides] 
gi|495107005|ref|WP_007831827.1|	hypothetical protein [Bacteroides dorei] 
gi|495107013|ref|WP_007831835.1|	TonB-dependent receptor [Bacteroides dorei] 
gi|495107015|ref|WP_007831837.1|	coproporphyrinogen III oxidase [Bacteroides dorei] 
gi|495107017|ref|WP_007831839.1|	MULTISPECIES: elongation factor G [Bacteroides] 
gi|495107018|ref|WP_007831840.1|	MULTISPECIES: histidine kinase [Bacteroides] 
