gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979706|ref|WP_007705730.1|	MULTISPECIES: L-ascorbate 6-phosphate lactonase [Clostridiales] 
gi|494979709|ref|WP_007705733.1|	PTS sugar transporter subunit IIA [[Clostridium] asparagiforme] 
gi|494979713|ref|WP_007705737.1|	PTS ascorbate transporter subunit IIC [[Clostridium] asparagiforme] 
gi|494979716|ref|WP_007705740.1|	PTS ascorbate transporter subunit IIB [[Clostridium] asparagiforme] 
gi|494979718|ref|WP_007705742.1|	MULTISPECIES: ArsR family transcriptional regulator [Clostridiales] 
gi|494979720|ref|WP_007705744.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979722|ref|WP_007705746.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979724|ref|WP_007705748.1|	L-xylulose 5-phosphate 3-epimerase [[Clostridium] asparagiforme] 
gi|494979726|ref|WP_007705750.1|	L-ribulose-5-phosphate 4-epimerase [[Clostridium] asparagiforme] 
gi|494979729|ref|WP_007705753.1|	MULTISPECIES: biotin operon repressor [Clostridiales] 
gi|494979731|ref|WP_007705755.1|	alpha-galactosidase [[Clostridium] asparagiforme] 
gi|494979734|ref|WP_007705758.1|	MULTISPECIES: sugar ABC transporter permease [Clostridiales] 
gi|494979737|ref|WP_007705761.1|	sugar ABC transporter permease [[Clostridium] asparagiforme] 
gi|494979740|ref|WP_007705764.1|	sugar ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
gi|494979743|ref|WP_007705767.1|	AraC family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979746|ref|WP_007705770.1|	glutamate dehydrogenase [[Clostridium] asparagiforme] 
gi|494979749|ref|WP_007705773.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979768|ref|WP_007705792.1|	MULTISPECIES: multidrug transporter MatE [Clostridiales] 
gi|494979771|ref|WP_007705795.1|	alpha/beta hydrolase [[Clostridium] asparagiforme] 
gi|494979774|ref|WP_007705798.1|	MULTISPECIES: CotJC [Clostridiales] 
gi|494979777|ref|WP_007705801.1|	MULTISPECIES: spore coat protein [Clostridiales] 
gi|494979780|ref|WP_007705804.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979784|ref|WP_007705808.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979786|ref|WP_007705810.1|	aspartate ammonia-lyase [[Clostridium] asparagiforme] 
gi|494979788|ref|WP_007705812.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979790|ref|WP_007705814.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979793|ref|WP_007705817.1|	MULTISPECIES: O-acetylhomoserine aminocarboxypropyltransferase [Clostridiales] 
gi|494979795|ref|WP_007705819.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979796|ref|WP_007705820.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979798|ref|WP_007705822.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979800|ref|WP_007705824.1|	glutathione ABC transporter permease [[Clostridium] asparagiforme] 
gi|494979801|ref|WP_007705825.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494979804|ref|WP_007705828.1|	peptide ABC transporter ATPase [[Clostridium] asparagiforme] 
gi|494979808|ref|WP_007705832.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|494979811|ref|WP_007705835.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979813|ref|WP_007705837.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979816|ref|WP_007705840.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979821|ref|WP_007705845.1|	dihydrolipoamide dehydrogenase [[Clostridium] asparagiforme] 
gi|494979832|ref|WP_007705856.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979834|ref|WP_007705858.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979837|ref|WP_007705861.1|	glycine dehydrogenase subunit 2 [[Clostridium] asparagiforme] 
gi|494979840|ref|WP_007705864.1|	glycine dehydrogenase [[Clostridium] asparagiforme] 
gi|494979845|ref|WP_007705869.1|	MULTISPECIES: glycine cleavage system protein H [Clostridiales] 
gi|494979847|ref|WP_007705871.1|	MULTISPECIES: glycine cleavage system protein T [Clostridiales] 
gi|494979850|ref|WP_007705874.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979859|ref|WP_007705883.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979860|ref|WP_007705884.1|	integrase [[Clostridium] asparagiforme] 
gi|491685306|ref|WP_005541444.1|	MULTISPECIES: DNA-binding protein [Clostridiales] 
gi|494979864|ref|WP_007705888.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|494979866|ref|WP_007705890.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979869|ref|WP_007705893.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979871|ref|WP_007705895.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494979873|ref|WP_007705897.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494979876|ref|WP_007705900.1|	ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494979880|ref|WP_007705904.1|	cobalt transporter [[Clostridium] asparagiforme] 
gi|494979882|ref|WP_007705906.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494979885|ref|WP_007705909.1|	AraC family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979888|ref|WP_007705912.1|	DNA-binding protein [[Clostridium] asparagiforme] 
gi|494979891|ref|WP_007705915.1|	mobilization protein [[Clostridium] asparagiforme] 
gi|494979894|ref|WP_007705918.1|	endonuclease [[Clostridium] asparagiforme] 
gi|494979897|ref|WP_007705921.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494979900|ref|WP_007705924.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979904|ref|WP_007705928.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979907|ref|WP_007705931.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979911|ref|WP_007705935.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979913|ref|WP_007705937.1|	DNA topoisomerase III [[Clostridium] asparagiforme] 
gi|494979918|ref|WP_007705942.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|491685696|ref|WP_005541834.1|	MULTISPECIES: hypothetical protein [Lachnospiraceae] 
gi|494979922|ref|WP_007705946.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979923|ref|WP_007705947.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979924|ref|WP_007705948.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979925|ref|WP_007705949.1|	conjugal transfer protein TraE [[Clostridium] asparagiforme] 
gi|494979926|ref|WP_007705950.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979927|ref|WP_007705951.1|	membrane protein [[Clostridium] asparagiforme] 
gi|491685702|ref|WP_005541840.1|	MULTISPECIES: conjugative transfer protein [Clostridiales] 
gi|494979930|ref|WP_007705954.1|	conjugal transfer protein TraG [[Clostridium] asparagiforme] 
gi|494979933|ref|WP_007705957.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979936|ref|WP_007705960.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494979941|ref|WP_007705965.1|	toxin RelE [[Clostridium] asparagiforme] 
gi|494979947|ref|WP_007705971.1|	MULTISPECIES: DNA-binding protein [Clostridiales] 
gi|494979950|ref|WP_007705974.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494979952|ref|WP_007705976.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979954|ref|WP_007705978.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979956|ref|WP_007705980.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979958|ref|WP_007705982.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979960|ref|WP_007705984.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979962|ref|WP_007705986.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979964|ref|WP_007705988.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979965|ref|WP_007705989.1|	peptidase M23 [[Clostridium] asparagiforme] 
gi|494979968|ref|WP_007705992.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494979970|ref|WP_007705994.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979972|ref|WP_007705996.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979975|ref|WP_007705999.1|	GNAT family acetyltransferase [[Clostridium] asparagiforme] 
gi|494979979|ref|WP_007706003.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979983|ref|WP_007706007.1|	alginate O-acetyltransferase [[Clostridium] asparagiforme] 
gi|494979986|ref|WP_007706010.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979989|ref|WP_007706013.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979996|ref|WP_007706020.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494979998|ref|WP_007706022.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980000|ref|WP_007706024.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980002|ref|WP_007706026.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980003|ref|WP_007706027.1|	NADH dehydrogenase [[Clostridium] asparagiforme] 
gi|494980005|ref|WP_007706029.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980008|ref|WP_007706032.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980010|ref|WP_007706034.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980015|ref|WP_007706039.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980018|ref|WP_007706042.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980020|ref|WP_007706044.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494980023|ref|WP_007706047.1|	ABC transporter [[Clostridium] asparagiforme] 
gi|494980025|ref|WP_007706049.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980028|ref|WP_007706052.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980031|ref|WP_007706055.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494980033|ref|WP_007706057.1|	alpha/beta hydrolase [[Clostridium] asparagiforme] 
gi|494980036|ref|WP_007706060.1|	cellulase [[Clostridium] asparagiforme] 
gi|494980039|ref|WP_007706063.1|	proline:sodium symporter [[Clostridium] asparagiforme] 
gi|494980052|ref|WP_007706076.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980053|ref|WP_007706077.1|	MULTISPECIES: TetR family transcriptional regulator [Clostridiales] 
gi|494980054|ref|WP_007706078.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980055|ref|WP_007706079.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980056|ref|WP_007706080.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980058|ref|WP_007706082.1|	branched-chain amino acid aminotransferase [[Clostridium] asparagiforme] 
gi|494980062|ref|WP_007706086.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980065|ref|WP_007706089.1|	MULTISPECIES: coat protein F [Clostridiales] 
gi|494980067|ref|WP_007706091.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980071|ref|WP_007706095.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980073|ref|WP_007706097.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980076|ref|WP_007706100.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980079|ref|WP_007706103.1|	MULTISPECIES: serine O-acetyltransferase [Clostridiales] 
gi|494980082|ref|WP_007706106.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980084|ref|WP_007706108.1|	peptidoglycan-binding protein [[Clostridium] asparagiforme] 
gi|494980086|ref|WP_007706110.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980087|ref|WP_007706111.1|	2-hydroxyacid dehydrogenase [[Clostridium] asparagiforme] 
gi|494980088|ref|WP_007706112.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980089|ref|WP_007706113.1|	MULTISPECIES: NAD-dependent deacetylase [Clostridiales] 
gi|494980090|ref|WP_007706114.1|	MULTISPECIES: L-glyceraldehyde 3-phosphate reductase [Clostridiales] 
gi|494980093|ref|WP_007706117.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980097|ref|WP_007706121.1|	MULTISPECIES: 30S ribosomal protein S6 [Clostridiales] 
gi|494980100|ref|WP_007706124.1|	MULTISPECIES: single-stranded DNA-binding protein [Clostridiales] 
gi|494980103|ref|WP_007706127.1|	MULTISPECIES: 30S ribosomal protein S18 [Clostridiales] 
gi|494980106|ref|WP_007706130.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494980110|ref|WP_007706134.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494980114|ref|WP_007706138.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980117|ref|WP_007706141.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980120|ref|WP_007706144.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980123|ref|WP_007706147.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980126|ref|WP_007706150.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980129|ref|WP_007706153.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980132|ref|WP_007706156.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980135|ref|WP_007706159.1|	helicase [[Clostridium] asparagiforme] 
gi|494980142|ref|WP_007706166.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980145|ref|WP_007706169.1|	uracil transporter [[Clostridium] asparagiforme] 
gi|494980148|ref|WP_007706172.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980151|ref|WP_007706175.1|	indolepyruvate oxidoreductase [[Clostridium] asparagiforme] 
gi|494980154|ref|WP_007706178.1|	pyruvate ferredoxin oxidoreductase [[Clostridium] asparagiforme] 
gi|494980157|ref|WP_007706181.1|	MULTISPECIES: phenylacetate--CoA ligase [Clostridiales] 
gi|494980160|ref|WP_007706184.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980163|ref|WP_007706187.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980165|ref|WP_007706189.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980167|ref|WP_007706191.1|	MULTISPECIES: amino acid ABC transporter permease [Clostridiales] 
gi|494980170|ref|WP_007706194.1|	MULTISPECIES: glutamine ABC transporter permease [Clostridiales] 
gi|494980172|ref|WP_007706196.1|	MULTISPECIES: amino acid ABC transporter substrate-binding protein [Clostridiales] 
gi|494980174|ref|WP_007706198.1|	MULTISPECIES: ABC transporter ATP-binding protein [Clostridiales] 
gi|494980177|ref|WP_007706201.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980181|ref|WP_007706205.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494980183|ref|WP_007706207.1|	threonine synthase [[Clostridium] asparagiforme] 
gi|494980187|ref|WP_007706211.1|	MULTISPECIES: fructose-bisphosphate aldolase [Clostridiales] 
gi|494980194|ref|WP_007706218.1|	glutamine synthetase [[Clostridium] asparagiforme] 
gi|494980197|ref|WP_007706221.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980200|ref|WP_007706224.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980201|ref|WP_007706225.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980202|ref|WP_007706226.1|	glycerol-3-phosphate ABC transporter permease [[Clostridium] asparagiforme] 
gi|494980205|ref|WP_007706229.1|	maltose ABC transporter permease [[Clostridium] asparagiforme] 
gi|494980208|ref|WP_007706232.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980213|ref|WP_007706237.1|	choline kinase [[Clostridium] asparagiforme] 
gi|494980216|ref|WP_007706240.1|	cell wall-binding protein [[Clostridium] asparagiforme] 
gi|494980219|ref|WP_007706243.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494980222|ref|WP_007706246.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494980225|ref|WP_007706249.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980228|ref|WP_007706252.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980230|ref|WP_007706254.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980232|ref|WP_007706256.1|	ATPase AAA [[Clostridium] asparagiforme] 
gi|494980235|ref|WP_007706259.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980238|ref|WP_007706262.1|	transcription termination factor Rho [[Clostridium] asparagiforme] 
gi|494980241|ref|WP_007706265.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980243|ref|WP_007706267.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980250|ref|WP_007706274.1|	MULTISPECIES: 3-isopropylmalate dehydratase [Clostridiales] 
gi|494980251|ref|WP_007706275.1|	3-isopropylmalate dehydratase [[Clostridium] asparagiforme] 
gi|494980254|ref|WP_007706278.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980256|ref|WP_007706280.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980258|ref|WP_007706282.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980260|ref|WP_007706284.1|	MULTISPECIES: C4-dicarboxylate ABC transporter [Clostridiales] 
gi|494980261|ref|WP_007706285.1|	mandelate racemase [[Clostridium] asparagiforme] 
gi|494980268|ref|WP_007706292.1|	hydratase [[Clostridium] asparagiforme] 
gi|494980271|ref|WP_007706295.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494980274|ref|WP_007706298.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494980276|ref|WP_007706300.1|	MULTISPECIES: glutathione ABC transporter permease [Clostridiales] 
gi|494980278|ref|WP_007706302.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494980281|ref|WP_007706305.1|	MULTISPECIES: peptide ABC transporter ATPase [Clostridiales] 
gi|494980284|ref|WP_007706308.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|494980287|ref|WP_007706311.1|	MULTISPECIES: magnesium transporter MgtC [Clostridiales] 
gi|494980290|ref|WP_007706314.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980293|ref|WP_007706317.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980296|ref|WP_007706320.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494980299|ref|WP_007706323.1|	50S ribosomal protein L31 [[Clostridium] asparagiforme] 
gi|494980304|ref|WP_007706328.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494980308|ref|WP_007706332.1|	protein-(glutamine-N5) methyltransferase [[Clostridium] asparagiforme] 
gi|494980312|ref|WP_007706336.1|	peptide chain release factor 1 [[Clostridium] asparagiforme] 
gi|494980315|ref|WP_007706339.1|	hypothetical protein [[Clostridium] asparagiforme] 
