gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493900780|ref|WP_006846577.1|	oxidoreductase [Prevotella copri] 
gi|493900781|ref|WP_006846578.1|	hypothetical protein [Prevotella copri] 
gi|493900782|ref|WP_006846579.1|	hypothetical protein [Prevotella copri] 
gi|493900783|ref|WP_006846580.1|	xylanase [Prevotella copri] 
gi|493900784|ref|WP_006846581.1|	hypothetical protein [Prevotella copri] 
gi|493900785|ref|WP_006846582.1|	hypothetical protein [Prevotella copri] 
gi|493900786|ref|WP_006846583.1|	DNA repair protein RecN [Prevotella copri] 
gi|493900787|ref|WP_006846584.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493900788|ref|WP_006846585.1|	phosphopantothenoylcysteine decarboxylase [Prevotella copri] 
gi|493900789|ref|WP_006846586.1|	DNA polymerase III subunit epsilon [Prevotella copri] 
gi|493900790|ref|WP_006846587.1|	DNA polymerase III subunit beta [Prevotella copri] 
gi|493900791|ref|WP_006846588.1|	hypothetical protein [Prevotella copri] 
gi|493900792|ref|WP_006846589.1|	transporter [Prevotella copri] 
gi|493900793|ref|WP_006846590.1|	N-acetyllactosaminide 3-alpha-galactosyltransferase [Prevotella copri] 
gi|493900794|ref|WP_006846591.1|	2' 3'-cyclic nucleotide 2'-phosphodiesterase [Prevotella copri] 
gi|493900795|ref|WP_006846592.1|	heat-shock protein [Prevotella copri] 
gi|493900796|ref|WP_006846593.1|	hypothetical protein [Prevotella copri] 
gi|493900797|ref|WP_006846594.1|	glycosyl hydrolase family 25 [Prevotella copri] 
gi|493900798|ref|WP_006846595.1|	hypothetical protein [Prevotella copri] 
gi|493900799|ref|WP_006846596.1|	sodium:proton antiporter [Prevotella copri] 
gi|493900800|ref|WP_006846597.1|	altronate hydrolase [Prevotella copri] 
gi|493900801|ref|WP_006846598.1|	transcriptional regulator [Prevotella copri] 
gi|493900802|ref|WP_006846599.1|	2-dehydro-3-deoxygluconokinase [Prevotella copri] 
gi|493900803|ref|WP_006846600.1|	ketohydroxyglutarate aldolase [Prevotella copri] 
gi|493900804|ref|WP_006846601.1|	histidine kinase [Prevotella copri] 
gi|493900805|ref|WP_006846602.1|	chemotaxis protein CheY [Prevotella copri] 
gi|493900806|ref|WP_006846603.1|	hypothetical protein [Prevotella copri] 
gi|493900807|ref|WP_006846604.1|	DNA-binding protein [Prevotella copri] 
gi|493900808|ref|WP_006846605.1|	4-amino-4-deoxy-L-arabinose transferase [Prevotella copri] 
gi|493900809|ref|WP_006846606.1|	hypothetical protein [Prevotella copri] 
gi|493900810|ref|WP_006846607.1|	TRAP transporter solute receptor TAXI family [Prevotella copri] 
gi|493900811|ref|WP_006846608.1|	hypothetical protein [Prevotella copri] 
gi|493900812|ref|WP_006846609.1|	hypothetical protein [Prevotella copri] 
gi|493900813|ref|WP_006846610.1|	hypothetical protein [Prevotella copri] 
gi|493900814|ref|WP_006846611.1|	hypothetical protein [Prevotella copri] 
gi|493900816|ref|WP_006846612.1|	hypothetical protein [Prevotella copri] 
gi|493900817|ref|WP_006846613.1|	hypothetical protein [Prevotella copri] 
gi|493900818|ref|WP_006846614.1|	hypothetical protein [Prevotella copri] 
gi|493900819|ref|WP_006846615.1|	DNA methylase N-4/N-6 [Prevotella copri] 
gi|493900820|ref|WP_006846616.1|	hypothetical protein [Prevotella copri] 
gi|493900821|ref|WP_006846617.1|	ATPase AAA [Prevotella copri] 
gi|493900822|ref|WP_006846618.1|	hypothetical protein [Prevotella copri] 
gi|493900823|ref|WP_006846619.1|	putative outer membrane efflux protein [Prevotella copri] 
gi|493900824|ref|WP_006846620.1|	heat-shock protein Hsp70 [Prevotella copri] 
gi|493900825|ref|WP_006846621.1|	secretion protein HlyD [Prevotella copri] 
gi|493900826|ref|WP_006846622.1|	hypothetical protein [Prevotella copri] 
gi|493900827|ref|WP_006846623.1|	thiol:disulfide interchange protein [Prevotella copri] 
gi|493900828|ref|WP_006846624.1|	hypothetical protein [Prevotella copri] 
gi|493900829|ref|WP_006846625.1|	hemin receptor [Prevotella copri] 
gi|493900830|ref|WP_006846626.1|	hypothetical protein [Prevotella copri] 
gi|493900831|ref|WP_006846627.1|	hypothetical protein [Prevotella copri] 
gi|493900832|ref|WP_006846628.1|	50S ribosomal protein L11 methyltransferase [Prevotella copri] 
gi|493900833|ref|WP_006846629.1|	glycosyl hydrolase family 25 [Prevotella copri] 
gi|493900834|ref|WP_006846630.1|	diphosphate--fructose-6-phosphate 1-phosphotransferase [Prevotella copri] 
gi|493900835|ref|WP_006846631.1|	hypothetical protein [Prevotella copri] 
gi|493900836|ref|WP_006846632.1|	acyltransferase [Prevotella copri] 
gi|493900837|ref|WP_006846633.1|	fibronectin [Prevotella copri] 
gi|493900838|ref|WP_006846634.1|	hypothetical protein [Prevotella copri] 
gi|493900839|ref|WP_006846635.1|	hypothetical protein [Prevotella copri] 
gi|493900840|ref|WP_006846636.1|	beta-glucosidase [Prevotella copri] 
gi|493900841|ref|WP_006846637.1|	histidinol-phosphate aminotransferase [Prevotella copri] 
gi|493900842|ref|WP_006846638.1|	bifunctional histidinal dehydrogenase/ histidinol dehydrogenase [Prevotella copri] 
gi|493900843|ref|WP_006846639.1|	ATP phosphoribosyltransferase [Prevotella copri] 
gi|493900844|ref|WP_006846640.1|	tail length tape measure protein [Prevotella copri] 
gi|493900845|ref|WP_006846641.1|	DNA-binding protein [Prevotella copri] 
gi|493900846|ref|WP_006846642.1|	hypothetical protein [Prevotella copri] 
gi|493900847|ref|WP_006846643.1|	hypothetical protein [Prevotella copri] 
gi|493900848|ref|WP_006846644.1|	MULTISPECIES: rhodanese [Prevotella] 
gi|493900849|ref|WP_006846645.1|	hypothetical protein [Prevotella copri] 
gi|493900850|ref|WP_006846646.1|	hypothetical protein [Prevotella copri] 
gi|493900851|ref|WP_006846647.1|	MULTISPECIES: conjugal transfer protein TraC [Prevotella] 
gi|493900852|ref|WP_006846648.1|	MULTISPECIES: peptidylprolyl isomerase [Prevotella] 
gi|493900853|ref|WP_006846649.1|	chorismate synthase [Prevotella copri] 
gi|493900854|ref|WP_006846650.1|	hypothetical protein [Prevotella copri] 
gi|493900855|ref|WP_006846651.1|	MULTISPECIES: endonuclease III [Prevotella] 
gi|493900856|ref|WP_006846652.1|	MULTISPECIES: membrane protein [Prevotella] 
gi|493900858|ref|WP_006846653.1|	membrane protein [Prevotella copri] 
gi|493900859|ref|WP_006846654.1|	aminoacyl-histidine dipeptidase [Prevotella copri] 
gi|493900860|ref|WP_006846655.1|	hypothetical protein [Prevotella copri] 
gi|493900861|ref|WP_006846656.1|	RNA polymerase [Prevotella copri] 
gi|493900862|ref|WP_006846657.1|	heat shock protein Hsp90 [Prevotella copri] 
gi|493900863|ref|WP_006846658.1|	serine dehydratase [Prevotella copri] 
gi|493900864|ref|WP_006846659.1|	peptidyl-prolyl cis-trans isomerase cyclophilin-type [Prevotella copri] 
gi|493900865|ref|WP_006846660.1|	hypothetical protein [Prevotella copri] 
gi|493900866|ref|WP_006846661.1|	UDP-N-acetylglucosamine 2-epimerase [Prevotella copri] 
gi|493900867|ref|WP_006846662.1|	hypothetical protein [Prevotella copri] 
gi|493900868|ref|WP_006846663.1|	membrane protein [Prevotella copri] 
gi|493900869|ref|WP_006846664.1|	hypothetical protein [Prevotella copri] 
gi|493900870|ref|WP_006846665.1|	cobalamin biosynthesis protein CobW [Prevotella copri] 
gi|493900871|ref|WP_006846666.1|	hypothetical protein [Prevotella copri] 
gi|493900872|ref|WP_006846667.1|	MULTISPECIES: acetyltransferase GNAT family [Prevotella] 
gi|493900873|ref|WP_006846668.1|	DNA ligase [Prevotella copri] 
gi|493900874|ref|WP_006846669.1|	serine protease [Prevotella copri] 
gi|493900875|ref|WP_006846670.1|	hypothetical protein [Prevotella copri] 
gi|493900876|ref|WP_006846671.1|	hypothetical protein [Prevotella copri] 
gi|493900877|ref|WP_006846672.1|	ATPase AAA [Prevotella copri] 
gi|493900878|ref|WP_006846673.1|	cytidine deaminase [Prevotella copri] 
gi|493900879|ref|WP_006846674.1|	pyruvate:ferredoxin (flavodoxin) oxidoreductase [Prevotella copri] 
gi|493900880|ref|WP_006846675.1|	hypothetical protein [Prevotella copri] 
gi|493900881|ref|WP_006846676.1|	ABC transporter ATP-binding protein [Prevotella copri] 
gi|493900882|ref|WP_006846677.1|	peptidase M13 [Prevotella copri] 
gi|493900883|ref|WP_006846678.1|	glycosyl transferase family 2 [Prevotella copri] 
gi|493900884|ref|WP_006846679.1|	S-adenosylmethionine tRNA ribosyltransferase [Prevotella copri] 
gi|493900885|ref|WP_006846680.1|	hypothetical protein [Prevotella copri] 
gi|493900886|ref|WP_006846681.1|	aerotolerance regulator BatD [Prevotella copri] 
gi|493900887|ref|WP_006846682.1|	aerotolerance regulator BatC [Prevotella copri] 
gi|493900888|ref|WP_006846683.1|	membrane protein [Prevotella copri] 
gi|493900889|ref|WP_006846684.1|	MULTISPECIES: BatA protein [Prevotella] 
gi|493900890|ref|WP_006846685.1|	hypothetical protein [Prevotella copri] 
gi|493900891|ref|WP_006846686.1|	MULTISPECIES: von Willebrand factor type A [Prevotella] 
gi|493900892|ref|WP_006846687.1|	ATPase AAA [Prevotella copri] 
gi|493900893|ref|WP_006846688.1|	sugar transporter [Prevotella copri] 
gi|493900894|ref|WP_006846689.1|	3-methyl-2-oxobutanoate hydroxymethyltransferase [Prevotella copri] 
gi|493900895|ref|WP_006846690.1|	phosphatase [Prevotella copri] 
gi|493900896|ref|WP_006846691.1|	16S rRNA methyltransferase [Prevotella copri] 
gi|493900897|ref|WP_006846692.1|	metallo-beta-lactamase [Prevotella copri] 
gi|493900898|ref|WP_006846693.1|	Holliday junction resolvase [Prevotella copri] 
gi|493900899|ref|WP_006846694.1|	molybdenum ABC transporter ATP-binding protein [Prevotella copri] 
gi|493900900|ref|WP_006846695.1|	hypothetical protein [Prevotella copri] 
gi|493900901|ref|WP_006846696.1|	c-C chemokine receptor type 4 [Prevotella copri] 
gi|493900902|ref|WP_006846697.1|	hypothetical protein [Prevotella copri] 
gi|493900903|ref|WP_006846698.1|	hypothetical protein [Prevotella copri] 
gi|493900904|ref|WP_006846699.1|	hypothetical protein [Prevotella copri] 
gi|493900905|ref|WP_006846700.1|	putative cytoplasmic protein [Prevotella copri] 
gi|493900906|ref|WP_006846701.1|	hypothetical protein [Prevotella copri] 
gi|493900907|ref|WP_006846702.1|	hypothetical protein [Prevotella copri] 
gi|493900909|ref|WP_006846703.1|	ATPase AAA [Prevotella copri] 
gi|493900910|ref|WP_006846704.1|	hypothetical protein [Prevotella copri] 
gi|493900911|ref|WP_006846705.1|	thioredoxin reductase [Prevotella copri] 
gi|493900912|ref|WP_006846706.1|	putative flagellar protein FliS [Prevotella copri] 
gi|493900913|ref|WP_006846707.1|	hypothetical protein [Prevotella copri] 
gi|493900914|ref|WP_006846708.1|	hypothetical protein [Prevotella copri] 
gi|493900915|ref|WP_006846709.1|	1,4-dihydroxy-2-naphthoate prenyltransferase [Prevotella copri] 
gi|493900916|ref|WP_006846710.1|	phosphohydrolase [Prevotella copri] 
gi|493900917|ref|WP_006846711.1|	hypothetical protein [Prevotella copri] 
gi|493900918|ref|WP_006846712.1|	TonB-denpendent receptor [Prevotella copri] 
gi|493900919|ref|WP_006846713.1|	beta-carotene 15,15-monooxygenase [Prevotella copri] 
gi|493900920|ref|WP_006846714.1|	protease [Prevotella copri] 
gi|493900921|ref|WP_006846715.1|	homoserine O-succinyltransferase [Prevotella copri] 
gi|493900922|ref|WP_006846716.1|	hypothetical protein [Prevotella copri] 
gi|493900923|ref|WP_006846717.1|	transporter [Prevotella copri] 
gi|493900924|ref|WP_006846718.1|	macrolide export ATP-binding/permease protein MacB [Prevotella copri] 
gi|493900925|ref|WP_006846719.1|	3-deoxy-manno-octulosonate cytidylyltransferase [Prevotella copri] 
gi|493900926|ref|WP_006846720.1|	tRNA(Ile)-lysidine synthase [Prevotella copri] 
gi|493900927|ref|WP_006846721.1|	glycosyl hydrolase family protein [Prevotella copri] 
gi|493900928|ref|WP_006846722.1|	MULTISPECIES: RNA polymerase sigma factor rpoD [Prevotella] 
gi|493900929|ref|WP_006846723.1|	hypothetical protein [Prevotella copri] 
gi|493900930|ref|WP_006846724.1|	putative UvrD/REP helicase domain protein [Prevotella copri] 
gi|493900931|ref|WP_006846725.1|	nuclease [Prevotella copri] 
gi|493900932|ref|WP_006846726.1|	RNA polymerase sigma-43 factor [Prevotella copri] 
gi|493900933|ref|WP_006846727.1|	AraC family transcriptional regulator [Prevotella copri] 
gi|493900934|ref|WP_006846728.1|	sulfatase [Prevotella copri] 
gi|493900935|ref|WP_006846729.1|	putative membrane-associated phospholipid phosphatase [Prevotella copri] 
gi|493900936|ref|WP_006846730.1|	putative lipoprotein [Prevotella copri] 
gi|493900937|ref|WP_006846731.1|	glutaminyl-tRNA synthetase [Prevotella copri] 
gi|493900938|ref|WP_006846732.1|	membrane protein [Prevotella copri] 
gi|493900939|ref|WP_006846733.1|	hypothetical protein [Prevotella copri] 
gi|493900940|ref|WP_006846734.1|	hypothetical protein [Prevotella copri] 
gi|493900941|ref|WP_006846735.1|	hypothetical protein [Prevotella copri] 
gi|493900942|ref|WP_006846736.1|	hypothetical protein [Prevotella copri] 
gi|493900943|ref|WP_006846737.1|	hypothetical protein [Prevotella copri] 
gi|493900944|ref|WP_006846738.1|	hypothetical protein [Prevotella copri] 
gi|493900945|ref|WP_006846739.1|	hypothetical protein [Prevotella copri] 
gi|493900946|ref|WP_006846740.1|	DNA (cytosine-5-)-methyltransferase [Prevotella copri] 
gi|493900947|ref|WP_006846741.1|	hypothetical protein [Prevotella copri] 
gi|493900948|ref|WP_006846742.1|	hypothetical protein [Prevotella copri] 
gi|493900949|ref|WP_006846743.1|	VirE protein [Prevotella copri] 
gi|493900950|ref|WP_006846744.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493900951|ref|WP_006846745.1|	DNA-binding protein [Prevotella copri] 
gi|493900952|ref|WP_006846746.1|	hypothetical protein [Prevotella copri] 
gi|493900953|ref|WP_006846747.1|	putative lipoprotein [Prevotella copri] 
gi|493900954|ref|WP_006846748.1|	N-acetylmuramoyl-L-alanine amidase [Prevotella copri] 
gi|493900955|ref|WP_006846749.1|	MULTISPECIES: membrane protein [Prevotella] 
gi|493900956|ref|WP_006846750.1|	putative phosphoribosyl transferase domain protein [Prevotella copri] 
gi|493900957|ref|WP_006846751.1|	YihY family protein [Prevotella copri] 
gi|493900958|ref|WP_006846752.1|	glucuronate isomerase [Prevotella copri] 
gi|493900959|ref|WP_006846753.1|	dihydrodipicolinate synthase [Prevotella copri] 
gi|493900961|ref|WP_006846754.1|	tRNA pseudouridine synthase A [Prevotella copri] 
gi|493900962|ref|WP_006846755.1|	putative permease partial [Prevotella copri] 
gi|493900963|ref|WP_006846756.1|	putative permease partial [Prevotella copri] 
gi|493900964|ref|WP_006846757.1|	peptidase M13 [Prevotella copri] 
gi|493900965|ref|WP_006846758.1|	sodium:solute symporter [Prevotella copri] 
gi|493900966|ref|WP_006846759.1|	GNAT family acetyltransferase [Prevotella copri] 
gi|493900967|ref|WP_006846760.1|	glycosyl transferase family 2 [Prevotella copri] 
gi|493900968|ref|WP_006846761.1|	hypothetical protein [Prevotella copri] 
gi|493900969|ref|WP_006846762.1|	recombinase RecR [Prevotella copri] 
gi|493900970|ref|WP_006846763.1|	membrane protein [Prevotella copri] 
gi|493900971|ref|WP_006846764.1|	putative carbon starvation protein CstA [Prevotella copri] 
gi|493900972|ref|WP_006846765.1|	hypothetical protein [Prevotella copri] 
gi|493900973|ref|WP_006846766.1|	hypothetical protein [Prevotella copri] 
gi|493900974|ref|WP_006846767.1|	RNA pseudouridylate synthase [Prevotella copri] 
gi|493900975|ref|WP_006846768.1|	ABC transporter [Prevotella copri] 
gi|493900976|ref|WP_006846769.1|	molecular chaperone GrpE [Prevotella copri] 
gi|493900977|ref|WP_006846770.1|	molecular chaperone DnaJ [Prevotella copri] 
gi|493900978|ref|WP_006846771.1|	dihydrofolate synthase [Prevotella copri] 
gi|493900979|ref|WP_006846772.1|	MULTISPECIES: aldose 1-epimerase [Prevotella] 
gi|493900980|ref|WP_006846773.1|	MULTISPECIES: major facilitator transporter [Prevotella] 
gi|493900981|ref|WP_006846774.1|	galactokinase [Prevotella copri] 
gi|493900982|ref|WP_006846775.1|	aldose 1-epimerase [Prevotella copri] 
gi|493900983|ref|WP_006846776.1|	Na+/glucose cotransporter [Prevotella copri] 
gi|493900984|ref|WP_006846777.1|	DNA mistmatch repair protein MutT [Prevotella copri] 
gi|493900985|ref|WP_006846778.1|	MULTISPECIES: L-ribulose-5-phosphate 4-epimerase [Prevotella] 
gi|493900986|ref|WP_006846779.1|	arabinose isomerase [Prevotella copri] 
gi|493900987|ref|WP_006846780.1|	ATPase [Prevotella copri] 
gi|493900988|ref|WP_006846781.1|	alpha-N-arabinofuranosidase [Prevotella copri] 
gi|493900989|ref|WP_006846782.1|	transketolase [Prevotella copri] 
gi|493900990|ref|WP_006846783.1|	ribose 5-phosphate isomerase [Prevotella copri] 
gi|493900991|ref|WP_006846784.1|	XRE family transcriptional regulator [Prevotella copri] 
gi|493900992|ref|WP_006846785.1|	hypothetical protein [Prevotella copri] 
gi|493900993|ref|WP_006846786.1|	modification methylase HgiDII [Prevotella copri] 
gi|493900994|ref|WP_006846787.1|	modification methylase HphIA [Prevotella copri] 
gi|493900995|ref|WP_006846788.1|	DNA-binding protein [Prevotella copri] 
gi|493900996|ref|WP_006846789.1|	hypothetical protein [Prevotella copri] 
gi|493900997|ref|WP_006846790.1|	toxin RelE [Prevotella copri] 
gi|493900998|ref|WP_006846791.1|	hypothetical protein [Prevotella copri] 
gi|493900999|ref|WP_006846792.1|	hypothetical protein [Prevotella copri] 
gi|493901000|ref|WP_006846793.1|	hypothetical protein [Prevotella copri] 
gi|493901001|ref|WP_006846794.1|	DNA gyrase subunit A [Prevotella copri] 
gi|493901002|ref|WP_006846795.1|	ATP-dependent Clp protease ClpC [Prevotella copri] 
gi|493901003|ref|WP_006846796.1|	capsule polysaccharide transporter [Prevotella copri] 
gi|493901004|ref|WP_006846797.1|	ATPase AAA [Prevotella copri] 
gi|493901005|ref|WP_006846798.1|	hypothetical protein [Prevotella copri] 
gi|493901006|ref|WP_006846799.1|	flippase [Prevotella copri] 
gi|493901007|ref|WP_006846800.1|	chain-length determining protein [Prevotella copri] 
gi|493901008|ref|WP_006846801.1|	putative chain length determinant protein [Prevotella copri] 
gi|493901009|ref|WP_006846802.1|	hypothetical protein [Prevotella copri] 
gi|493901010|ref|WP_006846803.1|	dTDP-rhamnosyl transferase [Prevotella copri] 
gi|493901011|ref|WP_006846804.1|	hypothetical protein [Prevotella copri] 
gi|493901012|ref|WP_006846805.1|	hypothetical protein [Prevotella copri] 
gi|493901013|ref|WP_006846806.1|	amylovoran biosynthesis protein AmsE [Prevotella copri] 
gi|493901014|ref|WP_006846807.1|	hypothetical protein [Prevotella copri] 
gi|493901015|ref|WP_006846808.1|	glycosyl transferase family 4 [Prevotella copri] 
gi|493901016|ref|WP_006846809.1|	sugar transferase [Prevotella copri] 
gi|493901017|ref|WP_006846810.1|	hypothetical protein [Prevotella copri] 
