gi|491884269|ref|WP_005651557.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491885786|ref|WP_005652191.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885790|ref|WP_005652194.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885792|ref|WP_005652195.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885795|ref|WP_005652197.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885798|ref|WP_005652199.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885801|ref|WP_005652201.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885804|ref|WP_005652203.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885807|ref|WP_005652205.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885809|ref|WP_005652206.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885812|ref|WP_005652208.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885814|ref|WP_005652210.1|	signal peptide peptidase SppA [Bacteroides stercoris] 
gi|491885816|ref|WP_005652211.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885820|ref|WP_005652213.1|	arginine utilization regulatory protein RocR [Bacteroides stercoris] 
gi|491885823|ref|WP_005652215.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885827|ref|WP_005652217.1|	transposase [Bacteroides stercoris] 
gi|491885830|ref|WP_005652219.1|	ATPase AAA [Bacteroides stercoris] 
gi|491885833|ref|WP_005652221.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885849|ref|WP_005652230.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885852|ref|WP_005652232.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885855|ref|WP_005652234.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885859|ref|WP_005652236.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885862|ref|WP_005652238.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885865|ref|WP_005652240.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885868|ref|WP_005652242.1|	mechanosensitive ion channel protein [Bacteroides stercoris] 
gi|491885871|ref|WP_005652244.1|	TonB-dependent receptor [Bacteroides stercoris] 
gi|491885875|ref|WP_005652246.1|	membrane protein [Bacteroides stercoris] 
gi|491885879|ref|WP_005652249.1|	thiamine pyrophosphokinase [Bacteroides stercoris] 
gi|491885883|ref|WP_005652251.1|	permease [Bacteroides stercoris] 
gi|491885886|ref|WP_005652253.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885890|ref|WP_005652255.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885894|ref|WP_005652257.1|	threonine synthase [Bacteroides stercoris] 
gi|491885892|ref|WP_005652256.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885896|ref|WP_005652258.1|	phosphoglycerate mutase [Bacteroides stercoris] 
gi|491885898|ref|WP_005652259.1|	aspartokinase [Bacteroides stercoris] 
gi|491885899|ref|WP_005652260.1|	1-alkyl-2-acetylglycerophosphocholine esterase [Bacteroides stercoris] 
gi|491885901|ref|WP_005652261.1|	MULTISPECIES: carbonate dehydratase [Bacteroides] 
gi|491885904|ref|WP_005652262.1|	DNA repair protein RadA [Bacteroides stercoris] 
gi|491885907|ref|WP_005652263.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491885909|ref|WP_005652264.1|	LuxR family transcriptional regulator [Bacteroides stercoris] 
gi|491885910|ref|WP_005652265.1|	TonB-denpendent receptor [Bacteroides stercoris] 
gi|491885912|ref|WP_005652266.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885914|ref|WP_005652267.1|	protease [Bacteroides stercoris] 
gi|491885916|ref|WP_005652268.1|	MULTISPECIES: homoserine O-succinyltransferase [Bacteroides] 
gi|491885919|ref|WP_005652270.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885922|ref|WP_005652272.1|	DNA-binding protein [Bacteroides stercoris] 
gi|491885181|ref|WP_005651828.1|	transposase [Bacteroides stercoris] 
gi|491885924|ref|WP_005652273.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885926|ref|WP_005652275.1|	5,10-methylenetetrahydrofolate reductase [Bacteroides stercoris] 
gi|491885929|ref|WP_005652277.1|	DNA polymerase III subunit delta [Bacteroides stercoris] 
gi|491885931|ref|WP_005652278.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885934|ref|WP_005652280.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885937|ref|WP_005652282.1|	rod shape-determining protein RodA [Bacteroides stercoris] 
gi|491885939|ref|WP_005652283.1|	penicillin-binding protein 2 [Bacteroides stercoris] 
gi|491885942|ref|WP_005652285.1|	rod shape-determining protein MreD [Bacteroides stercoris] 
gi|491885945|ref|WP_005652287.1|	rod shape-determining protein MreC [Bacteroides stercoris] 
gi|491885953|ref|WP_005652290.1|	MULTISPECIES: rod shape-determining protein MreB [Bacteroides] 
gi|491885956|ref|WP_005652292.1|	phosphoribosylaminoimidazolecarboxamide formyltransferase [Bacteroides stercoris] 
gi|491885958|ref|WP_005652293.1|	peptidase M13 [Bacteroides stercoris] 
gi|491885961|ref|WP_005652295.1|	glycosyl transferase family 2 [Bacteroides stercoris] 
gi|491885963|ref|WP_005652296.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885966|ref|WP_005652298.1|	nucleotidyltransferase [Bacteroides stercoris] 
gi|491885968|ref|WP_005652299.1|	membrane protein [Bacteroides stercoris] 
gi|491885969|ref|WP_005652300.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885971|ref|WP_005652301.1|	sensor histidine kinase [Bacteroides stercoris] 
gi|491885974|ref|WP_005652303.1|	multidrug transporter MatE [Bacteroides stercoris] 
gi|491885977|ref|WP_005652305.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885980|ref|WP_005652307.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885985|ref|WP_005652310.1|	peptidase M16 [Bacteroides stercoris] 
gi|491885988|ref|WP_005652312.1|	peptidyl-prolyl cis-trans isomerase [Bacteroides stercoris] 
gi|491885993|ref|WP_005652314.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491885997|ref|WP_005652316.1|	transposase [Bacteroides stercoris] 
gi|491886000|ref|WP_005652318.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886003|ref|WP_005652320.1|	peptidase S9 [Bacteroides stercoris] 
gi|491886007|ref|WP_005652323.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491886015|ref|WP_005652328.1|	MULTISPECIES: 3-oxoacyl-ACP synthase [Bacteroides] 
gi|490416454|ref|WP_004288944.1|	MULTISPECIES: TetR family transcriptional regulator [Bacteroides] 
gi|491886039|ref|WP_005652339.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886044|ref|WP_005652342.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886047|ref|WP_005652344.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886050|ref|WP_005652346.1|	MULTISPECIES: membrane protein [Bacteroides] 
gi|491886053|ref|WP_005652348.1|	MULTISPECIES: septum formation initiator [Bacteroides] 
gi|491886055|ref|WP_005652349.1|	DNA polymerase III subunit gamma/tau [Bacteroides stercoris] 
gi|491886058|ref|WP_005652351.1|	heat-shock protein Hsp90 [Bacteroides stercoris] 
gi|491886061|ref|WP_005652353.1|	histidine kinase [Bacteroides stercoris] 
gi|491886065|ref|WP_005652356.1|	ferredoxin [Bacteroides stercoris] 
gi|491886068|ref|WP_005652358.1|	aspartate aminotransferase [Bacteroides stercoris] 
gi|491886071|ref|WP_005652360.1|	MULTISPECIES: 3,4-dihydroxy-2-butanone 4-phosphate synthase [Bacteroides] 
gi|491886079|ref|WP_005652365.1|	membrane protein [Bacteroides stercoris] 
gi|491886076|ref|WP_005652363.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886082|ref|WP_005652367.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491886084|ref|WP_005652368.1|	MULTISPECIES: DNA-binding protein [Bacteroides] 
gi|491886087|ref|WP_005652370.1|	DEAD/DEAH box helicase [Bacteroides stercoris] 
gi|491886090|ref|WP_005652372.1|	MULTISPECIES: RNA-binding protein [Bacteroides] 
gi|491886092|ref|WP_005652373.1|	transporter [Bacteroides stercoris] 
gi|491886095|ref|WP_005652375.1|	hemolysin D [Bacteroides stercoris] 
gi|491886098|ref|WP_005652377.1|	MULTISPECIES: MFS transporter [Bacteroides] 
gi|491886101|ref|WP_005652379.1|	AraC family transcriptional regulator [Bacteroides stercoris] 
gi|491886104|ref|WP_005652381.1|	histidine kinase [Bacteroides stercoris] 
gi|491886109|ref|WP_005652384.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886112|ref|WP_005652386.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886117|ref|WP_005652390.1|	potassium transporter KtrB [Bacteroides stercoris] 
gi|491886122|ref|WP_005652393.1|	potassium-transporting ATPase subunit B [Bacteroides stercoris] 
gi|491886125|ref|WP_005652395.1|	potassium-transporting ATPase subunit A [Bacteroides stercoris] 
gi|491886127|ref|WP_005652396.1|	chemotaxis protein CheY [Bacteroides stercoris] 
gi|491886133|ref|WP_005652400.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886131|ref|WP_005652399.1|	aspartate kinase [Bacteroides stercoris] 
gi|491886137|ref|WP_005652403.1|	L-glyceraldehyde 3-phosphate reductase [Bacteroides stercoris] 
gi|491886141|ref|WP_005652405.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886144|ref|WP_005652407.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886147|ref|WP_005652409.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491886150|ref|WP_005652411.1|	beta-N-acetylglucosaminidase [Bacteroides stercoris] 
gi|491886152|ref|WP_005652412.1|	5'-nucleotidase [Bacteroides stercoris] 
gi|491886155|ref|WP_005652414.1|	5'-nucleotidase [Bacteroides stercoris] 
gi|491886159|ref|WP_005652416.1|	MULTISPECIES: 50S ribosomal protein L19 [Bacteroides] 
gi|491886163|ref|WP_005652419.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886166|ref|WP_005652421.1|	MULTISPECIES: glucokinase [Bacteroides] 
gi|491886170|ref|WP_005652423.1|	MULTISPECIES: ABC transporter ATP-binding protein [Bacteroides] 
gi|491886173|ref|WP_005652425.1|	ABC transporter permease [Bacteroides stercoris] 
gi|491886176|ref|WP_005652427.1|	ABC transporter ATP-binding protein [Bacteroides stercoris] 
gi|491886179|ref|WP_005652429.1|	RND transporter MFP subunit [Bacteroides stercoris] 
gi|491886182|ref|WP_005652431.1|	transporter [Bacteroides stercoris] 
gi|491886188|ref|WP_005652435.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886185|ref|WP_005652433.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886190|ref|WP_005652436.1|	GntR family transcriptional regulator [Bacteroides stercoris] 
gi|491886193|ref|WP_005652438.1|	malate dehydrogenase [Bacteroides stercoris] 
gi|491886196|ref|WP_005652440.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886199|ref|WP_005652442.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886202|ref|WP_005652444.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886204|ref|WP_005652445.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886207|ref|WP_005652447.1|	XRE family transcriptional regulator [Bacteroides stercoris] 
gi|491886210|ref|WP_005652449.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886212|ref|WP_005652450.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886215|ref|WP_005652452.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886218|ref|WP_005652454.1|	pilus biosynthesis protein HicB [Bacteroides stercoris] 
gi|491886224|ref|WP_005652458.1|	MULTISPECIES: toxin HicA [Bacteroides] 
gi|491886226|ref|WP_005652459.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886229|ref|WP_005652461.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886232|ref|WP_005652463.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886235|ref|WP_005652465.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886238|ref|WP_005652467.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886240|ref|WP_005652468.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886243|ref|WP_005652470.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886245|ref|WP_005652471.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886248|ref|WP_005652473.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886249|ref|WP_005652474.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886251|ref|WP_005652475.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886255|ref|WP_005652477.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491886273|ref|WP_005652485.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886270|ref|WP_005652483.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886275|ref|WP_005652486.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886277|ref|WP_005652487.1|	acyl dehydratase [Bacteroides stercoris] 
gi|491886281|ref|WP_005652489.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886284|ref|WP_005652491.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886287|ref|WP_005652493.1|	GNAT family acetyltransferase [Bacteroides stercoris] 
gi|491886290|ref|WP_005652494.1|	membrane protein [Bacteroides stercoris] 
gi|491886292|ref|WP_005652495.1|	methylated-DNA--protein-cysteine methyltransferase [Bacteroides stercoris] 
gi|491886294|ref|WP_005652496.1|	endonuclease V [Bacteroides stercoris] 
gi|491886296|ref|WP_005652497.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886298|ref|WP_005652498.1|	glyoxalase [Bacteroides stercoris] 
gi|491886300|ref|WP_005652499.1|	MULTISPECIES: GCN5 family N-acetyltransferase [Bacteroides] 
gi|491886302|ref|WP_005652500.1|	pseudouridine synthase [Bacteroides stercoris] 
gi|491886304|ref|WP_005652501.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886306|ref|WP_005652502.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491886308|ref|WP_005652503.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886311|ref|WP_005652505.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886314|ref|WP_005652507.1|	rRNA methyltransferase [Bacteroides stercoris] 
gi|491886317|ref|WP_005652509.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886320|ref|WP_005652511.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886323|ref|WP_005652513.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886326|ref|WP_005652514.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886329|ref|WP_005652516.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886332|ref|WP_005652518.1|	transcriptional regulator [Bacteroides stercoris] 
gi|491886334|ref|WP_005652520.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886337|ref|WP_005652522.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886340|ref|WP_005652524.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886343|ref|WP_005652526.1|	Ser/Thr phosphatase [Bacteroides stercoris] 
gi|491886347|ref|WP_005652528.1|	MULTISPECIES: hypothetical protein [Bacteroidales] 
gi|491886350|ref|WP_005652530.1|	nucleotidyltransferase [Bacteroides stercoris] 
gi|490445605|ref|WP_004316526.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|491886360|ref|WP_005652536.1|	type I deoxyribonuclease HsdR [Bacteroides stercoris] 
gi|491886363|ref|WP_005652538.1|	N-6 DNA methylase [Bacteroides stercoris] 
gi|491886366|ref|WP_005652540.1|	toxin Fic [Bacteroides stercoris] 
gi|491886368|ref|WP_005652541.1|	type I restriction endonuclease subunit S [Bacteroides stercoris] 
gi|491886371|ref|WP_005652543.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886374|ref|WP_005652545.1|	restriction endonuclease subunit S [Bacteroides stercoris] 
gi|491886377|ref|WP_005652547.1|	integrase [Bacteroides stercoris] 
gi|491886381|ref|WP_005652550.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886385|ref|WP_005652552.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886388|ref|WP_005652554.1|	mobilization protein [Bacteroides stercoris] 
gi|490445588|ref|WP_004316509.1|	MULTISPECIES: mobilization protein [Bacteroidales] 
gi|491886394|ref|WP_005652557.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886397|ref|WP_005652559.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886400|ref|WP_005652561.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886404|ref|WP_005652563.1|	excisionase [Bacteroides stercoris] 
gi|491886412|ref|WP_005652568.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491886416|ref|WP_005652570.1|	RNA-directed DNA polymerase [Bacteroides stercoris] 
gi|491886419|ref|WP_005652572.1|	mobilization protein [Bacteroides stercoris] 
gi|491886437|ref|WP_005652581.1|	MULTISPECIES: hypothetical protein [Bacteroides] 
gi|491886441|ref|WP_005652584.1|	integrase [Bacteroides stercoris] 
gi|491886444|ref|WP_005652586.1|	MerR family transcriptional regulator [Bacteroides stercoris] 
gi|491886448|ref|WP_005652588.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886451|ref|WP_005652590.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886454|ref|WP_005652592.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886457|ref|WP_005652594.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886460|ref|WP_005652596.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886463|ref|WP_005652598.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886465|ref|WP_005652599.1|	1-aminocyclopropane-1-carboxylate synthase [Bacteroides stercoris] 
gi|491886468|ref|WP_005652601.1|	regulator [Bacteroides stercoris] 
gi|491886470|ref|WP_005652603.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886471|ref|WP_005652604.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886473|ref|WP_005652606.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886474|ref|WP_005652607.1|	hypothetical protein partial [Bacteroides stercoris] 
gi|491886481|ref|WP_005652614.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886482|ref|WP_005652615.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886484|ref|WP_005652617.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886486|ref|WP_005652619.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886488|ref|WP_005652621.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886490|ref|WP_005652623.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886492|ref|WP_005652625.1|	heparinase [Bacteroides stercoris] 
gi|491886493|ref|WP_005652626.1|	diaminopimelate decarboxylase [Bacteroides stercoris] 
gi|491886495|ref|WP_005652628.1|	aspartate kinase [Bacteroides stercoris] 
gi|491886497|ref|WP_005652630.1|	phosphonate ABC transporter ATP-binding protein [Bacteroides stercoris] 
gi|491886499|ref|WP_005652632.1|	phosphoribosyl-AMP cyclohydrolase [Bacteroides stercoris] 
gi|491886500|ref|WP_005652633.1|	imidazole glycerol phosphate synthase [Bacteroides stercoris] 
gi|491886502|ref|WP_005652635.1|	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase [Bacteroides stercoris] 
gi|491886504|ref|WP_005652637.1|	imidazole glycerol phosphate synthase [Bacteroides stercoris] 
gi|491886506|ref|WP_005652639.1|	formyltetrahydrofolate deformylase [Bacteroides stercoris] 
gi|491886508|ref|WP_005652641.1|	hypothetical protein [Bacteroides stercoris] 
gi|491885733|ref|WP_005652161.1|	hypothetical protein [Bacteroides stercoris] 
gi|491886510|ref|WP_005652643.1|	transposase [Bacteroides stercoris] 
gi|491886512|ref|WP_005652645.1|	hypothetical protein [Bacteroides stercoris] 
