gi|490935456|ref|WP_004797295.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935922|ref|WP_004797760.1|	amino acid ABC transporter permease [[Eubacterium] dolichum] 
gi|490935923|ref|WP_004797761.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Firmicutes] 
gi|490935924|ref|WP_004797762.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935925|ref|WP_004797763.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935926|ref|WP_004797764.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935927|ref|WP_004797765.1|	MULTISPECIES: N-acetylglucosamine-6-phosphate deacetylase [Firmicutes] 
gi|490935928|ref|WP_004797766.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935929|ref|WP_004797767.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935930|ref|WP_004797768.1|	membrane protein [[Eubacterium] dolichum] 
gi|490935931|ref|WP_004797769.1|	peptidase [[Eubacterium] dolichum] 
gi|490935932|ref|WP_004797770.1|	MULTISPECIES: hydrolase [Firmicutes] 
gi|490935933|ref|WP_004797771.1|	MULTISPECIES: LacX protein [Firmicutes] 
gi|490935934|ref|WP_004797772.1|	MULTISPECIES: glucosamine-6-phosphate deaminase [Firmicutes] 
gi|490935936|ref|WP_004797774.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935937|ref|WP_004797775.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935939|ref|WP_004797777.1|	flavin reductase [[Eubacterium] dolichum] 
gi|490935941|ref|WP_004797779.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|489621817|ref|WP_003526257.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935952|ref|WP_004797790.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|488634323|ref|WP_002570998.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490935957|ref|WP_004797795.1|	DNA topoisomerase III [[Eubacterium] dolichum] 
gi|490935959|ref|WP_004797797.1|	conjugal transfer protein TraG [[Eubacterium] dolichum] 
gi|490935960|ref|WP_004797798.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935962|ref|WP_004797800.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935963|ref|WP_004797801.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935965|ref|WP_004797803.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935974|ref|WP_004797812.1|	MULTISPECIES: regulatory protein [Firmicutes] 
gi|490935978|ref|WP_004797816.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935980|ref|WP_004797818.1|	tryptophanyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490935990|ref|WP_004797828.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935995|ref|WP_004797833.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935997|ref|WP_004797835.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490935999|ref|WP_004797837.1|	6-phospho-beta-glucosidase [[Eubacterium] dolichum] 
gi|490936002|ref|WP_004797840.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936003|ref|WP_004797841.1|	transposase [[Eubacterium] dolichum] 
gi|490936005|ref|WP_004797843.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936007|ref|WP_004797845.1|	aspartate carbamoyltransferase [[Eubacterium] dolichum] 
gi|490936009|ref|WP_004797847.1|	dihydroorotase [[Eubacterium] dolichum] 
gi|490936010|ref|WP_004797848.1|	carbamoyl phosphate synthase small subunit [[Eubacterium] dolichum] 
gi|490936011|ref|WP_004797849.1|	carbamoyl phosphate synthase large subunit [[Eubacterium] dolichum] 
gi|490936013|ref|WP_004797851.1|	dihydroorotate dehydrogenase [[Eubacterium] dolichum] 
gi|490936014|ref|WP_004797852.1|	MULTISPECIES: dihydroorotate dehydrogenase [Firmicutes] 
gi|490936016|ref|WP_004797854.1|	MULTISPECIES: orotidine 5'-phosphate decarboxylase [Firmicutes] 
gi|490936018|ref|WP_004797856.1|	orotate phosphoribosyltransferase [[Eubacterium] dolichum] 
gi|490936019|ref|WP_004797857.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936022|ref|WP_004797860.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936024|ref|WP_004797862.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936026|ref|WP_004797864.1|	MULTISPECIES: rod shape-determining protein MreC [Firmicutes] 
gi|490936028|ref|WP_004797866.1|	MULTISPECIES: rod shape-determining protein MreD [Firmicutes] 
gi|490936029|ref|WP_004797867.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936030|ref|WP_004797868.1|	MULTISPECIES: septum site-determining protein MinD [Firmicutes] 
gi|490936033|ref|WP_004797871.1|	membrane protein [[Eubacterium] dolichum] 
gi|490936034|ref|WP_004797872.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936036|ref|WP_004797874.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936037|ref|WP_004797875.1|	peptidase family M23/M37 protein [[Eubacterium] dolichum] 
gi|490936038|ref|WP_004797876.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936039|ref|WP_004797877.1|	MULTISPECIES: laminin-binding surface protein [Firmicutes] 
gi|490936042|ref|WP_004797880.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936044|ref|WP_004797882.1|	formamidopyrimidine-DNA glycosylase [[Eubacterium] dolichum] 
gi|490936045|ref|WP_004797883.1|	dephospho-CoA kinase [[Eubacterium] dolichum] 
gi|490936047|ref|WP_004797885.1|	replication protein DnaD [[Eubacterium] dolichum] 
gi|490936051|ref|WP_004797889.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936053|ref|WP_004797891.1|	6-phosphofructokinase [[Eubacterium] dolichum] 
gi|490936055|ref|WP_004797893.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936057|ref|WP_004797895.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936059|ref|WP_004797897.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936061|ref|WP_004797899.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936062|ref|WP_004797900.1|	ROK family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936063|ref|WP_004797901.1|	peptidase M29 [[Eubacterium] dolichum] 
gi|490936065|ref|WP_004797903.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936067|ref|WP_004797905.1|	threonyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490936068|ref|WP_004797906.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936070|ref|WP_004797908.1|	dinitrogenase iron-molybdenum cofactor biosynthesis protein [[Eubacterium] dolichum] 
gi|490936072|ref|WP_004797910.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936074|ref|WP_004797912.1|	MULTISPECIES: thiol peroxidase [Firmicutes] 
gi|490936075|ref|WP_004797913.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936077|ref|WP_004797915.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936079|ref|WP_004797917.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936081|ref|WP_004797919.1|	heptaprenyl diphosphate synthase [[Eubacterium] dolichum] 
gi|490936082|ref|WP_004797920.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936084|ref|WP_004797922.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [[Eubacterium] dolichum] 
gi|490936085|ref|WP_004797923.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936087|ref|WP_004797925.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936088|ref|WP_004797926.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936090|ref|WP_004797928.1|	ketohydroxyglutarate aldolase [[Eubacterium] dolichum] 
gi|490936092|ref|WP_004797930.1|	PTS sorbose transporter subunit IIB [[Eubacterium] dolichum] 
gi|490936094|ref|WP_004797932.1|	MULTISPECIES: PTS sugar transporter subunit IIC [Firmicutes] 
gi|490936096|ref|WP_004797934.1|	PTS sugar transporter subunit IID [[Eubacterium] dolichum] 
gi|490936099|ref|WP_004797937.1|	3-phosphoglycerate dehydrogenase [[Eubacterium] dolichum] 
gi|490936100|ref|WP_004797938.1|	MULTISPECIES: carbohydrate isomerase [Firmicutes] 
gi|490936103|ref|WP_004797941.1|	MULTISPECIES: PTS mannose transporter subunit IIAB [Firmicutes] 
gi|490936105|ref|WP_004797943.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936107|ref|WP_004797945.1|	PTS sorbose transporter subunit IIB [[Eubacterium] dolichum] 
gi|490936108|ref|WP_004797946.1|	dihydrodipicolinate synthase [[Eubacterium] dolichum] 
gi|490936109|ref|WP_004797947.1|	signal peptidase II [[Eubacterium] dolichum] 
gi|490936110|ref|WP_004797948.1|	MULTISPECIES: RNA pseudouridine synthase [Firmicutes] 
gi|490936111|ref|WP_004797949.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936112|ref|WP_004797950.1|	cytidine deaminase [[Eubacterium] dolichum] 
gi|490936113|ref|WP_004797951.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936114|ref|WP_004797952.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936115|ref|WP_004797953.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936117|ref|WP_004797955.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936119|ref|WP_004797957.1|	excinuclease ABC subunit C [[Eubacterium] dolichum] 
gi|490936120|ref|WP_004797958.1|	LuxR family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936122|ref|WP_004797960.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936125|ref|WP_004797963.1|	D-alanyl-D-alanine carboxypeptidase [[Eubacterium] dolichum] 
gi|490936127|ref|WP_004797965.1|	endonuclease [[Eubacterium] dolichum] 
gi|490936129|ref|WP_004797967.1|	germination protein germ [[Eubacterium] dolichum] 
gi|490936131|ref|WP_004797969.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936135|ref|WP_004797973.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936136|ref|WP_004797974.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936137|ref|WP_004797975.1|	RNA polymerase sigma 70 [[Eubacterium] dolichum] 
gi|490936139|ref|WP_004797977.1|	RNA polymerase sigma 70 [[Eubacterium] dolichum] 
gi|490936141|ref|WP_004797979.1|	MULTISPECIES: sporulation protein [Firmicutes] 
gi|490936143|ref|WP_004797981.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936144|ref|WP_004797982.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936146|ref|WP_004797984.1|	MULTISPECIES: cell-division initiation protein DivIVA [Firmicutes] 
gi|490936148|ref|WP_004797986.1|	isoleucyl-tRNA synthetase [[Eubacterium] dolichum] 
gi|490936158|ref|WP_004797996.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936159|ref|WP_004797997.1|	alpha/beta hydrolase [[Eubacterium] dolichum] 
gi|490936161|ref|WP_004797999.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936163|ref|WP_004798001.1|	fructokinase [[Eubacterium] dolichum] 
gi|490936165|ref|WP_004798003.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936167|ref|WP_004798005.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490936171|ref|WP_004798009.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|490936173|ref|WP_004798011.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936175|ref|WP_004798013.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936177|ref|WP_004798015.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936179|ref|WP_004798017.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936181|ref|WP_004798019.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936183|ref|WP_004798021.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936185|ref|WP_004798023.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936186|ref|WP_004798024.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936188|ref|WP_004798026.1|	hypothetical protein partial [[Eubacterium] dolichum] 
gi|487736471|ref|WP_001820670.1|	MULTISPECIES: recombinase [Firmicutes] 
gi|446175321|ref|WP_000253176.1|	MULTISPECIES: stage II sporulation protein R [Firmicutes] 
gi|447129730|ref|WP_001206986.1|	MULTISPECIES: seryl-tRNA synthetase [Firmicutes] 
gi|446666354|ref|WP_000743700.1|	MULTISPECIES: plasmid stablization protein ParB [Firmicutes] 
gi|446139792|ref|WP_000217647.1|	MULTISPECIES: recombinase [Firmicutes] 
gi|490936200|ref|WP_004798038.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|489629667|ref|WP_003534107.1|	MULTISPECIES: RNA polymerase subunit sigma [Firmicutes] 
gi|487736466|ref|WP_001820665.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|446246040|ref|WP_000323895.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936202|ref|WP_004798040.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490334086|ref|WP_004223508.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489629664|ref|WP_003534104.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|446614412|ref|WP_000691758.1|	MULTISPECIES: tetracycline resistance protein tetM [Bacteria] 
gi|447052666|ref|WP_001129922.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|490936204|ref|WP_004798042.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936206|ref|WP_004798044.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936208|ref|WP_004798046.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936209|ref|WP_004798047.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936211|ref|WP_004798049.1|	DNA topoisomerase III [[Eubacterium] dolichum] 
gi|490936213|ref|WP_004798051.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936215|ref|WP_004798053.1|	MULTISPECIES: hypothetical protein [unclassified Erysipelotrichaceae] 
gi|490936217|ref|WP_004798055.1|	conjugal transfer protein [[Eubacterium] dolichum] 
gi|490936219|ref|WP_004798057.1|	pseudouridine synthase [[Eubacterium] dolichum] 
gi|490936221|ref|WP_004798059.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936223|ref|WP_004798061.1|	conjugal transfer protein TraE [[Eubacterium] dolichum] 
gi|490936224|ref|WP_004798062.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|488639578|ref|WP_002576236.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490936233|ref|WP_004798071.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936234|ref|WP_004798072.1|	recombinase RecB [[Eubacterium] dolichum] 
gi|489110468|ref|WP_003020324.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936238|ref|WP_004798075.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936239|ref|WP_004798076.1|	virulence-associated protein E [[Eubacterium] dolichum] 
gi|490936240|ref|WP_004798077.1|	DNA primase [[Eubacterium] dolichum] 
gi|490936241|ref|WP_004798078.1|	conjugal transfer protein [[Eubacterium] dolichum] 
gi|490936242|ref|WP_004798079.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936243|ref|WP_004798080.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936244|ref|WP_004798081.1|	GatB/Yqey domain protein [[Eubacterium] dolichum] 
gi|489110449|ref|WP_003020305.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|488233145|ref|WP_002304353.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936245|ref|WP_004798082.1|	XRE family transcriptional regulator [[Eubacterium] dolichum] 
gi|490936246|ref|WP_004798083.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936247|ref|WP_004798084.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|489628963|ref|WP_003533403.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936248|ref|WP_004798085.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936249|ref|WP_004798086.1|	MULTISPECIES: membrane protein [Firmicutes] 
gi|490936250|ref|WP_004798087.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936251|ref|WP_004798088.1|	conjugal transfer protein TraG [[Eubacterium] dolichum] 
gi|490936252|ref|WP_004798089.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936253|ref|WP_004798090.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936254|ref|WP_004798091.1|	transcriptional regulator [[Eubacterium] dolichum] 
gi|490936255|ref|WP_004798092.1|	diguanylate cyclase [[Eubacterium] dolichum] 
gi|490936256|ref|WP_004798093.1|	plasmid stablization protein ParB [[Eubacterium] dolichum] 
gi|490936257|ref|WP_004798094.1|	chromosome partitioning protein ParA [[Eubacterium] dolichum] 
gi|490936258|ref|WP_004798095.1|	MULTISPECIES: 30S ribosomal protein S9 [Firmicutes] 
gi|490936259|ref|WP_004798096.1|	MULTISPECIES: 50S ribosomal protein L13 [Firmicutes] 
gi|490936260|ref|WP_004798097.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936261|ref|WP_004798098.1|	dGTPase [[Eubacterium] dolichum] 
gi|490936262|ref|WP_004798099.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936263|ref|WP_004798100.1|	RNA methyltransferase [[Eubacterium] dolichum] 
gi|490936264|ref|WP_004798101.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936265|ref|WP_004798102.1|	aspartyl/glutamyl-tRNA amidotransferase subunit B [[Eubacterium] dolichum] 
gi|490936266|ref|WP_004798103.1|	aspartyl-tRNA amidotransferase [[Eubacterium] dolichum] 
gi|490936267|ref|WP_004798104.1|	aspartyl-tRNA amidotransferase [[Eubacterium] dolichum] 
gi|490936268|ref|WP_004798105.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936269|ref|WP_004798106.1|	DNA ligase LigA [[Eubacterium] dolichum] 
gi|490936270|ref|WP_004798107.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936271|ref|WP_004798108.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936272|ref|WP_004798109.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936273|ref|WP_004798110.1|	transcriptional regulator [[Eubacterium] dolichum] 
gi|490936274|ref|WP_004798111.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|490936275|ref|WP_004798112.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936276|ref|WP_004798113.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936277|ref|WP_004798114.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936278|ref|WP_004798115.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936279|ref|WP_004798116.1|	SAM-dependent methyltransferase [[Eubacterium] dolichum] 
gi|490936280|ref|WP_004798117.1|	phospholipase [[Eubacterium] dolichum] 
gi|490936281|ref|WP_004798118.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936282|ref|WP_004798119.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936283|ref|WP_004798120.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936284|ref|WP_004798121.1|	ABC transporter [[Eubacterium] dolichum] 
gi|490936285|ref|WP_004798122.1|	MULTISPECIES: multidrug ABC transporter ATP-binding protein [Firmicutes] 
gi|490936286|ref|WP_004798123.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936287|ref|WP_004798124.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936288|ref|WP_004798125.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936289|ref|WP_004798126.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936290|ref|WP_004798127.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936291|ref|WP_004798128.1|	branched-chain amino acid transporter [[Eubacterium] dolichum] 
gi|490936292|ref|WP_004798129.1|	MULTISPECIES: branched-chain amino acid ABC transporter permease [Firmicutes] 
gi|490936293|ref|WP_004798130.1|	membrane protein [[Eubacterium] dolichum] 
gi|490936294|ref|WP_004798131.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936295|ref|WP_004798132.1|	MULTISPECIES: DNA-binding protein [Firmicutes] 
gi|490936296|ref|WP_004798133.1|	HAD family hydrolase [[Eubacterium] dolichum] 
gi|490936297|ref|WP_004798134.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936298|ref|WP_004798135.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936299|ref|WP_004798136.1|	MULTISPECIES: hypothetical protein [Firmicutes] 
gi|490936300|ref|WP_004798137.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936301|ref|WP_004798138.1|	hypothetical protein [[Eubacterium] dolichum] 
gi|490936302|ref|WP_004798139.1|	nucleotidyltransferase [[Eubacterium] dolichum] 
gi|490936303|ref|WP_004798140.1|	hypothetical protein [[Eubacterium] dolichum] 
