gi|494094725|ref|WP_007035549.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|446944849|ref|WP_001022105.1|	MULTISPECIES: levansucrase [Bacteria] 
gi|447042106|ref|WP_001119362.1|	MULTISPECIES: transposase [Bacteria] 
gi|494094838|ref|WP_007035662.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488634176|ref|WP_002570852.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094839|ref|WP_007035663.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494094840|ref|WP_007035664.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094841|ref|WP_007035665.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094842|ref|WP_007035666.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|494094843|ref|WP_007035667.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094844|ref|WP_007035668.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094845|ref|WP_007035669.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488629410|ref|WP_002566100.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094846|ref|WP_007035670.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094847|ref|WP_007035671.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094848|ref|WP_007035672.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630030|ref|WP_002566719.1|	sugar fermentation stimulation protein [[Clostridium] bolteae] 
gi|494094849|ref|WP_007035673.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094850|ref|WP_007035674.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630031|ref|WP_002566720.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494094851|ref|WP_007035675.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630032|ref|WP_002566721.1|	phenylacetate--CoA ligase [[Clostridium] bolteae] 
gi|488630033|ref|WP_002566722.1|	pyruvate ferredoxin oxidoreductase [[Clostridium] bolteae] 
gi|494094852|ref|WP_007035676.1|	indolepyruvate oxidoreductase [[Clostridium] bolteae] 
gi|494094853|ref|WP_007035677.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630035|ref|WP_002566724.1|	uracil transporter [[Clostridium] bolteae] 
gi|488630036|ref|WP_002566725.1|	MULTISPECIES: helicase [Lachnoclostridium] 
gi|488630037|ref|WP_002566726.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494094855|ref|WP_007035679.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094854|ref|WP_007035678.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094856|ref|WP_007035680.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630040|ref|WP_002566729.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630041|ref|WP_002566730.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094857|ref|WP_007035681.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094858|ref|WP_007035682.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630042|ref|WP_002566731.1|	MULTISPECIES: aldolase [Clostridiales] 
gi|488630043|ref|WP_002566732.1|	metallo-beta-lactamase [[Clostridium] bolteae] 
gi|488630044|ref|WP_002566733.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630045|ref|WP_002566734.1|	citrate transporter [[Clostridium] bolteae] 
gi|488630046|ref|WP_002566735.1|	aldolase [[Clostridium] bolteae] 
gi|488630047|ref|WP_002566736.1|	peptide chain release factor [[Clostridium] bolteae] 
gi|494094859|ref|WP_007035683.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094860|ref|WP_007035684.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630049|ref|WP_002566738.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094861|ref|WP_007035685.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094862|ref|WP_007035686.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630051|ref|WP_002566740.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094863|ref|WP_007035687.1|	COF family hydrolase [[Clostridium] bolteae] 
gi|488630053|ref|WP_002566742.1|	MULTISPECIES: xanthine phosphoribosyltransferase [Clostridiales] 
gi|488630054|ref|WP_002566743.1|	trigger factor [[Clostridium] bolteae] 
gi|494094864|ref|WP_007035688.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630055|ref|WP_002566744.1|	aminopeptidase [[Clostridium] bolteae] 
gi|488630056|ref|WP_002566745.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094865|ref|WP_007035689.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630057|ref|WP_002566746.1|	XRE family transcriptional regulator [[Clostridium] bolteae] 
gi|488630058|ref|WP_002566747.1|	histidine kinase [[Clostridium] bolteae] 
gi|488630059|ref|WP_002566748.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494094866|ref|WP_007035690.1|	potassium transporter TrkA [[Clostridium] bolteae] 
gi|488630061|ref|WP_002566750.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630062|ref|WP_002566751.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|494094867|ref|WP_007035691.1|	potassium transporter KtrA [[Clostridium] bolteae] 
gi|488630064|ref|WP_002566753.1|	MULTISPECIES: potassium-transporting ATPase subunit B [Clostridiales] 
gi|488630065|ref|WP_002566754.1|	ATPase [[Clostridium] bolteae] 
gi|494094868|ref|WP_007035692.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094869|ref|WP_007035693.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630068|ref|WP_002566757.1|	purine nucleoside phosphorylase [[Clostridium] bolteae] 
gi|488630069|ref|WP_002566758.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|488630070|ref|WP_002566759.1|	MULTISPECIES: ribose ABC transporter permease [Clostridiales] 
gi|488630071|ref|WP_002566760.1|	sugar ABC transporter permease [[Clostridium] bolteae] 
gi|488630072|ref|WP_002566761.1|	heme ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488630073|ref|WP_002566762.1|	basic membrane protein A [[Clostridium] bolteae] 
gi|494094870|ref|WP_007035694.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094871|ref|WP_007035695.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094872|ref|WP_007035696.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630074|ref|WP_002566763.1|	xanthine dehydrogenase [[Clostridium] bolteae] 
gi|488630075|ref|WP_002566764.1|	molybdopterin dehydrogenase [[Clostridium] bolteae] 
gi|494094873|ref|WP_007035697.1|	xanthine dehydrogenase subunit A [[Clostridium] bolteae] 
gi|488630077|ref|WP_002566766.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630078|ref|WP_002566767.1|	MULTISPECIES: amidohydrolase [Lachnoclostridium] 
gi|488630079|ref|WP_002566768.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494094874|ref|WP_007035698.1|	membrane protein [[Clostridium] bolteae] 
gi|488630081|ref|WP_002566770.1|	Crp/Fnr family transcriptional regulator [[Clostridium] bolteae] 
gi|488630082|ref|WP_002566771.1|	DNA gyrase subunit B [[Clostridium] bolteae] 
gi|494094875|ref|WP_007035699.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094876|ref|WP_007035700.1|	dolichol monophosphate mannose synthase [[Clostridium] bolteae] 
gi|494094877|ref|WP_007035701.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630086|ref|WP_002566775.1|	xylulokinase [[Clostridium] bolteae] 
gi|488630087|ref|WP_002566776.1|	ribose ABC transporter permease [[Clostridium] bolteae] 
gi|488630088|ref|WP_002566777.1|	D-ribose transporter ATP binding protein [[Clostridium] bolteae] 
gi|494094878|ref|WP_007035702.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630089|ref|WP_002566778.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630090|ref|WP_002566779.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630091|ref|WP_002566780.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630092|ref|WP_002566781.1|	RNA polymerase subunit sigma-24 [[Clostridium] bolteae] 
gi|488630093|ref|WP_002566782.1|	5-formyltetrahydrofolate cyclo-ligase [[Clostridium] bolteae] 
gi|494094879|ref|WP_007035703.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630096|ref|WP_002566785.1|	glycine/betaine ABC transporter permease [[Clostridium] bolteae] 
gi|494094880|ref|WP_007035704.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094881|ref|WP_007035705.1|	MULTISPECIES: glycine reductase complex protein B subunit gamma [Clostridiales] 
gi|488630097|ref|WP_002566786.1|	MULTISPECIES: beta-aspartate methyltransferase [Clostridiales] 
gi|488630098|ref|WP_002566787.1|	MULTISPECIES: betaine reductase complex component B subunit alpha [Clostridiales] 
gi|494094882|ref|WP_007035706.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630100|ref|WP_002566789.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494094883|ref|WP_007035707.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094884|ref|WP_007035708.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630102|ref|WP_002566791.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|494094885|ref|WP_007035709.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630103|ref|WP_002566792.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630104|ref|WP_002566793.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630105|ref|WP_002566794.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630106|ref|WP_002566795.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630107|ref|WP_002566796.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094886|ref|WP_007035710.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094887|ref|WP_007035711.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094888|ref|WP_007035712.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630109|ref|WP_002566798.1|	LemA family protein [[Clostridium] bolteae] 
gi|488630110|ref|WP_002566799.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094889|ref|WP_007035713.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630112|ref|WP_002566801.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630113|ref|WP_002566802.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094890|ref|WP_007035714.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094891|ref|WP_007035715.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630115|ref|WP_002566804.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094892|ref|WP_007035716.1|	transposase [[Clostridium] bolteae] 
gi|488630117|ref|WP_002566806.1|	sugar ABC transporter ATPase [[Clostridium] bolteae] 
gi|494094893|ref|WP_007035717.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094894|ref|WP_007035718.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094895|ref|WP_007035719.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630118|ref|WP_002566807.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630119|ref|WP_002566808.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630120|ref|WP_002566809.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094896|ref|WP_007035720.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630122|ref|WP_002566811.1|	toxin secretion/phage lysis holin [[Clostridium] bolteae] 
gi|488630123|ref|WP_002566812.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630124|ref|WP_002566813.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630125|ref|WP_002566814.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630126|ref|WP_002566815.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630127|ref|WP_002566816.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630128|ref|WP_002566817.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630129|ref|WP_002566818.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630130|ref|WP_002566819.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630131|ref|WP_002566820.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630132|ref|WP_002566821.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630133|ref|WP_002566822.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630134|ref|WP_002566823.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630135|ref|WP_002566824.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630136|ref|WP_002566825.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630137|ref|WP_002566826.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630138|ref|WP_002566827.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630139|ref|WP_002566828.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630140|ref|WP_002566829.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094897|ref|WP_007035721.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630141|ref|WP_002566830.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630142|ref|WP_002566831.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630143|ref|WP_002566832.1|	phage portal protein [[Clostridium] bolteae] 
gi|488630144|ref|WP_002566833.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630145|ref|WP_002566834.1|	MULTISPECIES: hypothetical protein [Lachnoclostridium] 
gi|494094898|ref|WP_007035722.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630146|ref|WP_002566835.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488630147|ref|WP_002566836.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630148|ref|WP_002566837.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094899|ref|WP_007035723.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630149|ref|WP_002566838.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094900|ref|WP_007035724.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630151|ref|WP_002566840.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630152|ref|WP_002566841.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630153|ref|WP_002566842.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488641811|ref|WP_002578462.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630155|ref|WP_002566844.1|	DNA-cytosine methyltransferase [[Clostridium] bolteae] 
gi|488630156|ref|WP_002566845.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488630157|ref|WP_002566846.1|	DEAD/DEAH box helicase [[Clostridium] bolteae] 
gi|488630158|ref|WP_002566847.1|	phage protein [[Clostridium] bolteae] 
gi|494094901|ref|WP_007035725.1|	hypothetical protein partial [[Clostridium] bolteae] 
gi|488628775|ref|WP_002565473.1|	phenylacetic acid degradation protein [[Clostridium] bolteae] 
gi|488628776|ref|WP_002565474.1|	MULTISPECIES: amino acid-binding protein [Clostridiales] 
gi|488628777|ref|WP_002565475.1|	MULTISPECIES: phenylacetate-CoA ligase [Clostridiales] 
gi|488628778|ref|WP_002565476.1|	MULTISPECIES: indolepyruvate oxidoreductase [Clostridiales] 
gi|488628779|ref|WP_002565477.1|	indolepyruvate ferredoxin oxidoreductase alpha subunit [[Clostridium] bolteae] 
gi|488628780|ref|WP_002565478.1|	phenylacetate-CoA ligase [[Clostridium] bolteae] 
gi|494094902|ref|WP_007035726.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094903|ref|WP_007035727.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628781|ref|WP_002565479.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|494094904|ref|WP_007035728.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094905|ref|WP_007035729.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094906|ref|WP_007035730.1|	glutaredoxin [[Clostridium] bolteae] 
gi|488628784|ref|WP_002565482.1|	sodium:proton antiporter [[Clostridium] bolteae] 
gi|488628785|ref|WP_002565483.1|	aminotransferase [[Clostridium] bolteae] 
gi|494094907|ref|WP_007035731.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628786|ref|WP_002565484.1|	ATPase AAA [[Clostridium] bolteae] 
gi|494094908|ref|WP_007035732.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628788|ref|WP_002565486.1|	MULTISPECIES: iron hydrogenase [Clostridiales] 
gi|494094909|ref|WP_007035733.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094910|ref|WP_007035734.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628790|ref|WP_002565488.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628791|ref|WP_002565489.1|	peptide deformylase [[Clostridium] bolteae] 
gi|488628792|ref|WP_002565490.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628793|ref|WP_002565491.1|	MarR family transcriptional regulator [[Clostridium] bolteae] 
gi|494094911|ref|WP_007035735.1|	serine protease [[Clostridium] bolteae] 
gi|488628795|ref|WP_002565493.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628796|ref|WP_002565494.1|	long-chain acyl-CoA synthetase [[Clostridium] bolteae] 
gi|494094912|ref|WP_007035736.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628798|ref|WP_002565496.1|	MULTISPECIES: TRAP transporter DctM subunit [Clostridiales] 
gi|488628799|ref|WP_002565497.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628800|ref|WP_002565498.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628801|ref|WP_002565499.1|	4-hydroxyphenylpyruvate dioxygenase [[Clostridium] bolteae] 
gi|494094913|ref|WP_007035737.1|	CoA transferase [[Clostridium] bolteae] 
gi|488628803|ref|WP_002565501.1|	MULTISPECIES: 3-ketoacyl-CoA thiolase [Clostridiales] 
gi|488628804|ref|WP_002565502.1|	3-oxoacyl-ACP synthase [[Clostridium] bolteae] 
gi|494094914|ref|WP_007035738.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094915|ref|WP_007035739.1|	GNAT family acetyltransferase [[Clostridium] bolteae] 
gi|494094916|ref|WP_007035740.1|	MerR family transcriptional regulator [[Clostridium] bolteae] 
gi|494094917|ref|WP_007035741.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628807|ref|WP_002565505.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|488628808|ref|WP_002565506.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094918|ref|WP_007035742.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094919|ref|WP_007035743.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628809|ref|WP_002565507.1|	endonuclease III [[Clostridium] bolteae] 
gi|488628810|ref|WP_002565508.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|494094920|ref|WP_007035744.1|	xylose ABC transporter ATP-binding protein [[Clostridium] bolteae] 
gi|488628812|ref|WP_002565510.1|	MULTISPECIES: ABC transporter substrate-binding protein [Clostridiales] 
gi|494094921|ref|WP_007035745.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094922|ref|WP_007035746.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094923|ref|WP_007035747.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628814|ref|WP_002565512.1|	LacI family transcriptional regulator [[Clostridium] bolteae] 
gi|488628815|ref|WP_002565513.1|	AraC family transcriptional regulator [[Clostridium] bolteae] 
gi|494094924|ref|WP_007035748.1|	histidine kinase [[Clostridium] bolteae] 
gi|488628817|ref|WP_002565515.1|	sugar ABC transporter substrate-binding protein [[Clostridium] bolteae] 
gi|494094925|ref|WP_007035749.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628819|ref|WP_002565517.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094926|ref|WP_007035750.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094927|ref|WP_007035751.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094928|ref|WP_007035752.1|	hypothetical protein [[Clostridium] bolteae] 
gi|494094929|ref|WP_007035753.1|	hypothetical protein [[Clostridium] bolteae] 
gi|488628822|ref|WP_002565520.1|	hypothetical protein [[Clostridium] bolteae] 
