gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489887088|ref|WP_003790538.1|	UDP-N-acetylglucosamine diphosphorylase [Actinomyces odontolyticus] 
gi|489887090|ref|WP_003790540.1|	sialic acid transporter [Actinomyces odontolyticus] 
gi|489887092|ref|WP_003790542.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887094|ref|WP_003790544.1|	phosphoglucosamine mutase [Actinomyces odontolyticus] 
gi|489887095|ref|WP_003790545.1|	30S ribosomal protein S9 [Actinomyces odontolyticus] 
gi|489887097|ref|WP_003790547.1|	50S ribosomal protein L13 [Actinomyces odontolyticus] 
gi|489887099|ref|WP_003790549.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887101|ref|WP_003790551.1|	ROK family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887102|ref|WP_003790552.1|	50S ribosomal protein L17 [Actinomyces odontolyticus] 
gi|489887103|ref|WP_003790553.1|	DNA-directed RNA polymerase subunit alpha [Actinomyces odontolyticus] 
gi|489887106|ref|WP_003790556.1|	MULTISPECIES: 30S ribosomal protein S11 [Actinomyces] 
gi|489887111|ref|WP_003790561.1|	MULTISPECIES: 30S ribosomal protein S13 [Actinobacteria] 
gi|489887127|ref|WP_003790577.1|	MULTISPECIES: 50S ribosomal protein L36 [Actinobacteria] 
gi|489887130|ref|WP_003790580.1|	MULTISPECIES: translation initiation factor IF-1 [Actinobacteria] 
gi|489887132|ref|WP_003790582.1|	methionine aminopeptidase [Actinomyces odontolyticus] 
gi|489887134|ref|WP_003790584.1|	adenylate kinase [Actinomyces odontolyticus] 
gi|489887135|ref|WP_003790585.1|	preprotein translocase subunit SecY [Actinomyces odontolyticus] 
gi|489887137|ref|WP_003790587.1|	MULTISPECIES: 50S ribosomal protein L15 [Actinomyces] 
gi|489887138|ref|WP_003790588.1|	50S ribosomal protein L30 [Actinomyces odontolyticus] 
gi|489887139|ref|WP_003790589.1|	MULTISPECIES: 30S ribosomal protein S5 [Actinomyces] 
gi|489887141|ref|WP_003790591.1|	MULTISPECIES: 50S ribosomal protein L18 [Actinomyces] 
gi|489887143|ref|WP_003790593.1|	50S ribosomal protein L6 [Actinomyces odontolyticus] 
gi|489887145|ref|WP_003790595.1|	30S ribosomal protein S8 [Actinomyces odontolyticus] 
gi|489887153|ref|WP_003790603.1|	MULTISPECIES: 30S ribosomal protein S14 [Actinobacteria] 
gi|489887155|ref|WP_003790605.1|	MULTISPECIES: 50S ribosomal protein L5 [Actinomyces] 
gi|489887156|ref|WP_003790606.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887159|ref|WP_003790609.1|	MULTISPECIES: 50S ribosomal protein L14 [Actinobacteria] 
gi|489887161|ref|WP_003790611.1|	MULTISPECIES: 30S ribosomal protein S17 [Actinobacteria] 
gi|489887163|ref|WP_003790613.1|	MULTISPECIES: 50S ribosomal protein L29 [Actinobacteria] 
gi|489887165|ref|WP_003790615.1|	MULTISPECIES: 50S ribosomal protein L16 [Actinomyces] 
gi|489887168|ref|WP_003790618.1|	30S ribosomal protein S3 [Actinomyces odontolyticus] 
gi|489887170|ref|WP_003790620.1|	MULTISPECIES: 50S ribosomal protein L22 [Actinobacteria] 
gi|489887171|ref|WP_003790621.1|	MULTISPECIES: 30S ribosomal protein S19 [Actinobacteria] 
gi|489887173|ref|WP_003790623.1|	50S ribosomal protein L2 [Actinomyces odontolyticus] 
gi|489887176|ref|WP_003790626.1|	MULTISPECIES: 50S ribosomal protein L23 [Actinomyces] 
gi|489887177|ref|WP_003790627.1|	50S ribosomal protein L4 [Actinomyces odontolyticus] 
gi|489887179|ref|WP_003790629.1|	50S ribosomal protein L3 [Actinomyces odontolyticus] 
gi|489887181|ref|WP_003790631.1|	MULTISPECIES: 30S ribosomal protein S10 [Actinobacteria] 
gi|489887183|ref|WP_003790633.1|	MULTISPECIES: elongation factor Tu [Actinomyces] 
gi|489887185|ref|WP_003790635.1|	elongation factor G [Actinomyces odontolyticus] 
gi|489887187|ref|WP_003790637.1|	MULTISPECIES: 30S ribosomal protein S7 [Actinobacteria] 
gi|489887189|ref|WP_003790639.1|	MULTISPECIES: 30S ribosomal protein S12 [Actinobacteria] 
gi|489887190|ref|WP_003790640.1|	beta-glucosidase [Actinomyces odontolyticus] 
gi|489887192|ref|WP_003790642.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887193|ref|WP_003790643.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887195|ref|WP_003790645.1|	DNA-directed RNA polymerase subunit beta' [Actinomyces odontolyticus] 
gi|489887197|ref|WP_003790647.1|	DNA-directed RNA polymerase subunit beta [Actinomyces odontolyticus] 
gi|489887199|ref|WP_003790649.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887201|ref|WP_003790651.1|	pyruvate dehydrogenase [Actinomyces odontolyticus] 
gi|489887203|ref|WP_003790653.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887205|ref|WP_003790655.1|	fructosamine kinase [Actinomyces odontolyticus] 
gi|489887206|ref|WP_003790656.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887209|ref|WP_003790659.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887211|ref|WP_003790661.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489887214|ref|WP_003790664.1|	molybdenum cofactor biosynthesis protein MoaA [Actinomyces odontolyticus] 
gi|489887216|ref|WP_003790666.1|	UTP--glucose-1-phosphate uridylyltransferase [Actinomyces odontolyticus] 
gi|489887218|ref|WP_003790668.1|	5-formyltetrahydrofolate cyclo-ligase [Actinomyces odontolyticus] 
gi|489887220|ref|WP_003790670.1|	large conductance mechanosensitive channel protein MscL [Actinomyces odontolyticus] 
gi|489887222|ref|WP_003790672.1|	toxin [Actinomyces odontolyticus] 
gi|489887224|ref|WP_003790674.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887226|ref|WP_003790676.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887228|ref|WP_003790678.1|	universal stress protein [Actinomyces odontolyticus] 
gi|489887231|ref|WP_003790681.1|	glycoside hydrolase [Actinomyces odontolyticus] 
gi|489887233|ref|WP_003790683.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887236|ref|WP_003790686.1|	phosphoserine aminotransferase [Actinomyces odontolyticus] 
gi|489887237|ref|WP_003790687.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489887240|ref|WP_003790690.1|	nucleobase:cation symporter [Actinomyces odontolyticus] 
gi|489887242|ref|WP_003790692.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887244|ref|WP_003790694.1|	cold-shock protein [Actinomyces odontolyticus] 
gi|489887246|ref|WP_003790696.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887249|ref|WP_003790699.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887250|ref|WP_003790700.1|	nuclease [Actinomyces odontolyticus] 
gi|489887252|ref|WP_003790702.1|	glycerol kinase [Actinomyces odontolyticus] 
gi|489887254|ref|WP_003790704.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887256|ref|WP_003790706.1|	glycerol transporter [Actinomyces odontolyticus] 
gi|489887257|ref|WP_003790707.1|	transcriptional regulator [Actinomyces odontolyticus] 
gi|489887260|ref|WP_003790710.1|	lysyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489887262|ref|WP_003790712.1|	fructokinase [Actinomyces odontolyticus] 
gi|489887264|ref|WP_003790714.1|	6-phospho-beta-glucosidase [Actinomyces odontolyticus] 
gi|489887266|ref|WP_003790716.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887269|ref|WP_003790719.1|	sugar ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489887271|ref|WP_003790721.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489887273|ref|WP_003790723.1|	sugar ABC transporter permease [Actinomyces odontolyticus] 
gi|489887275|ref|WP_003790725.1|	aspartate decarboxylase [Actinomyces odontolyticus] 
gi|489887277|ref|WP_003790727.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887279|ref|WP_003790729.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887281|ref|WP_003790731.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887283|ref|WP_003790733.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887284|ref|WP_003790734.1|	alkaline phosphatase [Actinomyces odontolyticus] 
gi|489887286|ref|WP_003790736.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489887288|ref|WP_003790738.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887290|ref|WP_003790740.1|	type VII secretion protein [Actinomyces odontolyticus] 
gi|489887292|ref|WP_003790742.1|	molecular chaperone GroEL [Actinomyces odontolyticus] 
gi|489887294|ref|WP_003790744.1|	LytR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887296|ref|WP_003790746.1|	uracil-DNA glycosylase [Actinomyces odontolyticus] 
gi|489887298|ref|WP_003790748.1|	thioredoxin [Actinomyces odontolyticus] 
gi|489887301|ref|WP_003790751.1|	protein kinase [Actinomyces odontolyticus] 
gi|489887303|ref|WP_003790753.1|	sugar ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489887305|ref|WP_003790755.1|	lipopolysaccharide kinase [Actinomyces odontolyticus] 
gi|489887307|ref|WP_003790757.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887309|ref|WP_003790759.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887311|ref|WP_003790761.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887313|ref|WP_003790763.1|	fructose-bisphosphate aldolase [Actinomyces odontolyticus] 
gi|489887315|ref|WP_003790765.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887317|ref|WP_003790767.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887319|ref|WP_003790769.1|	rRNA methyltransferase [Actinomyces odontolyticus] 
gi|489887322|ref|WP_003790772.1|	HAD family hydrolase [Actinomyces odontolyticus] 
gi|489887323|ref|WP_003790773.1|	orotate phosphoribosyltransferase [Actinomyces odontolyticus] 
gi|489887325|ref|WP_003790775.1|	short-chain dehydrogenase [Actinomyces odontolyticus] 
gi|489887327|ref|WP_003790777.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887329|ref|WP_003790779.1|	exonuclease [Actinomyces odontolyticus] 
gi|489887331|ref|WP_003790781.1|	penicillin-binding protein [Actinomyces odontolyticus] 
gi|489887333|ref|WP_003790783.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887335|ref|WP_003790785.1|	protein disaggregation chaperone [Actinomyces odontolyticus] 
gi|489887337|ref|WP_003790787.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489887338|ref|WP_003790788.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887340|ref|WP_003790790.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887342|ref|WP_003790792.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887343|ref|WP_003790793.1|	glutamine amidotransferase [Actinomyces odontolyticus] 
gi|489887345|ref|WP_003790795.1|	UDP-N-acetylmuramyl peptide synthase [Actinomyces odontolyticus] 
gi|489887346|ref|WP_003790796.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887348|ref|WP_003790798.1|	molecular chaperone DnaJ [Actinomyces odontolyticus] 
gi|489887351|ref|WP_003790801.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887353|ref|WP_003790803.1|	molecular chaperone DnaK [Actinomyces odontolyticus] 
gi|489887355|ref|WP_003790805.1|	surface-anchored membrane protein [Actinomyces odontolyticus] 
gi|489887358|ref|WP_003790808.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887360|ref|WP_003790810.1|	SAM-dependent methyltransferase [Actinomyces odontolyticus] 
gi|489887361|ref|WP_003790811.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489887365|ref|WP_003790815.1|	transposase [Actinomyces odontolyticus] 
gi|489887368|ref|WP_003790818.1|	integrase [Actinomyces odontolyticus] 
gi|489887370|ref|WP_003790820.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887372|ref|WP_003790822.1|	2,5-diketo-D-gluconic acid reductase [Actinomyces odontolyticus] 
gi|489887374|ref|WP_003790824.1|	aminopeptidase [Actinomyces odontolyticus] 
gi|489887376|ref|WP_003790826.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887378|ref|WP_003790828.1|	ADP-ribose pyrophosphatase [Actinomyces odontolyticus] 
gi|489887380|ref|WP_003790830.1|	transporter [Actinomyces odontolyticus] 
gi|489887382|ref|WP_003790832.1|	transporter [Actinomyces odontolyticus] 
gi|489887384|ref|WP_003790834.1|	3-demethylubiquinone-9 3-methyltransferase [Actinomyces odontolyticus] 
gi|489887386|ref|WP_003790836.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887388|ref|WP_003790838.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887389|ref|WP_003790839.1|	small transmembrane and glycosylated protein [Actinomyces odontolyticus] 
gi|489887391|ref|WP_003790841.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887394|ref|WP_003790844.1|	heat-shock protein [Actinomyces odontolyticus] 
gi|489887395|ref|WP_003790845.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489887397|ref|WP_003790847.1|	macrolide ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489887399|ref|WP_003790849.1|	PadR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489887401|ref|WP_003790851.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887403|ref|WP_003790853.1|	2,5-diketo-D-gluconic acid reductase [Actinomyces odontolyticus] 
gi|489887404|ref|WP_003790854.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887406|ref|WP_003790856.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887409|ref|WP_003790859.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887410|ref|WP_003790860.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887412|ref|WP_003790862.1|	cytochrome C oxidase subunit IV [Actinomyces odontolyticus] 
gi|489887414|ref|WP_003790864.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887415|ref|WP_003790865.1|	phosphoribosylglycinamide synthetase [Actinomyces odontolyticus] 
gi|489887416|ref|WP_003790866.1|	phosphoribosylformylglycinamidine synthase [Actinomyces odontolyticus] 
gi|489887419|ref|WP_003790869.1|	phosphoribosylformylglycinamidine synthase [Actinomyces odontolyticus] 
gi|489887422|ref|WP_003790872.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Actinomyces odontolyticus] 
gi|489887424|ref|WP_003790874.1|	phosphoribosylamine--glycine ligase [Actinomyces odontolyticus] 
gi|489887425|ref|WP_003790875.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887427|ref|WP_003790877.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887429|ref|WP_003790879.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887430|ref|WP_003790880.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887432|ref|WP_003790882.1|	fimbrial protein [Actinomyces odontolyticus] 
gi|489887433|ref|WP_003790883.1|	collagen-binding protein [Actinomyces odontolyticus] 
gi|489887436|ref|WP_003790886.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887438|ref|WP_003790888.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887440|ref|WP_003790890.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489887442|ref|WP_003790892.1|	phosphoenolpyruvate carboxykinase [Actinomyces odontolyticus] 
gi|489887444|ref|WP_003790894.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887447|ref|WP_003790897.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887449|ref|WP_003790899.1|	phosphate transport regulator [Actinomyces odontolyticus] 
gi|489887450|ref|WP_003790900.1|	inorganic phosphate transporter [Actinomyces odontolyticus] 
gi|489887452|ref|WP_003790902.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887453|ref|WP_003790903.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887455|ref|WP_003790905.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887457|ref|WP_003790907.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887459|ref|WP_003790909.1|	major facilitator transporter [Actinomyces odontolyticus] 
gi|489887461|ref|WP_003790911.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887464|ref|WP_003790914.1|	methionine sulfoxide reductase [Actinomyces odontolyticus] 
gi|489887467|ref|WP_003790917.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887469|ref|WP_003790919.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887472|ref|WP_003790922.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887474|ref|WP_003790924.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887475|ref|WP_003790925.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887476|ref|WP_003790926.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887478|ref|WP_003790928.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887480|ref|WP_003790930.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887481|ref|WP_003790931.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887483|ref|WP_003790933.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887484|ref|WP_003790934.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887486|ref|WP_003790936.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887489|ref|WP_003790939.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887491|ref|WP_003790941.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887493|ref|WP_003790943.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887494|ref|WP_003790944.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887496|ref|WP_003790946.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887498|ref|WP_003790948.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887501|ref|WP_003790951.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887503|ref|WP_003790953.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887506|ref|WP_003790956.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887508|ref|WP_003790958.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887510|ref|WP_003790960.1|	CRISPR-associated protein Cas2 [Actinomyces odontolyticus] 
gi|489887512|ref|WP_003790962.1|	CRISPR-associated protein Cse1 [Actinomyces odontolyticus] 
gi|489887515|ref|WP_003790965.1|	CRISPR-associated protein Cse3 [Actinomyces odontolyticus] 
gi|489887517|ref|WP_003790967.1|	CRISPR-associated protein [Actinomyces odontolyticus] 
gi|489887519|ref|WP_003790969.1|	CRISPR-associated protein Cse4 [Actinomyces odontolyticus] 
gi|489887524|ref|WP_003790974.1|	CRISPR-associated protein Cse2 [Actinomyces odontolyticus] 
gi|489887527|ref|WP_003790977.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887529|ref|WP_003790979.1|	CRISPR-associated protein Cse1 [Actinomyces odontolyticus] 
gi|489887533|ref|WP_003790983.1|	CRISPR-associated protein Cas3 [Actinomyces odontolyticus] 
gi|489887536|ref|WP_003790986.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489887538|ref|WP_003790988.1|	membrane protein [Actinomyces odontolyticus] 
gi|489887540|ref|WP_003790990.1|	hypothetical protein [Actinomyces odontolyticus] 
