gi|490986841|ref|WP_004848574.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987413|ref|WP_004849146.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987414|ref|WP_004849147.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987416|ref|WP_004849149.1|	MULTISPECIES: 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [Coprococcus] 
gi|490987418|ref|WP_004849151.1|	dihydropteroate synthase [Coprococcus eutactus] 
gi|490987420|ref|WP_004849153.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987422|ref|WP_004849155.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987424|ref|WP_004849157.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987426|ref|WP_004849159.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987428|ref|WP_004849161.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987430|ref|WP_004849163.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987432|ref|WP_004849165.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987434|ref|WP_004849167.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987436|ref|WP_004849169.1|	phosphoserine phosphatase [Coprococcus eutactus] 
gi|490987437|ref|WP_004849170.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987438|ref|WP_004849171.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987439|ref|WP_004849172.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987440|ref|WP_004849173.1|	membrane protein [Coprococcus eutactus] 
gi|490987441|ref|WP_004849174.1|	ATPase AAA [Coprococcus eutactus] 
gi|490987443|ref|WP_004849176.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987444|ref|WP_004849177.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987446|ref|WP_004849179.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987447|ref|WP_004849180.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987449|ref|WP_004849182.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987450|ref|WP_004849183.1|	ammonium transporter [Coprococcus eutactus] 
gi|490987452|ref|WP_004849185.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987454|ref|WP_004849187.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987456|ref|WP_004849189.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987458|ref|WP_004849191.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987460|ref|WP_004849193.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987461|ref|WP_004849194.1|	adenylate cyclase [Coprococcus eutactus] 
gi|490987462|ref|WP_004849195.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987463|ref|WP_004849196.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987464|ref|WP_004849197.1|	6,7-dimethyl-8-ribityllumazine synthase [Coprococcus eutactus] 
gi|490987465|ref|WP_004849198.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987466|ref|WP_004849199.1|	MULTISPECIES: GTP cyclohydrolase [Coprococcus] 
gi|490987467|ref|WP_004849200.1|	MULTISPECIES: riboflavin synthase subunit alpha [Coprococcus] 
gi|490987468|ref|WP_004849201.1|	MULTISPECIES: riboflavin biosynthesis protein RibD [Coprococcus] 
gi|490987469|ref|WP_004849202.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987470|ref|WP_004849203.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987471|ref|WP_004849204.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987472|ref|WP_004849205.1|	HAD family hydrolase [Coprococcus eutactus] 
gi|490987474|ref|WP_004849207.1|	MULTISPECIES: histidyl-tRNA synthetase [Coprococcus] 
gi|490987476|ref|WP_004849209.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987478|ref|WP_004849211.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987480|ref|WP_004849213.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987481|ref|WP_004849214.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987484|ref|WP_004849217.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987485|ref|WP_004849218.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987487|ref|WP_004849220.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987488|ref|WP_004849221.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987490|ref|WP_004849223.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987491|ref|WP_004849224.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987493|ref|WP_004849226.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987496|ref|WP_004849229.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987498|ref|WP_004849231.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987500|ref|WP_004849233.1|	leucyl-tRNA synthetase [Coprococcus eutactus] 
gi|490987502|ref|WP_004849235.1|	DNA mistmatch repair protein MutT [Coprococcus eutactus] 
gi|490987504|ref|WP_004849237.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987506|ref|WP_004849239.1|	methyltransferase [Coprococcus eutactus] 
gi|490987508|ref|WP_004849241.1|	MULTISPECIES: molecular chaperone Hsp33 [Coprococcus] 
gi|490987509|ref|WP_004849242.1|	multidrug ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490987511|ref|WP_004849244.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987513|ref|WP_004849246.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987515|ref|WP_004849248.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987517|ref|WP_004849250.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987519|ref|WP_004849252.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987521|ref|WP_004849254.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987523|ref|WP_004849256.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987525|ref|WP_004849258.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987526|ref|WP_004849259.1|	MULTISPECIES: GTP-binding protein [Coprococcus] 
gi|490987528|ref|WP_004849261.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987529|ref|WP_004849262.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987531|ref|WP_004849264.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987533|ref|WP_004849266.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Coprococcus] 
gi|490987536|ref|WP_004849269.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987538|ref|WP_004849271.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987540|ref|WP_004849273.1|	transcriptional regulator [Coprococcus eutactus] 
gi|490987542|ref|WP_004849275.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987543|ref|WP_004849276.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987544|ref|WP_004849277.1|	aspartyl-tRNA synthetase [Coprococcus eutactus] 
gi|490987545|ref|WP_004849278.1|	membrane protein [Coprococcus eutactus] 
gi|490987547|ref|WP_004849280.1|	diguanylate cyclase [Coprococcus eutactus] 
gi|490987548|ref|WP_004849281.1|	transporter [Coprococcus eutactus] 
gi|490987550|ref|WP_004849283.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987552|ref|WP_004849285.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987554|ref|WP_004849287.1|	inosine 5'-monophosphate dehydrogenase [Coprococcus eutactus] 
gi|490987556|ref|WP_004849289.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987558|ref|WP_004849291.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987559|ref|WP_004849292.1|	MULTISPECIES: Fur family transcriptional regulator [Coprococcus] 
gi|490987561|ref|WP_004849294.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987563|ref|WP_004849296.1|	MULTISPECIES: PhoB family transcriptional regulator [Coprococcus] 
gi|490987564|ref|WP_004849297.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987565|ref|WP_004849298.1|	magnesium transporter [Coprococcus eutactus] 
gi|490987568|ref|WP_004849301.1|	sodium:solute symporter [Coprococcus eutactus] 
gi|490987571|ref|WP_004849304.1|	sodium transporter [Coprococcus eutactus] 
gi|490987573|ref|WP_004849306.1|	shikimate kinase [Coprococcus eutactus] 
gi|490987576|ref|WP_004849309.1|	MULTISPECIES: AsnC family transcriptional regulator [Coprococcus] 
gi|490987578|ref|WP_004849311.1|	membrane protein [Coprococcus eutactus] 
gi|490987579|ref|WP_004849312.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987581|ref|WP_004849314.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987583|ref|WP_004849316.1|	ATP-dependent DNA helicase PcrA [Coprococcus eutactus] 
gi|490987585|ref|WP_004849318.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987587|ref|WP_004849320.1|	MULTISPECIES: phage-shock protein [Coprococcus] 
gi|490987589|ref|WP_004849322.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987591|ref|WP_004849324.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987593|ref|WP_004849326.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987595|ref|WP_004849328.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987597|ref|WP_004849330.1|	nitroreductase [Coprococcus eutactus] 
gi|490987599|ref|WP_004849332.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987601|ref|WP_004849334.1|	phosphoribulokinase [Coprococcus eutactus] 
gi|490987603|ref|WP_004849336.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987605|ref|WP_004849338.1|	RNA polymerase sigma factor RpoD [Coprococcus eutactus] 
gi|490987607|ref|WP_004849340.1|	DNA primase [Coprococcus eutactus] 
gi|490987609|ref|WP_004849342.1|	MULTISPECIES: deoxyguanosinetriphosphate triphosphohydrolase [Coprococcus] 
gi|490987611|ref|WP_004849344.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987613|ref|WP_004849346.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987615|ref|WP_004849348.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987617|ref|WP_004849350.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987619|ref|WP_004849352.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987620|ref|WP_004849353.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987622|ref|WP_004849355.1|	sugar ABC transporter permease [Coprococcus eutactus] 
gi|490987624|ref|WP_004849357.1|	MULTISPECIES: ABC transporter permease [Coprococcus] 
gi|490987626|ref|WP_004849359.1|	ABC transporter substrate-binding protein [Coprococcus eutactus] 
gi|490987627|ref|WP_004849360.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987629|ref|WP_004849362.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987631|ref|WP_004849364.1|	heme ABC transporter ATP-binding protein [Coprococcus eutactus] 
gi|490987633|ref|WP_004849366.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987635|ref|WP_004849368.1|	hemolysin [Coprococcus eutactus] 
gi|490987637|ref|WP_004849370.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987639|ref|WP_004849372.1|	MULTISPECIES: TrpR YerC/YecD [Coprococcus] 
gi|490987641|ref|WP_004849374.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987643|ref|WP_004849376.1|	MULTISPECIES: aspartate aminotransferase [Coprococcus] 
gi|490987645|ref|WP_004849378.1|	diaminopimelate epimerase [Coprococcus eutactus] 
gi|490987647|ref|WP_004849380.1|	transcription antitermination regulator [Coprococcus eutactus] 
gi|490987650|ref|WP_004849383.1|	MULTISPECIES: glutamine synthetase [Coprococcus] 
gi|490987653|ref|WP_004849386.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987654|ref|WP_004849387.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987655|ref|WP_004849388.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987657|ref|WP_004849390.1|	MULTISPECIES: 30S ribosomal protein S18 [Coprococcus] 
gi|490987659|ref|WP_004849392.1|	single-stranded DNA-binding protein [Coprococcus eutactus] 
gi|490987662|ref|WP_004849395.1|	MULTISPECIES: 30S ribosomal protein S6 [Coprococcus] 
gi|490987663|ref|WP_004849396.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987664|ref|WP_004849397.1|	DNA-binding protein [Coprococcus eutactus] 
gi|490987666|ref|WP_004849399.1|	phosphoenolpyruvate carboxykinase [Coprococcus eutactus] 
gi|490987667|ref|WP_004849400.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987668|ref|WP_004849401.1|	MULTISPECIES: Ion transporter [Coprococcus] 
gi|490987670|ref|WP_004849403.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987673|ref|WP_004849406.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987675|ref|WP_004849408.1|	MULTISPECIES: sodium:proline symporter [Coprococcus] 
gi|490987676|ref|WP_004849409.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987678|ref|WP_004849411.1|	phenylacetate-CoA ligase [Coprococcus eutactus] 
gi|490987680|ref|WP_004849413.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987682|ref|WP_004849415.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987684|ref|WP_004849417.1|	thiazole synthase [Coprococcus eutactus] 
gi|490987685|ref|WP_004849418.1|	thiamine biosynthesis protein ThiH [Coprococcus eutactus] 
gi|490987686|ref|WP_004849419.1|	MULTISPECIES: thiamine-phosphate pyrophosphorylase [Coprococcus] 
gi|490987688|ref|WP_004849421.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987690|ref|WP_004849423.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987691|ref|WP_004849424.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987693|ref|WP_004849426.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987696|ref|WP_004849429.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987697|ref|WP_004849430.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987699|ref|WP_004849432.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987701|ref|WP_004849434.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987702|ref|WP_004849435.1|	MULTISPECIES: 50S ribosomal protein L1 [Coprococcus] 
gi|490987703|ref|WP_004849436.1|	MULTISPECIES: 50S ribosomal protein L11 [Coprococcus] 
gi|490987704|ref|WP_004849437.1|	antitermination factor NusG [Coprococcus eutactus] 
gi|490987705|ref|WP_004849438.1|	MULTISPECIES: preprotein translocase subunit SecE [Coprococcus] 
gi|490987706|ref|WP_004849439.1|	MULTISPECIES: 50S ribosomal protein L33 [Coprococcus] 
gi|490987707|ref|WP_004849440.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987708|ref|WP_004849441.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987710|ref|WP_004849443.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987718|ref|WP_004849451.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987720|ref|WP_004849453.1|	phosphohydrolase [Coprococcus eutactus] 
gi|490987722|ref|WP_004849455.1|	glutamate racemase [Coprococcus eutactus] 
gi|490987724|ref|WP_004849457.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987727|ref|WP_004849460.1|	NADH-dependent butanol dehydrogenase A [Coprococcus eutactus] 
gi|490987729|ref|WP_004849462.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987730|ref|WP_004849463.1|	(2Fe-2S)-binding protein [Coprococcus eutactus] 
gi|490987733|ref|WP_004849466.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987735|ref|WP_004849468.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987737|ref|WP_004849470.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987738|ref|WP_004849471.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987741|ref|WP_004849474.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987743|ref|WP_004849476.1|	xanthine/uracil permease [Coprococcus eutactus] 
gi|490987746|ref|WP_004849479.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987324|ref|WP_004849057.1|	hydrolase [Coprococcus eutactus] 
gi|490987748|ref|WP_004849481.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987750|ref|WP_004849483.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987751|ref|WP_004849484.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987752|ref|WP_004849485.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987753|ref|WP_004849486.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987769|ref|WP_004849502.1|	hypothetical protein partial [Coprococcus eutactus] 
gi|490987753|ref|WP_004849486.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987776|ref|WP_004849509.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987324|ref|WP_004849057.1|	hydrolase [Coprococcus eutactus] 
gi|490987777|ref|WP_004849510.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987779|ref|WP_004849512.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987782|ref|WP_004849515.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987785|ref|WP_004849518.1|	sodium:proton antiporter [Coprococcus eutactus] 
gi|490987786|ref|WP_004849519.1|	MULTISPECIES: ATPase AAA [Coprococcus] 
gi|490987789|ref|WP_004849522.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987792|ref|WP_004849525.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987793|ref|WP_004849526.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987797|ref|WP_004849530.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987800|ref|WP_004849533.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987802|ref|WP_004849535.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987804|ref|WP_004849537.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987806|ref|WP_004849539.1|	membrane protein [Coprococcus eutactus] 
gi|490987808|ref|WP_004849541.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987810|ref|WP_004849543.1|	NAD-dependent deacetylase [Coprococcus eutactus] 
gi|490987813|ref|WP_004849546.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987815|ref|WP_004849548.1|	aryl-phospho-beta-D-glucosidase [Coprococcus eutactus] 
gi|490987817|ref|WP_004849550.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987819|ref|WP_004849552.1|	ATP-dependent Clp protease ATP-binding protein [Coprococcus eutactus] 
gi|490987821|ref|WP_004849554.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987822|ref|WP_004849555.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987824|ref|WP_004849557.1|	serine hydroxymethyltransferase [Coprococcus eutactus] 
gi|490987826|ref|WP_004849559.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987827|ref|WP_004849560.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987829|ref|WP_004849562.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987831|ref|WP_004849564.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987832|ref|WP_004849565.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987834|ref|WP_004849567.1|	ATPase AAA [Coprococcus eutactus] 
gi|490987835|ref|WP_004849568.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987837|ref|WP_004849570.1|	MULTISPECIES: 5'-nucleotidase [Coprococcus] 
gi|490987838|ref|WP_004849571.1|	excinuclease ABC subunit C [Coprococcus eutactus] 
gi|490987840|ref|WP_004849573.1|	MULTISPECIES: HPr kinase [Coprococcus] 
gi|490987843|ref|WP_004849576.1|	glucokinase [Coprococcus eutactus] 
gi|490987845|ref|WP_004849578.1|	MULTISPECIES: UDP-N-acetylenolpyruvoylglucosamine reductase [Coprococcus] 
gi|490987848|ref|WP_004849581.1|	glmZ(sRNA)-inactivating NTPase [Coprococcus eutactus] 
gi|490987850|ref|WP_004849583.1|	hypothetical protein [Coprococcus eutactus] 
gi|490987852|ref|WP_004849585.1|	HPr kinase [Coprococcus eutactus] 
gi|490987855|ref|WP_004849588.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
gi|490987857|ref|WP_004849590.1|	MULTISPECIES: hypothetical protein [Coprococcus] 
