gi|490746319|ref|WP_004608627.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490746626|ref|WP_004608934.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746627|ref|WP_004608935.1|	MerR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746628|ref|WP_004608936.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746629|ref|WP_004608937.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746630|ref|WP_004608938.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746631|ref|WP_004608939.1|	peptidyl-tRNA hydrolase [[Clostridium] spiroforme] 
gi|490746632|ref|WP_004608940.1|	pullulanase [[Clostridium] spiroforme] 
gi|490746633|ref|WP_004608941.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746634|ref|WP_004608942.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746635|ref|WP_004608943.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746636|ref|WP_004608944.1|	glycogen phosphorylase [[Clostridium] spiroforme] 
gi|490746637|ref|WP_004608945.1|	1,4-alpha-glucan branching protein [[Clostridium] spiroforme] 
gi|490746638|ref|WP_004608946.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746639|ref|WP_004608947.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746640|ref|WP_004608948.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746641|ref|WP_004608949.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746642|ref|WP_004608950.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746643|ref|WP_004608951.1|	phosphoglucomutase [[Clostridium] spiroforme] 
gi|490746644|ref|WP_004608952.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746645|ref|WP_004608953.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746646|ref|WP_004608954.1|	phosphocarrier protein HPr [[Clostridium] spiroforme] 
gi|490746647|ref|WP_004608955.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746648|ref|WP_004608956.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746649|ref|WP_004608957.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746650|ref|WP_004608958.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746651|ref|WP_004608959.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746652|ref|WP_004608960.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746653|ref|WP_004608961.1|	maturase [[Clostridium] spiroforme] 
gi|490746654|ref|WP_004608962.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746655|ref|WP_004608963.1|	multidrug transporter MatE [[Clostridium] spiroforme] 
gi|490746656|ref|WP_004608964.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746657|ref|WP_004608965.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746658|ref|WP_004608966.1|	endoribonuclease L-PSP [[Clostridium] spiroforme] 
gi|490746659|ref|WP_004608967.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746660|ref|WP_004608968.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746661|ref|WP_004608969.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746662|ref|WP_004608970.1|	regulatory protein [[Clostridium] spiroforme] 
gi|490746663|ref|WP_004608971.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746664|ref|WP_004608972.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746665|ref|WP_004608973.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746666|ref|WP_004608974.1|	stage V sporulation protein E [[Clostridium] spiroforme] 
gi|490746667|ref|WP_004608975.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746668|ref|WP_004608976.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746669|ref|WP_004608977.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746670|ref|WP_004608978.1|	peptidase M29 [[Clostridium] spiroforme] 
gi|490746671|ref|WP_004608979.1|	peptide chain release factor 3 [[Clostridium] spiroforme] 
gi|490746672|ref|WP_004608980.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746673|ref|WP_004608981.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746674|ref|WP_004608982.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746675|ref|WP_004608983.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746676|ref|WP_004608984.1|	translation initiation factor IF-3 [[Clostridium] spiroforme] 
gi|490746677|ref|WP_004608985.1|	MULTISPECIES: 50S ribosomal protein L35 [Firmicutes] 
gi|490746678|ref|WP_004608986.1|	50S ribosomal protein L20 [[Clostridium] spiroforme] 
gi|490746679|ref|WP_004608987.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746680|ref|WP_004608988.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746681|ref|WP_004608989.1|	macrolide ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746682|ref|WP_004608990.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746683|ref|WP_004608991.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746684|ref|WP_004608992.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746685|ref|WP_004608993.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746686|ref|WP_004608994.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746687|ref|WP_004608995.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746688|ref|WP_004608996.1|	guanylate kinase [[Clostridium] spiroforme] 
gi|490746689|ref|WP_004608997.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746690|ref|WP_004608998.1|	membrane protein [[Clostridium] spiroforme] 
gi|490746691|ref|WP_004608999.1|	primosomal protein [[Clostridium] spiroforme] 
gi|490746692|ref|WP_004609000.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746693|ref|WP_004609001.1|	16S rRNA methyltransferase [[Clostridium] spiroforme] 
gi|490746694|ref|WP_004609002.1|	23S rRNA methyltransferase [[Clostridium] spiroforme] 
gi|490746695|ref|WP_004609003.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746696|ref|WP_004609004.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746697|ref|WP_004609005.1|	GTPase A [[Clostridium] spiroforme] 
gi|490746698|ref|WP_004609006.1|	ribulose-phosphate 3-epimerase [[Clostridium] spiroforme] 
gi|490746699|ref|WP_004609007.1|	thiamine pyrophosphokinase [[Clostridium] spiroforme] 
gi|490746700|ref|WP_004609008.1|	PTS glucose transporter subunit IIA [[Clostridium] spiroforme] 
gi|490746701|ref|WP_004609009.1|	PTS glucose transporter subunit IIBC [[Clostridium] spiroforme] 
gi|490746702|ref|WP_004609010.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746703|ref|WP_004609011.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746704|ref|WP_004609012.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746705|ref|WP_004609013.1|	phosphomethylpyrimidine kinase [[Clostridium] spiroforme] 
gi|490746706|ref|WP_004609014.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746707|ref|WP_004609015.1|	thiamine-phosphate pyrophosphorylase [[Clostridium] spiroforme] 
gi|490746708|ref|WP_004609016.1|	hydroxyethylthiazole kinase [[Clostridium] spiroforme] 
gi|490746709|ref|WP_004609017.1|	ATP-dependent Clp protease ATP-binding protein [[Clostridium] spiroforme] 
gi|490746710|ref|WP_004609018.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746711|ref|WP_004609019.1|	rRNA methyltransferase [[Clostridium] spiroforme] 
gi|490746712|ref|WP_004609020.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746713|ref|WP_004609021.1|	30S ribosomal protein S12 methylthiotransferase [[Clostridium] spiroforme] 
gi|490746714|ref|WP_004609022.1|	UDP-N-acetylmuramyl peptide synthase [[Clostridium] spiroforme] 
gi|490746715|ref|WP_004609023.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746716|ref|WP_004609024.1|	formate acetyltransferase [[Clostridium] spiroforme] 
gi|490746717|ref|WP_004609025.1|	pyruvate formate lyase-activating protein [[Clostridium] spiroforme] 
gi|490746718|ref|WP_004609026.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746719|ref|WP_004609027.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746720|ref|WP_004609028.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746721|ref|WP_004609029.1|	RNase H [[Clostridium] spiroforme] 
gi|490746722|ref|WP_004609030.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746723|ref|WP_004609031.1|	peptide ABC transporter permease [[Clostridium] spiroforme] 
gi|490746724|ref|WP_004609032.1|	diguanylate cyclase [[Clostridium] spiroforme] 
gi|490746725|ref|WP_004609033.1|	peptide ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746726|ref|WP_004609034.1|	peptide ABC transporter ATP-binding protein [[Clostridium] spiroforme] 
gi|490746727|ref|WP_004609035.1|	ABC transporter substrate-binding protein [[Clostridium] spiroforme] 
gi|490746728|ref|WP_004609036.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746729|ref|WP_004609037.1|	aminotransferase [[Clostridium] spiroforme] 
gi|490746730|ref|WP_004609038.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746322|ref|WP_004608630.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746350|ref|WP_004608658.1|	RNA-directed DNA polymerase [[Clostridium] spiroforme] 
gi|490746731|ref|WP_004609039.1|	serine acetyltransferase [[Clostridium] spiroforme] 
gi|490746732|ref|WP_004609040.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746733|ref|WP_004609041.1|	aminotransferase [[Clostridium] spiroforme] 
gi|490746734|ref|WP_004609042.1|	acylphosphatase [[Clostridium] spiroforme] 
gi|490746735|ref|WP_004609043.1|	membrane protein [[Clostridium] spiroforme] 
gi|490746736|ref|WP_004609044.1|	glutamine amidotransferase [[Clostridium] spiroforme] 
gi|490746737|ref|WP_004609045.1|	transposase [[Clostridium] spiroforme] 
gi|490746530|ref|WP_004608838.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746738|ref|WP_004609046.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746739|ref|WP_004609047.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746740|ref|WP_004609048.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746741|ref|WP_004609049.1|	aminotransferase [[Clostridium] spiroforme] 
gi|490746742|ref|WP_004609050.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490746743|ref|WP_004609051.1|	aspartyl beta-hydroxylase [[Clostridium] spiroforme] 
gi|490746744|ref|WP_004609052.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746745|ref|WP_004609053.1|	zinc ABC transporter ATPase [[Clostridium] spiroforme] 
gi|490746746|ref|WP_004609054.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746747|ref|WP_004609055.1|	ArsR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746748|ref|WP_004609056.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746749|ref|WP_004609057.1|	hydrolase [[Clostridium] spiroforme] 
gi|490746750|ref|WP_004609058.1|	RpiR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746751|ref|WP_004609059.1|	1-phosphofructokinase [[Clostridium] spiroforme] 
gi|490746752|ref|WP_004609060.1|	PTS fructose transporter subunit IIC [[Clostridium] spiroforme] 
gi|490746753|ref|WP_004609061.1|	ribose 5-phosphate isomerase [[Clostridium] spiroforme] 
gi|490746754|ref|WP_004609062.1|	oxidoreductase [[Clostridium] spiroforme] 
gi|490746755|ref|WP_004609063.1|	hydrolase [[Clostridium] spiroforme] 
gi|490746756|ref|WP_004609064.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746757|ref|WP_004609065.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746758|ref|WP_004609066.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746759|ref|WP_004609067.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746760|ref|WP_004609068.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746761|ref|WP_004609069.1|	copper homeostasis protein CutC [[Clostridium] spiroforme] 
gi|490746762|ref|WP_004609070.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746763|ref|WP_004609071.1|	permease [[Clostridium] spiroforme] 
gi|490746764|ref|WP_004609072.1|	alpha/beta hydrolase [[Clostridium] spiroforme] 
gi|490746765|ref|WP_004609073.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746766|ref|WP_004609074.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [[Clostridium] spiroforme] 
gi|490746767|ref|WP_004609075.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746768|ref|WP_004609076.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746769|ref|WP_004609077.1|	phosphoglyceromutase [[Clostridium] spiroforme] 
gi|490746770|ref|WP_004609078.1|	bacteriocin [[Clostridium] spiroforme] 
gi|490746771|ref|WP_004609079.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746772|ref|WP_004609080.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746773|ref|WP_004609081.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746774|ref|WP_004609082.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746775|ref|WP_004609083.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746776|ref|WP_004609084.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746777|ref|WP_004609085.1|	transposase [[Clostridium] spiroforme] 
gi|490746532|ref|WP_004608840.1|	transposase [[Clostridium] spiroforme] 
gi|490746778|ref|WP_004609086.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746779|ref|WP_004609087.1|	histidinol-phosphate aminotransferase [[Clostridium] spiroforme] 
gi|490746780|ref|WP_004609088.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746781|ref|WP_004609089.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746782|ref|WP_004609090.1|	helicase [[Clostridium] spiroforme] 
gi|490746783|ref|WP_004609091.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746784|ref|WP_004609092.1|	cold-shock protein [[Clostridium] spiroforme] 
gi|490746785|ref|WP_004609093.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746786|ref|WP_004609094.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746787|ref|WP_004609095.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746788|ref|WP_004609096.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746789|ref|WP_004609097.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746790|ref|WP_004609098.1|	membrane protein [[Clostridium] spiroforme] 
gi|490746791|ref|WP_004609099.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746792|ref|WP_004609100.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746793|ref|WP_004609101.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746794|ref|WP_004609102.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746795|ref|WP_004609103.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746796|ref|WP_004609104.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746797|ref|WP_004609105.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746798|ref|WP_004609106.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746799|ref|WP_004609107.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746800|ref|WP_004609108.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746801|ref|WP_004609109.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746802|ref|WP_004609110.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746803|ref|WP_004609111.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746804|ref|WP_004609112.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746805|ref|WP_004609113.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746806|ref|WP_004609114.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746807|ref|WP_004609115.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746808|ref|WP_004609116.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746809|ref|WP_004609117.1|	ABC transporter [[Clostridium] spiroforme] 
gi|490746810|ref|WP_004609118.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746811|ref|WP_004609119.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746634|ref|WP_004608942.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746633|ref|WP_004608941.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746812|ref|WP_004609120.1|	hypothetical protein partial [[Clostridium] spiroforme] 
gi|490746813|ref|WP_004609121.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746814|ref|WP_004609122.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746815|ref|WP_004609123.1|	inorganic pyrophosphatase [[Clostridium] spiroforme] 
gi|490746816|ref|WP_004609124.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746817|ref|WP_004609125.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746818|ref|WP_004609126.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746819|ref|WP_004609127.1|	membrane protein [[Clostridium] spiroforme] 
gi|490746820|ref|WP_004609128.1|	ArsR family transcriptional regulator [[Clostridium] spiroforme] 
gi|490746821|ref|WP_004609129.1|	transcriptional regulator [[Clostridium] spiroforme] 
gi|490746822|ref|WP_004609130.1|	3-deoxy-7-phosphoheptulonate synthase [[Clostridium] spiroforme] 
gi|489630133|ref|WP_003534573.1|	MULTISPECIES: 30S ribosomal protein S21 [Firmicutes] 
gi|490746823|ref|WP_004609131.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746824|ref|WP_004609132.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746825|ref|WP_004609133.1|	phosphate starvation protein PhoH [[Clostridium] spiroforme] 
gi|490746826|ref|WP_004609134.1|	hisitidine kinase [[Clostridium] spiroforme] 
gi|490746827|ref|WP_004609135.1|	histidine kinase [[Clostridium] spiroforme] 
gi|490746828|ref|WP_004609136.1|	peptidase [[Clostridium] spiroforme] 
gi|490746829|ref|WP_004609137.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746830|ref|WP_004609138.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746831|ref|WP_004609139.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746832|ref|WP_004609140.1|	methylglyoxal synthase [[Clostridium] spiroforme] 
gi|490746833|ref|WP_004609141.1|	4Fe-4S ferredoxin [[Clostridium] spiroforme] 
gi|490746834|ref|WP_004609142.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746835|ref|WP_004609143.1|	cytidylate kinase [[Clostridium] spiroforme] 
gi|490746836|ref|WP_004609144.1|	GTP-binding protein Der [[Clostridium] spiroforme] 
gi|490746837|ref|WP_004609145.1|	glycerol-3-phosphate dehydrogenase [[Clostridium] spiroforme] 
gi|490746838|ref|WP_004609146.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746839|ref|WP_004609147.1|	hypothetical protein [[Clostridium] spiroforme] 
gi|490746840|ref|WP_004609148.1|	50S ribosomal protein L32 [[Clostridium] spiroforme] 
gi|490746841|ref|WP_004609149.1|	cell division protein MraZ [[Clostridium] spiroforme] 
gi|490746842|ref|WP_004609150.1|	16S rRNA methyltransferase [[Clostridium] spiroforme] 
