gi|490969876|ref|WP_004831676.1|	hypothetical protein partial [Parvimonas micra] 
gi|490971504|ref|WP_004833298.1|	hypothetical protein [Parvimonas micra] 
gi|490971505|ref|WP_004833299.1|	hypothetical protein [Parvimonas micra] 
gi|490971506|ref|WP_004833300.1|	hypothetical protein [Parvimonas micra] 
gi|490971507|ref|WP_004833301.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490971508|ref|WP_004833302.1|	ATP-dependent Clp protease ATP-binding protein [Parvimonas micra] 
gi|490971509|ref|WP_004833303.1|	hypothetical protein [Parvimonas micra] 
gi|490971510|ref|WP_004833304.1|	hypothetical protein [Parvimonas micra] 
gi|490971511|ref|WP_004833305.1|	hypothetical protein [Parvimonas micra] 
gi|490971512|ref|WP_004833306.1|	hypothetical protein [Parvimonas micra] 
gi|490971513|ref|WP_004833307.1|	hypothetical protein [Parvimonas micra] 
gi|490971514|ref|WP_004833308.1|	hypothetical protein [Parvimonas micra] 
gi|490971515|ref|WP_004833309.1|	hypothetical protein [Parvimonas micra] 
gi|490971516|ref|WP_004833310.1|	peroxiredoxin [Parvimonas micra] 
gi|490971517|ref|WP_004833311.1|	valyl-tRNA synthase [Parvimonas micra] 
gi|490971518|ref|WP_004833312.1|	hypothetical protein [Parvimonas micra] 
gi|490971519|ref|WP_004833313.1|	hypoxanthine phosphoribosyltransferase [Parvimonas micra] 
gi|490971520|ref|WP_004833314.1|	methyltransferase [Parvimonas micra] 
gi|490971521|ref|WP_004833315.1|	membrane protein [Parvimonas micra] 
gi|490971522|ref|WP_004833316.1|	osmotically inducible protein C [Parvimonas micra] 
gi|490971523|ref|WP_004833317.1|	hypothetical protein [Parvimonas micra] 
gi|490971524|ref|WP_004833318.1|	hypothetical protein [Parvimonas micra] 
gi|490971525|ref|WP_004833319.1|	hypothetical protein [Parvimonas micra] 
gi|490971526|ref|WP_004833320.1|	ABC transporter [Parvimonas micra] 
gi|490971527|ref|WP_004833321.1|	hypothetical protein [Parvimonas micra] 
gi|490971528|ref|WP_004833322.1|	hypothetical protein [Parvimonas micra] 
gi|490971529|ref|WP_004833323.1|	hypothetical protein [Parvimonas micra] 
gi|490971530|ref|WP_004833324.1|	hypothetical protein [Parvimonas micra] 
gi|490971531|ref|WP_004833325.1|	heptaprenyl diphosphate synthase [Parvimonas micra] 
gi|490971532|ref|WP_004833326.1|	hypothetical protein [Parvimonas micra] 
gi|490971533|ref|WP_004833327.1|	cell division protein FtsA [Parvimonas micra] 
gi|490971534|ref|WP_004833328.1|	rod shape-determining protein MreC [Parvimonas micra] 
gi|490971535|ref|WP_004833329.1|	rod shape-determining protein MreD [Parvimonas micra] 
gi|490971536|ref|WP_004833330.1|	penicillin-binding protein [Parvimonas micra] 
gi|490971537|ref|WP_004833331.1|	hypothetical protein [Parvimonas micra] 
gi|490971538|ref|WP_004833332.1|	GMP synthase [Parvimonas micra] 
gi|490971539|ref|WP_004833333.1|	repressor protein [Parvimonas micra] 
gi|490971540|ref|WP_004833334.1|	hypothetical protein [Parvimonas micra] 
gi|490971541|ref|WP_004833335.1|	recombinase [Parvimonas micra] 
gi|490971542|ref|WP_004833336.1|	hypothetical protein [Parvimonas micra] 
gi|490971543|ref|WP_004833337.1|	hypothetical protein [Parvimonas micra] 
gi|490971544|ref|WP_004833338.1|	DNA primase [Parvimonas micra] 
gi|490971545|ref|WP_004833339.1|	ATPase AAA [Parvimonas micra] 
gi|490971546|ref|WP_004833340.1|	mobilization protein [Parvimonas micra] 
gi|490971547|ref|WP_004833341.1|	relaxase [Parvimonas micra] 
gi|490971548|ref|WP_004833342.1|	transcriptional regulator [Parvimonas micra] 
gi|490971549|ref|WP_004833343.1|	modification methylase [Parvimonas micra] 
gi|490971550|ref|WP_004833344.1|	type II restriction endonuclease HaeIII [Parvimonas micra] 
gi|490971551|ref|WP_004833345.1|	hypothetical protein [Parvimonas micra] 
gi|490971552|ref|WP_004833346.1|	hypothetical protein [Parvimonas micra] 
gi|490971553|ref|WP_004833347.1|	hypothetical protein [Parvimonas micra] 
gi|490971554|ref|WP_004833348.1|	hypothetical protein [Parvimonas micra] 
gi|490971555|ref|WP_004833349.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490971556|ref|WP_004833350.1|	transcriptional regulator [Parvimonas micra] 
gi|490971557|ref|WP_004833351.1|	histidine kinase [Parvimonas micra] 
gi|490971558|ref|WP_004833352.1|	hypothetical protein [Parvimonas micra] 
gi|490971559|ref|WP_004833353.1|	magnesium transporter [Parvimonas micra] 
gi|490971560|ref|WP_004833354.1|	CAAX amino terminal protease [Parvimonas micra] 
gi|490971561|ref|WP_004833355.1|	peptidase M29 [Parvimonas micra] 
gi|490971562|ref|WP_004833356.1|	N-terminal cleavage protein [Parvimonas micra] 
gi|490971563|ref|WP_004833357.1|	N-terminal cleavage protein [Parvimonas micra] 
gi|490971564|ref|WP_004833358.1|	N-terminal cleavage protein [Parvimonas micra] 
gi|490971565|ref|WP_004833359.1|	N-terminal cleavage protein [Parvimonas micra] 
gi|490971566|ref|WP_004833360.1|	hypothetical protein [Parvimonas micra] 
gi|490971567|ref|WP_004833361.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Parvimonas micra] 
gi|490971568|ref|WP_004833362.1|	cell division protein FtsK [Parvimonas micra] 
gi|490971569|ref|WP_004833363.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [Parvimonas micra] 
gi|490971570|ref|WP_004833364.1|	protein RecA [Parvimonas micra] 
gi|490971571|ref|WP_004833365.1|	hypothetical protein [Parvimonas micra] 
gi|490971572|ref|WP_004833366.1|	aminotransferase [Parvimonas micra] 
gi|490971573|ref|WP_004833367.1|	hypothetical protein [Parvimonas micra] 
gi|490971574|ref|WP_004833368.1|	acyl carrier protein [Parvimonas micra] 
gi|490971575|ref|WP_004833369.1|	hypothetical protein [Parvimonas micra] 
gi|490971576|ref|WP_004833370.1|	radical SAM protein [Parvimonas micra] 
gi|490971577|ref|WP_004833371.1|	hypothetical protein [Parvimonas micra] 
gi|490971578|ref|WP_004833372.1|	cell division protein FtsY [Parvimonas micra] 
gi|490971579|ref|WP_004833373.1|	DNA-binding protein [Parvimonas micra] 
gi|490971580|ref|WP_004833374.1|	signal recognition particle protein Srp54 [Parvimonas micra] 
gi|490971581|ref|WP_004833375.1|	MULTISPECIES: 30S ribosomal protein S16 [Parvimonas] 
gi|490971582|ref|WP_004833376.1|	hypothetical protein [Parvimonas micra] 
gi|490971583|ref|WP_004833377.1|	hypothetical protein [Parvimonas micra] 
gi|490971584|ref|WP_004833378.1|	tRNA (guanine-N1)-methyltransferase [Parvimonas micra] 
gi|490971585|ref|WP_004833379.1|	MULTISPECIES: 50S ribosomal protein L19 [Parvimonas] 
gi|490971586|ref|WP_004833380.1|	ATPase AAA [Parvimonas micra] 
gi|490971587|ref|WP_004833381.1|	asparaginyl-tRNA synthetase [Parvimonas micra] 
gi|490971588|ref|WP_004833382.1|	competence protein ComEA [Parvimonas micra] 
gi|490971589|ref|WP_004833383.1|	segregation protein A [Parvimonas micra] 
gi|490971590|ref|WP_004833384.1|	selenocysteine synthase [Parvimonas micra] 
gi|490971591|ref|WP_004833385.1|	translation elongation factor [Parvimonas micra] 
gi|490971592|ref|WP_004833386.1|	hisitidine kinase [Parvimonas micra] 
gi|490971593|ref|WP_004833387.1|	phenylalanyl-tRNA synthase subunit alpha [Parvimonas micra] 
gi|490971594|ref|WP_004833388.1|	phenylalanyl-tRNA synthetase [Parvimonas micra] 
gi|490971595|ref|WP_004833389.1|	hypothetical protein [Parvimonas micra] 
gi|490971596|ref|WP_004833390.1|	recombinase [Parvimonas micra] 
gi|490971597|ref|WP_004833391.1|	arginyl-tRNA synthetase [Parvimonas micra] 
gi|490971598|ref|WP_004833392.1|	hypothetical protein [Parvimonas micra] 
gi|490971599|ref|WP_004833393.1|	integrase [Parvimonas micra] 
gi|490971600|ref|WP_004833394.1|	elongation factor P [Parvimonas micra] 
gi|490971601|ref|WP_004833395.1|	hypothetical protein [Parvimonas micra] 
gi|490971602|ref|WP_004833396.1|	hypothetical protein [Parvimonas micra] 
gi|490971603|ref|WP_004833397.1|	hypothetical protein [Parvimonas micra] 
gi|490971604|ref|WP_004833398.1|	tRNA dimethylallyltransferase [Parvimonas micra] 
gi|490971605|ref|WP_004833399.1|	DNA mismatch repair protein [Parvimonas micra] 
gi|490971606|ref|WP_004833400.1|	hypothetical protein [Parvimonas micra] 
gi|490971607|ref|WP_004833401.1|	(dimethylallyl)adenosine tRNA methylthiotransferase [Parvimonas micra] 
gi|490971608|ref|WP_004833402.1|	single-stranded DNA-binding protein [Parvimonas micra] 
gi|490971609|ref|WP_004833403.1|	hypothetical protein [Parvimonas micra] 
gi|490971610|ref|WP_004833404.1|	hypothetical protein [Parvimonas micra] 
gi|490971611|ref|WP_004833405.1|	S-adenosyl-L-methionine-dependent methyltransferase [Parvimonas micra] 
gi|490971612|ref|WP_004833406.1|	RNA polymerase sigma factor RpoD [Parvimonas micra] 
gi|490971613|ref|WP_004833407.1|	hypothetical protein [Parvimonas micra] 
gi|490971614|ref|WP_004833408.1|	DNA repair protein RecO [Parvimonas micra] 
gi|490971615|ref|WP_004833409.1|	GTP-binding protein [Parvimonas micra] 
gi|490971616|ref|WP_004833410.1|	cytidine deaminase [Parvimonas micra] 
gi|490971617|ref|WP_004833411.1|	undecaprenol kinase [Parvimonas micra] 
gi|490971618|ref|WP_004833412.1|	heat-shock protein [Parvimonas micra] 
gi|490971619|ref|WP_004833413.1|	phosphate starvation protein PhoH [Parvimonas micra] 
gi|490971620|ref|WP_004833414.1|	hypothetical protein [Parvimonas micra] 
gi|490971621|ref|WP_004833415.1|	hypothetical protein [Parvimonas micra] 
gi|490971622|ref|WP_004833416.1|	RNA methyltransferase [Parvimonas micra] 
gi|490971623|ref|WP_004833417.1|	hypothetical protein [Parvimonas micra] 
gi|490971624|ref|WP_004833418.1|	magnesium transporter [Parvimonas micra] 
gi|490971625|ref|WP_004833419.1|	DNA-binding protein [Parvimonas micra] 
gi|490971626|ref|WP_004833420.1|	hypothetical protein [Parvimonas micra] 
gi|490971627|ref|WP_004833421.1|	hypothetical protein [Parvimonas micra] 
gi|490971628|ref|WP_004833422.1|	hypothetical protein [Parvimonas micra] 
gi|490971629|ref|WP_004833423.1|	hypothetical protein [Parvimonas micra] 
gi|490971630|ref|WP_004833424.1|	hypothetical protein [Parvimonas micra] 
gi|490971631|ref|WP_004833425.1|	translation initiation factor IF-2 [Parvimonas micra] 
gi|490971632|ref|WP_004833426.1|	hypothetical protein [Parvimonas micra] 
gi|490971633|ref|WP_004833427.1|	transcription elongation factor NusA [Parvimonas micra] 
gi|490971634|ref|WP_004833428.1|	hypothetical protein [Parvimonas micra] 
gi|490971635|ref|WP_004833429.1|	molybdopterin oxidoreductase [Parvimonas micra] 
gi|490971636|ref|WP_004833430.1|	FAD-dependent pyridine nucleotide-disulfide oxidoreductase [Parvimonas micra] 
gi|490971637|ref|WP_004833431.1|	(2Fe-2S)-binding protein [Parvimonas micra] 
gi|490971638|ref|WP_004833432.1|	metallo-beta-lactamase [Parvimonas micra] 
gi|490971639|ref|WP_004833433.1|	D-tyrosyl-tRNA(Tyr) deacylase [Parvimonas micra] 
gi|490971640|ref|WP_004833434.1|	(p)ppGpp synthetase [Parvimonas micra] 
gi|490971641|ref|WP_004833435.1|	hypothetical protein [Parvimonas micra] 
gi|490971642|ref|WP_004833436.1|	preprotein translocase subunit YajC [Parvimonas micra] 
gi|490971643|ref|WP_004833437.1|	glycine/sarcosine/betaine reductase complex protein C subunit alpha [Parvimonas micra] 
gi|490971644|ref|WP_004833438.1|	glycine/sarcosine/betaine reductase complex protein C subunit beta [Parvimonas micra] 
gi|490971645|ref|WP_004833439.1|	MULTISPECIES: glycine reductase complex protein B subunit gamma [Parvimonas] 
gi|490971646|ref|WP_004833440.1|	beta-aspartate methyltransferase [Parvimonas micra] 
gi|490971647|ref|WP_004833441.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490971650|ref|WP_004833444.1|	MULTISPECIES: glycine/sarcosine/betaine reductase complex protein A [Parvimonas] 
gi|490971651|ref|WP_004833445.1|	beta-aspartyl peptidase [Parvimonas micra] 
gi|490971653|ref|WP_004833447.1|	thioredoxin reductase [Parvimonas micra] 
gi|490971655|ref|WP_004833449.1|	hypothetical protein [Parvimonas micra] 
gi|490971656|ref|WP_004833450.1|	enolase [Parvimonas micra] 
gi|490971659|ref|WP_004833453.1|	triosephosphate isomerase [Parvimonas micra] 
gi|490971662|ref|WP_004833456.1|	phosphoglycerate kinase [Parvimonas micra] 
gi|490971663|ref|WP_004833457.1|	glyceraldehyde-3-phosphate dehydrogenase [Parvimonas micra] 
gi|490971664|ref|WP_004833458.1|	sugar-binding protein [Parvimonas micra] 
gi|490971667|ref|WP_004833461.1|	methionine aminopeptidase [Parvimonas micra] 
gi|490971668|ref|WP_004833462.1|	branched-chain amino acid ABC transporter permease [Parvimonas micra] 
gi|490971669|ref|WP_004833463.1|	ABC transporter permease [Parvimonas micra] 
gi|490971672|ref|WP_004833466.1|	heme ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971673|ref|WP_004833467.1|	hypothetical protein [Parvimonas micra] 
gi|490971675|ref|WP_004833469.1|	GTP-binding protein [Parvimonas micra] 
gi|490971676|ref|WP_004833470.1|	DNA-binding protein [Parvimonas micra] 
gi|490971678|ref|WP_004833472.1|	MULTISPECIES: 30S ribosomal protein S18 [Parvimonas] 
gi|490971680|ref|WP_004833474.1|	single-stranded DNA-binding protein [Parvimonas micra] 
gi|490971681|ref|WP_004833475.1|	30S ribosomal protein S6 [Parvimonas micra] 
gi|490971683|ref|WP_004833477.1|	phosphoribosylamine--glycine ligase [Parvimonas micra] 
gi|490971684|ref|WP_004833478.1|	phosphoribosylaminoimidazolecarboxamide formyltransferase [Parvimonas micra] 
gi|490971685|ref|WP_004833479.1|	phosphoribosylglycinamide formyltransferase [Parvimonas micra] 
gi|490971687|ref|WP_004833481.1|	amidophosphoribosyltransferase [Parvimonas micra] 
gi|490971689|ref|WP_004833483.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Parvimonas micra] 
gi|490971691|ref|WP_004833485.1|	phosphoribosylformylglycinamidine synthase [Parvimonas micra] 
gi|490971692|ref|WP_004833486.1|	phosphoribosylaminoimidazole synthetase [Parvimonas micra] 
gi|490971693|ref|WP_004833487.1|	N5-carboxyaminoimidazole ribonucleotide mutase [Parvimonas micra] 
gi|490971696|ref|WP_004833490.1|	phosphoribosylaminoimidazole-succinocarboxamide synthase [Parvimonas micra] 
gi|490971698|ref|WP_004833492.1|	hypothetical protein [Parvimonas micra] 
gi|490971700|ref|WP_004833494.1|	serine hydroxymethyltransferase [Parvimonas micra] 
gi|490971702|ref|WP_004833496.1|	LysR family transcriptional regulator [Parvimonas micra] 
gi|490971704|ref|WP_004833498.1|	hypothetical protein [Parvimonas micra] 
gi|490971705|ref|WP_004833499.1|	histidine kinase [Parvimonas micra] 
gi|490971706|ref|WP_004833500.1|	PhoP family transcriptional regulator [Parvimonas micra] 
gi|490971708|ref|WP_004833502.1|	formate dehydrogenase subunit alpha [Parvimonas micra] 
gi|490971710|ref|WP_004833504.1|	NADH dehydrogenase subunit G [Parvimonas micra] 
gi|490971712|ref|WP_004833506.1|	NADH dehydrogenase [Parvimonas micra] 
gi|490971713|ref|WP_004833507.1|	NADH dehydrogenase [Parvimonas micra] 
gi|490971714|ref|WP_004833508.1|	hypothetical protein [Parvimonas micra] 
gi|490971716|ref|WP_004833510.1|	phosphocarrier protein HPr [Parvimonas micra] 
gi|490971718|ref|WP_004833512.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971719|ref|WP_004833513.1|	ABC transporter permease [Parvimonas micra] 
gi|490971721|ref|WP_004833515.1|	hypothetical protein [Parvimonas micra] 
gi|490971722|ref|WP_004833516.1|	FMN-binding protein [Parvimonas micra] 
gi|490971724|ref|WP_004833518.1|	GTPase [Parvimonas micra] 
gi|490971725|ref|WP_004833519.1|	ABC transporter permease [Parvimonas micra] 
gi|490971726|ref|WP_004833520.1|	ABC transporter permease [Parvimonas micra] 
gi|490971727|ref|WP_004833521.1|	hypothetical protein [Parvimonas micra] 
gi|490971728|ref|WP_004833522.1|	membrane protein [Parvimonas micra] 
gi|490971729|ref|WP_004833523.1|	iron permease [Parvimonas micra] 
gi|490971730|ref|WP_004833524.1|	membrane protein [Parvimonas micra] 
gi|490971731|ref|WP_004833525.1|	FMN-binding protein [Parvimonas micra] 
gi|490971732|ref|WP_004833526.1|	hypothetical protein [Parvimonas micra] 
gi|490971733|ref|WP_004833527.1|	MoeB [Parvimonas micra] 
gi|490971734|ref|WP_004833528.1|	aspartyl-tRNA synthetase [Parvimonas micra] 
gi|490971735|ref|WP_004833529.1|	hypothetical protein [Parvimonas micra] 
gi|490971737|ref|WP_004833531.1|	hypothetical protein [Parvimonas micra] 
gi|490971738|ref|WP_004833532.1|	hypothetical protein [Parvimonas micra] 
gi|490971740|ref|WP_004833534.1|	hypothetical protein [Parvimonas micra] 
gi|490971741|ref|WP_004833535.1|	hypothetical protein [Parvimonas micra] 
gi|490971742|ref|WP_004833536.1|	membrane protein [Parvimonas micra] 
gi|490971744|ref|WP_004833538.1|	murein hydrolase transporter LrgA [Parvimonas micra] 
gi|490971746|ref|WP_004833540.1|	6-phosphogluconate dehydratase [Parvimonas micra] 
gi|490971748|ref|WP_004833542.1|	5-formyltetrahydrofolate cyclo-ligase [Parvimonas micra] 
gi|490971749|ref|WP_004833543.1|	hypothetical protein [Parvimonas micra] 
gi|490971750|ref|WP_004833544.1|	methenyltetrahydrofolate cyclohydrolase [Parvimonas micra] 
gi|490971751|ref|WP_004833545.1|	formiminotransferase-cyclodeaminase [Parvimonas micra] 
gi|490971753|ref|WP_004833547.1|	formate--tetrahydrofolate ligase [Parvimonas micra] 
gi|490971755|ref|WP_004833549.1|	ATPase [Parvimonas micra] 
gi|490971757|ref|WP_004833551.1|	hypothetical protein [Parvimonas micra] 
gi|490971759|ref|WP_004833553.1|	ATP-dependent Clp protease ATP-binding protein [Parvimonas micra] 
gi|490971760|ref|WP_004833554.1|	ATP:guanido phosphotransferase [Parvimonas micra] 
gi|490971761|ref|WP_004833555.1|	hypothetical protein [Parvimonas micra] 
gi|490971762|ref|WP_004833556.1|	transcriptional regulator [Parvimonas micra] 
gi|490971763|ref|WP_004833557.1|	hypothetical protein [Parvimonas micra] 
gi|490971764|ref|WP_004833558.1|	dephospho-CoA kinase [Parvimonas micra] 
gi|490971765|ref|WP_004833559.1|	DNA polymerase I [Parvimonas micra] 
gi|490971767|ref|WP_004833561.1|	hypothetical protein [Parvimonas micra] 
gi|490971768|ref|WP_004833562.1|	UDP-N-acetylmuramate--alanine ligase [Parvimonas micra] 
gi|490971769|ref|WP_004833563.1|	tryptophanyl-tRNA synthetase [Parvimonas micra] 
gi|490971770|ref|WP_004833564.1|	polyribonucleotide nucleotidyltransferase [Parvimonas micra] 
gi|490971772|ref|WP_004833566.1|	MULTISPECIES: 30S ribosomal protein S15 [Parvimonas] 
gi|490971774|ref|WP_004833568.1|	GNAT family acetyltransferase [Parvimonas micra] 
gi|490971775|ref|WP_004833569.1|	peptidase U32 [Parvimonas micra] 
gi|490971776|ref|WP_004833570.1|	hypothetical protein [Parvimonas micra] 
gi|490971778|ref|WP_004833572.1|	hypothetical protein [Parvimonas micra] 
gi|490971780|ref|WP_004833574.1|	ribonuclease J [Parvimonas micra] 
gi|490971781|ref|WP_004833575.1|	Fur family transcriptional regulator [Parvimonas micra] 
gi|490971782|ref|WP_004833576.1|	hypothetical protein [Parvimonas micra] 
gi|490971784|ref|WP_004833578.1|	Holliday junction resolvase [Parvimonas micra] 
gi|490971786|ref|WP_004833580.1|	hypothetical protein [Parvimonas micra] 
gi|490971787|ref|WP_004833581.1|	alanyl-tRNA synthase [Parvimonas micra] 
gi|490971789|ref|WP_004833583.1|	membrane protein [Parvimonas micra] 
gi|490971791|ref|WP_004833585.1|	cysteine desulfurase [Parvimonas micra] 
gi|490971793|ref|WP_004833587.1|	50S ribosomal protein L17 [Parvimonas micra] 
gi|490971794|ref|WP_004833588.1|	DNA-directed RNA polymerase subunit alpha [Parvimonas micra] 
gi|490971796|ref|WP_004833590.1|	MULTISPECIES: 30S ribosomal protein S11 [Parvimonas] 
gi|490971797|ref|WP_004833591.1|	MULTISPECIES: 30S ribosomal protein S13 [Parvimonas] 
gi|490971798|ref|WP_004833592.1|	MULTISPECIES: 50S ribosomal protein L36 [Parvimonas] 
gi|490971799|ref|WP_004833593.1|	MULTISPECIES: translation initiation factor IF-1 [Parvimonas] 
gi|490971801|ref|WP_004833595.1|	hypothetical protein [Parvimonas micra] 
gi|490971803|ref|WP_004833597.1|	adenylate kinase [Parvimonas micra] 
gi|490971804|ref|WP_004833598.1|	preprotein translocase subunit SecY [Parvimonas micra] 
gi|490971805|ref|WP_004833599.1|	50S ribosomal protein L15 [Parvimonas micra] 
gi|490971807|ref|WP_004833601.1|	MULTISPECIES: 50S ribosomal protein L30 [Parvimonas] 
gi|490971808|ref|WP_004833602.1|	30S ribosomal protein S5 [Parvimonas micra] 
gi|490971810|ref|WP_004833604.1|	50S ribosomal protein L18 [Parvimonas micra] 
gi|490971812|ref|WP_004833606.1|	50S ribosomal protein L6 [Parvimonas micra] 
gi|490971814|ref|WP_004833608.1|	MULTISPECIES: 30S ribosomal protein S8 [Parvimonas] 
gi|490971815|ref|WP_004833609.1|	MULTISPECIES: 30S ribosomal protein S14 [Parvimonas] 
gi|490971816|ref|WP_004833610.1|	50S ribosomal protein L5 [Parvimonas micra] 
gi|490971817|ref|WP_004833611.1|	50S ribosomal protein L24 [Parvimonas micra] 
gi|490971818|ref|WP_004833612.1|	50S ribosomal protein L14 [Parvimonas micra] 
gi|490971819|ref|WP_004833613.1|	MULTISPECIES: 30S ribosomal protein S17 [Parvimonas] 
gi|490971820|ref|WP_004833614.1|	50S ribosomal protein L29 [Parvimonas micra] 
gi|490971821|ref|WP_004833615.1|	MULTISPECIES: 50S ribosomal protein L16 [Parvimonas] 
gi|490971822|ref|WP_004833616.1|	30S ribosomal protein S3 [Parvimonas micra] 
gi|490971823|ref|WP_004833617.1|	MULTISPECIES: 50S ribosomal protein L22 [Parvimonas] 
gi|490971824|ref|WP_004833618.1|	30S ribosomal protein S19 [Parvimonas micra] 
gi|490971825|ref|WP_004833619.1|	50S ribosomal protein L2 [Parvimonas micra] 
gi|490971826|ref|WP_004833620.1|	MULTISPECIES: 50S ribosomal protein L23 [Parvimonas] 
gi|490971827|ref|WP_004833621.1|	50S ribosomal protein L4 [Parvimonas micra] 
gi|490971828|ref|WP_004833622.1|	50S ribosomal protein L3 [Parvimonas micra] 
gi|490971830|ref|WP_004833624.1|	30S ribosomal protein S10 [Parvimonas micra] 
gi|490971832|ref|WP_004833626.1|	hypothetical protein [Parvimonas micra] 
gi|490971833|ref|WP_004833627.1|	DNA recombination protein RmuC [Parvimonas micra] 
gi|490971835|ref|WP_004833629.1|	hypothetical protein [Parvimonas micra] 
gi|490971837|ref|WP_004833631.1|	adenylosuccinate lyase [Parvimonas micra] 
gi|490971838|ref|WP_004833632.1|	oligoendopeptidase F [Parvimonas micra] 
gi|490971841|ref|WP_004833635.1|	MULTISPECIES: aminopeptidase C [Parvimonas] 
gi|490971843|ref|WP_004833637.1|	membrane protein [Parvimonas micra] 
gi|490971845|ref|WP_004833639.1|	membrane protein [Parvimonas micra] 
gi|490971846|ref|WP_004833640.1|	ABC transporter ATP-binding protein [Parvimonas micra] 
gi|490971847|ref|WP_004833641.1|	hypothetical protein [Parvimonas micra] 
gi|490971848|ref|WP_004833642.1|	hypothetical protein [Parvimonas micra] 
gi|490971850|ref|WP_004833644.1|	hypothetical protein [Parvimonas micra] 
gi|490971851|ref|WP_004833645.1|	GTP-binding protein YsxC [Parvimonas micra] 
gi|490971852|ref|WP_004833646.1|	peptidase [Parvimonas micra] 
gi|490971855|ref|WP_004833649.1|	ATP-dependent protease [Parvimonas micra] 
gi|490971856|ref|WP_004833650.1|	ATP-dependent Clp protease proteolytic subunit [Parvimonas micra] 
gi|490971858|ref|WP_004833652.1|	hypothetical protein [Parvimonas micra] 
gi|490971859|ref|WP_004833653.1|	hypothetical protein [Parvimonas micra] 
gi|490971861|ref|WP_004833655.1|	molecular chaperone DnaK [Parvimonas micra] 
gi|490971862|ref|WP_004833656.1|	hypothetical protein [Parvimonas micra] 
gi|490971864|ref|WP_004833658.1|	HrcA family transcriptional regulator [Parvimonas micra] 
gi|490971865|ref|WP_004833659.1|	hypothetical protein [Parvimonas micra] 
gi|490971866|ref|WP_004833660.1|	MULTISPECIES: flavodoxin [Parvimonas] 
gi|490971867|ref|WP_004833661.1|	haloacid dehalogenase [Parvimonas micra] 
gi|490971868|ref|WP_004833662.1|	hypothetical protein [Parvimonas micra] 
gi|490971870|ref|WP_004833664.1|	adenylate cyclase [Parvimonas micra] 
gi|490971871|ref|WP_004833665.1|	ser/threonine protein phosphatase [Parvimonas micra] 
gi|490971873|ref|WP_004833667.1|	phospholipase [Parvimonas micra] 
gi|490971875|ref|WP_004833669.1|	MULTISPECIES: hypothetical protein [Parvimonas] 
gi|490971876|ref|WP_004833670.1|	leucyl-tRNA synthetase [Parvimonas micra] 
gi|490971878|ref|WP_004833672.1|	hypothetical protein [Parvimonas micra] 
gi|490971880|ref|WP_004833674.1|	multidrug transporter MatE [Parvimonas micra] 
gi|490971881|ref|WP_004833675.1|	hypothetical protein [Parvimonas micra] 
gi|490971882|ref|WP_004833676.1|	hypothetical protein [Parvimonas micra] 
gi|490971883|ref|WP_004833677.1|	MULTISPECIES: cold-shock protein [Parvimonas] 
gi|490971885|ref|WP_004833679.1|	hypothetical protein [Parvimonas micra] 
gi|490971886|ref|WP_004833680.1|	peptidyl-prolyl cis-trans isomerase [Parvimonas micra] 
gi|490971887|ref|WP_004833681.1|	pseudouridine synthase [Parvimonas micra] 
gi|490971888|ref|WP_004833682.1|	uracil-DNA glycosylase [Parvimonas micra] 
gi|490971889|ref|WP_004833683.1|	hypothetical protein [Parvimonas micra] 
gi|490971890|ref|WP_004833684.1|	hypothetical protein [Parvimonas micra] 
gi|490971891|ref|WP_004833685.1|	hypothetical protein [Parvimonas micra] 
gi|490971892|ref|WP_004833686.1|	hypothetical protein [Parvimonas micra] 
gi|490971893|ref|WP_004833687.1|	hypothetical protein [Parvimonas micra] 
gi|490971894|ref|WP_004833688.1|	adenylosuccinate synthetase [Parvimonas micra] 
gi|490971895|ref|WP_004833689.1|	hypothetical protein [Parvimonas micra] 
gi|490971896|ref|WP_004833690.1|	hypothetical protein [Parvimonas micra] 
gi|490971898|ref|WP_004833692.1|	hypothetical protein [Parvimonas micra] 
gi|490971899|ref|WP_004833693.1|	glutaredoxin [Parvimonas micra] 
gi|490971900|ref|WP_004833694.1|	dimethyladenosine transferase [Parvimonas micra] 
gi|490971902|ref|WP_004833696.1|	DNA primase [Parvimonas micra] 
gi|490971904|ref|WP_004833698.1|	hydrolase TatD [Parvimonas micra] 
gi|490971906|ref|WP_004833700.1|	methionyl-tRNA synthetase [Parvimonas micra] 
gi|490971907|ref|WP_004833701.1|	30S ribosomal protein S12 methylthiotransferase [Parvimonas micra] 
gi|490971910|ref|WP_004833704.1|	RNA methyltransferase [Parvimonas micra] 
gi|490971913|ref|WP_004833707.1|	50S ribosomal protein L11 methyltransferase [Parvimonas micra] 
gi|490971915|ref|WP_004833709.1|	hypothetical protein [Parvimonas micra] 
gi|490971916|ref|WP_004833710.1|	transcriptional regulator [Parvimonas micra] 
