gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495004|ref|WP_005352724.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495005|ref|WP_005352725.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495007|ref|WP_005352726.1|	stage 0 sporulation protein [[Eubacterium] siraeum] 
gi|491495008|ref|WP_005352727.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495058|ref|WP_005352777.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495059|ref|WP_005352778.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495060|ref|WP_005352779.1|	glycoside hydrolase [[Eubacterium] siraeum] 
gi|491495061|ref|WP_005352780.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495062|ref|WP_005352781.1|	5'-nucleotidase [[Eubacterium] siraeum] 
gi|491495063|ref|WP_005352782.1|	uridine phosphorylase [[Eubacterium] siraeum] 
gi|491495065|ref|WP_005352784.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495068|ref|WP_005352787.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495071|ref|WP_005352790.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495073|ref|WP_005352792.1|	MULTISPECIES: transcriptional regulator [Clostridiales] 
gi|491495076|ref|WP_005352795.1|	carbamoyl phosphate synthase large subunit [[Eubacterium] siraeum] 
gi|491495079|ref|WP_005352798.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495082|ref|WP_005352801.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495084|ref|WP_005352803.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495085|ref|WP_005352804.1|	endonuclease III [[Eubacterium] siraeum] 
gi|491495087|ref|WP_005352806.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495090|ref|WP_005352809.1|	XRE family transcriptional regulator [[Eubacterium] siraeum] 
gi|491495092|ref|WP_005352811.1|	acetyl-CoA synthetase [[Eubacterium] siraeum] 
gi|491495093|ref|WP_005352812.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495094|ref|WP_005352813.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495095|ref|WP_005352814.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495096|ref|WP_005352815.1|	ArsR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491495098|ref|WP_005352817.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495100|ref|WP_005352819.1|	argininosuccinate synthase [[Eubacterium] siraeum] 
gi|491495101|ref|WP_005352820.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495104|ref|WP_005352823.1|	argininosuccinate lyase [[Eubacterium] siraeum] 
gi|491495107|ref|WP_005352826.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495116|ref|WP_005352835.1|	N-acetyl-gamma-glutamyl-phosphate reductase [[Eubacterium] siraeum] 
gi|491495117|ref|WP_005352836.1|	ornithine acetyltransferase [[Eubacterium] siraeum] 
gi|491495120|ref|WP_005352839.1|	acetylglutamate kinase [[Eubacterium] siraeum] 
gi|491495122|ref|WP_005352841.1|	acetylornithine aminotransferase [[Eubacterium] siraeum] 
gi|491495124|ref|WP_005352843.1|	ornithine carbamoyltransferase [[Eubacterium] siraeum] 
gi|491495127|ref|WP_005352846.1|	cation diffusion facilitator family transporter [[Eubacterium] siraeum] 
gi|491495128|ref|WP_005352847.1|	thymidylate kinase [[Eubacterium] siraeum] 
gi|491495133|ref|WP_005352852.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495135|ref|WP_005352854.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495137|ref|WP_005352856.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495139|ref|WP_005352858.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495141|ref|WP_005352860.1|	peptidase U32 [[Eubacterium] siraeum] 
gi|491495143|ref|WP_005352862.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495146|ref|WP_005352865.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495149|ref|WP_005352868.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495152|ref|WP_005352871.1|	CRISPR-associated protein Cas5 [[Eubacterium] siraeum] 
gi|491495156|ref|WP_005352875.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495159|ref|WP_005352878.1|	CRISPR-associated protein [[Eubacterium] siraeum] 
gi|491495162|ref|WP_005352881.1|	CRISPR-associated protein Cas4 [[Eubacterium] siraeum] 
gi|491495165|ref|WP_005352884.1|	CRISPR-associated protein Cas1 [[Eubacterium] siraeum] 
gi|491495168|ref|WP_005352887.1|	CRISPR-associated protein Cas4 [[Eubacterium] siraeum] 
gi|491495170|ref|WP_005352889.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495183|ref|WP_005352902.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495184|ref|WP_005352903.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495185|ref|WP_005352904.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495186|ref|WP_005352905.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495187|ref|WP_005352906.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495188|ref|WP_005352907.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495191|ref|WP_005352910.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495193|ref|WP_005352912.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495194|ref|WP_005352913.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495196|ref|WP_005352915.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495198|ref|WP_005352917.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495200|ref|WP_005352919.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495202|ref|WP_005352921.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495204|ref|WP_005352923.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495208|ref|WP_005352927.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495210|ref|WP_005352929.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495213|ref|WP_005352932.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495215|ref|WP_005352934.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495217|ref|WP_005352936.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495219|ref|WP_005352938.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495222|ref|WP_005352941.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495238|ref|WP_005352957.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495240|ref|WP_005352959.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495242|ref|WP_005352961.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495244|ref|WP_005352963.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495246|ref|WP_005352965.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495255|ref|WP_005352973.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495256|ref|WP_005352974.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495257|ref|WP_005352975.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495258|ref|WP_005352976.1|	orotate phosphoribosyltransferase [[Eubacterium] siraeum] 
gi|491495259|ref|WP_005352977.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495260|ref|WP_005352978.1|	MULTISPECIES: RNA polymerase sigma factor RpoD [Clostridiales] 
gi|491495261|ref|WP_005352979.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495263|ref|WP_005352981.1|	deoxyguanosinetriphosphate triphosphohydrolase [[Eubacterium] siraeum] 
gi|491495265|ref|WP_005352983.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495267|ref|WP_005352985.1|	ATPase [[Eubacterium] siraeum] 
gi|491495269|ref|WP_005352987.1|	phosphopantetheine adenylyltransferase [[Eubacterium] siraeum] 
gi|491495271|ref|WP_005352989.1|	methyltransferase [[Eubacterium] siraeum] 
gi|491495278|ref|WP_005352996.1|	excinuclease ABC subunit C [[Eubacterium] siraeum] 
gi|491495280|ref|WP_005352998.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495283|ref|WP_005353001.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495285|ref|WP_005353003.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495287|ref|WP_005353005.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495289|ref|WP_005353007.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495291|ref|WP_005353009.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495292|ref|WP_005353010.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495293|ref|WP_005353011.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495295|ref|WP_005353013.1|	ATP synthase subunit A [[Eubacterium] siraeum] 
gi|491495298|ref|WP_005353016.1|	V-type ATP synthase subunit B [[Eubacterium] siraeum] 
gi|491495300|ref|WP_005353018.1|	ATPase [[Eubacterium] siraeum] 
gi|491495302|ref|WP_005353020.1|	alpha-amylase [[Eubacterium] siraeum] 
gi|491495304|ref|WP_005353022.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495306|ref|WP_005353024.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495308|ref|WP_005353026.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495311|ref|WP_005353029.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495324|ref|WP_005353042.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495328|ref|WP_005353046.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495330|ref|WP_005353048.1|	MULTISPECIES: hydrolase [Clostridiales] 
gi|491495334|ref|WP_005353052.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495336|ref|WP_005353054.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495338|ref|WP_005353056.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495341|ref|WP_005353059.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495343|ref|WP_005353061.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495347|ref|WP_005353065.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495365|ref|WP_005353083.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495367|ref|WP_005353085.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495370|ref|WP_005353088.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495373|ref|WP_005353091.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495374|ref|WP_005353092.1|	dihydroxyacetone kinase [[Eubacterium] siraeum] 
gi|491495378|ref|WP_005353096.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495382|ref|WP_005353100.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495384|ref|WP_005353102.1|	aminotransferase [[Eubacterium] siraeum] 
gi|491495397|ref|WP_005353115.1|	MULTISPECIES: AsnC family transcriptional regulator [Clostridiales] 
gi|491495399|ref|WP_005353117.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495401|ref|WP_005353119.1|	REX family transcriptional regulator [[Eubacterium] siraeum] 
gi|491495404|ref|WP_005353122.1|	MULTISPECIES: isocitrate dehydrogenase [Clostridiales] 
gi|491495407|ref|WP_005353125.1|	aconitate hydratase [[Eubacterium] siraeum] 
gi|491495410|ref|WP_005353128.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495412|ref|WP_005353130.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495415|ref|WP_005353133.1|	adenylosuccinate synthetase [[Eubacterium] siraeum] 
gi|491495418|ref|WP_005353136.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495420|ref|WP_005353138.1|	MULTISPECIES: stage V sporulation protein S [Clostridiales] 
gi|491495423|ref|WP_005353141.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495427|ref|WP_005353145.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495429|ref|WP_005353147.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495431|ref|WP_005353149.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495433|ref|WP_005353151.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495437|ref|WP_005353155.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495439|ref|WP_005353157.1|	MULTISPECIES: acid phosphatase [Clostridiales] 
gi|491495444|ref|WP_005353162.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495447|ref|WP_005353165.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495448|ref|WP_005353166.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495449|ref|WP_005353167.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495451|ref|WP_005353169.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495454|ref|WP_005353172.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495458|ref|WP_005353176.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495460|ref|WP_005353178.1|	RNA polymerase sigma 70 [[Eubacterium] siraeum] 
gi|491495462|ref|WP_005353180.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495471|ref|WP_005353189.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495474|ref|WP_005353191.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495475|ref|WP_005353192.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491495476|ref|WP_005353193.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491495483|ref|WP_005353200.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495485|ref|WP_005353202.1|	succinylglutamate desuccinylase [[Eubacterium] siraeum] 
gi|491495486|ref|WP_005353203.1|	MULTISPECIES: succinylglutamate desuccinylase [Clostridiales] 
gi|491495487|ref|WP_005353204.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495488|ref|WP_005353205.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495489|ref|WP_005353206.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495491|ref|WP_005353208.1|	MULTISPECIES: UDP-galactose-4-epimerase [Clostridiales] 
gi|491495495|ref|WP_005353212.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495502|ref|WP_005353219.1|	acyl-CoA thioester hydrolase [[Eubacterium] siraeum] 
gi|491495503|ref|WP_005353220.1|	alpha-galactosidase [[Eubacterium] siraeum] 
gi|491495508|ref|WP_005353225.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495509|ref|WP_005353226.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495510|ref|WP_005353227.1|	molecular chaperone Hsp33 [[Eubacterium] siraeum] 
gi|491495511|ref|WP_005353228.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495512|ref|WP_005353229.1|	(p)ppGpp synthetase [[Eubacterium] siraeum] 
gi|491495513|ref|WP_005353230.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495514|ref|WP_005353231.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495515|ref|WP_005353232.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495516|ref|WP_005353233.1|	choloylglycine hydrolase [[Eubacterium] siraeum] 
gi|491495517|ref|WP_005353234.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495518|ref|WP_005353235.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495519|ref|WP_005353236.1|	flavodoxin [[Eubacterium] siraeum] 
gi|491495520|ref|WP_005353237.1|	cell surface protein [[Eubacterium] siraeum] 
gi|491495522|ref|WP_005353239.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495524|ref|WP_005353241.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495526|ref|WP_005353243.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495528|ref|WP_005353245.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491495530|ref|WP_005353247.1|	ABC transporter [[Eubacterium] siraeum] 
gi|491495534|ref|WP_005353251.1|	MULTISPECIES: prevent-host-death protein [Clostridiales] 
gi|491495536|ref|WP_005353253.1|	toxin Fic [[Eubacterium] siraeum] 
gi|491495537|ref|WP_005353254.1|	mannan endo-1,4-beta-mannosidase [[Eubacterium] siraeum] 
gi|491495539|ref|WP_005353256.1|	DNA-directed RNA polymerase subunit beta [[Eubacterium] siraeum] 
gi|491495541|ref|WP_005353258.1|	DNA-directed RNA polymerase subunit beta' [[Eubacterium] siraeum] 
gi|491495542|ref|WP_005353259.1|	MULTISPECIES: 30S ribosomal protein S12 [Clostridiales] 
gi|491495543|ref|WP_005353260.1|	30S ribosomal protein S7 [[Eubacterium] siraeum] 
gi|491495544|ref|WP_005353261.1|	MULTISPECIES: elongation factor P [Clostridiales] 
gi|491495545|ref|WP_005353262.1|	MULTISPECIES: elongation factor Tu [Clostridiales] 
gi|491495550|ref|WP_005353267.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495557|ref|WP_005353274.1|	rod shape-determining protein Mbl [[Eubacterium] siraeum] 
gi|491495558|ref|WP_005353275.1|	esterase [[Eubacterium] siraeum] 
gi|491495560|ref|WP_005353277.1|	stage V sporulation protein T [[Eubacterium] siraeum] 
gi|491495562|ref|WP_005353279.1|	adenosine deaminase [[Eubacterium] siraeum] 
gi|491495564|ref|WP_005353281.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495566|ref|WP_005353283.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495567|ref|WP_005353284.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495569|ref|WP_005353286.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495570|ref|WP_005353287.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495572|ref|WP_005353289.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495577|ref|WP_005353294.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495579|ref|WP_005353296.1|	magnesium transporter [[Eubacterium] siraeum] 
gi|491495580|ref|WP_005353297.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495582|ref|WP_005353299.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495584|ref|WP_005353301.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [[Eubacterium] siraeum] 
gi|491495585|ref|WP_005353302.1|	MULTISPECIES: rod shape-determining protein Mbl [Clostridiales] 
gi|491495587|ref|WP_005353304.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495589|ref|WP_005353306.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495600|ref|WP_005353317.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495602|ref|WP_005353319.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495604|ref|WP_005353321.1|	methylglyoxal synthase [[Eubacterium] siraeum] 
gi|491495606|ref|WP_005353323.1|	histidyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491495607|ref|WP_005353324.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495609|ref|WP_005353326.1|	threonyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491495611|ref|WP_005353328.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495612|ref|WP_005353329.1|	transcriptional regulator [[Eubacterium] siraeum] 
gi|491495613|ref|WP_005353330.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495614|ref|WP_005353331.1|	chorismate synthase [[Eubacterium] siraeum] 
gi|491495615|ref|WP_005353332.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495616|ref|WP_005353333.1|	MULTISPECIES: 30S ribosomal protein S9 [Clostridiales] 
gi|491495618|ref|WP_005353335.1|	50S ribosomal protein L13 [[Eubacterium] siraeum] 
gi|491495620|ref|WP_005353337.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495622|ref|WP_005353339.1|	DNA glycosylase [[Eubacterium] siraeum] 
gi|491495624|ref|WP_005353341.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495625|ref|WP_005353342.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495627|ref|WP_005353344.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495629|ref|WP_005353346.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495631|ref|WP_005353348.1|	DNA adenine methylase [[Eubacterium] siraeum] 
gi|491495633|ref|WP_005353350.1|	type II restriction endonuclease [[Eubacterium] siraeum] 
gi|491495634|ref|WP_005353351.1|	Cro/Cl family transcriptional regulator [[Eubacterium] siraeum] 
gi|491495641|ref|WP_005353358.1|	6-phosphofructokinase [[Eubacterium] siraeum] 
gi|491495643|ref|WP_005353360.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495644|ref|WP_005353361.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495645|ref|WP_005353362.1|	xylulokinase [[Eubacterium] siraeum] 
gi|491495646|ref|WP_005353363.1|	transaldolase [[Eubacterium] siraeum] 
gi|491495647|ref|WP_005353364.1|	serine hydroxymethyltransferase [[Eubacterium] siraeum] 
gi|491495648|ref|WP_005353365.1|	phosphoribosylpyrophosphate synthetase [[Eubacterium] siraeum] 
