gi|493550569|ref|WP_006504245.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550879|ref|WP_006504545.1|	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [Catenibacterium mitsuokai] 
gi|493550880|ref|WP_006504546.1|	DNA-binding protein [Catenibacterium mitsuokai] 
gi|493550881|ref|WP_006504547.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550882|ref|WP_006504548.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550883|ref|WP_006504549.1|	sugar isomerase [Catenibacterium mitsuokai] 
gi|493550884|ref|WP_006504550.1|	glucosamine-fructose-6-phosphate aminotransferase [Catenibacterium mitsuokai] 
gi|493550885|ref|WP_006504551.1|	PTS mannose transporter subunit IID [Catenibacterium mitsuokai] 
gi|493550886|ref|WP_006504552.1|	PTS sugar transporter [Catenibacterium mitsuokai] 
gi|493550887|ref|WP_006504553.1|	PTS sugar transporter [Catenibacterium mitsuokai] 
gi|493550888|ref|WP_006504554.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550889|ref|WP_006504555.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550890|ref|WP_006504556.1|	RNA polymerase subunit sigma-54 [Catenibacterium mitsuokai] 
gi|493550891|ref|WP_006504557.1|	ribonucleoside triphosphate reductase [Catenibacterium mitsuokai] 
gi|493550892|ref|WP_006504558.1|	aryl-phospho-beta-D-glucosidase [Catenibacterium mitsuokai] 
gi|493550893|ref|WP_006504559.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550894|ref|WP_006504560.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550895|ref|WP_006504561.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550896|ref|WP_006504562.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550897|ref|WP_006504563.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550898|ref|WP_006504564.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550899|ref|WP_006504565.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550901|ref|WP_006504566.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550902|ref|WP_006504567.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550903|ref|WP_006504568.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550904|ref|WP_006504569.1|	PTS fructose transporter subunit IIC [Catenibacterium mitsuokai] 
gi|493550905|ref|WP_006504570.1|	1-phosphofructokinase [Catenibacterium mitsuokai] 
gi|493550906|ref|WP_006504571.1|	RpiR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550907|ref|WP_006504572.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550908|ref|WP_006504573.1|	nucleoside-diphosphate sugar epimerase [Catenibacterium mitsuokai] 
gi|493550909|ref|WP_006504574.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550910|ref|WP_006504575.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550911|ref|WP_006504576.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550912|ref|WP_006504577.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550913|ref|WP_006504578.1|	PTS glucose transporter subunit IIBC [Catenibacterium mitsuokai] 
gi|493550914|ref|WP_006504579.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550915|ref|WP_006504580.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550916|ref|WP_006504581.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550917|ref|WP_006504582.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550918|ref|WP_006504583.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550919|ref|WP_006504584.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550920|ref|WP_006504585.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550921|ref|WP_006504586.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550922|ref|WP_006504587.1|	NADH oxidase [Catenibacterium mitsuokai] 
gi|493550923|ref|WP_006504588.1|	AraC family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493550924|ref|WP_006504589.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550925|ref|WP_006504590.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550926|ref|WP_006504591.1|	ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493550927|ref|WP_006504592.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550928|ref|WP_006504593.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550929|ref|WP_006504594.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550930|ref|WP_006504595.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550931|ref|WP_006504596.1|	phosphohydrolase [Catenibacterium mitsuokai] 
gi|493550932|ref|WP_006504597.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550933|ref|WP_006504598.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550934|ref|WP_006504599.1|	PTS mannose transporter subunit IID [Catenibacterium mitsuokai] 
gi|493550935|ref|WP_006504600.1|	PTS alpha-glucoside transporter subunit IIBC [Catenibacterium mitsuokai] 
gi|493550936|ref|WP_006504601.1|	PTS mannose transporter subunit IIAB [Catenibacterium mitsuokai] 
gi|493550937|ref|WP_006504602.1|	multidrug transporter MatE [Catenibacterium mitsuokai] 
gi|493550938|ref|WP_006504603.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550939|ref|WP_006504604.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550940|ref|WP_006504605.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550941|ref|WP_006504606.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550942|ref|WP_006504607.1|	S-ribosylhomocysteinase [Catenibacterium mitsuokai] 
gi|493550943|ref|WP_006504608.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550944|ref|WP_006504609.1|	phosphoenolpyruvate carboxykinase [Catenibacterium mitsuokai] 
gi|493550945|ref|WP_006504610.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550946|ref|WP_006504611.1|	MFS transporter [Catenibacterium mitsuokai] 
gi|493550948|ref|WP_006504612.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550949|ref|WP_006504613.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550950|ref|WP_006504614.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550951|ref|WP_006504615.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550952|ref|WP_006504616.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550953|ref|WP_006504617.1|	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [Catenibacterium mitsuokai] 
gi|493550954|ref|WP_006504618.1|	glycerol uptake permease [Catenibacterium mitsuokai] 
gi|493550955|ref|WP_006504619.1|	peroxiredoxin [Catenibacterium mitsuokai] 
gi|493550956|ref|WP_006504620.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550957|ref|WP_006504621.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550958|ref|WP_006504622.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550959|ref|WP_006504623.1|	aryl-phospho-beta-D-glucosidase [Catenibacterium mitsuokai] 
gi|493550960|ref|WP_006504624.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550961|ref|WP_006504625.1|	chromate transporter [Catenibacterium mitsuokai] 
gi|493550962|ref|WP_006504626.1|	chromate transporter [Catenibacterium mitsuokai] 
gi|493550963|ref|WP_006504627.1|	radical SAM protein [Catenibacterium mitsuokai] 
gi|493550964|ref|WP_006504628.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550965|ref|WP_006504629.1|	choloylglycine hydrolase [Catenibacterium mitsuokai] 
gi|493550966|ref|WP_006504630.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550967|ref|WP_006504631.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550968|ref|WP_006504632.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550969|ref|WP_006504633.1|	sodium:calcium symporter [Catenibacterium mitsuokai] 
gi|493550970|ref|WP_006504634.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550971|ref|WP_006504635.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550973|ref|WP_006504637.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550972|ref|WP_006504636.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550974|ref|WP_006504638.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550975|ref|WP_006504639.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550976|ref|WP_006504640.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550977|ref|WP_006504641.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550979|ref|WP_006504642.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493550980|ref|WP_006504643.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550981|ref|WP_006504644.1|	multidrug ABC transporter ATP-binding protein [Catenibacterium mitsuokai] 
gi|493550982|ref|WP_006504645.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550983|ref|WP_006504646.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550984|ref|WP_006504647.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550985|ref|WP_006504648.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550986|ref|WP_006504649.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550987|ref|WP_006504650.1|	MULTISPECIES: branched-chain amino acid transporter AzlD [Catenibacterium] 
gi|493550988|ref|WP_006504651.1|	branched-chain amino acid ABC transporter permease [Catenibacterium mitsuokai] 
gi|493550989|ref|WP_006504652.1|	glyoxalase [Catenibacterium mitsuokai] 
gi|493550990|ref|WP_006504653.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550991|ref|WP_006504654.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550992|ref|WP_006504655.1|	MULTISPECIES: dihydrodipicolinate synthase [Catenibacterium] 
gi|493550993|ref|WP_006504656.1|	dihydrodipicolinate reductase [Catenibacterium mitsuokai] 
gi|493550994|ref|WP_006504657.1|	diaminopimelate decarboxylase [Catenibacterium mitsuokai] 
gi|493550995|ref|WP_006504658.1|	ATPase [Catenibacterium mitsuokai] 
gi|493550996|ref|WP_006504659.1|	transposase IS116/IS110/IS902 family [Catenibacterium mitsuokai] 
gi|493550997|ref|WP_006504660.1|	hydrolase TatD [Catenibacterium mitsuokai] 
gi|493550998|ref|WP_006504661.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493550999|ref|WP_006504662.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551000|ref|WP_006504663.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551001|ref|WP_006504664.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551004|ref|WP_006504665.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551005|ref|WP_006504666.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551006|ref|WP_006504667.1|	tRNA modification GTPase [Catenibacterium mitsuokai] 
gi|493551007|ref|WP_006504668.1|	multidrug transporter MatE [Catenibacterium mitsuokai] 
gi|493551008|ref|WP_006504669.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551009|ref|WP_006504670.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551010|ref|WP_006504671.1|	MULTISPECIES: ribonuclease P [Catenibacterium] 
gi|493551011|ref|WP_006504672.1|	MULTISPECIES: 50S ribosomal protein L34 [Erysipelotrichaceae] 
gi|493551012|ref|WP_006504673.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551013|ref|WP_006504674.1|	DNA polymerase III subunit beta [Catenibacterium mitsuokai] 
gi|493551014|ref|WP_006504675.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551015|ref|WP_006504676.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551016|ref|WP_006504677.1|	DNA gyrase subunit B [Catenibacterium mitsuokai] 
gi|493551017|ref|WP_006504678.1|	DNA gyrase subunit A [Catenibacterium mitsuokai] 
gi|493551018|ref|WP_006504679.1|	hypothetical protein partial [Catenibacterium mitsuokai] 
gi|493551019|ref|WP_006504680.1|	ferredoxin [Catenibacterium mitsuokai] 
gi|493551020|ref|WP_006504681.1|	electron transport complex RsxE subunit [Catenibacterium mitsuokai] 
gi|493551021|ref|WP_006504682.1|	electron transporter RnfE [Catenibacterium mitsuokai] 
gi|493551022|ref|WP_006504683.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551024|ref|WP_006504684.1|	NADH:ubiquinone oxidoreductase [Catenibacterium mitsuokai] 
gi|493551025|ref|WP_006504685.1|	electron transporter RnfC [Catenibacterium mitsuokai] 
gi|493551026|ref|WP_006504686.1|	beta-glucosidase [Catenibacterium mitsuokai] 
gi|493551027|ref|WP_006504687.1|	GTP-binding protein [Catenibacterium mitsuokai] 
gi|493551028|ref|WP_006504688.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551029|ref|WP_006504689.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551030|ref|WP_006504690.1|	rubrerythrin [Catenibacterium mitsuokai] 
gi|493551031|ref|WP_006504691.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551032|ref|WP_006504692.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551033|ref|WP_006504693.1|	50S ribosomal protein L28 [Catenibacterium mitsuokai] 
gi|493551034|ref|WP_006504694.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551035|ref|WP_006504695.1|	molecular chaperone DnaJ [Catenibacterium mitsuokai] 
gi|493551036|ref|WP_006504696.1|	molecular chaperone DnaK [Catenibacterium mitsuokai] 
gi|493551037|ref|WP_006504697.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551038|ref|WP_006504698.1|	HrcA family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551039|ref|WP_006504699.1|	coproporphyrinogen III oxidase [Catenibacterium mitsuokai] 
gi|493551040|ref|WP_006504700.1|	DNA polymerase III subunit delta [Catenibacterium mitsuokai] 
gi|493551041|ref|WP_006504701.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551042|ref|WP_006504702.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551043|ref|WP_006504703.1|	Holliday junction DNA helicase RuvB [Catenibacterium mitsuokai] 
gi|493551044|ref|WP_006504704.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551045|ref|WP_006504705.1|	GTPase CgtA [Catenibacterium mitsuokai] 
gi|493551046|ref|WP_006504706.1|	50S ribosomal protein L27 [Catenibacterium mitsuokai] 
gi|493551047|ref|WP_006504707.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551048|ref|WP_006504708.1|	50S ribosomal protein L21 [Catenibacterium mitsuokai] 
gi|493551049|ref|WP_006504709.1|	tyrosine recombinase XerC [Catenibacterium mitsuokai] 
gi|493551050|ref|WP_006504710.1|	tRNA (uracil-5-)-methyltransferase [Catenibacterium mitsuokai] 
gi|493551051|ref|WP_006504711.1|	DNA topoisomerase I [Catenibacterium mitsuokai] 
gi|493551052|ref|WP_006504712.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551053|ref|WP_006504713.1|	ribonuclease HII [Catenibacterium mitsuokai] 
gi|493551054|ref|WP_006504714.1|	GTPase [Catenibacterium mitsuokai] 
gi|493551055|ref|WP_006504715.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551056|ref|WP_006504716.1|	50S ribosomal protein L19 [Catenibacterium mitsuokai] 
gi|493551057|ref|WP_006504717.1|	tRNA (guanine-N1)-methyltransferase [Catenibacterium mitsuokai] 
gi|493551058|ref|WP_006504718.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551059|ref|WP_006504719.1|	MULTISPECIES: hypothetical protein [Catenibacterium] 
gi|493551060|ref|WP_006504720.1|	30S ribosomal protein S16 [Catenibacterium mitsuokai] 
gi|493551061|ref|WP_006504721.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551062|ref|WP_006504722.1|	PhoB family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551063|ref|WP_006504723.1|	signal recognition particle protein Srp54 [Catenibacterium mitsuokai] 
gi|493551064|ref|WP_006504724.1|	DNA-binding protein [Catenibacterium mitsuokai] 
gi|493551065|ref|WP_006504725.1|	cell division protein FtsY [Catenibacterium mitsuokai] 
gi|493551066|ref|WP_006504726.1|	ATPase [Catenibacterium mitsuokai] 
gi|493551067|ref|WP_006504727.1|	xanthine phosphoribosyltransferase [Catenibacterium mitsuokai] 
gi|493551068|ref|WP_006504728.1|	histidine kinase [Catenibacterium mitsuokai] 
gi|493551069|ref|WP_006504729.1|	heme response regulator HssR [Catenibacterium mitsuokai] 
gi|493551070|ref|WP_006504730.1|	phosphoesterase [Catenibacterium mitsuokai] 
gi|493551071|ref|WP_006504731.1|	acetate kinase [Catenibacterium mitsuokai] 
gi|493551072|ref|WP_006504732.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551074|ref|WP_006504733.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551075|ref|WP_006504734.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551076|ref|WP_006504735.1|	pseudouridine synthase B [Catenibacterium mitsuokai] 
gi|493551077|ref|WP_006504736.1|	4Fe-4S ferredoxin [Catenibacterium mitsuokai] 
gi|493551078|ref|WP_006504737.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551079|ref|WP_006504738.1|	cytidylate kinase [Catenibacterium mitsuokai] 
gi|493551080|ref|WP_006504739.1|	GTP-binding protein Der [Catenibacterium mitsuokai] 
gi|493551081|ref|WP_006504740.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551082|ref|WP_006504741.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551083|ref|WP_006504742.1|	short-chain dehydrogenase [Catenibacterium mitsuokai] 
gi|493551084|ref|WP_006504743.1|	phosphoenolpyruvate-protein phosphotransferase [Catenibacterium mitsuokai] 
gi|493551085|ref|WP_006504744.1|	glucosamine-6-phosphate deaminase [Catenibacterium mitsuokai] 
gi|493551086|ref|WP_006504745.1|	metal-dependent phosphohydrolase [Catenibacterium mitsuokai] 
gi|493551087|ref|WP_006504746.1|	homoserine O-succinyltransferase [Catenibacterium mitsuokai] 
gi|493551088|ref|WP_006504747.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551089|ref|WP_006504748.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551090|ref|WP_006504749.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551091|ref|WP_006504750.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551092|ref|WP_006504751.1|	6-phospho-beta-glucosidase [Catenibacterium mitsuokai] 
gi|493551093|ref|WP_006504752.1|	phosphomethylpyrimidine synthase [Catenibacterium mitsuokai] 
gi|493551094|ref|WP_006504753.1|	6-phospho-beta-glucosidase [Catenibacterium mitsuokai] 
gi|493551095|ref|WP_006504754.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551096|ref|WP_006504755.1|	flavin oxidoreductase [Catenibacterium mitsuokai] 
gi|493551097|ref|WP_006504756.1|	riboflavin transporter [Catenibacterium mitsuokai] 
gi|493551098|ref|WP_006504757.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551099|ref|WP_006504758.1|	GntR family transcriptional regulator [Catenibacterium mitsuokai] 
gi|493551100|ref|WP_006504759.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551101|ref|WP_006504760.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551102|ref|WP_006504761.1|	hypothetical protein [Catenibacterium mitsuokai] 
gi|493551103|ref|WP_006504762.1|	MULTISPECIES: PTS cellobiose transporter subunit IIA [Catenibacterium] 
gi|493551104|ref|WP_006504763.1|	MULTISPECIES: PTS cellobiose transporter subunit IIB [Catenibacterium] 
gi|493551105|ref|WP_006504764.1|	PTS cellobiose transporter subunit IIC [Catenibacterium mitsuokai] 
