gi|493928256|ref|WP_006872959.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928585|ref|WP_006873266.1|	MULTISPECIES: 50S ribosomal protein L15 [Clostridiales] 
gi|493928586|ref|WP_006873267.1|	MULTISPECIES: 50S ribosomal protein L30 [Clostridiales] 
gi|493928587|ref|WP_006873268.1|	30S ribosomal protein S5 [Anaerotruncus colihominis] 
gi|493928588|ref|WP_006873269.1|	MULTISPECIES: 50S ribosomal protein L18 [Clostridiales] 
gi|493928589|ref|WP_006873270.1|	50S ribosomal protein L6 [Anaerotruncus colihominis] 
gi|493928590|ref|WP_006873271.1|	MULTISPECIES: 30S ribosomal protein S8 [Clostridiales] 
gi|493928591|ref|WP_006873272.1|	MULTISPECIES: 30S ribosomal protein S14 [Clostridiales] 
gi|493928592|ref|WP_006873273.1|	50S ribosomal protein L5 [Anaerotruncus colihominis] 
gi|493928593|ref|WP_006873274.1|	50S ribosomal protein L24 [Anaerotruncus colihominis] 
gi|493928594|ref|WP_006873275.1|	50S ribosomal protein L14 [Anaerotruncus colihominis] 
gi|493928595|ref|WP_006873276.1|	MULTISPECIES: 30S ribosomal protein S17 [Clostridiales] 
gi|493928596|ref|WP_006873277.1|	MULTISPECIES: 50S ribosomal protein L29 [Clostridiales] 
gi|493928597|ref|WP_006873278.1|	MULTISPECIES: 50S ribosomal protein L16 [Clostridiales] 
gi|493928599|ref|WP_006873279.1|	MULTISPECIES: 30S ribosomal protein S3 [Clostridiales] 
gi|493928600|ref|WP_006873280.1|	MULTISPECIES: 50S ribosomal protein L22 [Clostridiales] 
gi|493928601|ref|WP_006873281.1|	MULTISPECIES: 30S ribosomal protein S19 [Clostridiales] 
gi|493928602|ref|WP_006873282.1|	50S ribosomal protein L2 [Anaerotruncus colihominis] 
gi|493928603|ref|WP_006873283.1|	MULTISPECIES: 50S ribosomal protein L23 [Clostridiales] 
gi|493928604|ref|WP_006873284.1|	MULTISPECIES: 50S ribosomal protein L4 [Clostridiales] 
gi|493928605|ref|WP_006873285.1|	50S ribosomal protein L3 [Anaerotruncus colihominis] 
gi|493928606|ref|WP_006873286.1|	MULTISPECIES: 30S ribosomal protein S10 [Clostridiales] 
gi|493928607|ref|WP_006873287.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928608|ref|WP_006873288.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928609|ref|WP_006873289.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928610|ref|WP_006873290.1|	MULTISPECIES: prolyl-tRNA synthetase [Clostridiales] 
gi|493928611|ref|WP_006873291.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928612|ref|WP_006873292.1|	acyl carrier protein [Anaerotruncus colihominis] 
gi|493928613|ref|WP_006873293.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928614|ref|WP_006873294.1|	3-hydroxyacyl-ACP dehydratase [Anaerotruncus colihominis] 
gi|493928615|ref|WP_006873295.1|	3-oxoacyl-ACP synthase [Anaerotruncus colihominis] 
gi|493928617|ref|WP_006873296.1|	3-ketoacyl-ACP reductase [Anaerotruncus colihominis] 
gi|493928618|ref|WP_006873297.1|	2-nitropropane dioxygenase [Anaerotruncus colihominis] 
gi|493928619|ref|WP_006873298.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928620|ref|WP_006873299.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928621|ref|WP_006873300.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928622|ref|WP_006873301.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928623|ref|WP_006873302.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928624|ref|WP_006873303.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928625|ref|WP_006873304.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928626|ref|WP_006873305.1|	nucleotidyltransferase [Anaerotruncus colihominis] 
gi|493928627|ref|WP_006873306.1|	MULTISPECIES: rubrerythrin [Clostridiales] 
gi|493928629|ref|WP_006873307.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928630|ref|WP_006873308.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928631|ref|WP_006873309.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928632|ref|WP_006873310.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928633|ref|WP_006873311.1|	phosphoenolpyruvate carboxykinase [Anaerotruncus colihominis] 
gi|493928634|ref|WP_006873312.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928635|ref|WP_006873313.1|	O-sialoglycoprotein endopeptidase [Anaerotruncus colihominis] 
gi|493928636|ref|WP_006873314.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928637|ref|WP_006873315.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928638|ref|WP_006873316.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928639|ref|WP_006873317.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928640|ref|WP_006873318.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928641|ref|WP_006873319.1|	MULTISPECIES: acetolactate synthase [Clostridiales] 
gi|493928642|ref|WP_006873320.1|	acetolactate synthase [Anaerotruncus colihominis] 
gi|493928643|ref|WP_006873321.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928644|ref|WP_006873322.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928645|ref|WP_006873323.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928646|ref|WP_006873324.1|	MULTISPECIES: ornithine carbamoyltransferase [Clostridiales] 
gi|493928647|ref|WP_006873325.1|	acetylornithine aminotransferase [Anaerotruncus colihominis] 
gi|493928649|ref|WP_006873326.1|	MULTISPECIES: acetylglutamate kinase [Clostridiales] 
gi|493928650|ref|WP_006873327.1|	MULTISPECIES: ornithine acetyltransferase [Clostridiales] 
gi|493928651|ref|WP_006873328.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Anaerotruncus colihominis] 
gi|493928652|ref|WP_006873329.1|	argininosuccinate lyase [Anaerotruncus colihominis] 
gi|493928653|ref|WP_006873330.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928654|ref|WP_006873331.1|	MULTISPECIES: argininosuccinate synthase [Clostridiales] 
gi|493928655|ref|WP_006873332.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928656|ref|WP_006873333.1|	MULTISPECIES: flavin reductase [Clostridiales] 
gi|493928657|ref|WP_006873334.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928658|ref|WP_006873335.1|	GTPase HflX [Anaerotruncus colihominis] 
gi|493928660|ref|WP_006873336.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928661|ref|WP_006873337.1|	MULTISPECIES: peptidase [Clostridiales] 
gi|493928662|ref|WP_006873338.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928664|ref|WP_006873339.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928665|ref|WP_006873340.1|	3-phosphoglycerate dehydrogenase [Anaerotruncus colihominis] 
gi|493928666|ref|WP_006873341.1|	MFS transporter [Anaerotruncus colihominis] 
gi|493928667|ref|WP_006873342.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928668|ref|WP_006873343.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928669|ref|WP_006873344.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928670|ref|WP_006873345.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928671|ref|WP_006873346.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928672|ref|WP_006873347.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928673|ref|WP_006873348.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928674|ref|WP_006873349.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928675|ref|WP_006873350.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928676|ref|WP_006873351.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928677|ref|WP_006873352.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928678|ref|WP_006873353.1|	homoserine O-succinyltransferase [Anaerotruncus colihominis] 
gi|493928679|ref|WP_006873354.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928681|ref|WP_006873355.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928682|ref|WP_006873356.1|	carboxyvinyl-carboxyphosphonate phosphorylmutase [Anaerotruncus colihominis] 
gi|493928683|ref|WP_006873357.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928684|ref|WP_006873358.1|	glutamate mutase [Anaerotruncus colihominis] 
gi|493928685|ref|WP_006873359.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928686|ref|WP_006873360.1|	MULTISPECIES: 2-methyleneglutarate mutase [Clostridiales] 
gi|493928687|ref|WP_006873361.1|	MULTISPECIES: 3-isopropylmalate dehydratase [Clostridiales] 
gi|493928688|ref|WP_006873362.1|	MULTISPECIES: 3-isopropylmalate dehydratase [Clostridiales] 
gi|493928689|ref|WP_006873363.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928690|ref|WP_006873364.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928691|ref|WP_006873365.1|	MULTISPECIES: (2Fe-2S)-binding protein [Clostridiales] 
gi|493928692|ref|WP_006873366.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928693|ref|WP_006873367.1|	tRNA methyltransferase [Anaerotruncus colihominis] 
gi|493928694|ref|WP_006873368.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928695|ref|WP_006873369.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928696|ref|WP_006873370.1|	MULTISPECIES: 6-hydroxynicotinate reductase [Clostridiales] 
gi|493928697|ref|WP_006873371.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928699|ref|WP_006873372.1|	permease [Anaerotruncus colihominis] 
gi|493928700|ref|WP_006873373.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928701|ref|WP_006873374.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928702|ref|WP_006873375.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928703|ref|WP_006873376.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928704|ref|WP_006873377.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928705|ref|WP_006873378.1|	acetate kinase [Anaerotruncus colihominis] 
gi|493928706|ref|WP_006873379.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928707|ref|WP_006873380.1|	orotate phosphoribosyltransferase [Anaerotruncus colihominis] 
gi|493928708|ref|WP_006873381.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928709|ref|WP_006873382.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928710|ref|WP_006873383.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928711|ref|WP_006873384.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928712|ref|WP_006873385.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928713|ref|WP_006873386.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928714|ref|WP_006873387.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928715|ref|WP_006873388.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928716|ref|WP_006873389.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928717|ref|WP_006873390.1|	MULTISPECIES: fimbrial protein [Clostridiales] 
gi|489595164|ref|WP_003499607.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493928718|ref|WP_006873391.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928719|ref|WP_006873392.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928720|ref|WP_006873393.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928721|ref|WP_006873394.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928723|ref|WP_006873395.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928724|ref|WP_006873396.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928725|ref|WP_006873397.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928726|ref|WP_006873398.1|	ATPase [Anaerotruncus colihominis] 
gi|493928727|ref|WP_006873399.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928728|ref|WP_006873400.1|	abortive phage infection protein [Anaerotruncus colihominis] 
gi|493928729|ref|WP_006873401.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928730|ref|WP_006873402.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928732|ref|WP_006873403.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928733|ref|WP_006873404.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493928734|ref|WP_006873405.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928735|ref|WP_006873406.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928736|ref|WP_006873407.1|	DNA-binding protein [Anaerotruncus colihominis] 
gi|493928737|ref|WP_006873408.1|	MULTISPECIES: pilus assembly protein CpaB [Clostridiales] 
gi|493928738|ref|WP_006873409.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928739|ref|WP_006873410.1|	type II secretion system protein E [Anaerotruncus colihominis] 
gi|493928740|ref|WP_006873411.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493928741|ref|WP_006873412.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928742|ref|WP_006873413.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928743|ref|WP_006873414.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|493928744|ref|WP_006873415.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928745|ref|WP_006873416.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928746|ref|WP_006873417.1|	RNA polymerase subunit sigma-70 [Anaerotruncus colihominis] 
gi|493928747|ref|WP_006873418.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928748|ref|WP_006873419.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928749|ref|WP_006873420.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928750|ref|WP_006873421.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928751|ref|WP_006873422.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493928753|ref|WP_006873424.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928752|ref|WP_006873423.1|	L-cysteine desulfhydrase [Anaerotruncus colihominis] 
gi|493928754|ref|WP_006873425.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928755|ref|WP_006873426.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928756|ref|WP_006873427.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928757|ref|WP_006873428.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928758|ref|WP_006873429.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928759|ref|WP_006873430.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928760|ref|WP_006873431.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928761|ref|WP_006873432.1|	multidrug transporter MatE [Anaerotruncus colihominis] 
gi|493928762|ref|WP_006873433.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928763|ref|WP_006873434.1|	MULTISPECIES: peptide ABC transporter ATP-binding protein [Clostridiales] 
gi|493928765|ref|WP_006873436.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928764|ref|WP_006873435.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928766|ref|WP_006873437.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928767|ref|WP_006873438.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928768|ref|WP_006873439.1|	D-ribose transporter ATP binding protein [Anaerotruncus colihominis] 
gi|493928769|ref|WP_006873440.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928771|ref|WP_006873441.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928772|ref|WP_006873442.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928773|ref|WP_006873443.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928774|ref|WP_006873444.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928775|ref|WP_006873445.1|	hydroxydechloroatrazine ethylaminohydrolase [Anaerotruncus colihominis] 
gi|493928776|ref|WP_006873446.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928778|ref|WP_006873447.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928779|ref|WP_006873448.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928780|ref|WP_006873449.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928781|ref|WP_006873450.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928782|ref|WP_006873451.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928783|ref|WP_006873452.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928784|ref|WP_006873453.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928785|ref|WP_006873454.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928786|ref|WP_006873455.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928787|ref|WP_006873456.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928788|ref|WP_006873457.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928789|ref|WP_006873458.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928790|ref|WP_006873459.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928791|ref|WP_006873460.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928792|ref|WP_006873461.1|	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase [Anaerotruncus colihominis] 
gi|493928793|ref|WP_006873462.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928794|ref|WP_006873463.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928795|ref|WP_006873464.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928797|ref|WP_006873465.1|	MULTISPECIES: GTP-binding protein LepA [Clostridiales] 
gi|493928798|ref|WP_006873466.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928799|ref|WP_006873467.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928800|ref|WP_006873468.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928801|ref|WP_006873469.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928802|ref|WP_006873470.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928803|ref|WP_006873471.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928804|ref|WP_006873472.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928805|ref|WP_006873473.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928806|ref|WP_006873474.1|	hydratase [Anaerotruncus colihominis] 
gi|493928807|ref|WP_006873475.1|	hypothetical protein partial [Anaerotruncus colihominis] 
gi|493928808|ref|WP_006873476.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928809|ref|WP_006873477.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493928810|ref|WP_006873478.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928811|ref|WP_006873479.1|	radical SAM protein [Anaerotruncus colihominis] 
gi|493928812|ref|WP_006873480.1|	hypothetical protein [Anaerotruncus colihominis] 
gi|493928814|ref|WP_006873481.1|	glutaconyl-CoA decarboxylase subunit beta [Anaerotruncus colihominis] 
gi|493928815|ref|WP_006873482.1|	hypothetical protein [Anaerotruncus colihominis] 
