gi|495390983|ref|WP_008115684.1|	hypothetical protein partial [[Bacteroides] pectinophilus] 
gi|495391544|ref|WP_008116245.1|	acetyltransferase [[Bacteroides] pectinophilus] 
gi|495391546|ref|WP_008116247.1|	glycerate kinase [[Bacteroides] pectinophilus] 
gi|495391548|ref|WP_008116249.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391550|ref|WP_008116251.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391553|ref|WP_008116254.1|	GTP-binding protein [[Bacteroides] pectinophilus] 
gi|495391555|ref|WP_008116256.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391557|ref|WP_008116258.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391559|ref|WP_008116260.1|	aminoglycoside 3-N-acetyltransferase [[Bacteroides] pectinophilus] 
gi|495391561|ref|WP_008116262.1|	MULTISPECIES: transporter [Bacteria] 
gi|495391564|ref|WP_008116265.1|	MarR family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391566|ref|WP_008116267.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391568|ref|WP_008116269.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391570|ref|WP_008116271.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391572|ref|WP_008116273.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391574|ref|WP_008116275.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391576|ref|WP_008116277.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391578|ref|WP_008116279.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391579|ref|WP_008116280.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391581|ref|WP_008116282.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391582|ref|WP_008116283.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391583|ref|WP_008116284.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391584|ref|WP_008116285.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391585|ref|WP_008116286.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391586|ref|WP_008116287.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391587|ref|WP_008116288.1|	Crp/Fnr family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391588|ref|WP_008116289.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391589|ref|WP_008116290.1|	iron ABC transporter permease [[Bacteroides] pectinophilus] 
gi|495391590|ref|WP_008116291.1|	ABC transporter [[Bacteroides] pectinophilus] 
gi|495391591|ref|WP_008116292.1|	5'-nucleotidase [[Bacteroides] pectinophilus] 
gi|495391592|ref|WP_008116293.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391593|ref|WP_008116294.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391594|ref|WP_008116295.1|	MarR family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391595|ref|WP_008116296.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391596|ref|WP_008116297.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391598|ref|WP_008116299.1|	radical SAM protein [[Bacteroides] pectinophilus] 
gi|495391599|ref|WP_008116300.1|	pyridoxamine 5'-phosphate oxidase [[Bacteroides] pectinophilus] 
gi|495391600|ref|WP_008116301.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391602|ref|WP_008116303.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391604|ref|WP_008116305.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391606|ref|WP_008116307.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391608|ref|WP_008116309.1|	MarR family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391610|ref|WP_008116311.1|	ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495391612|ref|WP_008116313.1|	ABC transporter [[Bacteroides] pectinophilus] 
gi|495391614|ref|WP_008116315.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391615|ref|WP_008116316.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391617|ref|WP_008116318.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391619|ref|WP_008116320.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391621|ref|WP_008116322.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495164734|ref|WP_007889532.1|	MULTISPECIES: recombinase [Clostridiales] 
gi|495164732|ref|WP_007889530.1|	MULTISPECIES: recombinase [Clostridiales] 
gi|495164729|ref|WP_007889527.1|	MULTISPECIES: recombinase [Clostridiales] 
gi|491793620|ref|WP_005602804.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495164727|ref|WP_007889525.1|	MULTISPECIES: toxin MazF [Clostridiales] 
gi|495164726|ref|WP_007889524.1|	MULTISPECIES: polysaccharide deacetylase [Clostridiales] 
gi|495391624|ref|WP_008116325.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495164771|ref|WP_007889569.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391626|ref|WP_008116327.1|	transcriptional regulator [[Bacteroides] pectinophilus] 
gi|491793648|ref|WP_005602822.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793652|ref|WP_005602824.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793656|ref|WP_005602826.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|491793660|ref|WP_005602828.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391629|ref|WP_008116330.1|	membrane protein [[Bacteroides] pectinophilus] 
gi|495391631|ref|WP_008116332.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391632|ref|WP_008116333.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491793674|ref|WP_005602836.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793677|ref|WP_005602838.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391635|ref|WP_008116336.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391637|ref|WP_008116338.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491793682|ref|WP_005602841.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793686|ref|WP_005602844.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391639|ref|WP_008116340.1|	sensor histidine kinase [[Bacteroides] pectinophilus] 
gi|495391640|ref|WP_008116341.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391642|ref|WP_008116343.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491793699|ref|WP_005602852.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793703|ref|WP_005602854.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391644|ref|WP_008116345.1|	histidine kinase [[Bacteroides] pectinophilus] 
gi|495391646|ref|WP_008116347.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391648|ref|WP_008116349.1|	hisitidine kinase [[Bacteroides] pectinophilus] 
gi|495391651|ref|WP_008116352.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391653|ref|WP_008116354.1|	DNA-binding protein [[Bacteroides] pectinophilus] 
gi|495391655|ref|WP_008116356.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491793743|ref|WP_005602875.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391659|ref|WP_008116360.1|	ATP-binding protein [[Bacteroides] pectinophilus] 
gi|491793745|ref|WP_005602877.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793747|ref|WP_005602878.1|	MULTISPECIES: sigma-70 region 4 subfamily [Clostridiales] 
gi|495391665|ref|WP_008116366.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391666|ref|WP_008116367.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391668|ref|WP_008116369.1|	transposase [[Bacteroides] pectinophilus] 
gi|495391670|ref|WP_008116371.1|	integrase [[Bacteroides] pectinophilus] 
gi|495391672|ref|WP_008116373.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491793750|ref|WP_005602881.1|	MULTISPECIES: cell agglutination protein Mam3 [Clostridiales] 
gi|491793752|ref|WP_005602883.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793754|ref|WP_005602885.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793756|ref|WP_005602887.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793767|ref|WP_005602892.1|	MULTISPECIES: peptidyl-prolyl cis-trans isomerase [Clostridiales] 
gi|491793770|ref|WP_005602893.1|	MULTISPECIES: membrane protein [Clostridiales] 
gi|493914221|ref|WP_006859546.1|	MULTISPECIES: chemotaxis protein [Clostridiales] 
gi|495391679|ref|WP_008116380.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491793783|ref|WP_005602903.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793785|ref|WP_005602904.1|	MULTISPECIES: septation protein spoVG [Clostridiales] 
gi|491793788|ref|WP_005602905.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793790|ref|WP_005602906.1|	MULTISPECIES: sortase [Clostridiales] 
gi|495391683|ref|WP_008116384.1|	helicase [[Bacteroides] pectinophilus] 
gi|495391685|ref|WP_008116386.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391687|ref|WP_008116388.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391689|ref|WP_008116390.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491793797|ref|WP_005602909.1|	MULTISPECIES: DpnD protein [Clostridiales] 
gi|493914232|ref|WP_006859557.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391692|ref|WP_008116393.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391694|ref|WP_008116395.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391697|ref|WP_008116398.1|	MULTISPECIES: antitoxin PHD [Clostridiales] 
gi|491793807|ref|WP_005602916.1|	MULTISPECIES: toxin RelE [Clostridiales] 
gi|491793809|ref|WP_005602918.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793810|ref|WP_005602919.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491793813|ref|WP_005602921.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391705|ref|WP_008116406.1|	electron transporter RnfA [[Bacteroides] pectinophilus] 
gi|495391706|ref|WP_008116407.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391708|ref|WP_008116409.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391710|ref|WP_008116411.1|	conjugal transfer protein TraG [[Bacteroides] pectinophilus] 
gi|495391712|ref|WP_008116413.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|491795108|ref|WP_005603511.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391715|ref|WP_008116416.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391716|ref|WP_008116417.1|	relaxase [[Bacteroides] pectinophilus] 
gi|495391717|ref|WP_008116418.1|	mobilization protein [[Bacteroides] pectinophilus] 
gi|495391718|ref|WP_008116419.1|	multidrug transporter [[Bacteroides] pectinophilus] 
gi|495391719|ref|WP_008116420.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391720|ref|WP_008116421.1|	topoisomerase [[Bacteroides] pectinophilus] 
gi|495391722|ref|WP_008116423.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391726|ref|WP_008116427.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391727|ref|WP_008116428.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391729|ref|WP_008116430.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391731|ref|WP_008116432.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391733|ref|WP_008116434.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391735|ref|WP_008116436.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391736|ref|WP_008116437.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391737|ref|WP_008116438.1|	flavodoxin [[Bacteroides] pectinophilus] 
gi|495391740|ref|WP_008116441.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391741|ref|WP_008116442.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391743|ref|WP_008116444.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391746|ref|WP_008116447.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391749|ref|WP_008116450.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391751|ref|WP_008116452.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391753|ref|WP_008116454.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391755|ref|WP_008116456.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391757|ref|WP_008116458.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391759|ref|WP_008116460.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391761|ref|WP_008116462.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391762|ref|WP_008116463.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391764|ref|WP_008116465.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391766|ref|WP_008116467.1|	ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495391767|ref|WP_008116468.1|	permease [[Bacteroides] pectinophilus] 
gi|495391769|ref|WP_008116470.1|	MULTISPECIES: amidase [Bacteria] 
gi|495391771|ref|WP_008116472.1|	phospho-N-acetylmuramoyl-pentapeptide-transferase [[Bacteroides] pectinophilus] 
gi|495391773|ref|WP_008116474.1|	glycogen branching protein [[Bacteroides] pectinophilus] 
gi|495391775|ref|WP_008116476.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391777|ref|WP_008116478.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391779|ref|WP_008116480.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391781|ref|WP_008116482.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391783|ref|WP_008116484.1|	MULTISPECIES: DNA-binding protein [Bacteria] 
gi|495391784|ref|WP_008116485.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391786|ref|WP_008116487.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391790|ref|WP_008116491.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391791|ref|WP_008116492.1|	iron transporter FeoA [[Bacteroides] pectinophilus] 
gi|495391793|ref|WP_008116494.1|	MULTISPECIES: iron transporter FeoA [Bacteria] 
gi|495391795|ref|WP_008116496.1|	iron transporter FeoB [[Bacteroides] pectinophilus] 
gi|495391797|ref|WP_008116498.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391798|ref|WP_008116499.1|	Fur family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391800|ref|WP_008116501.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391801|ref|WP_008116502.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391802|ref|WP_008116503.1|	multidrug transporter MatE [[Bacteroides] pectinophilus] 
gi|495391804|ref|WP_008116505.1|	GntR family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391806|ref|WP_008116507.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391808|ref|WP_008116509.1|	methyl-accepting chemotaxis protein [[Bacteroides] pectinophilus] 
gi|495391810|ref|WP_008116511.1|	esterase [[Bacteroides] pectinophilus] 
gi|495391812|ref|WP_008116513.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391814|ref|WP_008116515.1|	spermidine/putrescine ABC transporter ATP-binding protein [[Bacteroides] pectinophilus] 
gi|495391816|ref|WP_008116517.1|	MULTISPECIES: ABC transporter permease [Bacteria] 
gi|495391817|ref|WP_008116518.1|	spermidine/putrescine ABC transporter permease [[Bacteroides] pectinophilus] 
gi|495391819|ref|WP_008116520.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391821|ref|WP_008116522.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391822|ref|WP_008116523.1|	acetylornithine aminotransferase [[Bacteroides] pectinophilus] 
gi|495391824|ref|WP_008116525.1|	cytidylate kinase [[Bacteroides] pectinophilus] 
gi|495391826|ref|WP_008116527.1|	amino acid permease [[Bacteroides] pectinophilus] 
gi|495391828|ref|WP_008116529.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391830|ref|WP_008116531.1|	alcohol dehydrogenase [[Bacteroides] pectinophilus] 
gi|495391832|ref|WP_008116533.1|	MULTISPECIES: DNA-binding protein [Bacteria] 
gi|495391833|ref|WP_008116534.1|	MULTISPECIES: cytidylate kinase [Bacteria] 
gi|495391835|ref|WP_008116536.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391837|ref|WP_008116538.1|	potassium transporter TrkH [[Bacteroides] pectinophilus] 
gi|495391839|ref|WP_008116540.1|	potassium ABC transporter [[Bacteroides] pectinophilus] 
gi|495391840|ref|WP_008116541.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391842|ref|WP_008116543.1|	MULTISPECIES: histidine kinase [Bacteria] 
gi|495391844|ref|WP_008116545.1|	XRE family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391846|ref|WP_008116547.1|	sodium-dependent tryptophan transporter [[Bacteroides] pectinophilus] 
gi|495391848|ref|WP_008116549.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391850|ref|WP_008116551.1|	cobalt-precorrin-4 C(11)-methyltransferase [[Bacteroides] pectinophilus] 
gi|495391852|ref|WP_008116553.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391854|ref|WP_008116555.1|	precorrin-3B C17-methyltransferase [[Bacteroides] pectinophilus] 
gi|495391856|ref|WP_008116557.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391858|ref|WP_008116559.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391860|ref|WP_008116561.1|	recombinase [[Bacteroides] pectinophilus] 
gi|495391862|ref|WP_008116563.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391865|ref|WP_008116566.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391866|ref|WP_008116567.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391869|ref|WP_008116570.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391872|ref|WP_008116573.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391874|ref|WP_008116575.1|	MULTISPECIES: ATPase [Clostridiales] 
gi|495391877|ref|WP_008116578.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|495391879|ref|WP_008116580.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391880|ref|WP_008116581.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391882|ref|WP_008116583.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391884|ref|WP_008116585.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391885|ref|WP_008116586.1|	MULTISPECIES: membrane protein [Bacteria] 
gi|495391887|ref|WP_008116588.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391889|ref|WP_008116590.1|	MULTISPECIES: transcriptional regulator [Bacteria] 
gi|495391891|ref|WP_008116592.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391892|ref|WP_008116593.1|	XRE family transcriptional regulator [[Bacteroides] pectinophilus] 
gi|495391893|ref|WP_008116594.1|	MULTISPECIES: stage V sporulation protein T [Bacteria] 
gi|495391894|ref|WP_008116595.1|	MULTISPECIES: hypothetical protein [Bacteria] 
gi|495391895|ref|WP_008116596.1|	DNA-binding protein [[Bacteroides] pectinophilus] 
gi|495391896|ref|WP_008116597.1|	hypothetical protein [[Bacteroides] pectinophilus] 
gi|495391897|ref|WP_008116598.1|	hypothetical protein [[Bacteroides] pectinophilus] 
